0	Index      	 *	Score 	Summary	Detail	
1	62151 43123	 * 	295.94	ACR|DCR|2VULN|1TLV|1CDMG	1RPLT|2FLTHEA|3CDMG|4aVULN|58RCR|6TLV|7LHND|9LWND
15	31322 42433	   	282.05	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9LHND|aRAT
16	41322 42433	   	282.05	DCR|DCR|1TLV|1VULN|1DMG	1FEWX|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9LHND|aRAT
17	21622 42413	   	281.95	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2DMG|3FEWX|4MDPS|5VULN|6TLV|78RCR|9DUST|aRAT
18	23362 52413	   	281.95	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2LHND|3MDPS|4TLV|5VULN|6DMG|78RCR|9DUST|aRAT
19	31322 36413	   	281.95	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9DUST|aRAT
20	31322 42413	   	281.95	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9DUST|aRAT
21	41322 42413	   	281.95	DCR|DCR|1TLV|1VULN|1DMG	1FEWX|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9DUST|aRAT
22	16223 11434	 * 	281.11	DCR|DCR|3TLV|1AEBURN|2FRZICY	17ERES|2AAC|3AEBURN|47FRZICY|579TLV|6aRCR|7BPWR|8DUST
23	31622 42423	   	279.00	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2DMG|3FEWX|4MDPS|5VULN|6TLV|78RCR|9ERES|aASPD
24	31622 36423	   	279.00	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2DMG|3FEWX|4MDPS|5VULN|68RCR|7TLV|9ERES|aASPD
25	35233 16216	 * 	275.93	DCR|2TLV|2VULN|2ASPD|1AEBURN	18BEXP|2aVULN|38TLV|4AIRARM|5AEBURN|6RPLT|78ASPD|8BPWR|9RCR
26	23322 42432	   	275.64	DCR|DCR|1TLV|1VULN|1CDMG	1DUR|29LHND|3MDPS|4ZMB|5VULN|6TLV|78RCR|aCDMG
27	23322 42416	   	275.54	DCR|DCR|1TLV|1VULN|1CDMG	1DUR|2LHND|3MDPS|4ZMB|5VULN|6TLV|78RCR|9DUST|aCDMG
28	24322 36423	   	275.54	DCR|DCR|1TLV|1VULN|1ASPD	1DUR|2BEXP|3MDPS|4ZMB|5VULN|68RCR|7TLV|9ERES|aASPD
29	24322 42423	   	275.54	DCR|DCR|1TLV|1VULN|1ASPD	1DUR|2BEXP|3MDPS|4ZMB|5VULN|6TLV|78RCR|9ERES|aASPD
30	36322 36423	   	275.54	DCR|DCR|1TLV|1VULN|1ASPD	1BEXP|2DUR|3MDPS|4ZMB|5VULN|68RCR|7TLV|9ERES|aASPD
31	36322 42423	   	275.54	DCR|DCR|1TLV|1VULN|1ASPD	1BEXP|2DUR|3MDPS|4ZMB|5VULN|6TLV|78RCR|9ERES|aASPD
32	26322 42412	   	275.44	DCR|DCR|1TLV|1VULN|1CDMG	1DUR|29DUST|3MDPS|4ZMB|5VULN|6TLV|78RCR|aCDMG
33	23322 42452	   	275.40	DCR|DCR|1TLV|1VULN|1ASPD|1SELL	1DUR|2LHND|3MDPS|4ZMB|5VULN|6TLV|78RCR|9SELL|aASPD
34	61516 22233	 * 	275.25	DCR|DCR|2VULN|1TLV	1RPLT|2DMSP|3DLOT|4BEXP|5aVULN|69RCR|7FEWX|8TLV
35	21622 42431	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2DMG|3FEWX|4MDPS|5VULN|6TLV|78RCR|9LHND|aTSLHEL
36	21622 42432	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2DMG|3FEWX|4MDPS|5VULN|6TLV|78RCR|9LHND|aRCVC
37	23362 52431	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1DUR|29LHND|3MDPS|4TLV|5VULN|6DMG|78RCR|aBEXP
38	31322 36431	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9LHND|aTSLHEL
39	31322 36432	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9LHND|aRCVC
40	31322 36436	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9LHND|aRPLT
41	31322 42431	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9LHND|aTSLHEL
42	31322 42432	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9LHND|aRCVC
43	31322 42436	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9LHND|aRPLT
44	41322 42431	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1FEWX|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9LHND|aTSLHEL
45	41322 42432	   	275.11	DCR|DCR|1TLV|1VULN|1DMG	1FEWX|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9LHND|aRCVC
46	31622 42412	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3FEWX|4MDPS|5VULN|6TLV|78RCR|9DUST|aDUR
47	21622 42411	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2DMG|3FEWX|4MDPS|5VULN|6TLV|78RCR|9DUST|aTSLHEL
48	21622 42412	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2DMG|3FEWX|4MDPS|5VULN|6TLV|78RCR|9DUST|aRCVC
49	21622 42421	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2DMG|3FEWX|4MDPS|5VULN|6TLV|78RCR|9ERES|aLHND
50	21622 42422	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2DMG|3FEWX|4MDPS|5VULN|6TLV|78RCR|9ERES|aRCVC
51	23362 52411	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2LHND|3MDPS|4TLV|5VULN|6DMG|78RCR|9DUST|aTSLHEL
52	23362 52412	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2LHND|3MDPS|4TLV|5VULN|6DMG|78RCR|9DUST|aRCVC
53	23362 52433	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1DUR|29LHND|3MDPS|4TLV|5VULN|6DMG|78RCR|aBASFIG
54	31322 36411	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9DUST|aTSLHEL
55	31322 36412	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9DUST|aRCVC
56	31322 36416	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9DUST|aRPLT
57	31322 36421	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9ERES|aLHND
58	31322 36422	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9ERES|aRCVC
59	31322 36424	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9ERES|aRPLT
60	31322 36425	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9ERES|aCGEN
61	31322 36435	   	275.01	DCR|DCR|1TLV|1VULN|1DMG|1SELL	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9LHND|aSELL
62	31322 42411	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9DUST|aTSLHEL
63	31322 42412	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9DUST|aRCVC
64	31322 42416	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9DUST|aRPLT
65	31322 42421	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9ERES|aLHND
66	31322 42422	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9ERES|aRCVC
67	31322 42424	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9ERES|aRPLT
68	31322 42425	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9ERES|aCGEN
69	31322 42435	   	275.01	DCR|DCR|1TLV|1VULN|1DMG|1SELL	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9LHND|aSELL
70	31622 36412	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3FEWX|4MDPS|5VULN|68RCR|7TLV|9DUST|aDUR
71	41322 42411	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1FEWX|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9DUST|aTSLHEL
72	41322 42412	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1FEWX|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9DUST|aRCVC
73	41322 42421	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1FEWX|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9ERES|aLHND
74	41322 42422	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1FEWX|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9ERES|aRCVC
75	23362 52421	   	274.91	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2LHND|3MDPS|4TLV|5VULN|6DMG|78RCR|9ERES|aLEGI
76	23362 52422	   	274.91	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2LHND|3MDPS|4TLV|5VULN|6DMG|78RCR|9ERES|aBASARM
77	23362 52423	   	274.91	DCR|DCR|1TLV|1VULN|1DMG|1MSE	1DUR|2LHND|3MDPS|4TLV|5VULN|6DMG|78RCR|9ERES|aMSE
78	31322 36415	   	274.91	DCR|DCR|1TLV|1VULN|1DMG|1SELL	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9DUST|aSELL
79	31322 36461	   	274.91	DCR|DCR|1TLV|1VULN|1DMG|1MSE	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9MSE|aTSLHEL
80	31322 36462	   	274.91	DCR|DCR|1TLV|1VULN|1DMG|1MSE	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9MSE|aRCVC
81	31322 36463	   	274.91	DCR|DCR|1TLV|1VULN|1DMG|1MSE	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9MSE|aRAT
82	31322 42415	   	274.91	DCR|DCR|1TLV|1VULN|1DMG|1SELL	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9DUST|aSELL
83	31322 42461	   	274.91	DCR|DCR|1TLV|1VULN|1DMG|1MSE	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9MSE|aTSLHEL
84	31322 42462	   	274.91	DCR|DCR|1TLV|1VULN|1DMG|1MSE	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9MSE|aRCVC
85	31322 42463	   	274.91	DCR|DCR|1TLV|1VULN|1DMG|1MSE	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9MSE|aRAT
86	51322 42423	   	273.36	DCR|DCR|1TLV|1VULN|1DMG|1ASPD|1MSE	1MSE|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9ERES|aASPD
87	62151 43133	   	273.02	ACR|DCR|1TLV|1VULN|1CDMG	1RPLT|2FLTHEA|3CDMG|4VULN|58RCR|6TLV|7LHND|9FRZICY|aCGEN
88	62151 43131	   	272.92	ACR|DCR|1TLV|1VULN|1CDMG	1RPLT|2FLTHEA|3CDMG|4VULN|58RCR|6TLV|7LHND|9FRZICY|aERES
89	62151 43132	   	272.92	ACR|DCR|1TLV|1VULN|1CDMG	1RPLT|2FLTHEA|3CDMG|4VULN|58RCR|6TLV|7LHND|9FRZICY|aMDPS
90	31622 42433	   	272.39	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3FEWX|4MDPS|5VULN|6TLV|78RCR|9LHND|aRAT
91	16223 16234	 * 	272.39	DCR|DCR|1TLV|1VULN|1AEBURN	1ERES|2AAC|3AEBURN|4FRZICY|5TLV|6aRCR|7BEXP|8LHND|9VULN
92	31622 36433	   	272.39	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3FEWX|4MDPS|5VULN|68RCR|7TLV|9LHND|aRAT
93	62151 43112	 * 	272.39	ACR|DCR|1TLV|1VULN|2CDMG	1RPLT|2FLTHEA|39CDMG|4VULN|58RCR|6TLV|7aLHND
94	62151 43111	   	272.29	ACR|DCR|1TLV|1VULN|2CDMG|1MSE	1RPLT|2FLTHEA|39CDMG|4VULN|58RCR|6TLV|7LHND|aMSE
95	62151 43113	   	272.29	ACR|DCR|1TLV|1VULN|2CDMG	1RPLT|2FLTHEA|39CDMG|4VULN|58RCR|6TLV|7LHND|aBLASTR
96	23322 42415	   	271.55	DCR|DCR|1TLV|1VULN	1DUR|2LHND|3MDPS|4ZMB|5VULN|6TLV|78RCR|9DUST|aNUKE
97	21142 33653	 * 	271.52	DCR|3VULN|1TLV|1DMG|1CDMG	1DUR|2DMG|3AAC|4CDMG|5TLV|68aVULN|7LIT|9RCR
98	22323 41621	 * 	271.31	DCR|2VULN|1TLV|3DUR|1DMG|2RAT	138DUR|2ERES|48RAT|5DMG|6TLV|78VULN|8BPWR|9ZMB|aRCR
99	16223 11156	 * 	269.69	DCR|2TLV|2VULN|3FRZICY|1AEBURN	17aERES|2AAC|3AEBURN|47aFRZICY|57TLV|6RCR|7aBPWR|8AME|9aVULN
100	23322 42434	   	268.93	DCR|DCR|1TLV|1VULN	1DUR|29LHND|3MDPS|4ZMB|5VULN|6TLV|78RCR|aFLTARM
101	24322 36433	   	268.93	DCR|DCR|1TLV|1VULN	1DUR|2BEXP|3MDPS|4ZMB|5VULN|68RCR|7TLV|9LHND|aRAT
102	24322 42433	   	268.93	DCR|DCR|1TLV|1VULN	1DUR|2BEXP|3MDPS|4ZMB|5VULN|6TLV|78RCR|9LHND|aRAT
103	36322 36433	   	268.93	DCR|DCR|1TLV|1VULN	1BEXP|2DUR|3MDPS|4ZMB|5VULN|68RCR|7TLV|9LHND|aRAT
104	36322 42433	   	268.93	DCR|DCR|1TLV|1VULN	1BEXP|2DUR|3MDPS|4ZMB|5VULN|6TLV|78RCR|9LHND|aRAT
105	23322 42413	   	268.83	DCR|DCR|1TLV|1VULN	1DUR|2LHND|3MDPS|4ZMB|5VULN|6TLV|78RCR|9DUST|aRAT
106	24322 36413	   	268.83	DCR|DCR|1TLV|1VULN	1DUR|2BEXP|3MDPS|4ZMB|5VULN|68RCR|7TLV|9DUST|aRAT
107	24322 42413	   	268.83	DCR|DCR|1TLV|1VULN	1DUR|2BEXP|3MDPS|4ZMB|5VULN|6TLV|78RCR|9DUST|aRAT
108	26322 42433	   	268.83	DCR|DCR|1TLV|1VULN	1DUR|2DUST|3MDPS|4ZMB|5VULN|6TLV|78RCR|9LWND|aRAT
109	36322 36413	   	268.83	DCR|DCR|1TLV|1VULN	1BEXP|2DUR|3MDPS|4ZMB|5VULN|68RCR|7TLV|9DUST|aRAT
110	36322 42413	   	268.83	DCR|DCR|1TLV|1VULN	1BEXP|2DUR|3MDPS|4ZMB|5VULN|6TLV|78RCR|9DUST|aRAT
111	21315 16511	 * 	268.21	DCR|2VULN|1TLV|2DMG|3DUR	138DUR|25DMG|4SNIHEL|6RCR|7TLV|9aVULN
112	21142 33453	 * 	266.90	DCR|2VULN|1TLV|1AEFBLL|1DMG|1CDMG	1DUR|2DMG|3AAC|4CDMG|5TLV|6aVULN|7LIT|8AEFBLL|9RCR
113	51322 42433	   	266.75	DCR|DCR|1TLV|1VULN|1DMG|1MSE	1MSE|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9LHND|aRAT
114	51322 42413	   	266.65	DCR|DCR|1TLV|1VULN|1DMG|1MSE	1MSE|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9DUST|aRAT
115	62141 43123	   	266.08	ACR|DCR|1TLV|1VULN|1CDMG	1RPLT|2FLTHEA|3CDMG|4FEWX|58RCR|6TLV|7LHND|9LWND|aVULN
116	62151 43121	   	266.08	ACR|DCR|1TLV|1VULN|1CDMG	1RPLT|2FLTHEA|3CDMG|4VULN|58RCR|6TLV|7LHND|9LWND|aLIT
117	62151 43122	   	266.08	ACR|DCR|1TLV|1VULN|1CDMG	1RPLT|2FLTHEA|3CDMG|4VULN|58RCR|6TLV|7LHND|9LWND|aRCVC
