0	Index      	 *	Score 	Summary	Detail	
1	11461 22528	 * 	355.87	ACR|ACR|3VULN|2TLV|1DMG	17aVULN|2MBVNT|38TLV|45RCR|6DUR|9DMG
57	11461 15641	   	326.94	ACR|ACR|3VULN|1TLV|1DMG	17aVULN|2MBVNT|3TLV|45RCR|6CGEN|8DMG|9RAT
58	11461 35521	   	326.14	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9LHND|aAME
59	11461 35524	   	326.14	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9LHND|aRMIN
60	11461 35531	   	326.14	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9FEWX|aAME
61	11461 35534	   	326.14	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9FEWX|aRMIN
62	11461 35541	   	326.14	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9CGEN|aLWND
63	11461 35543	   	326.14	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9CGEN|aRMIN
64	11461 35544	   	326.14	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9aCGEN
65	11461 35511	   	326.04	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9AEWIND|aFLTFST
66	11461 35512	   	326.04	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9AEWIND|aBEXP
67	11461 35513	   	326.04	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9AEWIND|aMLV
68	11461 35514	   	326.04	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9AEWIND|aBELT
69	11461 35542	   	326.04	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9CGEN|aDUST
