0	Index      	 *	Score 	Summary	Detail	
1	65632 13111	 * 	203.34	ACR|3DMG|2VULN|1AART|3DUR	1RCVC|2RCR|368DUR|48VULN|58aDMG|7AART|8BPWR|9CGEN
14	65232 12136	 * 	185.89	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3BEXP|4aVULN|5DMG|6DUR|78AART|9CDMG
15	63121 14222	 * 	185.10	DCR|5VULN|2AART	1RCVC|23589VULN|35BPWR|45FEWX|6RCR|7aAART
16	63151 14222	   	185.10	DCR|5VULN|2AART	1RCVC|23589VULN|35BPWR|45BEXP|6RCR|7aAART
17	63331 14222	   	185.10	DCR|5VULN|2AART	1RCVC|24589VULN|35FEWX|5BPWR|6RCR|7aAART
18	63531 14222	   	184.90	DCR|5VULN|2AART	1RCVC|24589VULN|35DUST|5BPWR|6RCR|7aAART
19	42312 43313	   	184.89	ACR|3DMG|2VULN|1AART	1BELT|2RCR|3CGEN|4AART|59aDMG|67VULN|8BEXP
20	42313 33313	   	184.89	ACR|3DMG|2VULN|1AART	1BELT|2RCR|3CGEN|4AART|57VULN|69aDMG|8BEXP
21	42312 43613	   	184.79	ACR|3DMG|2VULN|1AART	1BELT|2RCR|3CGEN|4AART|59aDMG|67VULN|8DUST
22	42313 33613	   	184.79	ACR|3DMG|2VULN|1AART	1BELT|2RCR|3CGEN|4AART|57VULN|69aDMG|8DUST
23	45312 24211	 * 	184.60	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1BELT|25DMG|3LHND|4AART|6FLTHEA|7RCR|8DUR|9aVULN
24	42113 25331	   	183.58	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1BELT|2RCR|3ERES|47AART|58VULN|6CDMG|9DUR|aDMG
25	42312 44123	   	183.11	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1BELT|2RCR|3CGEN|4AART|5aDMG|68VULN|7ASPD|9DUR
26	42313 34123	   	183.11	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1BELT|2RCR|3CGEN|4AART|58VULN|6aDMG|7ASPD|9DUR
27	42412 42123	   	183.11	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1BELT|2RCR|3ASPD|4AART|5aDMG|68VULN|7CGEN|9DUR
28	42413 32123	   	183.11	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1BELT|2RCR|3ASPD|4AART|58VULN|6aDMG|7CGEN|9DUR
29	42313 33416	 * 	183.06	ACR|2AART|2VULN|1DMG|2CDMG	1BELT|2RCR|3CGEN|4aAART|57VULN|6DMG|89CDMG
30	42112 44123	   	183.01	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1BELT|2RCR|3ERES|4AART|5aDMG|68VULN|7ASPD|9DUR
31	42413 23341	   	182.88	ACR|2VULN|2DMG|1AART|2ASPD	1BELT|2RCR|3aASPD|4AART|5aVULN|6FEWX|7BEXP|8aDMG|9MBVNT|aBPWR
32	46212 43313	   	182.49	ACR|3DMG|2VULN|1AART	1BELT|2CGEN|3RCR|4AART|59aDMG|67VULN|8BEXP
33	46213 33313	   	182.49	ACR|3DMG|2VULN|1AART	1BELT|2CGEN|3RCR|4AART|57VULN|69aDMG|8BEXP
34	46213 33613	   	182.39	ACR|3DMG|2VULN|1AART	1BELT|2CGEN|3RCR|4AART|57VULN|69aDMG|8DUST
35	62135 52213	 * 	182.12	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1ZMB	1RCVC|2ZMB|3aVULN|4FLTHEA|5MLV|6RCR|7aLHND|8CDMG|9aDMG|aBPWR
36	32616 33143	 * 	181.88	DCR|4VULN|1AART|1DMG|1ZMB	1CGEN|2367VULN|46LWND|5AART|6BPWR|8DMG|9RCR|aZMB
37	36613 42312	 * 	181.77	DCR|3VULN|2DMG|1AART	19CGEN|2LHND|39aVULN|49DMG|5AART|6RCVC|7RCR|8RPLT|9BPWR
38	65232 12226	   	181.74	ACR|3VULN|1AART|1DMG|2DUR	1RCVC|2RCR|3BEXP|48aVULN|5DMG|69DUR|7AART
39	65325 23134	   	181.74	ACR|3VULN|1AART|1DMG|2DUR	1RCVC|2RCR|3RMIN|458VULN|58BPWR|68DUR|7AART|9MBVNT|aDMG
40	42113 22312	   	181.20	ACR|4VULN|1AART|2CDMG	1BELT|2RCR|37aERES|4AART|589aVULN|6aCDMG|aBPWR
41	42412 43132	   	181.18	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BELT|2RCR|3ASPD|4AART|5DMG|689VULN|7LIT|aDUR
42	42413 33132	   	181.18	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BELT|2RCR|3ASPD|4AART|589VULN|6DMG|7LIT|aDUR
43	23321 42436	 * 	181.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ERES|3AART|4aVULN|5ZMB|6RCVC|7RCR|8DMG|9CDMG
44	23324 33143	   	181.02	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	17DUR|26ERES|3AART|456VULN|6BPWR|8DMG|9RCR|aZMB
45	23324 53143	   	181.02	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	17DUR|2ERES|3AART|456VULN|8DMG|9RCR|aZMB
46	46213 34123	   	180.71	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1BELT|2CGEN|3RCR|4AART|58VULN|6aDMG|7ASPD|9DUR
47	42312 43323	   	180.68	ACR|2AART|2VULN|2DMG	1BELT|2RCR|3CGEN|49AART|5aDMG|67VULN|8BEXP
48	42313 33323	   	180.68	ACR|2AART|2VULN|2DMG	1BELT|2RCR|3CGEN|49AART|57VULN|6aDMG|8BEXP
49	63121 14224	   	180.59	DCR|5VULN|1AART|1DUR	1RCVC|23589VULN|35BPWR|45FEWX|6RCR|7AART|aDUR
50	63121 14235	   	180.59	DCR|5VULN|1AART|1ASPD	1RCVC|2358aVULN|35BPWR|45FEWX|6RCR|7AART|9ASPD
51	63331 14224	   	180.59	DCR|5VULN|1AART|1DUR	1RCVC|24589VULN|35FEWX|5BPWR|6RCR|7AART|aDUR
52	63331 14235	   	180.59	DCR|5VULN|1AART|1ASPD	1RCVC|2458aVULN|35FEWX|5BPWR|6RCR|7AART|9ASPD
53	42312 43623	   	180.58	ACR|2AART|2VULN|2DMG	1BELT|2RCR|3CGEN|49AART|5aDMG|67VULN|8DUST
54	42313 33623	   	180.58	ACR|2AART|2VULN|2DMG	1BELT|2RCR|3CGEN|49AART|57VULN|6aDMG|8DUST
55	45412 23213	   	180.38	ACR|2VULN|2DMG|1AART|1FLTHEA	1BELT|25DMG|3RCR|4AART|6FLTHEA|7ERES|8LHND|9aVULN
56	65612 23123	 * 	180.26	ACR|3ZMB|1AART|1DMG|1VULN|2DUR|2RCVC	15RCVC|2RCR|37DUR|47aZMB|6AART|7BPWR|8DMG|9VULN
57	42113 25322	   	180.25	ACR|3VULN|2AART|2CDMG	1BELT|2RCR|3aERES|47AART|58aVULN|6aCDMG|9RCVC|aBPWR
58	42112 43231	   	180.14	ACR|2VULN|2DMG|1AART|1ZMB	1BELT|2RCR|3ERES|4AART|5aDMG|68VULN|7LIT|9ZMB
59	36613 32312	   	179.27	DCR|3VULN|2DMG|1AART	169CGEN|2LHND|39aVULN|49DMG|5AART|7RCR|8RPLT|9BPWR
60	36613 62311	 * 	179.27	DCR|3DMG|2VULN|1AART	19CGEN|2LHND|39VULN|469DMG|5AART|7RCR|8RPLT|9BPWR|aRMIN
61	32616 32143	 * 	179.23	DCR|3VULN|2AART|1DMG|1ZMB	1CGEN|236VULN|46LWND|57AART|6BPWR|8DMG|9RCR|aZMB
62	42413 35231	   	179.17	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1BELT|2RCR|3ASPD|4AART|58VULN|6DMG|7CDMG|9FEWX|aDUR
63	42113 25313	   	179.17	ACR|3VULN|2AART|1CDMG|1ASPD	1BELT|2RCR|3ERES|47AART|589VULN|6CDMG|aASPD
64	36613 62312	   	179.17	DCR|3DMG|2VULN|1AART	19CGEN|2LHND|39VULN|469DMG|5AART|7RCR|8RPLT|9BPWR|aERES
65	42312 26523	 * 	178.95	ACR|3DMG|2AART|1VULN	1BELT|2RCR|37CGEN|49AART|57aDMG|67BEXP|7BPWR|8VULN
66	42413 35232	 * 	178.85	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1BELT|2RCR|3aASPD|4AART|58VULN|6DMG|7CDMG|9FEWX
67	42312 23613	   	178.75	ACR|3DMG|2AART|1VULN	1BELT|2RCR|3CGEN|48AART|59aDMG|6BEXP|7VULN
68	42315 33613	   	178.75	ACR|3DMG|2AART|1VULN	1BELT|2RCR|3CGEN|48AART|5BEXP|69aDMG|7VULN
69	42312 53613	   	178.65	ACR|3DMG|2AART|1VULN	1BELT|2RCR|3CGEN|48AART|59aDMG|6DUST|7VULN
70	42313 35613	   	178.65	ACR|3DMG|2AART|1VULN	1BELT|2RCR|3CGEN|48AART|5VULN|69aDMG|7DUST
71	42413 35211	   	178.55	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1BELT|2RCR|3ASPD|4AART|58VULN|6DMG|79CDMG|aCGEN
72	42413 35212	   	178.55	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1BELT|2RCR|3ASPD|4AART|58VULN|6DMG|79CDMG|aLIT
73	42413 35213	   	178.55	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1BELT|2RCR|3ASPD|4AART|58VULN|6DMG|79CDMG|aRMIN
74	42313 33414	   	178.55	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1BELT|2RCR|3CGEN|4AART|57VULN|6DMG|89CDMG|aDUR
75	42113 22112	   	178.55	ACR|3VULN|2AART|2CDMG	1BELT|2RCR|37aERES|48AART|59aVULN|6aCDMG|aBPWR
76	42113 25612	   	178.55	ACR|3VULN|2AART|2CDMG	1BELT|2RCR|38aERES|47AART|59aVULN|6aCDMG|aBPWR
77	26331 63234	   	178.52	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DUR|2LWND|3AART|49VULN|5MBVNT|6DMG|7RCR|8ZMB|aFLTHEA
78	26331 63238	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2LWND|3AART|49VULN|5MBVNT|6DMG|7RCR|8ZMB|aCDMG
79	42113 26331	   	178.45	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1BELT|2RCR|3ERES|4AART|58VULN|69CDMG|7DUR|aDMG
80	46212 43323	   	178.28	ACR|2AART|2VULN|2DMG	1BELT|2CGEN|3RCR|49AART|5aDMG|67VULN|8BEXP
81	46213 33323	   	178.28	ACR|2AART|2VULN|2DMG	1BELT|2CGEN|3RCR|49AART|57VULN|6aDMG|8BEXP
82	46213 33623	   	178.18	ACR|2AART|2VULN|2DMG	1BELT|2CGEN|3RCR|49AART|57VULN|6aDMG|8DUST
83	42353 33613	   	178.05	ACR|3DMG|2AART|1VULN	1BELT|2RCR|3CGEN|4DUST|58AART|69aDMG|7VULN
84	42312 43413	 * 	177.65	ACR|2VULN|1AART|3CDMG|1DMG	1BELT|2RCR|3CGEN|4AART|5DMG|67VULN|89aCDMG
85	42313 33413	   	177.65	ACR|2VULN|1AART|3CDMG|1DMG	1BELT|2RCR|3CGEN|4AART|57VULN|6DMG|89aCDMG
86	65323 52121	   	177.64	ACR|3VULN|1AART|1DMG|1DUR	1RCVC|2RCR|3RMIN|469VULN|5AART|7DMSP|8DMG|aDUR
87	65323 53121	   	177.64	ACR|3VULN|1AART|1DMG|1DUR	1RCVC|2RCR|37RMIN|469VULN|5AART|8DMG|aDUR
88	65613 23123	   	177.58	ACR|3ZMB|1AART|1VULN|1DMG|2DUR	1RCVC|2RCR|37DUR|47aZMB|5DMSP|6AART|7BPWR|8DMG|9VULN
89	65232 12126	   	177.53	ACR|2VULN|2AART|1DMG|2DUR	1RCVC|2RCR|3BEXP|4aVULN|5DMG|69DUR|78AART
90	42412 41131	   	177.53	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	1BELT|2RCR|3aASPD|4AART|5DMG|6aVULN|7LWND|8DUST|9aDUR|aBPWR
91	42413 31131	   	177.53	ACR|2DMG|1AART|1VULN|2ASPD|2DUR	1BELT|2RCR|3aASPD|4AART|5VULN|6aDMG|7LWND|8DUST|9aDUR|aBPWR
92	42313 33461	   	177.53	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1BELT|2RCR|3CGEN|4AART|57VULN|6DMG|8CDMG|9aDUR
93	42413 31341	   	177.53	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	1BELT|2RCR|3aASPD|4AART|5aVULN|6DMG|7LWND|8aDUR|9MBVNT|aBPWR
94	42113 26351	   	177.43	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1BELT|2RCR|3ERES|4AART|58VULN|6CDMG|79DUR|aDMG
95	42314 33633	   	176.97	ACR|2AART|2DMG|1VULN|1ASPD|1DUR	1BELT|2RCR|3CGEN|48AART|5DUR|6aDMG|7VULN|9ASPD
96	23323 33143	   	176.81	DCR|2AART|2VULN|1DMG|2DUR|1ZMB	17DUR|26ERES|35AART|46VULN|6BPWR|8DMG|9RCR|aZMB
97	23323 53143	   	176.81	DCR|2AART|2VULN|1DMG|2DUR|1ZMB	17DUR|2ERES|35AART|46VULN|8DMG|9RCR|aZMB
98	42112 26523	 * 	176.74	ACR|2AART|2DMG|1VULN|1CDMG	1BELT|2RCR|37ERES|49AART|57DMG|67BEXP|7BPWR|8VULN|aCDMG
99	23321 42611	 * 	176.72	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	19DUR|2ERES|3AART|49VULN|59ZMB|6RCVC|7RCR|8RPLT|9BPWR|aDMG
100	42113 21366	   	176.64	ACR|2AART|2VULN|1DMG|1CDMG	1BELT|2RCR|3ERES|4aAART|58VULN|6CDMG|7BEXP|9DMG
101	42113 25341	   	176.64	ACR|2AART|2VULN|1DMG|1CDMG	1BELT|2RCR|3ERES|47AART|58VULN|6CDMG|9FEWX|aDMG
102	42113 25361	   	176.54	ACR|2AART|2VULN|1DMG|1CDMG	1BELT|2RCR|3ERES|47AART|58VULN|6CDMG|9DUST|aDMG
103	42613 34211	   	176.53	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1BELT|2RCR|3MLV|4AART|5VULN|69DMG|7ASPD|8ZMB|aDUR
104	46212 23613	   	176.35	ACR|3DMG|2AART|1VULN	1BELT|2CGEN|3RCR|48AART|59aDMG|6BEXP|7VULN
105	42312 43433	   	176.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2RCR|3CGEN|4AART|5DMG|67VULN|8CDMG|9FEWX|aZMB
106	42313 24151	   	176.30	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1BELT|2RCR|3CGEN|4AART|5aVULN|6FEWX|7FLTHEA|8DMG|9ZMB
107	42313 33433	   	176.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2RCR|3CGEN|4AART|57VULN|6DMG|8CDMG|9FEWX|aZMB
108	42113 21363	   	176.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2RCR|3ERES|4AART|58VULN|6CDMG|7BEXP|9DMG|aZMB
109	42312 44113	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3CGEN|4AART|5aDMG|68VULN|7ASPD|9MLV
110	42313 34113	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3CGEN|4AART|58VULN|6aDMG|7ASPD|9MLV
111	42313 34153	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3CGEN|4AART|58VULN|6aDMG|7ASPD|9RMIN
112	42313 34163	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3CGEN|4AART|58VULN|6aDMG|7ASPD|9DMSP
113	42412 42113	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|5aDMG|68VULN|7CGEN|9MLV
114	42412 43123	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|5aDMG|68VULN|7LIT|9LWND
115	42412 43323	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|5aDMG|69VULN|7LIT|8LWND
116	42413 32113	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|58VULN|6aDMG|7CGEN|9MLV
117	42413 32153	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|58VULN|6aDMG|7CGEN|9RMIN
118	42413 32163	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|58VULN|6aDMG|7CGEN|9DMSP
119	42413 33123	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|58VULN|6aDMG|7LIT|9LWND
120	42413 33143	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|58VULN|6aDMG|7LIT|9LHND
121	42413 33151	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|58VULN|6aDMG|7LIT|9MLV
122	42413 33163	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|58VULN|6aDMG|7LIT|9BEXP
123	42413 33323	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|59VULN|6aDMG|7LIT|8LWND
124	42312 43311	   	176.17	ACR|2VULN|2DMG|1AART|1DUR	1BELT|2RCR|3CGEN|4AART|59DMG|67VULN|8BEXP|aDUR
125	42313 33311	   	176.17	ACR|2VULN|2DMG|1AART|1DUR	1BELT|2RCR|3CGEN|4AART|57VULN|69DMG|8BEXP|aDUR
126	42312 43333	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3CGEN|4AART|5aDMG|67VULN|8BEXP|9ASPD
127	42313 33333	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3CGEN|4AART|57VULN|6aDMG|8BEXP|9ASPD
128	42412 23123	   	176.17	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|5aDMG|6BEXP|7LIT|89VULN
129	42312 43242	   	176.14	ACR|3VULN|1AART|1DMG|1DUR	1BELT|2RCR|3CGEN|4AART|5DMG|679VULN|8RCVC|aDUR
130	42313 33242	   	176.14	ACR|3VULN|1AART|1DMG|1DUR	1BELT|2RCR|3CGEN|4AART|579VULN|6DMG|8RCVC|aDUR
131	42313 33246	   	176.14	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3CGEN|4AART|579VULN|6DMG|8RCVC|aASPD
132	42113 23363	   	176.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2RCR|3ERES|4AART|58VULN|6CDMG|7DUST|9DMG|aZMB
133	42313 34143	   	176.07	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3CGEN|4AART|58VULN|6aDMG|7ASPD|9ERES
134	42412 43113	   	176.07	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|5aDMG|68VULN|7LIT|9MBVNT
135	42412 53123	   	176.07	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|5aDMG|6DUST|7LIT|89VULN
136	42413 32143	   	176.07	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|58VULN|6aDMG|7CGEN|9ERES
137	42413 33113	   	176.07	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|58VULN|6aDMG|7LIT|9MBVNT
138	42413 33623	   	176.07	ACR|2VULN|2DMG|1AART|1ASPD	1BELT|2RCR|3ASPD|4AART|59VULN|6aDMG|7LIT|8DUST
139	42312 43611	   	176.07	ACR|2VULN|2DMG|1AART|1DUR	1BELT|2RCR|3CGEN|4AART|59DMG|67VULN|8DUST|aDUR
140	42313 33611	   	176.07	ACR|2VULN|2DMG|1AART|1DUR	1BELT|2RCR|3CGEN|4AART|57VULN|69DMG|8DUST|aDUR
141	23252 48282	 * 	175.95	DCR|3VULN|3DMG|2DUR	1aDUR|2ERES|35aDMG|4MBVNT|68aVULN|7RPLT|9RCR|aBPWR
142	23324 51143	   	175.62	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|27ERES|3AART|456VULN|8DMG|9RCR|aZMB
143	62113 53143	 * 	175.54	DCR|3VULN|1AART|1DMG|2ZMB	1RCVC|2aZMB|367VULN|4LWND|5AART|8DMG|9RCR
144	63213 53143	   	175.54	DCR|3VULN|1AART|1DMG|2ZMB	1RCVC|267VULN|3aZMB|4LWND|5AART|8DMG|9RCR
145	42314 33611	   	175.33	ACR|2AART|2DMG|1VULN|2DUR	1BELT|2RCR|3CGEN|48AART|5aDUR|69DMG|7VULN
146	46213 33413	   	175.25	ACR|2VULN|1AART|3CDMG|1DMG	1BELT|2CGEN|3RCR|4AART|57VULN|6DMG|89aCDMG
147	36613 32315	 * 	175.06	DCR|2AART|2DMG|2VULN	169CGEN|2LHND|39VULN|49DMG|5aAART|7RCR|8RPLT|9BPWR
148	65234 31231	   	175.04	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3BEXP|48VULN|5DUR|6AART|7DMG|9CDMG|aLWND
149	65234 31232	   	174.94	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3BEXP|48VULN|5DUR|6AART|7DMG|9CDMG|aERES
150	65234 31233	   	174.94	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3BEXP|48VULN|5DUR|6AART|7DMG|9CDMG|aDUST
151	65232 12231	   	174.44	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3BEXP|48VULN|5DMG|6DUR|7AART|9CDMG|aLWND
152	42312 26533	   	174.44	ACR|3DMG|1AART|1VULN|1ASPD	1BELT|2RCR|37CGEN|4AART|57aDMG|67BEXP|7BPWR|8VULN|9ASPD
153	65232 12232	   	174.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3BEXP|48VULN|5DMG|6DUR|7AART|9CDMG|aERES
154	65232 12233	   	174.34	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3BEXP|48VULN|5DMG|6DUR|7AART|9CDMG|aDUST
155	26225 33142	 * 	174.26	ACR|2DMG|2AART|1CDMG|2ASPD|2DUR	19DUR|2LWND|39DMG|4RMIN|5RCR|68AART|79ASPD|9BPWR|aCDMG
156	42112 26533	   	174.24	ACR|3DMG|1AART|1VULN|1ASPD	1BELT|2RCR|37ERES|4AART|57aDMG|67BEXP|7BPWR|8VULN|9ASPD
157	42312 44313	   	174.24	ACR|3DMG|1AART|1VULN|1ASPD	1BELT|2RCR|3CGEN|4AART|59aDMG|6VULN|7ASPD|8MLV
158	42313 34313	   	174.24	ACR|3DMG|1AART|1VULN|1ASPD	1BELT|2RCR|3CGEN|4AART|5VULN|69aDMG|7ASPD|8MLV
159	42412 42313	   	174.24	ACR|3DMG|1AART|1VULN|1ASPD	1BELT|2RCR|3ASPD|4AART|59aDMG|6VULN|7CGEN|8MLV
160	42412 43131	   	174.24	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3ASPD|4AART|5DMG|689VULN|7LIT|aLWND
161	42413 32313	   	174.24	ACR|3DMG|1AART|1VULN|1ASPD	1BELT|2RCR|3ASPD|4AART|5VULN|69aDMG|7CGEN|8MLV
162	42413 33131	   	174.24	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3ASPD|4AART|589VULN|6DMG|7LIT|aLWND
163	42413 33135	   	174.24	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3ASPD|4AART|589VULN|6DMG|7LIT|aLHND
164	42413 33136	   	174.24	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3ASPD|4AART|589VULN|6DMG|7LIT|aRPLT
165	42613 34313	   	174.24	ACR|3DMG|1AART|1VULN|1ASPD	1BELT|2RCR|39MLV|4AART|5VULN|68aDMG|7ASPD
166	42613 34333	   	174.24	ACR|3DMG|1AART|1VULN|1ASPD	1BELT|2RCR|3MLV|4AART|5VULN|68aDMG|7ASPD|9BEXP
167	42312 43142	   	174.24	ACR|3VULN|1AART|1DMG|1DUR	1BELT|2RCR|3CGEN|4AART|5DMG|679VULN|8DMSP|aDUR
168	42313 33142	   	174.24	ACR|3VULN|1AART|1DMG|1DUR	1BELT|2RCR|3CGEN|4AART|579VULN|6DMG|8DMSP|aDUR
169	42313 33146	   	174.24	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3CGEN|4AART|579VULN|6DMG|8DMSP|aASPD
170	42312 11155	   	174.24	ACR|3VULN|1AART|1DMG|1DUR	1BELT|2RCR|3CGEN|4AART|5DMG|6LIT|7DUR|89aVULN
171	42113 25132	 * 	174.20	ACR|3AART|2VULN|2CDMG|1ASPD	1BELT|2RCR|39ERES|478AART|59VULN|69CDMG|9BPWR|aASPD
172	42112 11155	   	174.14	ACR|3VULN|1AART|1DMG|1DUR	1BELT|2RCR|3ERES|4AART|5DMG|6LIT|7DUR|89aVULN
