0	Index      	 *	Score 	Summary	Detail	
1	25412 21225	 * 	178.68	DCR|4VULN|1AART|1DMG|1ZMB	1RPLT|2348VULN|5LSRREG|6ZMB|7DMG|9RCR|aAART
24	24335 61113	   	168.08	DCR|2VULN|2AART|1DMG|1ZMB	1RPLT|2DMG|3CANSTR|45VULN|6RCR|7ZMB|8ERES|9aAART
25	25416 31332	   	167.68	DCR|3VULN|1AART|1DMG|1ZMB	1RPLT|234VULN|5AART|6DMG|7FEWX|8RMIN|9RCR|aZMB
26	25416 32332	   	167.58	DCR|3VULN|1AART|1DMG|1ZMB	1RPLT|234VULN|5AART|6DMG|7DUST|8RMIN|9RCR|aZMB
27	25265 22123	 * 	167.33	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|256VULN|3CDMG|4DMG|7LHND|8CGEN|9RCR|aAART
28	25265 23223	   	167.33	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|256VULN|3CDMG|4DMG|7MLV|8LHND|9RCR|aAART
29	21432 22433	   	166.93	DCR|3VULN|2AART|1DMG	1RPLT|24LHND|346VULN|4BPWR|5LSRREG|7aAART|8DMG|9RCR
30	21432 22432	   	166.48	DCR|3VULN|1AART|1DMG|1ZMB	1RPLT|24LHND|346VULN|4BPWR|5LSRREG|7AART|8DMG|9RCR|aZMB
31	23365 31613	 * 	166.30	ACR|2VULN|2AART|1DMG|1ZMB	1RPLT|2CGEN|3MGNSTR|4RCR|56VULN|7ZMB|8DMG|9aAART
32	24335 61332	 * 	166.17	DCR|3DMG|2VULN|1ZMB	1RPLT|29aDMG|3CANSTR|45VULN|6RCR|7ZMB|8BEXP
33	22533 13623	   	166.13	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RPLT|2DUST|3RCR|46DMG|5VULN|7LHND|8CDMG|9DUR|aAART
34	22533 21163	 * 	166.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|2DUST|3RCR|4DMG|59VULN|6LHND|7CDMG|8DUR|aAART
35	22533 21323	   	166.13	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RPLT|2DUST|3RCR|48DMG|5VULN|6LHND|7CDMG|9DUR|aAART
36	15321 16232	 * 	165.82	DCR|2VULN|2DMG|2ZMB|1CDMG	1LHND|2aVULN|3ERES|4LIT|5aZMB|6CDMG|7RCR|8RPLT|9aDMG|aBPWR
37	22531 36162	 * 	165.52	ACR|3DMG|1VULN|1FLTHEA|1DUR|1ASPD	1RPLT|2DUST|3RCR|489DMG|5ASPD|6VULN|7DUR|aFLTHEA
38	24341 21311	   	165.45	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|2aDMG|3aCANSTR|4DUR|5DUST|6aVULN|7BELT|8RCR|9AART|aBPWR
39	22533 15122	 * 	165.30	ACR|3DMG|1VULN|1CDMG|1FLTHEA	1RPLT|2DUST|3RCR|467DMG|5VULN|8LWND|9FLTHEA|aCDMG
40	21532 33122	   	164.88	ACR|2VULN|2DMG|1CDMG|1ZMB	1RPLT|2LHND|3RCR|4aLIT|5CGEN|6CDMG|7aDMG|8ZMB|9aVULN|aBPWR
41	22552 33122	   	164.78	ACR|2VULN|2DMG|1CDMG|1ZMB	1RPLT|2DUST|3RCR|4aLIT|5CGEN|6CDMG|7aDMG|8ZMB|9aVULN|aBPWR
42	24612 14311	   	164.75	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|26DMG|3DUR|49VULN|5DUST|7MBVNT|8RCR|aAART
43	21533 31353	   	164.68	ACR|2VULN|2DMG|1CDMG|1ZMB	1RPLT|2LHND|3RCR|4LIT|58DMG|6CDMG|7ZMB|9aVULN
44	22533 11313	   	164.58	ACR|2VULN|2DMG|1CDMG|1ZMB	1RPLT|2DUST|3RCR|46DMG|5aVULN|7LIT|8CDMG|9ZMB
45	22553 31353	   	164.58	ACR|2VULN|2DMG|1CDMG|1ZMB	1RPLT|2DUST|3RCR|4LIT|58DMG|6CDMG|7ZMB|9aVULN
46	35233 23224	   	164.34	DCR|3VULN|2DMG|1ASPD|1DUR	1FEWX|2ASPD|3DUR|47aVULN|59DMG|6CGEN|8RCR
47	35233 53224	   	164.24	DCR|3VULN|2DMG|1DUR|1ASPD	1FEWX|2ASPD|3DUR|47aVULN|59DMG|6ERES|8RCR
48	45233 23224	   	164.24	DCR|3VULN|2DMG|1ASPD|1DUR	1DUST|2ASPD|3DUR|47aVULN|59DMG|6CGEN|8RCR
49	24365 31132	   	164.19	ACR|3DMG|2VULN|1ZMB	1RPLT|29aDMG|3CANSTR|4RCR|58VULN|6ZMB|7BEXP
50	21434 23362	   	164.18	DCR|3VULN|1AART|1DMG|1ZMB	1RPLT|24LHND|346VULN|4BPWR|5LWND|7AART|8ZMB|9DMG|aRCR
51	21325 36522	 * 	164.04	DCR|3VULN|1DMG|2CDMG|1ZMB	1RPLT|27LHND|3CGEN|47CDMG|567VULN|7BPWR|8RCR|9ZMB|aDMG
52	23225 36522	   	164.04	DCR|3VULN|1DMG|2CDMG|1ZMB	1RPLT|27CGEN|3LHND|47CDMG|567VULN|7BPWR|8RCR|9ZMB|aDMG
53	22433 33641	 * 	164.01	DCR|3DMG|2VULN|1CDMG	1RPLT|2DUST|39VULN|4LIT|57aDMG|6CDMG|8RCR
54	22533 11422	   	163.73	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|46DMG|5aVULN|7LIT|8RCVC|9AART
55	25242 25221	 * 	163.62	DCR|2VULN|3CDMG|1AART|2ZMB	1RPLT|26VULN|349CDMG|58ZMB|7RCR|aAART
56	25416 31331	   	163.62	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|234VULN|5AART|6DMG|7FEWX|8RMIN|9RCR|aDUR
57	25416 32331	   	163.52	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|234VULN|5AART|6DMG|7DUST|8RMIN|9RCR|aDUR
58	22533 24141	   	163.13	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|48DMG|59VULN|6LHND|7CGEN|aAART
59	22533 12341	   	163.03	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|46DMG|59VULN|7TLV|8LHND|aAART
60	22533 12641	   	163.03	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|46DMG|59VULN|7TLV|8FEWX|aAART
61	22533 13216	   	163.03	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|46DMG|59VULN|7LHND|8MBVNT|aAART
62	22533 14351	   	163.03	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|46DMG|59VULN|7MBVNT|8RMIN|aAART
63	22533 14451	   	163.03	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|46DMG|59VULN|7MBVNT|8MLV|aAART
64	22533 22141	   	163.03	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|48DMG|59VULN|6LHND|7TLV|aAART
65	22533 31141	   	163.03	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|48DMG|59VULN|6TLV|7FEWX|aAART
66	22533 34141	   	163.03	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|48DMG|59VULN|6TLV|7LWND|aAART
67	22533 51141	   	163.03	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|48DMG|59VULN|6ERES|7FEWX|aAART
68	22534 31141	   	163.03	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|48DMG|5ERES|69VULN|7FEWX|aAART
69	22535 31141	   	163.03	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|48DMG|5TLV|69VULN|7FEWX|aAART
70	22533 12541	   	162.93	ACR|2VULN|2DMG|1AART	1RPLT|2DUST|3RCR|46DMG|59VULN|7TLV|8LEGI|aAART
71	22533 13611	   	162.65	ACR|3DMG|1VULN|1CDMG|1ZMB	1RPLT|2DUST|3RCR|46aDMG|5VULN|7LHND|8CDMG|9ZMB
72	22533 21311	   	162.65	ACR|3DMG|1VULN|1CDMG|1ZMB	1RPLT|2DUST|3RCR|48aDMG|5VULN|6LHND|7CDMG|9ZMB
73	22533 15422	   	162.55	ACR|3DMG|1VULN|1FLTHEA|1ZMB	1RPLT|2DUST|3RCR|467DMG|5VULN|8ZMB|9LEGI|aFLTHEA
74	22533 12142	   	162.42	ACR|3DMG|2VULN|1DUR	1RPLT|2DUST|3RCR|46aDMG|59VULN|7TLV|8DUR
75	22533 36142	   	162.42	ACR|3DMG|2VULN|1DUR	1RPLT|2DUST|3RCR|48aDMG|59VULN|6TLV|7DUR
76	25412 21223	   	162.42	DCR|4VULN|1DMG|1ZMB|1ASPD	1RPLT|2348VULN|5LSRREG|6ZMB|7DMG|9RCR|aASPD
77	25412 21224	   	162.42	DCR|4VULN|1DMG|1ZMB|1DUR	1RPLT|2348VULN|5LSRREG|6ZMB|7DMG|9RCR|aDUR
78	24612 14441	   	162.35	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|26DMG|3DUR|48VULN|5DUST|7MBVNT|9RCR|aAART
79	25412 31431	   	162.32	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|234VULN|5LSRREG|6DUR|7AART|8DMG|9RCR|aFEWX
80	23363 25613	   	162.23	ACR|2VULN|2AART|1DMG|1ASPD	1RPLT|2CGEN|3MGNSTR|4RCR|5ASPD|67VULN|8DMG|9aAART
81	24311 65212	   	162.10	DCR|3DMG|2VULN|1DUR	1RPLT|27aDMG|3CANSTR|4RCVC|58VULN|6RCR|9DUR
82	24332 65212	   	162.10	DCR|3DMG|2VULN|1DUR	15RPLT|27aDMG|3CANSTR|48VULN|6RCR|9DUR
83	15343 16232	   	161.96	DCR|2VULN|2DMG|1CDMG|1ZMB	1LHND|2aVULN|3ERES|4CDMG|5aLIT|6ZMB|7RCR|8RPLT|9aDMG|aBPWR
84	24113 36114	 * 	161.95	DCR|5VULN|1DMG|1DUR	1RPLT|2DMG|3LWND|45678VULN|9DUR|aRCR
85	24213 36114	   	161.95	DCR|5VULN|1DMG|1DUR	1RPLT|2DMG|3LHND|45678VULN|9DUR|aRCR
86	25423 14222	 * 	161.91	DCR|3VULN|1AART|2ASPD|1DUR	1RPLT|23aVULN|48ASPD|5LIT|6RCR|7DUR|9AART
87	25613 14222	   	161.91	DCR|3VULN|1AART|2ASPD|1DUR	1RPLT|24aVULN|38ASPD|5LIT|6RCR|7DUR|9AART
88	24113 33111	   	161.71	DCR|3VULN|2DMG|1CDMG	1RPLT|2aDMG|3LWND|456VULN|7LIT|8CDMG|9RCR
89	24213 33111	   	161.71	DCR|3VULN|2DMG|1CDMG	1RPLT|2aDMG|3LHND|456VULN|7LIT|8CDMG|9RCR
90	25265 21122	   	161.71	DCR|3VULN|2DMG|1CDMG	1RPLT|256VULN|3CDMG|4aDMG|7BEXP|8CGEN|9RCR
91	25265 22122	   	161.71	DCR|3VULN|2DMG|1CDMG	1RPLT|256VULN|3CDMG|4aDMG|7LHND|8CGEN|9RCR
92	25265 23122	   	161.71	DCR|3VULN|2DMG|1CDMG	1RPLT|256VULN|3CDMG|4aDMG|7MLV|8BEXP|9RCR
93	25265 23222	   	161.71	DCR|3VULN|2DMG|1CDMG	1RPLT|256VULN|3CDMG|4aDMG|7MLV|8LHND|9RCR
94	24513 26322	   	161.61	DCR|3DMG|2VULN|1CDMG	1RPLT|28aDMG|3CGEN|48VULN|5CDMG|6TLV|78ERES|8BPWR|9RCR
95	25242 25213	 * 	161.38	DCR|2VULN|1DMG|2CDMG|2ZMB|1DUR	1RPLT|26VULN|34CDMG|58ZMB|7RCR|9DUR|aDMG
96	22533 15351	   	161.20	ACR|3DMG|1AART|1VULN	1RPLT|2DUST|3RCR|467DMG|5VULN|8LSRICY|9MLV|aAART
97	22533 14434	   	161.10	ACR|3DMG|1AART|1VULN	1RPLT|2DUST|3RCR|469DMG|5VULN|7MBVNT|8MLV|aAART
98	22533 15341	   	161.10	ACR|3DMG|1AART|1VULN	1RPLT|2DUST|3RCR|467DMG|5VULN|8LSRICY|9TLV|aAART
99	22533 65311	   	161.10	ACR|3DMG|1AART|1VULN	1RPLT|28DUST|3RCR|479DMG|5VULN|6RCVC|aAART
100	21436 12232	 * 	160.83	DCR|4VULN|1DMG|1CDMG	1RPLT|245LHND|3459VULN|45BPWR|6CDMG|7FEWX|8RCR|aDMG
101	21436 14232	   	160.83	DCR|4VULN|1DMG|1CDMG	1RPLT|245LHND|3459VULN|45BPWR|6CDMG|7LWND|8RCR|aDMG
102	22563 21138	 * 	160.82	ACR|2VULN|1AART|2ASPD|1CDMG|1DUR	1RPLT|2aDUST|3RCR|4aASPD|5CDMG|6MBVNT|7DUR|8AART|9aVULN|aBPWR
103	21436 11232	   	160.73	DCR|4VULN|1DMG|1CDMG	1RPLT|245LHND|3459VULN|45BPWR|6CDMG|7DUST|8RCR|aDMG
104	25413 32232	   	160.63	DCR|4VULN|1DMG|1CDMG	1RPLT|2349VULN|5CDMG|6LHND|7FEWX|8RCR|aDMG
105	25413 34232	   	160.63	DCR|4VULN|1DMG|1CDMG	1RPLT|2349VULN|5CDMG|6LHND|7LWND|8RCR|aDMG
106	15121 64332	 * 	160.55	DCR|2VULN|2DMG|2DUR|1ZMB	1LHND|2aVULN|3RMIN|4LIT|5ZMB|6aDUR|7RCR|8ERES|9aDMG|aBPWR
107	25413 12232	   	160.53	DCR|4VULN|1DMG|1CDMG	1RPLT|2349VULN|5CDMG|6LEGI|7FEWX|8RCR|aDMG
108	25413 14232	   	160.53	DCR|4VULN|1DMG|1CDMG	1RPLT|2349VULN|5CDMG|6LEGI|7LWND|8RCR|aDMG
109	25413 31232	   	160.53	DCR|4VULN|1DMG|1CDMG	1RPLT|2349VULN|5CDMG|6LHND|7DUST|8RCR|aDMG
110	22531 31321	   	160.52	ACR|2VULN|2DMG|1CDMG|1ASPD	1RPLT|2DUST|3RCR|4aDMG|5ASPD|69VULN|7FEWX|8CDMG
111	22533 21162	   	160.52	ACR|2VULN|2DMG|1CDMG|1DUR	1RPLT|2DUST|3RCR|4aDMG|59VULN|6LHND|7CDMG|8DUR
112	22533 41321	   	160.52	ACR|2VULN|2DMG|1CDMG|1ASPD	1RPLT|2DUST|3RCR|4aDMG|59VULN|6ASPD|7FEWX|8CDMG
113	22533 11342	   	160.52	ACR|2VULN|2DMG|1CDMG|1DUR	1RPLT|2DUST|3RCR|46DMG|59VULN|7LIT|8CDMG|aDUR
114	25242 25222	 * 	160.48	DCR|2VULN|3CDMG|1DMG|2ZMB	1RPLT|26VULN|349CDMG|58ZMB|7RCR|aDMG
115	25413 11232	   	160.43	DCR|4VULN|1DMG|1CDMG	1RPLT|2349VULN|5CDMG|6LEGI|7DUST|8RCR|aDMG
116	23422 36512	   	159.98	DCR|3VULN|1DMG|2CDMG|1DUR	1RPLT|27CGEN|3BEXP|47CDMG|567VULN|7BPWR|8RCR|9DUR|aDMG
117	31533 34342	   	159.90	DCR|3DMG|2VULN|1DUR	1FEWX|2aLWND|3DUR|4ERES|58aDMG|6LIT|7RCR|9aVULN|aBPWR
118	22325 36512	   	159.78	DCR|3VULN|1DMG|2CDMG|1DUR	1RPLT|27DUST|3CGEN|47CDMG|567VULN|7BPWR|8RCR|9DUR|aDMG
119	23612 32111	 * 	159.71	DCR|2VULN|2DMG|2ASPD|1CDMG	1RPLT|2CGEN|35ASPD|45VULN|5BPWR|6LIT|7aDMG|8CDMG|9RCR
120	23663 11222	   	159.70	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1RPLT|2CGEN|3ASPD|47DMG|5LIT|6RCR|8DUR|9AART|aVULN
121	35233 23221	   	159.69	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1FEWX|2ASPD|3DUR|47VULN|59DMG|6CGEN|8RCR|aZMB
122	24113 36316	   	159.67	DCR|4VULN|2DMG	1RPLT|29DMG|3LWND|4567VULN|8DUST|aRCR
123	24213 36316	   	159.67	DCR|4VULN|2DMG	1RPLT|29DMG|3LHND|4567VULN|8DUST|aRCR
124	35233 53221	   	159.59	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1FEWX|2ASPD|3DUR|47VULN|59DMG|6ERES|8RCR|aZMB
125	45233 23221	   	159.59	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1DUST|2ASPD|3DUR|47VULN|59DMG|6CGEN|8RCR|aZMB
126	45233 53221	   	159.49	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1DUST|2ASPD|3DUR|47VULN|59DMG|6ERES|8RCR|aZMB
127	25533 33613	   	159.46	DCR|2VULN|2DMG|1CDMG|1ZMB	1RPLT|2aVULN|3FEWX|4LIT|57DMG|6CDMG|8RCR|9ZMB
128	22533 36343	   	159.45	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2DUST|3RCR|4DMG|5VULN|6TLV|7DUR|8CDMG|9ZMB|aAART
129	22531 16141	   	159.42	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1RPLT|2DUST|3RCR|4DMG|5ASPD|6RCVC|79VULN|8DUR|aAART
130	22531 16161	   	159.42	ACR|2DMG|1AART|1VULN|1ASPD|1DUR	1RPLT|2DUST|3RCR|49DMG|5ASPD|6RCVC|7VULN|8DUR|aAART
131	22433 33613	   	159.36	DCR|2VULN|2DMG|1CDMG|1ZMB	1RPLT|2DUST|3aVULN|4LIT|57DMG|6CDMG|8RCR|9ZMB
132	22531 33141	   	159.32	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1RPLT|27DUST|3RCR|4DMG|5ASPD|69VULN|8DUR|aAART
133	22531 33161	   	159.32	ACR|2DMG|1AART|1VULN|1ASPD|1DUR	1RPLT|27DUST|3RCR|49DMG|5ASPD|6VULN|8DUR|aAART
134	22531 36131	   	159.32	ACR|2DMG|1AART|1VULN|1ASPD|1DUR	1RPLT|29DUST|3RCR|48DMG|5ASPD|6VULN|7DUR|aAART
135	22533 12166	   	159.32	ACR|2DMG|1AART|1VULN|1DUR|1ASPD	1RPLT|2DUST|3RCR|46DMG|5VULN|7TLV|8DUR|9ASPD|aAART
136	22533 43141	   	159.32	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1RPLT|27DUST|3RCR|4DMG|59VULN|6ASPD|8DUR|aAART
137	22533 43161	   	159.32	ACR|2DMG|1AART|1VULN|1ASPD|1DUR	1RPLT|27DUST|3RCR|49DMG|5VULN|6ASPD|8DUR|aAART
138	22533 46131	   	159.32	ACR|2DMG|1AART|1VULN|1ASPD|1DUR	1RPLT|29DUST|3RCR|48DMG|5VULN|6ASPD|7DUR|aAART
139	24333 35533	   	159.31	DCR|2AART|2VULN|1DMG|1ASPD	1RPLT|2DMG|3CANSTR|47VULN|5aAART|6CGEN|8ASPD|9RCR
140	21533 33653	   	159.29	ACR|2DMG|1AART|1VULN|1CDMG	1RPLT|2LHND|3RCR|4LIT|57DMG|6CDMG|8RMIN|9VULN|aAART
141	21533 34233	   	159.29	ACR|2DMG|1AART|1VULN|1CDMG	1RPLT|2LHND|3RCR|4LIT|59DMG|6CDMG|7RMIN|8VULN|aAART
142	22533 13635	   	159.19	ACR|2DMG|1AART|1VULN|1CDMG	1RPLT|2DUST|3RCR|46DMG|5VULN|7LHND|8CDMG|9CGEN|aAART
143	22533 21335	   	159.19	ACR|2DMG|1AART|1VULN|1CDMG	1RPLT|2DUST|3RCR|48DMG|5VULN|6LHND|7CDMG|9CGEN|aAART
144	22533 21563	   	159.19	ACR|2VULN|1AART|1DMG|1CDMG	1RPLT|2DUST|3RCR|4DMG|59VULN|6LHND|7CDMG|8FEWX|aAART
145	22553 34223	   	159.19	ACR|2DMG|1AART|1VULN|1CDMG	1RPLT|2DUST|3RCR|4LIT|59DMG|6CDMG|7RMIN|8VULN|aAART
146	25423 14121	   	159.10	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1RPLT|23VULN|4ASPD|5LIT|6RCR|7DUR|8CGEN|9DMG|aAART
147	25613 14121	   	159.10	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1RPLT|24VULN|3ASPD|5LIT|6RCR|7DUR|8CGEN|9DMG|aAART
148	22533 31325	   	159.09	ACR|2VULN|1AART|1DMG|1CDMG	1RPLT|2DUST|3RCR|4DMG|59VULN|6TLV|7FEWX|8CDMG|aAART
149	22535 31325	   	159.09	ACR|2VULN|1AART|1DMG|1CDMG	1RPLT|2DUST|3RCR|4DMG|5TLV|69VULN|7FEWX|8CDMG|aAART
150	25423 11151	   	159.00	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1RPLT|23VULN|4ASPD|5LIT|6RCR|7DMG|8TLV|9DUR|aAART
151	25613 11151	   	159.00	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1RPLT|24VULN|3ASPD|5LIT|6RCR|7DMG|8TLV|9DUR|aAART
152	24335 43222	   	158.97	DCR|3VULN|2DMG|1ZMB	1RPLT|2aDMG|3CANSTR|458VULN|6RCVC|7ZMB|9RCR
153	25412 23422	   	158.87	DCR|3VULN|2DMG|1ZMB	1RPLT|234VULN|57LSRREG|6ZMB|8aDMG|9RCR
154	15312 54333	   	158.78	DCR|2VULN|1AART|1DMG|1CDMG	1LHND|29VULN|3ERES|4DMSP|5RPLT|6RCR|7CDMG|8DMG|aAART
155	22536 21138	 * 	158.73	ACR|2VULN|1AART|1DMG|2DUR|1SELL	1RPLT|2aDUST|3RCR|4DMG|5SELL|6MBVNT|7aDUR|8AART|9aVULN|aBPWR
156	25413 53212	 * 	158.66	DCR|3VULN|1DMG|1CDMG|2DUR	1RPLT|234VULN|5CDMG|6DUST|79DUR|8RCR|aDMG
157	23422 36252	 * 	158.62	DCR|3VULN|3CDMG|1AART	1RPLT|27CGEN|3BEXP|479CDMG|567VULN|7BPWR|8AART|aRCR
158	24335 13533	   	158.61	DCR|2VULN|2AART|1DMG|1ASPD	1RPLT|2DMG|3CANSTR|45VULN|6aAART|7TLV|8ASPD|9RCR
159	21242 34335	 * 	158.60	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	1RPLT|2LHND|34CDMG|5ZMB|6RCR|7FEWX|8DMG|9VULN|aAART
160	22533 15142	   	158.58	ACR|3DMG|1VULN|1FLTHEA|1ASPD	1RPLT|2DUST|3RCR|467DMG|5VULN|8LWND|9ASPD|aFLTHEA
161	22531 31162	   	158.58	ACR|3DMG|1VULN|1FLTHEA|1ASPD	1RPLT|2DUST|3RCR|489DMG|5ASPD|6VULN|7FEWX|aFLTHEA
162	22531 34162	   	158.58	ACR|3DMG|1VULN|1FLTHEA|1ASPD	1RPLT|2DUST|3RCR|489DMG|5ASPD|6VULN|7LWND|aFLTHEA
163	22533 11331	   	158.58	ACR|3DMG|1VULN|1CDMG|1DUR	1RPLT|2DUST|3RCR|46aDMG|5VULN|7LIT|8CDMG|9DUR
164	22533 13622	   	158.58	ACR|3DMG|1VULN|1CDMG|1DUR	1RPLT|2DUST|3RCR|46aDMG|5VULN|7LHND|8CDMG|9DUR
165	22533 21322	   	158.58	ACR|3DMG|1VULN|1CDMG|1DUR	1RPLT|2DUST|3RCR|48aDMG|5VULN|6LHND|7CDMG|9DUR
166	22533 41162	   	158.58	ACR|3DMG|1VULN|1FLTHEA|1ASPD	1RPLT|2DUST|3RCR|489DMG|5VULN|6ASPD|7FEWX|aFLTHEA
167	21265 25213	   	158.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RPLT|2LHND|3CDMG|47DMG|5VULN|6MBVNT|8DUR|9RCR|aAART
168	21265 27213	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|2LHND|3CDMG|4DMG|57VULN|6MBVNT|8DUR|9RCR|aAART
169	24125 25213	   	158.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RPLT|27DMG|3LWND|4CDMG|5VULN|6MBVNT|8DUR|9RCR|aAART
170	24125 27213	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|2DMG|3LWND|4CDMG|57VULN|6MBVNT|8DUR|9RCR|aAART
