0	Index      	 *	Score 	Summary	Detail	
1	35284 16233	 * 	179.56	DCR|3VULN|1AART|1DMG|2ASPD|2DUR	17DUR|2MBVNT|357VULN|47ASPD|6AART|7BPWR|8FEWX|9DMG|aRCR
14	35362 22482	 * 	170.85	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2MBVNT|3CGEN|4AART|5LWND|68VULN|7RCR|9aDMG
15	23662 12213	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2CDMG|39VULN|4RCR|5AART|6RPLT|7RCVC|8DMG|aZMB
16	23662 12312	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2CDMG|39VULN|4RCR|5AART|6RPLT|7RCVC|8ZMB|aDMG
17	23662 26213	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2CDMG|39VULN|4RCR|5AART|6RCVC|7RPLT|8DMG|aZMB
18	23662 26312	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2CDMG|39VULN|4RCR|5AART|6RCVC|7RPLT|8ZMB|aDMG
19	23662 14213	   	170.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17TLV|2CDMG|39VULN|4RCR|5AART|6RPLT|8DMG|aZMB
20	23662 14312	   	170.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17TLV|2CDMG|39VULN|4RCR|5AART|6RPLT|8ZMB|aDMG
21	35284 16143	   	170.50	DCR|3VULN|1AART|2ASPD|2DUR|1ZMB	17DUR|2MBVNT|357VULN|47ASPD|6AART|7BPWR|8ZMB|9FEWX|aRCR
22	61131 46132	   	170.45	DCR|2VULN|2DMG|1AART|1DUR	1aBEXP|2BELT|3ERES|4aDMG|5FEWX|6RCR|7DUR|8aVULN|9AART|aBPWR
23	21236 41132	   	170.35	DCR|2VULN|2DMG|1AART|1DUR	1aTLV|2LHND|3BELT|4aDMG|5DUR|6RCR|7BEXP|8aVULN|9AART|aBPWR
24	26236 41132	   	170.35	DCR|2VULN|2DMG|1AART|1DUR	1aTLV|2LWND|3BELT|4aDMG|5DUR|6RCR|7BEXP|8aVULN|9AART|aBPWR
25	53214 14332	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1aLWND|2AART|3ERES|4aVULN|5RCR|6FEWX|7BELT|8DUR|9aDMG|aBPWR
26	21236 46132	   	170.25	DCR|2VULN|2DMG|1AART|1DUR	1aTLV|2LHND|3BELT|4aDMG|5DUR|6RCR|7DUST|8aVULN|9AART|aBPWR
27	31356 36223	 * 	169.66	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	19DUR|2FEWX|3CGEN|4AART|5VULN|68DMG|7RCR|aZMB
28	31356 36232	 * 	169.02	DCR|3DMG|1AART|1VULN|1DUR	1DUR|2FEWX|3CGEN|4AART|5VULN|68aDMG|7RCR|9LWND
29	35133 58413	 * 	168.96	DCR|3VULN|3CDMG|1AART|1DUR	1DUR|2MBVNT|346CDMG|569VULN|6BPWR|7RPLT|8RCR|aAART
30	35214 24165	 * 	168.81	DCR|4VULN|1AART|1FLTHEA|1DUR	1DUR|2MBVNT|3789VULN|4FEWX|5AART|6FLTHEA|aRCR
31	35224 24165	   	168.81	DCR|4VULN|1AART|1FLTHEA|1DUR	1DUR|2MBVNT|3789VULN|4BEXP|5AART|6FLTHEA|aRCR
32	35444 24165	   	168.81	DCR|4VULN|1AART|1FLTHEA|1DUR	1DUR|2MBVNT|3BEXP|4789VULN|5AART|6FLTHEA|aRCR
33	53414 32113	 * 	168.62	ACR|2AART|2VULN|1CDMG|1ZMB|1ASPD	1LWND|29AART|37VULN|4CGEN|5RCR|6ASPD|8CDMG|aZMB
34	53214 32113	   	168.52	ACR|2AART|2VULN|1CDMG|1ZMB|1ASPD	1LWND|29AART|3ERES|47VULN|5RCR|6ASPD|8CDMG|aZMB
35	53424 32113	   	168.52	ACR|2AART|2VULN|1CDMG|1ZMB|1ASPD	1LWND|29AART|37VULN|4TLV|5RCR|6ASPD|8CDMG|aZMB
36	21436 32262	   	168.45	DCR|2VULN|2DMG|1AART|1DUR	1TLV|2LHND|3FEWX|4AART|5DUR|6aDMG|79VULN|8RCR
37	23443 42322	 * 	168.28	DCR|4VULN|3CDMG|1DMG	18TLV|268CDMG|3LHND|4DMG|5678VULN|68BPWR|9RCVC|aRCR
38	53214 21136	   	168.14	ACR|3VULN|1AART|1DMG|1ASPD	1LWND|2AART|3ERES|467VULN|5RCR|8RPLT|9DMG|aASPD
39	53214 24223	   	168.14	ACR|3VULN|1AART|1DMG|1ASPD	1LWND|2AART|3ERES|46aVULN|5RCR|7LIT|8ASPD|9DMG
40	61241 53242	   	168.05	DCR|2VULN|2DMG|1AART|1DUR	1aBEXP|2BELT|3aDMG|4DUR|5AART|6MLV|7MBVNT|8RCR|9aVULN|aBPWR
41	61241 43242	   	167.95	DCR|2VULN|2DMG|1AART|1DUR	1aBEXP|2BELT|3aDMG|4DUR|5AART|6ERES|7MBVNT|8RCR|9aVULN|aBPWR
42	35244 16233	   	167.74	DCR|3VULN|1AART|2ZMB|2DUR|1ASPD	17DUR|2MBVNT|357VULN|47ZMB|6AART|7BPWR|8FEWX|9ASPD|aRCR
43	23662 51122	 * 	166.83	ACR|3VULN|2AART|1CDMG	1TLV|2CDMG|36aVULN|4RCR|59AART|7MLV|8CGEN
44	23662 11212	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2CDMG|3aVULN|4RCR|5AART|6RPLT|7DUR|8DMG|9LWND
45	23662 11222	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2CDMG|3aVULN|4RCR|5AART|6RPLT|7DUR|8DMG|9LHND
46	23662 11232	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2CDMG|3aVULN|4RCR|5AART|6RPLT|7DUR|8DMG|9BEXP
47	23662 11242	   	166.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1TLV|2CDMG|3VULN|4RCR|5AART|6RPLT|7DUR|8aDMG|9CGEN
48	23662 11252	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2CDMG|3aVULN|4RCR|5AART|6RPLT|7DUR|8DMG|9FEWX
49	23662 33212	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2CDMG|3aVULN|4RCR|5AART|6DUR|7RPLT|8DMG|9LWND
50	23662 33222	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2CDMG|3aVULN|4RCR|5AART|6DUR|7RPLT|8DMG|9LHND
51	23662 33232	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2CDMG|3aVULN|4RCR|5AART|6DUR|7RPLT|8DMG|9BEXP
52	23662 33242	   	166.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1TLV|2CDMG|3VULN|4RCR|5AART|6DUR|7RPLT|8aDMG|9CGEN
53	23662 33252	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2CDMG|3aVULN|4RCR|5AART|6DUR|7RPLT|8DMG|9FEWX
54	21543 42312	 * 	166.46	DCR|4VULN|2DMG|1DUR|1SELL	168TLV|2LHND|3SELL|48DMG|5678VULN|68BPWR|9DUR|aRCR
55	22443 42312	 * 	166.46	DCR|4VULN|2DMG|1DUR|1SELL	168TLV|2SELL|3LHND|48DMG|5678VULN|68BPWR|9DUR|aRCR
56	23662 51323	   	166.39	ACR|3VULN|1AART|1CDMG|1ZMB	1TLV|2CDMG|369VULN|4RCR|5AART|7MLV|8BEXP|aZMB
57	23662 12314	   	166.39	ACR|3VULN|1AART|1CDMG|1ZMB	1TLV|2CDMG|39aVULN|4RCR|5AART|6RPLT|7RCVC|8ZMB
58	35214 43372	   	165.92	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|37aVULN|4FEWX|5AART|6RPLT|8RCR|9DMG
59	35214 43381	   	165.92	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|379VULN|4FEWX|5AART|6RPLT|8RCR|aDMG
60	35224 43372	   	165.92	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|37aVULN|4BEXP|5AART|6RPLT|8RCR|9DMG
61	35224 43381	   	165.92	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|379VULN|4BEXP|5AART|6RPLT|8RCR|aDMG
62	35444 43372	   	165.92	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|3BEXP|47aVULN|5AART|6RPLT|8RCR|9DMG
63	35444 43381	   	165.92	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|3BEXP|479VULN|5AART|6RPLT|8RCR|aDMG
64	35214 24716	   	165.71	DCR|3VULN|1AART|1FLTHEA|1ZMB|1DUR	1DUR|2MBVNT|379VULN|4FEWX|5AART|6FLTHEA|8ZMB|aRCR
65	23162 53423	 * 	163.99	ACR|2VULN|1AART|2CDMG|1ZMB|1ASPD	1TLV|27CDMG|3LWND|4RCR|5AART|69VULN|8ASPD|aZMB
66	35282 16233	   	163.91	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	17DUR|2MBVNT|37VULN|47ASPD|5RCVC|6AART|7BPWR|8FEWX|9DMG|aRCR
67	23662 34123	   	163.89	ACR|2VULN|1AART|2CDMG|1ZMB|1DUR	1TLV|28CDMG|39VULN|4RCR|5AART|6DUR|7ERES|aZMB
68	53214 33323	 * 	163.68	ACR|2VULN|1AART|1CDMG|2ASPD|1ZMB	1LWND|2AART|3ERES|49VULN|5RCR|68ASPD|7CDMG|aZMB
69	53316 32262	 * 	163.61	DCR|2AART|2DMG|1VULN|1DUR	1LWND|29AART|3FEWX|4CGEN|5DUR|6aDMG|7VULN|8RCR
70	53114 22622	   	163.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2AART|3BEXP|4CGEN|5RCR|68VULN|7ZMB|9DUR|aDMG
71	53326 32262	   	163.51	DCR|2AART|2DMG|1VULN|1DUR	1LWND|29AART|3FEWX|4TLV|5DUR|6aDMG|7VULN|8RCR
72	53214 12622	   	163.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2AART|3ERES|48VULN|5RCR|6FEWX|7ZMB|9DUR|aDMG
73	53124 22622	   	163.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2AART|3BEXP|4TLV|5RCR|68VULN|7ZMB|9DUR|aDMG
74	53224 22622	   	163.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2AART|3ERES|4BEXP|5RCR|68VULN|7ZMB|9DUR|aDMG
75	53652 11111	 * 	163.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2AART|3DUR|4VULN|5aDMG|6FEWX|7CDMG|8CGEN|9RCR
76	53316 32311	   	163.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2AART|3FEWX|4CGEN|5DUR|6aDMG|7VULN|8CDMG|9RCR
77	21231 41132	   	163.41	DCR|2VULN|2DMG|1AART	1aTLV|2LHND|3BELT|4aDMG|5FEWX|6RCR|7BEXP|8aVULN|9AART|aBPWR
78	26231 41132	   	163.41	DCR|2VULN|2DMG|1AART	1aTLV|2LWND|3BELT|4aDMG|5FEWX|6RCR|7BEXP|8aVULN|9AART|aBPWR
79	23662 35112	 * 	163.41	ACR|2AART|2VULN|1CDMG|2DUR	1TLV|2CDMG|3aVULN|4RCR|57AART|68DUR|9RCVC
80	23662 35122	   	163.41	ACR|2VULN|2AART|1CDMG|2DUR	1TLV|2CDMG|3aVULN|4RCR|57AART|68DUR|9DMSP
81	53214 14232	   	163.33	ACR|2VULN|2DMG|1AART	1aLWND|2AART|3ERES|4aVULN|5RCR|6FEWX|7BELT|8BEXP|9aDMG|aBPWR
82	53326 32311	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2AART|3FEWX|4TLV|5DUR|6aDMG|7VULN|8CDMG|9RCR
83	53451 31311	 * 	163.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2AART|34VULN|5DUST|6FEWX|7DUR|8CDMG|9RCR|aDMG
84	21231 46132	   	163.31	DCR|2VULN|2DMG|1AART	1aTLV|2LHND|3BELT|4aDMG|5FEWX|6RCR|7DUST|8aVULN|9AART|aBPWR
85	26231 46132	   	163.31	DCR|2VULN|2DMG|1AART	1aTLV|2LWND|3BELT|4aDMG|5FEWX|6RCR|7DUST|8aVULN|9AART|aBPWR
86	35246 22422	   	163.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4ZMB|5LWND|6AART|7RCR|9CGEN|aDMG
87	35246 22442	   	163.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4ZMB|5LWND|6AART|7RCR|9MLV|aDMG
88	35246 22462	   	163.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4ZMB|5LWND|6AART|7RCR|9FEWX|aDMG
89	35246 22472	   	163.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MBVNT|38VULN|4ZMB|5LWND|6AART|7RCR|9LHND|aDMG
90	53423 31633	   	162.97	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LWND|2AART|37VULN|4TLV|5ERES|6ASPD|8RCR|9DMG|aZMB
91	55211 22482	   	162.71	DCR|2VULN|2DMG|1AART	1LWND|2MBVNT|38VULN|4FEWX|5CGEN|6AART|7RCR|9aDMG
92	55221 22482	   	162.71	DCR|2VULN|2DMG|1AART	1LWND|2MBVNT|38VULN|4BEXP|5CGEN|6AART|7RCR|9aDMG
93	55231 22482	   	162.71	DCR|2VULN|2DMG|1AART	1LWND|2MBVNT|38VULN|4LHND|5CGEN|6AART|7RCR|9aDMG
94	55314 22482	   	162.71	DCR|2VULN|2DMG|1AART	1LWND|2MBVNT|3CGEN|4LHND|58VULN|6AART|7RCR|9aDMG
95	55441 22482	   	162.71	DCR|2VULN|2DMG|1AART	1LWND|2MBVNT|3BEXP|48VULN|5CGEN|6AART|7RCR|9aDMG
96	35143 55444	   	162.42	DCR|4VULN|2CDMG|1ZMB|1DUR	1DUR|2MBVNT|36CDMG|456aVULN|6BPWR|7ZMB|8FEWX|9RCR
97	31352 32262	   	162.41	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2FEWX|3CGEN|49AART|5LWND|6aDMG|7VULN|8RCR
98	31352 32266	 * 	162.41	DCR|2AART|2VULN|1DMG|1DUR	1DUR|2FEWX|3CGEN|49AART|5LWND|6DMG|7aVULN|8RCR
99	62334 22622	   	162.39	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2LHND|3CGEN|4AART|5RCR|68VULN|7ZMB|9DUR|aDMG
100	23662 52232	   	162.32	ACR|3VULN|1AART|1CDMG|1ASPD	1TLV|2CDMG|36aVULN|4RCR|5AART|7RCVC|8CGEN|9ASPD
101	23662 52121	   	162.32	ACR|3VULN|1AART|1CDMG|1ASPD	1TLV|2CDMG|368VULN|4RCR|5AART|7RCVC|9ASPD|aLWND
102	23662 52123	   	162.32	ACR|3VULN|1AART|1CDMG|1ASPD	1TLV|2CDMG|368VULN|4RCR|5AART|7aRCVC|9ASPD
103	31355 32262	   	162.31	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2FEWX|3CGEN|49AART|5LEGI|6aDMG|7VULN|8RCR
104	53214 21613	 * 	162.28	ACR|4VULN|1AART|1ASPD	189LWND|2AART|38ERES|4678VULN|5RCR|8BPWR|aASPD
105	23662 52111	   	162.22	ACR|3VULN|1AART|1CDMG|1ASPD	1TLV|2CDMG|368VULN|4RCR|5AART|7RCVC|9LSRHEA|aASPD
106	31352 32311	   	162.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2FEWX|3CGEN|4AART|5LWND|6aDMG|7VULN|8CDMG|9RCR
107	31356 33611	   	162.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2FEWX|3CGEN|4AART|5VULN|6aDMG|7CDMG|8LHND|9RCR
108	23662 51313	   	162.18	ACR|2AART|2VULN|1CDMG|1ZMB	1TLV|2CDMG|36VULN|4RCR|59AART|7MLV|8BEXP|aZMB
109	21436 32311	   	162.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1TLV|2LHND|3FEWX|4AART|5DUR|6aDMG|7VULN|8CDMG|9RCR
110	31355 32311	   	162.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2FEWX|3CGEN|4AART|5LEGI|6aDMG|7VULN|8CDMG|9RCR
111	31356 33311	   	162.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2FEWX|3CGEN|4AART|5VULN|6aDMG|7CDMG|8DUST|9RCR
112	35246 22433	 * 	161.95	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1aDUR|2MBVNT|38VULN|4ZMB|5LWND|6AART|7RCR|9CDMG
113	53414 32122	   	161.82	ACR|3VULN|1AART|1CDMG|1ASPD	1LWND|2AART|379VULN|4CGEN|5RCR|6ASPD|8CDMG|aLHND
114	53214 32122	   	161.72	ACR|3VULN|1AART|1CDMG|1ASPD	1LWND|2AART|3ERES|479VULN|5RCR|6ASPD|8CDMG|aLHND
115	53214 32124	   	161.72	ACR|3VULN|1AART|1CDMG|1ASPD	1aLWND|2AART|3ERES|479VULN|5RCR|6ASPD|8CDMG
116	53214 32125	   	161.72	ACR|3VULN|1AART|1CDMG|1ASPD	1LWND|2AART|3ERES|479VULN|5RCR|6ASPD|8CDMG|aCGEN
117	53214 32126	   	161.72	ACR|3VULN|1AART|1CDMG|1ASPD	1LWND|2AART|3ERES|479VULN|5RCR|6ASPD|8CDMG|aBEXP
118	53414 32121	   	161.72	ACR|3VULN|1AART|1CDMG|1ASPD	1LWND|2AART|379VULN|4CGEN|5RCR|6ASPD|8CDMG|aCANSTR
119	53424 32122	   	161.72	ACR|3VULN|1AART|1CDMG|1ASPD	1LWND|2AART|379VULN|4TLV|5RCR|6ASPD|8CDMG|aLHND
120	53214 32121	   	161.62	ACR|3VULN|1AART|1CDMG|1ASPD	1LWND|2AART|3ERES|479VULN|5RCR|6ASPD|8CDMG|aCANSTR
121	53424 32121	   	161.62	ACR|3VULN|1AART|1CDMG|1ASPD	1LWND|2AART|379VULN|4TLV|5RCR|6ASPD|8CDMG|aCANSTR
122	22662 51212	   	161.55	ACR|3VULN|1AART|1DMG|1SELL	1TLV|2SELL|36aVULN|4RCR|5AART|7MLV|8DMG|9RCVC
123	22662 51222	   	161.55	ACR|3VULN|1AART|1DMG|1SELL	1TLV|2SELL|36aVULN|4RCR|5AART|7MLV|8DMG|9DMSP
124	35214 21378	 * 	161.41	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1DUR|2MBVNT|3aVULN|4FEWX|5AART|6FLTHEA|7TLV|8DMG|9RCR
125	35224 21378	 * 	161.41	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1DUR|2MBVNT|3VULN|4BEXP|5AART|6FLTHEA|7TLV|8aDMG|9RCR
126	35444 21378	   	161.41	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1DUR|2MBVNT|3BEXP|4VULN|5AART|6FLTHEA|7TLV|8aDMG|9RCR
127	53214 25131	   	161.30	ACR|3VULN|1AART|1DMG	17LWND|2AART|37ERES|467VULN|5RCR|7BPWR|8aRPLT|9DMG
128	53214 25133	   	161.30	ACR|3VULN|1AART|1DMG	17LWND|2AART|37ERES|467VULN|5RCR|7BPWR|8RPLT|9DMG|aCGEN
129	53414 21232	   	161.30	ACR|3VULN|1AART|1DMG	19LWND|2AART|367VULN|4CGEN|5RCR|8FEWX|aDMG
130	53214 21131	   	161.20	ACR|3VULN|1AART|1DMG	1LWND|2AART|3ERES|467VULN|5RCR|8aRPLT|9DMG
131	53214 21133	   	161.20	ACR|3VULN|1AART|1DMG	1LWND|2AART|3ERES|467VULN|5RCR|8RPLT|9DMG|aCGEN
132	53214 21134	   	161.20	ACR|3VULN|1AART|1DMG	1aLWND|2AART|3ERES|467VULN|5RCR|8RPLT|9DMG
133	53214 21232	   	161.20	ACR|3VULN|1AART|1DMG	19LWND|2AART|3ERES|467VULN|5RCR|8FEWX|aDMG
134	53214 25123	   	161.20	ACR|3VULN|1AART|1DMG	17LWND|2AART|379ERES|467VULN|5RCR|7BPWR|8RPLT|aDMG
135	53214 21424	   	161.10	ACR|3VULN|1AART|1DMG	1LWND|2AART|3ERES|467VULN|5RCR|8CGEN|9MBVNT|aDMG
136	35248 16131	   	161.08	DCR|2VULN|3ZMB|1AART|2DUR	17DUR|2MBVNT|37VULN|457ZMB|6AART|7BPWR|8LWND|9RCR|aBELT
137	35248 16231	   	161.08	DCR|2VULN|3ZMB|1AART|2DUR	17DUR|2MBVNT|37VULN|457ZMB|6AART|7BPWR|8LHND|9RCR|aBELT
138	61221 53242	   	161.01	DCR|2VULN|2DMG|1AART	1aBEXP|2BELT|3aDMG|4DUST|5AART|6MLV|7MBVNT|8RCR|9aVULN|aBPWR
139	61131 65132	   	161.01	DCR|2VULN|2DMG|1AART	1aBEXP|2BELT|3ERES|4aDMG|5FEWX|6DUST|7RCR|8aVULN|9AART|aBPWR
140	53214 21524	   	161.00	ACR|3VULN|1AART|1DMG	1LWND|2AART|3ERES|467VULN|5RCR|8TLV|9MBVNT|aDMG
141	35248 16133	   	160.98	DCR|2VULN|3ZMB|1AART|2DUR	17DUR|2MBVNT|37VULN|457ZMB|6AART|7BPWR|8LWND|9RCR|aERES
142	35248 16134	   	160.98	DCR|2VULN|3ZMB|1AART|2DUR	17DUR|2MBVNT|37VULN|457ZMB|6AART|7BPWR|8LWND|9RCR|aDUST
143	35248 16233	   	160.98	DCR|2VULN|3ZMB|1AART|2DUR	17DUR|2MBVNT|37VULN|457ZMB|6AART|7BPWR|8LHND|9RCR|aERES
144	35248 16234	   	160.98	DCR|2VULN|3ZMB|1AART|2DUR	17DUR|2MBVNT|37VULN|457ZMB|6AART|7BPWR|8LHND|9RCR|aDUST
145	35244 22762	 * 	160.92	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1DUR|2MBVNT|35VULN|46ZMB|7RCVC|8AART|9RCR|aDMG
146	35244 16273	   	160.80	DCR|3VULN|1AART|2ZMB|2DUR	17DUR|2MBVNT|357VULN|47ZMB|6AART|7BPWR|8FEWX|9MLV|aRCR
147	35244 16443	   	160.80	DCR|3VULN|1AART|2ZMB|2DUR	17DUR|2MBVNT|357VULN|47ZMB|6AART|7BPWR|8MLV|9FEWX|aRCR
148	35244 16453	   	160.80	DCR|3VULN|1AART|2ZMB|2DUR	17DUR|2MBVNT|357VULN|47ZMB|6AART|7BPWR|8MLV|9BEXP|aRCR
149	35244 16543	   	160.80	DCR|3VULN|1AART|2ZMB|2DUR	17DUR|2MBVNT|357VULN|47ZMB|6AART|7BPWR|8CGEN|9FEWX|aRCR
150	35428 53114	 * 	160.79	DCR|2VULN|2DMG|1FLTHEA|2DUR	1aDUR|2MBVNT|34BEXP|5aDMG|6FLTHEA|7LIT|8RCR|9aVULN|aBPWR
151	31254 22262	   	160.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2FEWX|39VULN|4LHND|5TLV|6AART|7ZMB|8RCR|aDMG
152	23662 35332	 * 	160.59	ACR|2AART|1VULN|1DMG|1CDMG|1DUR	1TLV|2CDMG|3VULN|4RCR|57AART|6DUR|8RPLT|9LWND|aDMG
153	31356 36213	   	160.30	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1DUR|2FEWX|3CGEN|4AART|5VULN|68DMG|7RCR|9LIT|aASPD
154	31356 26212	   	160.30	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1DUR|2FEWX|3CGEN|4AART|5VULN|6ASPD|7RCR|8aDMG|9LWND
155	31356 26222	   	160.30	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1DUR|2FEWX|3CGEN|4AART|5VULN|6ASPD|7RCR|8aDMG|9LHND
156	23365 33631	 * 	160.18	ACR|3DMG|1AART|1CDMG|1ASPD|1SELL	1TLV|2CDMG|3DUST|4RCR|5SELL|67aDMG|8AART|9ASPD
157	23662 21253	   	160.15	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1TLV|2CDMG|3VULN|4RCR|5AART|6RCVC|7MLV|8DMG|9ASPD|aZMB
158	35142 76223	 * 	159.99	DCR|2VULN|2AART|1CDMG|2DUR	17DUR|2MBVNT|3CDMG|4aVULN|5BELT|69AART|8RCR
159	35214 43382	   	159.96	DCR|4VULN|1AART|1DUR	1DUR|2MBVNT|379aVULN|4FEWX|5AART|6RPLT|8RCR
160	35224 43382	   	159.96	DCR|4VULN|1AART|1DUR	1DUR|2MBVNT|379aVULN|4BEXP|5AART|6RPLT|8RCR
161	35444 43382	   	159.96	DCR|4VULN|1AART|1DUR	1DUR|2MBVNT|3BEXP|479aVULN|5AART|6RPLT|8RCR
162	22162 53236	   	159.90	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1TLV|2SELL|3LWND|4RCR|5AART|6VULN|7CDMG|8DMG|9ASPD|aZMB
163	35133 58411	   	159.86	DCR|4VULN|3CDMG|1DUR	1DUR|2MBVNT|346CDMG|569aVULN|6BPWR|7RPLT|8RCR
