0	Index      	 *	Score 	Summary	Detail	
1	36124 15211	 * 	192.80	DCR|2AART|2VULN|2DMG|1ZMB|1ASPD	1ASPD|2aDMG|34VULN|58AART|6LHND|7RCR|9ZMB
66	36122 26512	   	174.02	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2DMG|347VULN|5LWND|6ZMB|8RCR|9BEXP|aAART
67	36122 26522	   	174.02	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2DMG|347VULN|5LWND|6ZMB|8RCR|9FEWX|aAART
68	25432 23243	   	173.93	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2LIT|3AART|49aVULN|5FEWX|6DMG|7CDMG|8RCR
69	15152 52231	   	173.35	DCR|2VULN|2DMG|1AART|1DUR	15BEXP|2DMSP|39VULN|4AART|6RCR|7aDMG|8DUR
70	25242 23243	   	173.33	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2LIT|39aVULN|4AART|5FEWX|6DMG|7CDMG|8RCR
71	45242 33233	   	173.10	ACR|3AART|2DMG|1VULN|1ASPD	1LWND|268AART|3RCR|4VULN|59DMG|7ASPD|aMLV
72	22646 12113	 * 	173.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1RCVC|2ASPD|3CDMG|4MLV|5RCR|6DMG|7aVULN|8ZMB|9AART
73	34124 21533	   	172.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2CGEN|349VULN|5AART|6DMG|7BEXP|8RCR|aDUR
74	36124 13533	   	172.86	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2DMG|349VULN|5AART|6LHND|7TLV|8RCR|aDUR
75	12422 24531	   	172.52	DCR|2VULN|2DMG|1AART|1ZMB	13BEXP|2TLV|4AART|59VULN|6aDMG|7ZMB|8RCR
76	12426 32531	   	172.52	DCR|2VULN|2DMG|1AART|1ZMB	13BEXP|2TLV|4AART|5ZMB|69VULN|7aDMG|8RCR
77	36122 53511	   	172.36	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2DMG|346VULN|5LWND|7RCR|8DUR|9FEWX|aAART
78	12613 41221	   	172.27	DCR|4VULN|1DMG|1CDMG|1DUR	1BEXP|2TLV|3CDMG|4DMG|5DUR|6RCR|789aVULN
79	45213 24313	   	172.24	ACR|2DMG|1AART|1VULN|2ZMB|1DUR	18LWND|2AART|3RCR|45TLV|68DMG|78ZMB|8BPWR|9VULN|aDUR
80	36152 15213	   	171.78	DCR|2AART|1VULN|1DMG|2ASPD|1ZMB|1DUR	16ASPD|2DMG|3VULN|48AART|5BEXP|7RCR|9ZMB|aDUR
81	43421 22243	 * 	171.74	DCR|4VULN|1AART|1DMG|1SELL	1LWND|2SELL|349aVULN|5DMG|6LIT|7AART|8RCR
82	15153 52333	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1BEXP|2DMSP|359VULN|4AART|6RCR|7DMG|8LWND|aDUR
83	36152 15221	   	171.32	DCR|2AART|2DMG|1VULN|2ASPD	16ASPD|2aDMG|3VULN|48AART|5BEXP|7RCR|9ERES
84	36121 22361	   	171.06	DCR|3VULN|2DMG|1AART|1ZMB|1ASPD|1MSE	1ASPD|2aDMG|348VULN|5MSE|6ZMB|7RCR|9AART
85	36121 22461	   	171.06	DCR|3DMG|2VULN|1AART|1ZMB|1ASPD|1MSE	1ASPD|28aDMG|34VULN|5MSE|6ZMB|7RCR|9AART
86	36124 15223	   	171.05	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	1ASPD|2DMG|34VULN|58AART|6LHND|7RCR|9ERES|aDUR
87	36124 35223	   	171.05	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	1ASPD|2DMG|34VULN|58AART|6BEXP|7RCR|9ERES|aDUR
88	45221 42133	   	170.93	ACR|2VULN|1AART|1DMG|2ASPD|1DUR	1LWND|2AART|3RCR|47ASPD|5CGEN|69VULN|8DMG|aDUR
89	23241 62151	 * 	170.87	DCR|4VULN|2DMG|1ZMB	15RCVC|2LSRICY|36DMG|4689VULN|6BPWR|7ZMB|aRCR
90	33422 35131	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|23BEXP|4AART|5NUKE|69VULN|7RCR|8aDMG
91	33423 25131	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|23BEXP|4AART|59VULN|6NUKE|7RCR|8aDMG
92	36153 15131	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2aDMG|39VULN|4AART|5RCVC|6LHND|7RCR|8NUKE
93	36153 15331	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2aDMG|39VULN|4AART|5RCVC|6LHND|7RCR|8TLV
94	36153 35131	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2aDMG|39VULN|4AART|5RCVC|6BEXP|7RCR|8NUKE
95	36153 35331	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2aDMG|39VULN|4AART|5RCVC|6BEXP|7RCR|8TLV
96	45213 23163	 * 	170.83	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2AART|3RCR|45TLV|68DMG|7DUR|9CDMG|aVULN
97	45223 42133	   	170.83	ACR|2VULN|1AART|1DMG|2ASPD|1DUR	1LWND|2AART|3RCR|47ASPD|5TLV|69VULN|8DMG|aDUR
98	15124 52333	   	170.82	DCR|3VULN|1AART|1DMG|1DUR	1BEXP|2DMSP|349VULN|5AART|6RCR|7DMG|8LWND|aDUR
99	36122 22432	   	170.71	DCR|3VULN|2DMG|1ZMB|1ASPD	1ASPD|28DMG|34aVULN|5LWND|6ZMB|7RCR|9ERES
100	52226 35312	   	170.58	ACR|2VULN|2DMG|2AART	167FEWX|2TLV|37DMG|47VULN|5RCR|7BPWR|8RCVC|9aAART
101	22222 41114	   	170.33	DCR|3DMG|1AART|1VULN|2ASPD	16RCVC|27ASPD|347DMG|5AART|7BPWR|8FEWX|9RCR|aVULN
102	22222 41514	   	170.33	DCR|3DMG|1AART|1VULN|2ASPD	16RCVC|27ASPD|347DMG|5AART|7BPWR|8BEXP|9RCR|aVULN
103	22222 41611	   	170.33	DCR|3DMG|1AART|1VULN|2ASPD	16RCVC|27ASPD|347DMG|5AART|7BPWR|8VULN|9RCR|aFEWX
104	22222 41612	   	170.33	DCR|3DMG|1AART|1VULN|2ASPD	16RCVC|27ASPD|347DMG|5AART|7BPWR|8VULN|9RCR|aLIT
105	22222 41615	   	170.33	DCR|3DMG|1AART|1VULN|2ASPD	16RCVC|27ASPD|347DMG|5AART|7BPWR|8VULN|9RCR|aBEXP
106	14621 26333	 * 	170.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2ERES|3CDMG|4TLV|5aDMG|6RCR|7VULN|8ZMB|9AART
107	22222 41613	   	170.23	DCR|3DMG|1AART|1VULN|2ASPD	16RCVC|27ASPD|347DMG|5AART|7BPWR|8VULN|9RCR|aERES
108	22222 41614	   	170.23	DCR|3DMG|1AART|1VULN|2ASPD	16RCVC|27ASPD|347DMG|5AART|7BPWR|8VULN|9RCR|aTLV
109	22245 51131	   	169.83	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	1RCVC|27ASPD|3DMG|4RCR|57DUR|67VULN|7BPWR|8LIT|9AART|aMLV
110	22245 51132	   	169.83	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	1RCVC|27ASPD|3DMG|4RCR|57DUR|67VULN|7BPWR|8LIT|9AART|aLWND
111	25432 23213	 * 	169.72	DCR|2AART|2VULN|1DMG|1CDMG	1RCVC|2LIT|39AART|4aVULN|5FEWX|6DMG|7CDMG|8RCR
112	25431 36213	   	169.62	DCR|2AART|2VULN|1DMG|1CDMG	1RCVC|2LIT|39AART|4aVULN|5CDMG|6DUST|7DMG|8RCR
113	25436 23213	   	169.62	DCR|2AART|2VULN|1DMG|1CDMG	1RCVC|2LIT|39AART|4aVULN|5DUST|6DMG|7CDMG|8RCR
114	22245 51212	   	169.23	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	1RCVC|27ASPD|3DMG|4RCR|57DUR|67VULN|7BPWR|8CGEN|9BEXP|aAART
115	22245 51222	   	169.23	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	1RCVC|27ASPD|3DMG|4RCR|57DUR|67VULN|7BPWR|8CGEN|9FEWX|aAART
116	36122 53622	   	169.15	DCR|5VULN|1DMG|1ASPD	1ASPD|2DMG|3469aVULN|5LWND|7RCR|8LHND
117	22245 51312	   	169.13	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	1RCVC|27ASPD|3DMG|4RCR|57DUR|67VULN|7BPWR|8ERES|9BEXP|aAART
118	22245 51322	   	169.13	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	1RCVC|27ASPD|3DMG|4RCR|57DUR|67VULN|7BPWR|8ERES|9FEWX|aAART
119	25242 23213	   	169.12	DCR|2AART|2VULN|1DMG|1CDMG	1RCVC|2LIT|3aVULN|49AART|5FEWX|6DMG|7CDMG|8RCR
120	25241 36213	   	169.02	DCR|2AART|2VULN|1DMG|1CDMG	1RCVC|2LIT|3aVULN|49AART|5CDMG|6DUST|7DMG|8RCR
121	25246 23213	   	169.02	DCR|2AART|2VULN|1DMG|1CDMG	1RCVC|2LIT|3aVULN|49AART|5DUST|6DMG|7CDMG|8RCR
122	45252 33323	   	168.83	ACR|2AART|2VULN|1DMG|1ASPD	1LWND|26AART|3RCR|4LHND|5DMG|7ASPD|8aVULN|9RPLT
123	45332 52211	   	168.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3BEXP|4RCR|5DMG|6CDMG|7aVULN|8CGEN|9ASPD
124	45334 13211	   	168.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3BEXP|4RCR|5CDMG|6aVULN|7DMG|8CGEN|9ASPD
125	45132 52211	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3DUST|4RCR|5DMG|6CDMG|7aVULN|8CGEN|9ASPD
126	45134 13211	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3DUST|4RCR|5CDMG|6aVULN|7DMG|8CGEN|9ASPD
127	45332 52311	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3BEXP|4RCR|5DMG|6CDMG|7aVULN|8ERES|9ASPD
128	45334 13311	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3BEXP|4RCR|5CDMG|6aVULN|7DMG|8ERES|9ASPD
129	36153 13531	   	168.45	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2aDMG|39VULN|4AART|5RCVC|6LHND|7TLV|8RCR
130	45132 52311	   	168.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3DUST|4RCR|5DMG|6CDMG|7aVULN|8ERES|9ASPD
131	45134 13311	   	168.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3DUST|4RCR|5CDMG|6aVULN|7DMG|8ERES|9ASPD
132	36322 41522	   	168.33	DCR|3DMG|2VULN|3ASPD	178ASPD|267DMG|3LWND|48VULN|578LHND|78BPWR|9RCR|aCGEN
133	22231 32363	   	168.31	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1RCVC|2ASPD|38DMG|4ZMB|5VULN|6BEXP|7RCR|9AART|aDUR
134	22231 12363	   	168.21	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1RCVC|2ASPD|3DMG|4ZMB|58VULN|6DUST|7RCR|9AART|aDUR
135	22231 12463	   	168.21	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1RCVC|2ASPD|38DMG|4ZMB|5VULN|6DUST|7RCR|9AART|aDUR
136	45263 31131	   	168.03	ACR|2VULN|2DMG|1AART	14LWND|2AART|3RCR|4BPWR|5RCVC|69VULN|7BEXP|8aDMG
137	36133 43351	   	167.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|39VULN|4ERES|5DUR|6CDMG|7LIT|8RCR|aAART
138	36122 12412	   	167.35	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|28DMG|34VULN|5LWND|6RMIN|7RCR|9BEXP|aAART
139	36122 12422	   	167.35	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|28DMG|34VULN|5LWND|6RMIN|7RCR|9FEWX|aAART
140	36136 32531	   	167.25	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2aDMG|39VULN|4ERES|57BEXP|6AART|8RCR
141	36125 12412	   	167.15	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|28DMG|34VULN|5ERES|6DUST|7RCR|9BEXP|aAART
142	36125 12422	   	167.15	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|28DMG|34VULN|5ERES|6DUST|7RCR|9FEWX|aAART
143	36125 32422	   	167.15	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|28DMG|34VULN|5ERES|6BEXP|7RCR|9DUST|aAART
144	36131 33513	   	167.15	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|27DMG|3aVULN|4ERES|5DUST|6AART|8RCR|9FEWX
145	36131 33535	   	167.15	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|27DMG|39VULN|4ERES|5DUST|6AART|8RCR|aFEWX
146	36131 33536	   	167.15	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|27DMG|39VULN|4ERES|5DUST|6AART|8RCR|aLWND
147	36131 33553	   	167.15	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|27DMG|3aVULN|4ERES|5DUST|6AART|8RCR|9BEXP
148	36133 12233	 * 	166.91	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	1ASPD|2DMG|39VULN|4ERES|56aDUR|7RCR|8AART
149	36152 15133	   	166.81	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	16ASPD|2DMG|39VULN|4AART|5BEXP|7RCR|8NUKE|aDUR
150	36152 15333	   	166.81	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	16ASPD|2DMG|39VULN|4AART|5BEXP|7RCR|8TLV|aDUR
151	24338 26142	 * 	166.81	DCR|2VULN|2DMG|1CDMG|1FLTHEA	1RCVC|27ERES|37VULN|4MBVNT|57DMG|6RCR|7BPWR|8LIT|9FLTHEA|aCDMG
152	36122 53132	   	166.74	DCR|3VULN|2DMG|1ASPD|1DUR	1ASPD|2aDMG|346VULN|5LWND|7RCR|8LIT|9DUR
153	15153 12533	   	166.62	DCR|3VULN|1AART|1DMG|1DUR	1BEXP|2DMSP|359VULN|4AART|6LHND|7DMG|8RCR|aDUR
154	15153 22533	   	166.62	DCR|3VULN|1AART|1DMG|1DUR	1BEXP|2DMSP|359VULN|4AART|6DMG|7LWND|8RCR|aDUR
155	33423 42531	   	166.62	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|23BEXP|4AART|569VULN|7LWND|8RCR|aDMG
156	36122 62413	 * 	166.61	DCR|3VULN|2DMG|2ASPD	1aASPD|28DMG|34aVULN|5LWND|6CGEN|7RCR|9aBEXP|aBPWR
157	36122 62423	   	166.61	DCR|3VULN|2DMG|2ASPD	1aASPD|28DMG|34aVULN|5LWND|6CGEN|7RCR|9aFEWX|aBPWR
158	15152 52331	   	166.41	DCR|2VULN|2DMG|1AART	15BEXP|2DMSP|39VULN|4AART|6RCR|7aDMG|8LWND
159	15153 53111	   	166.41	DCR|2VULN|2DMG|1AART	1BEXP|2DMSP|35VULN|4AART|6RCR|79FEWX|8aDMG
160	15253 53131	   	166.41	DCR|2VULN|2DMG|1AART	1BEXP|2DMSP|3LHND|4AART|59VULN|6RCR|7RCVC|8aDMG
161	15353 53131	   	166.41	DCR|2VULN|2DMG|1AART	1BEXP|2DMSP|3LWND|4AART|59VULN|6RCR|7RCVC|8aDMG
162	12613 41251	   	166.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aBEXP|2TLV|3CDMG|4DMG|5DUR|6RCR|78VULN|9AART
163	36123 15362	 * 	166.25	DCR|3VULN|2DMG|1CDMG|1ASPD	1ASPD|29DMG|348VULN|5RCVC|6LHND|7CDMG|aRCR
164	52254 21131	 * 	166.23	DCR|3DMG|2AART|1VULN	1FEWX|2TLV|356DMG|48AART|7LIT|9VULN|aRCR
165	12613 41252	   	166.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2TLV|3CDMG|4DMG|5DUR|6RCR|78VULN|9AART|aERES
166	12613 41253	   	166.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2aTLV|3CDMG|4DMG|5DUR|6RCR|78VULN|9AART
167	15124 12533	   	166.02	DCR|3VULN|1AART|1DMG|1DUR	1BEXP|2DMSP|349VULN|5AART|6LHND|7DMG|8RCR|aDUR
168	15124 22533	   	166.02	DCR|3VULN|1AART|1DMG|1DUR	1BEXP|2DMSP|349VULN|5AART|6DMG|7LWND|8RCR|aDUR
169	34124 13531	   	165.92	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2CGEN|349VULN|5AART|6LHND|7TLV|8RCR|aDMG
