0	Index      	 *	Score 	Summary	Detail	
1	44413 47141	 * 	216.09	DCR|4VULN|3DMG|2CDMG|1ZMB	138aVULN|2MBVNT|4ZMB|5aCDMG|6RCR|79aDMG|aBPWR
38	44141 18123	 * 	196.30	DCR|3VULN|1AART|1DMG|2CDMG|2ZMB	189VULN|2MBVNT|38CDMG|48ZMB|5AART|6LEGI|7RCR|8BPWR|aDMG
39	41523 47111	 * 	196.22	DCR|3VULN|2DMG|3CDMG|2ZMB	18aVULN|23ZMB|4MBVNT|59aCDMG|6RCR|7aDMG|aBPWR
40	44123 42211	   	195.47	DCR|4VULN|2DMG|3CDMG	147aVULN|2MBVNT|39aCDMG|5aDMG|6RCR|8RMIN|aBPWR
41	44123 42741	   	195.47	DCR|4VULN|2DMG|3CDMG	147aVULN|2MBVNT|38aCDMG|5aDMG|6RCR|9RMIN|aBPWR
42	44423 42211	   	195.47	DCR|4VULN|2DMG|3CDMG	137aVULN|2MBVNT|49aCDMG|5aDMG|6RCR|8RMIN|aBPWR
43	44423 42741	   	195.47	DCR|4VULN|2DMG|3CDMG	137aVULN|2MBVNT|48aCDMG|5aDMG|6RCR|9RMIN|aBPWR
44	42522 36122	 * 	195.29	ACR|3VULN|1AART|2CDMG|2ASPD|1ZMB	189VULN|2AART|38ASPD|4RCR|5LHND|6DUR|78CDMG|8BPWR|aZMB
45	42153 24212	   	194.75	DCR|2VULN|2DMG|1AART|2ASPD|1CDMG	17VULN|2AART|35LIT|47DMG|67ASPD|7BPWR|8DUR|9RCR|aCDMG
46	42331 63631	   	194.46	DCR|3DMG|2VULN|1AART|1CDMG	17VULN|2AART|37CGEN|4ASPD|5CDMG|678DMG|7BPWR|9RPLT|aRCR
47	44123 43327	 * 	194.02	DCR|3VULN|2AART|1DMG|1CDMG	149VULN|2MBVNT|3CDMG|5DMG|6RCR|7DUR|8aAART
48	44423 43327	   	194.02	DCR|3VULN|2AART|1DMG|1CDMG	139VULN|2MBVNT|4CDMG|5DMG|6RCR|7DUR|8aAART
49	44146 43323	   	193.57	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	159VULN|2MBVNT|3CDMG|4ZMB|6RCR|7DUR|8AART|aDMG
50	44413 43323	   	193.57	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	139VULN|2MBVNT|4ZMB|5CDMG|6RCR|7DUR|8AART|aDMG
51	36223 31372	 * 	193.17	ACR|4VULN|3DMG|2DUR	19aDMG|26DUR|39aFEWX|4MBVNT|5RCR|789aVULN|9aBPWR
52	42531 36122	   	192.89	ACR|3VULN|1AART|2CDMG|2ASPD|1ZMB	189VULN|2AART|38ASPD|4LHND|5RCR|6DUR|78CDMG|8BPWR|aZMB
53	34253 23362	   	192.46	DCR|4VULN|3DMG	19aDMG|289aVULN|3FEWX|4DUR|59aBEXP|6RCVC|7RCR|9aBPWR
54	31133 31243	   	192.10	DCR|3VULN|2DMG|1AART|2DUR	19DMG|2BEXP|3BELT|4AART|59DUR|69aVULN|7RCR|8RPLT|9BPWR
55	44123 47441	   	191.41	DCR|3VULN|3DMG|1CDMG	14aVULN|2MBVNT|3CDMG|579DMG|6RCR|8ASPD
56	44423 47441	   	191.41	DCR|3VULN|3DMG|1CDMG	13aVULN|2MBVNT|4CDMG|579DMG|6RCR|8ASPD
57	44123 42448	   	191.41	DCR|3VULN|3DMG|1CDMG	147VULN|2MBVNT|3CDMG|59aDMG|6RCR|8ASPD
58	44423 42448	   	191.41	DCR|3VULN|3DMG|1CDMG	137VULN|2MBVNT|4CDMG|59aDMG|6RCR|8ASPD
59	44123 13841	   	191.16	DCR|3VULN|2DMG|1AART|1CDMG	146VULN|2MBVNT|3CDMG|58DMG|7AART|9DUR|aRCR
60	44423 13841	   	191.16	DCR|3VULN|2DMG|1AART|1CDMG	136VULN|2MBVNT|4CDMG|58DMG|7AART|9DUR|aRCR
61	36241 31352	 * 	190.50	DCR|3DMG|2VULN|3ZMB|3DUR	189DMG|268DUR|3FEWX|49VULN|5DMSP|789ZMB|89BPWR|aRCR
62	36223 81372	   	190.38	ACR|4VULN|3DMG	19aDMG|2DUR|39aFEWX|4MBVNT|5RCR|6RCVC|789aVULN|9aBPWR
63	34253 13362	   	189.96	DCR|4VULN|3DMG	19aDMG|289aVULN|3FEWX|4DUR|59aBEXP|6DMSP|7RCR|9aBPWR
64	42361 31221	 * 	189.79	ACR|3VULN|2DMG|1AART|1ZMB	189VULN|2AART|3CGEN|4MBVNT|5RCR|6ZMB|7aDMG
65	42361 31621	 * 	189.79	ACR|3DMG|2VULN|1AART|1ZMB	19VULN|2AART|3CGEN|4MBVNT|5RCR|6ZMB|78aDMG
66	42661 31221	   	189.69	ACR|3VULN|2DMG|1AART|1ZMB	189VULN|2AART|3ERES|4MBVNT|5RCR|6ZMB|7aDMG
67	34251 23362	   	189.66	DCR|4VULN|3DMG	19aDMG|289aVULN|3FEWX|4DUR|5DMSP|69aDUST|7RCR|9aBPWR
68	44123 43333	   	189.51	DCR|3VULN|1AART|1DMG|1CDMG	14aVULN|2MBVNT|3CDMG|5DMG|6RCR|7DUR|8AART|9ASPD
69	44423 43333	   	189.51	DCR|3VULN|1AART|1DMG|1CDMG	13aVULN|2MBVNT|4CDMG|5DMG|6RCR|7DUR|8AART|9ASPD
70	44433 42447	 * 	189.03	DCR|4VULN|1AART|2CDMG|2ASPD	137aVULN|2MBVNT|4ERES|5aCDMG|6RCR|8aASPD|9AART|aBPWR
71	31166 33212	   	187.94	ACR|3DMG|2VULN|1AART|1CDMG	167DMG|27BEXP|3BELT|47VULN|5RCR|7BPWR|8CDMG|9LHND|aAART
72	31166 33632	   	187.94	ACR|3DMG|2VULN|1AART|1CDMG	167DMG|27BEXP|3BELT|47VULN|5RCR|7BPWR|8LHND|9CDMG|aAART
73	34126 33212	   	187.94	ACR|3DMG|2VULN|1AART|1CDMG	167DMG|27VULN|3BELT|47LWND|5RCR|7BPWR|8CDMG|9LHND|aAART
74	31133 31242	 * 	187.89	DCR|2AART|2VULN|2DMG|2DUR	19DMG|2BEXP|3BELT|4aAART|59DUR|69VULN|7RCR|8RPLT|9BPWR
75	36223 71372	   	187.88	ACR|4VULN|3DMG	19aDMG|2DUR|39aFEWX|4MBVNT|5RCR|6DMSP|789aVULN|9aBPWR
76	44123 13341	   	187.67	DCR|4VULN|1AART|1DMG|1CDMG	1468VULN|2MBVNT|3CDMG|5DMG|7AART|9DUR|aRCR
77	44423 13341	   	187.67	DCR|4VULN|1AART|1DMG|1CDMG	1368VULN|2MBVNT|4CDMG|5DMG|7AART|9DUR|aRCR
78	31166 33243	   	187.33	ACR|3VULN|3DMG|1CDMG	167DMG|27BEXP|3BELT|47aVULN|5RCR|7BPWR|8CDMG|9ASPD
79	31166 33423	   	187.33	ACR|3VULN|3DMG|1CDMG	167DMG|27BEXP|3BELT|47aVULN|5RCR|7BPWR|8ASPD|9CDMG
80	34126 33243	   	187.33	ACR|3VULN|3DMG|1CDMG	167DMG|27aVULN|3BELT|47LWND|5RCR|7BPWR|8CDMG|9ASPD
81	34126 33423	   	187.33	ACR|3VULN|3DMG|1CDMG	167DMG|27aVULN|3BELT|47LWND|5RCR|7BPWR|8ASPD|9CDMG
82	42364 13181	   	187.32	DCR|3DMG|2VULN|1AART|2ASPD	17VULN|2AART|3CGEN|4MBVNT|578DMG|67ASPD|7BPWR|9RMIN|aRCR
83	42664 13121	   	187.22	DCR|3DMG|2VULN|1AART|2ASPD	17VULN|2AART|3ERES|4MBVNT|578DMG|67ASPD|7BPWR|9CGEN|aRCR
84	44123 44327	   	187.08	DCR|3VULN|2AART|1DMG|1CDMG	149VULN|2MBVNT|3CDMG|5DMG|6RCR|7BEXP|8aAART
85	44423 44327	   	187.08	DCR|3VULN|2AART|1DMG|1CDMG	139VULN|2MBVNT|4CDMG|5DMG|6RCR|7BEXP|8aAART
86	36134 31243	   	186.81	DCR|3VULN|2DMG|1AART	19DMG|2DUR|3BELT|4AART|59BEXP|69aVULN|7RCR|8RPLT|9BPWR
87	44123 47443	   	186.76	DCR|3DMG|2VULN|1CDMG|1ZMB	14VULN|2MBVNT|3CDMG|579DMG|6RCR|8ASPD|aZMB
88	44423 47443	   	186.76	DCR|3DMG|2VULN|1CDMG|1ZMB	13VULN|2MBVNT|4CDMG|579DMG|6RCR|8ASPD|aZMB
89	44146 41323	   	186.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	159VULN|2MBVNT|3CDMG|4ZMB|6RCR|7LWND|8AART|aDMG
90	44413 41323	   	186.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	139VULN|2MBVNT|4ZMB|5CDMG|6RCR|7LWND|8AART|aDMG
91	34613 13631	   	186.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|26VULN|3ASPD|4ZMB|5CDMG|7AART|9LHND|aRCR
92	34613 13211	   	186.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19DMG|26VULN|3ASPD|4ZMB|5CDMG|7AART|8BEXP|aRCR
93	34613 13411	   	186.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19DMG|26VULN|3ASPD|4ZMB|5CDMG|7AART|8LHND|aRCR
94	34613 13511	   	186.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19DMG|26VULN|3ASPD|4ZMB|5CDMG|7AART|8LWND|aRCR
95	42523 31326	   	186.58	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	19VULN|2AART|3ASPD|4RCR|5LWND|6ZMB|7DMG|8CDMG|aDUR
96	41431 13236	   	186.52	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	15VULN|29ZMB|3BEXP|45DMG|5BPWR|6ERES|7CDMG|8RCR|aAART
97	42522 36131	 * 	186.39	ACR|2AART|2VULN|3ASPD|2CDMG	18VULN|2aAART|389ASPD|4RCR|5LHND|6DUR|78CDMG|8BPWR
