0	Index      	 *	Score 	Summary	Detail	
1	21351 33211	 * 	263.86	ACR|3VULN|3DMG|3BEXP|1AART|1CDMG	158VULN|2AART|357DMG|4RCR|58BPWR|689BEXP|aCDMG
12	32612 34334	   	253.23	ACR|3ASPD|3DMG|3BEXP|1VULN	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9VULN|aTLV
13	32612 34336	   	253.23	ACR|3ASPD|3DMG|3BEXP|1VULN	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9VULN|aDUST
14	21551 21342	 * 	251.71	ACR|3VULN|2DMG|2ASPD|2AART	159VULN|2aAART|35ASPD|4RCR|59BPWR|689ERES|79DMG
15	21351 33222	 * 	250.48	ACR|5VULN|3DMG|2BEXP|1AART	1589aVULN|2AART|357DMG|4RCR|58BPWR|68BEXP
16	32612 34387	   	248.82	ACR|3ASPD|3DMG|3BEXP|1AART	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9RCVC|aAART
17	21351 33323	 * 	247.52	ACR|2VULN|3DMG|2AART|1BASICY|1BEXP	15VULN|2aAART|357DMG|4RCR|5BPWR|6BEXP|8BASICY|9RMIN
18	21351 33212	   	247.21	ACR|3VULN|3DMG|3BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|689BEXP|aCGEN
19	21351 33216	   	247.21	ACR|3VULN|3DMG|3BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|689BEXP|aLHND
20	21351 33213	   	247.11	ACR|3VULN|3DMG|3BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|689BEXP|aAEMAG
21	21351 33215	   	247.11	ACR|3VULN|3DMG|3BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|689BEXP|aDUST
22	21351 33335	   	245.72	ACR|2VULN|3DMG|1AART|1BASICY|1BEXP|1CDMG	15VULN|2AART|357DMG|4RCR|5BPWR|6BEXP|8BASICY|9LIT|aCDMG
23	21351 33345	   	245.72	ACR|2VULN|3DMG|1AART|1BASICY|1BEXP|1CDMG	15VULN|2AART|357DMG|4RCR|5BPWR|6BEXP|8BASICY|9BELT|aCDMG
24	21351 33346	 * 	244.90	ACR|2VULN|3DMG|2BEXP|1AART|1BASICY	15VULN|2AART|357DMG|4RCR|5BPWR|6aBEXP|8BASICY|9BELT
25	21351 33221	   	244.25	ACR|4VULN|3DMG|2BEXP|1AART	1589VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|aRMIN
26	21351 33223	   	244.25	ACR|4VULN|3DMG|2BEXP|1AART	1589VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|aCGEN
27	21351 33224	   	244.25	ACR|4VULN|3DMG|2BEXP|1AART	1589VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|aLIT
28	21351 33236	   	244.25	ACR|4VULN|3DMG|2BEXP|1AART	158aVULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9DUR
29	21351 33266	   	244.25	ACR|4VULN|3DMG|2BEXP|1AART	158aVULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9FEWX
30	21351 33234	   	244.25	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9DUR|aAAC
31	21351 33264	   	244.25	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9FEWX|aAAC
32	21351 33225	   	244.15	ACR|4VULN|3DMG|2BEXP|1AART	1589VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|aTLV
33	32612 34388	   	242.48	ACR|3ASPD|3DMG|3BEXP	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9RCVC|aAAC
34	21551 33513	   	242.31	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|78DMG|9MLV|aAAC
35	21351 63342	   	242.07	ACR|3VULN|2DMG|1AART|1ASPD|1BEXP|1CDMG	15aVULN|2AART|35DMG|4RCR|5BPWR|6RPLT|7ASPD|8BEXP|9CDMG
36	32612 34344	   	240.87	ACR|3ASPD|3DMG|3BEXP	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9MLV|aAAC
37	32612 34357	   	240.87	ACR|3ASPD|3DMG|3BEXP	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9LIT|aAAC
38	21351 31225	 * 	240.79	ACR|2VULN|1BASARM|2DMG|1AART|1BEXP	15VULN|2AART|35DMG|4RCR|5BPWR|6BEXP|7BELT|8RPLT|9LHND|aBASARM
39	21551 31225	 * 	240.79	ACR|2VULN|1BASARM|2ASPD|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|7BELT|8RPLT|9LHND|aBASARM
40	32612 34323	   	240.77	ACR|3ASPD|3DMG|3BEXP	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9DUST|aAAC
41	21551 21621	   	240.66	ACR|3VULN|2ASPD|2DMG|1AART	158VULN|2AART|35ASPD|4RCR|58BPWR|68ERES|78DMG|9AAC|aCGEN
42	21551 21623	   	240.66	ACR|3VULN|2ASPD|2DMG|1AART	158VULN|2AART|35ASPD|4RCR|58BPWR|68ERES|78DMG|9AAC|aRMIN
43	21551 33251	 * 	240.42	ACR|2VULN|3BEXP|2ASPD|1AART|1DMG	15VULN|2AART|35ASPD|4RCR|5BPWR|69aBEXP|7DMG|8DUST
44	21351 14214	 * 	239.81	ACR|4VULN|3AART|2DMG	1569VULN|28aAART|35DMG|4RCR|5BPWR|7FLTFST
45	32363 52222	 * 	239.01	ACR|3VULN|3DMG|2ASPD|1CDMG	18ASPD|28aDMG|3LWND|4RCR|5AEFBLL|678VULN|8BPWR|9CDMG
46	21351 54321	 * 	238.48	ACR|2VULN|3DMG|1AART|1ASPD|1BASICY	15VULN|2AART|357DMG|4RCR|5BPWR|6LHND|8BASICY|9ASPD|aRMIN
47	21351 54322	   	238.48	ACR|2VULN|3DMG|1AART|1ASPD|1BASICY	15VULN|2AART|357DMG|4RCR|5BPWR|6LHND|8BASICY|9ASPD|aDUR
48	21351 54323	   	238.48	ACR|2VULN|3DMG|1AART|1ASPD|1BASICY	15VULN|2AART|357DMG|4RCR|5BPWR|6aLHND|8BASICY|9ASPD
49	21351 33325	   	238.37	ACR|2VULN|3DMG|1AART|1BASICY|1BEXP	15VULN|2AART|357DMG|4RCR|5BPWR|6BEXP|8BASICY|9RMIN|aAAC
50	21551 23531	   	237.46	ACR|2VULN|2ASPD|2BEXP|1AART|1DMG	15VULN|2AART|35ASPD|4RCR|5BPWR|6ERES|7aBEXP|8DMG|9AAC
51	21351 15511	   	237.16	ACR|3VULN|3DMG|1AART|2AAC|1BEXP	156VULN|2AART|357DMG|4RCR|5BPWR|89AAC|aBEXP
52	21351 33231	   	235.95	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9DUR|aLHND
53	21351 33233	   	235.95	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9DUR|aCGEN
54	21351 33261	   	235.95	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9FEWX|aLHND
55	21351 33263	   	235.95	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9FEWX|aCGEN
56	21351 33232	   	235.85	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9DUR|aERES
57	21351 33235	   	235.85	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9DUR|aTLV
58	21351 33242	   	235.85	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9ERES|aLWND
59	21351 33243	   	235.85	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9ERES|aCGEN
60	21351 33244	   	235.85	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9ERES|aZMB
61	21351 33262	   	235.85	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9FEWX|aERES
62	21351 33265	   	235.85	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9FEWX|aTLV
63	21351 33241	   	235.75	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9ERES|aAEMAG
64	21351 33246	   	235.75	ACR|3VULN|3DMG|2BEXP|1AART	158VULN|2AART|357DMG|4RCR|58BPWR|68BEXP|9ERES|aNUKE
65	21351 33612	   	235.75	ACR|3VULN|3DMG|2BEXP|1AART	15aVULN|2AART|357DMG|4RCR|5BPWR|69BEXP|8AEFBLL
66	21352 33615	   	235.66	ACR|3DMG|2VULN|2AART|1BEXP	18VULN|2aAART|378DMG|4RCR|58AME|6AAC|8BPWR|9BEXP
67	21353 33615	   	235.66	ACR|3DMG|2VULN|2AART|1BEXP	18VULN|2aAART|378DMG|4RCR|58ERES|6AAC|8BPWR|9BEXP
68	21551 33531	   	235.60	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|78DMG|9RCVC|aCGEN
69	21551 33533	   	235.60	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|78DMG|9RCVC|aRMIN
70	32612 34385	   	235.34	ACR|3ASPD|3DMG|3BEXP	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9aRCVC
71	32411 14342	   	234.60	ACR|2VULN|2DMG|2ASPD|2AART	19ASPD|27DMG|389ERES|4RCR|5aAART|69VULN|9BPWR
72	32612 34381	   	234.17	ACR|3ASPD|3DMG|3BEXP	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9RCVC|aDMSP
73	32612 34383	   	234.17	ACR|3ASPD|3DMG|3BEXP	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9RCVC|aMLV
74	32612 34384	   	234.17	ACR|3ASPD|3DMG|3BEXP	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9RCVC|aFEWX
75	32612 34386	   	234.17	ACR|3ASPD|3DMG|3BEXP	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9RCVC|aDUR
76	32612 34382	   	234.07	ACR|3ASPD|3DMG|3BEXP	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9RCVC|aERES
77	21351 31363	   	234.04	ACR|3VULN|2DMG|2BEXP|1AART|1CDMG	159VULN|2AART|35DMG|4RCR|59BPWR|69BEXP|7BELT|89CGEN|aCDMG
78	21551 33326	   	234.00	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|7aDMG|8DUR|9LHND
79	21551 33332	   	234.00	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|7aDMG|8DUR|9LIT
80	21551 33412	   	234.00	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|7aDMG|8LIT|9LHND
81	21551 33511	   	234.00	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|78DMG|9aMLV
82	21551 33226	   	233.90	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|7aDMG|8DUST|9LHND
83	21551 33232	   	233.90	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|7aDMG|8DUST|9LIT
84	21551 33423	   	233.90	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|7aDMG|8LIT|9ERES
85	21551 33512	   	233.90	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|78DMG|9MLV|aERES
86	21551 33521	   	233.90	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|78DMG|9TLV|aMLV
87	21551 33522	   	233.90	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|78DMG|9TLV|aLWND
88	21551 33523	   	233.90	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	15VULN|2AART|35ASPD|4RCR|5BPWR|6BEXP|78DMG|9TLV|aCGEN
89	21351 54313	   	233.87	ACR|2VULN|3DMG|2AART|1BASICY	15VULN|2aAART|357DMG|4RCR|5BPWR|69LHND|8BASICY
90	32612 34346	   	233.87	ACR|3ASPD|3DMG|3BEXP	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9MLV|aRCVC
