0	Index      	 *	Score 	Summary	Detail	
1	33345 33632	 * 	192.39	ACR|2ASPD|2DMG|1VULN|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7NUKE|89ASPD|aVULN
30	33343 16513	   	176.26	ACR|1BASARM|1VULN|2CDMG|1AAC	16CGEN|2aZMB|37CDMG|4RCR|5VULN|8BASARM|9AAC
31	33343 16511	   	176.16	ACR|1BASARM|1VULN|2CDMG|1AAC	16CGEN|2ZMB|37CDMG|4RCR|5VULN|8BASARM|9AAC|aMDPS
32	34345 33313	 * 	175.77	ACR|2DMG|1VULN|2CDMG|1AART	1CGEN|28AAC|36CDMG|4RCR|56DMG|6BPWR|7NUKE|9AART|aVULN
33	33343 16522	   	175.20	ACR|1BASARM|1VULN|3CDMG	16CGEN|2ZMB|37aCDMG|4RCR|5VULN|8BASARM|9ERES
34	33345 33631	   	174.85	ACR|2ASPD|2DMG|1CDMG	16CGEN|2aZMB|3CDMG|4RCR|56DMG|6BPWR|7NUKE|89ASPD
35	33345 33633	   	174.85	ACR|2ASPD|2DMG|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7NUKE|89ASPD|aFEWX
36	34345 32132	 * 	174.35	ACR|2VULN|2DMG|2CDMG	1CGEN|2AAC|36CDMG|4RCR|56DMG|6BPWR|7DMSP|8aVULN|9FEWX
37	33346 33412	 * 	174.21	ACR|2VULN|2BEXP|1ASPD|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|59BEXP|6MLV|7ASPD|8aVULN
38	11154 33253	   	173.95	ACR|1BASARM|1ASPD|1BEXP|1AAC	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6CGEN|7MSLREG|8ASPD|9AAC|aBEXP
39	15154 32311	   	173.95	ACR|1BASARM|1ASPD|1BEXP|1AAC	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7DUST|8MDPS|9AAC|aASPD
40	33345 23252	   	173.51	ACR|2DMG|1ASPD|1VULN|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|59DMG|6DUR|7ASPD|8LWND|aVULN
41	33345 13252	   	173.41	ACR|2DMG|1ASPD|1VULN|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|59DMG|6LEGI|7ASPD|8LWND|aVULN
42	33345 13352	   	173.41	ACR|2DMG|1ASPD|1VULN|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|59DMG|6LEGI|7ASPD|8DUR|aVULN
43	33345 23152	   	173.41	ACR|2DMG|1ASPD|1VULN|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|59DMG|6DUR|7ASPD|8DUST|aVULN
44	34345 32112	 * 	173.31	ACR|2DMG|1VULN|2CDMG|1BEXP	1CGEN|2AAC|36CDMG|4RCR|56DMG|6BPWR|7DMSP|8VULN|9AME|aBEXP
45	33345 13152	   	173.31	ACR|2DMG|1ASPD|1VULN|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|59DMG|6LEGI|7ASPD|8DUST|aVULN
46	33343 66123	   	173.06	ACR|3VULN|3CDMG|1AART	168CGEN|2ZMB|378CDMG|4RCR|568VULN|68BPWR|9FEWX|aAART
47	33343 16113	   	172.55	ACR|2VULN|3CDMG|1BEXP|1AART	168CGEN|2ZMB|378CDMG|4RCR|58VULN|8BPWR|9BEXP|aAART
48	34343 16113	   	172.45	ACR|2VULN|3CDMG|1BEXP|1AART	168CGEN|2AAC|378CDMG|4RCR|58VULN|8BPWR|9BEXP|aAART
49	33343 66213	   	172.45	ACR|2VULN|3CDMG|1BEXP|1AART	16CGEN|2ZMB|378CDMG|4RCR|56VULN|6BPWR|9BEXP|aAART
50	11154 21335	 * 	172.05	ACR|1BASARM|1ASPD|1BASICY	1SNIHEL|2LEGI|3BASARM|4RCVC|5RCR|6LIT|7DUR|8MDPS|9ASPD|aBASICY
51	43341 13423	 * 	172.00	ACR|2ASPD|2BEXP|2CDMG	125LWND|3aCDMG|4RCR|6DUST|7aBEXP|8MBVNT|9aASPD|aBPWR
52	15331 22263	 * 	171.90	3BASARM|2ASPD|1VULN|2BEXP|1CDMG	1SNIHEL|29BEXP|3VULN|4LSRICY|569BASARM|7ERES|89ASPD|9BPWR|aCDMG
53	34343 62112	 * 	171.80	ACR|3VULN|2BEXP|2CDMG	1CGEN|2AAC|36CDMG|4RCR|56aVULN|6BPWR|79BEXP|8DUST
54	15154 31112	 * 	171.78	ACR|1BASARM|3BEXP	1SNIHEL|29aBEXP|3BASARM|4RCVC|5RCR|68CGEN|7AAC
55	15154 31113	   	171.52	ACR|1BASARM|2BEXP|1VULN	1SNIHEL|29BEXP|3BASARM|4RCVC|5RCR|68CGEN|7AAC|aVULN
56	11351 16351	 * 	171.49	ACR|2VULN|2BEXP|1DMG|1AART	1aSNIHEL|2LEGI|3aVULN|4BELT|5RCR|6AART|7DMG|8LIT|9aBEXP|aBPWR
57	33343 32536	   	171.47	ACR|1VULN|1ASPD|1CDMG|1BEXP|1AART|1AAC	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MLV|7BEXP|8AART|9ASPD|aAAC
58	31443 11324	 * 	171.43	DCR|2VULN|2ASPD|1DMG|1AART|1CDMG	1CGEN|25VULN|3AART|45ASPD|5BPWR|67LHND|8CDMG|9DMG|aRCR
59	31443 32324	   	171.23	DCR|2VULN|2ASPD|1DMG|1CDMG|1AART	1CGEN|25VULN|3AART|45ASPD|5BPWR|67DUST|8CDMG|9DMG|aRCR
60	33345 32633	   	171.02	ACR|2DMG|1ASPD|1BEXP|1CDMG	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7DMSP|8LIT|9ASPD|aBEXP
61	43341 42221	 * 	170.92	ACR|2ASPD|1DMG|1CDMG|1BEXP	125LWND|3CDMG|4RCR|6DMG|7BEXP|8CGEN|9aASPD
62	43343 22221	   	170.92	ACR|2ASPD|1DMG|1CDMG|1BEXP	128LWND|3CDMG|4RCR|5CGEN|6DMG|7BEXP|9aASPD
63	43346 13221	   	170.92	ACR|2ASPD|1DMG|1CDMG|1BEXP	128LWND|3CDMG|4RCR|5BEXP|6CGEN|7aASPD|9DMG
64	22123 54263	 * 	170.84	DCR|2ASPD|2DMG|2BEXP|1VULN	1AAC|27BEXP|3RPLT|47ASPD|57DMG|6MDPS|7BPWR|8VULN|9MBVNT|aRCR
65	33343 33442	 * 	170.82	ACR|3VULN|1ASPD|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|58aVULN|6MLV|7ASPD|9BEXP
66	33345 33334	   	170.82	ACR|2DMG|1ASPD|1CDMG|1BEXP	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7NUKE|8AAC|9ASPD|aBEXP
67	43341 42121	   	170.82	ACR|2ASPD|1DMG|1BEXP|1CDMG	125LWND|3CDMG|4RCR|6DMG|7BEXP|8ERES|9aASPD
68	33345 23433	 * 	170.78	ACR|1VULN|1ASPD|1DMG|2AAC|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|8VULN|9aAAC
69	33345 12531	 * 	170.76	ACR|1ASPD|1DMG|1VULN|1CDMG|1AART	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7FEWX|8AART|9ASPD|aVULN
70	33343 53422	   	170.72	ACR|3VULN|1ASPD|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|589VULN|6ERES|7ASPD|aBEXP
71	33345 13433	   	170.68	ACR|1VULN|1ASPD|1DMG|2AAC|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8VULN|9aAAC
72	33343 25484	   	170.66	ACR|1VULN|1ASPD|1DMG|1CDMG|1AART	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MSLREG|7MBVNT|8ASPD|9AART|aDMG
73	33345 11531	   	170.66	ACR|1ASPD|1DMG|1VULN|1CDMG|1AART	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7DUST|8AART|9ASPD|aVULN
74	16215 22353	 * 	170.65	ACR|1VULN|1ASPD|1DMG|1BASICY|1AART|1SELL	1SNIHEL|2SELL|3CGEN|4VULN|5RCR|6RMIN|7DMG|8ASPD|9AART|aBASICY
75	34345 33312	 * 	170.62	ACR|2DMG|2CDMG|1BEXP|1AART	1CGEN|28AAC|36CDMG|4RCR|56DMG|6BPWR|7NUKE|9AART|aBEXP
76	33343 32553	 * 	170.18	ACR|2VULN|2BEXP|1AART|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5aVULN|6MLV|79BEXP|8AART
77	15331 63262	 * 	170.04	2BASARM|3BEXP|2DMG|1VULN|1CDMG	1SNIHEL|289BEXP|3VULN|4LSRICY|59BASARM|6CGEN|79DMG|9BPWR|aCDMG
78	33346 31224	   	169.85	ACR|1BASARM|1BEXP|1CDMG|1AAC	1CGEN|2ZMB|3CDMG|4RCR|5BEXP|6MLV|7DUST|8LIT|9AAC|aBASARM
79	33345 33413	   	169.56	ACR|2DMG|1VULN|1CDMG|1AART	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7NUKE|8RCVC|9AART|aVULN
80	33345 32136	   	168.48	ACR|2DMG|1VULN|1CDMG|1AART	16CGEN|2ZMB|3CDMG|4RCR|56DMG|6BPWR|7DMSP|8VULN|9FEWX|aAART
81	43343 12223	   	168.38	ACR|2DMG|1VULN|1AART|1CDMG	12LWND|3CDMG|4RCR|5CGEN|6DMSP|7AART|89DMG|aVULN
82	33345 23212	   	168.28	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|8LWND|9BEXP|aVULN
83	33345 23342	   	168.28	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|68DUR|7ASPD|9BEXP|aVULN
84	33345 23411	   	168.28	ACR|1VULN|1ASPD|1DMG|1CDMG|1BEXP	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|8VULN|9BEXP|aMLV
85	33345 23413	   	168.28	ACR|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|8VULN|9BEXP|aLHND
86	33345 63212	   	168.28	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LHND|7ASPD|8LWND|9BEXP|aVULN
87	33345 63312	   	168.28	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LHND|7ASPD|8DUR|9BEXP|aVULN
88	33345 13212	   	168.18	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8LWND|9BEXP|aVULN
89	33345 13312	   	168.18	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8DUR|9BEXP|aVULN
90	33345 13411	   	168.18	ACR|1VULN|1ASPD|1DMG|1CDMG|1BEXP	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8VULN|9BEXP|aMLV
91	33345 13413	   	168.18	ACR|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8VULN|9BEXP|aLHND
92	33345 23112	   	168.18	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|8DUST|9BEXP|aVULN
93	33345 63112	   	168.18	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LHND|7ASPD|8DUST|9BEXP|aVULN
94	33346 33152	   	168.18	ACR|1ASPD|1DMG|1VULN|1CDMG|1BEXP	1CGEN|2ZMB|3CDMG|4RCR|5BEXP|6MLV|7ASPD|8DUST|9DMG|aVULN
95	34345 23212	   	168.18	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2AAC|3CDMG|4RCR|5DMG|6DUR|7ASPD|8LWND|9BEXP|aVULN
96	43345 23112	   	168.18	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	12LWND|3CDMG|4RCR|5DMG|6DUR|7ASPD|8DUST|9BEXP|aVULN
97	33345 23511	   	168.17	ACR|2BEXP|1ASPD|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|89BEXP|aLIT
98	33345 23242	   	168.17	ACR|2VULN|1ASPD|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|8LWND|9aVULN
99	34345 13212	   	168.08	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2AAC|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8LWND|9BEXP|aVULN
100	34345 13312	   	168.08	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2AAC|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8DUR|9BEXP|aVULN
101	33343 25425	   	168.08	ACR|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MSLREG|7MBVNT|8ASPD|9BEXP|aDMG
102	33345 13112	   	168.08	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8DUST|9BEXP|aVULN
103	34345 23112	   	168.08	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2AAC|3CDMG|4RCR|5DMG|6DUR|7ASPD|8DUST|9BEXP|aVULN
104	43345 13112	   	168.08	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	12LWND|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8DUST|9BEXP|aVULN
105	33345 13511	   	168.07	ACR|2BEXP|1ASPD|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|89BEXP|aLIT
106	33345 23513	   	168.07	ACR|2BEXP|1ASPD|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|89BEXP|aERES
107	33345 23422	   	168.07	ACR|2VULN|1ASPD|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|8aVULN|9DUST
108	33343 36233	   	168.07	ACR|2VULN|1ASPD|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5aVULN|6MLV|7DLOT|8DMG|9ASPD
109	33343 46233	   	168.07	ACR|2VULN|1ASPD|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5aVULN|6RMIN|7DLOT|8DMG|9ASPD
110	33345 13242	   	168.07	ACR|2VULN|1ASPD|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8LWND|9aVULN
111	33345 13342	   	168.07	ACR|2VULN|1ASPD|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8DUR|9aVULN
112	33345 23142	   	168.07	ACR|2VULN|1ASPD|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7ASPD|8DUST|9aVULN
113	22321 43522	   	168.05	DCR|2VULN|1BASARM|3BEXP|2AAC	19AAC|235BEXP|45VULN|5BPWR|6DUST|7ZMB|8BASARM|aRCR
114	34345 13112	   	167.98	ACR|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1CGEN|2AAC|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8DUST|9BEXP|aVULN
115	33345 13513	   	167.97	ACR|2BEXP|1ASPD|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|89BEXP|aERES
116	34343 36233	   	167.97	ACR|2VULN|1ASPD|1DMG|1CDMG	1CGEN|2AAC|3CDMG|4RCR|5aVULN|6MLV|7DLOT|8DMG|9ASPD
117	33345 13422	   	167.97	ACR|2VULN|1ASPD|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8aVULN|9DUST
118	34343 22316	   	167.97	ACR|2VULN|1ASPD|1DMG|1CDMG	17CGEN|2AAC|3CDMG|4RCR|57VULN|67MSLREG|7BPWR|8NUKE|9DMG|aASPD
119	33345 13142	   	167.97	ACR|2VULN|1ASPD|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7ASPD|8DUST|9aVULN
120	33343 16531	   	167.96	ACR|1BASARM|1VULN|2CDMG	16CGEN|2ZMB|37CDMG|4RCR|5VULN|8BASARM|9DUR|aLWND
121	33343 16532	   	167.96	ACR|1BASARM|1VULN|2CDMG	16aCGEN|2ZMB|37CDMG|4RCR|5VULN|8BASARM|9DUR
122	33345 22621	   	167.96	ACR|1BASARM|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7FEWX|8BELT|9ERES|aBASARM
123	33343 16523	   	167.86	ACR|1BASARM|1VULN|2CDMG	16CGEN|2aZMB|37CDMG|4RCR|5VULN|8BASARM|9ERES
124	33345 21234	   	167.86	ACR|1BASARM|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7DUST|8LIT|9ERES|aBASARM
125	33345 21621	   	167.86	ACR|1BASARM|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6DUR|7DUST|8BELT|9ERES|aBASARM
126	33343 16521	   	167.76	ACR|1BASARM|1VULN|2CDMG	16CGEN|2ZMB|37CDMG|4RCR|5VULN|8BASARM|9ERES|aMDPS
127	33345 11234	   	167.76	ACR|1BASARM|1DMG|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5DMG|6LEGI|7DUST|8LIT|9ERES|aBASARM
128	33343 52523	   	167.59	ACR|3VULN|1AART|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|59aVULN|6ERES|7BEXP|8AART
129	34343 62132	 * 	167.56	ACR|4VULN|2CDMG|1BEXP	1CGEN|2AAC|36CDMG|4RCR|569aVULN|6BPWR|7BEXP|8DUST
130	33343 66132	   	167.45	ACR|3VULN|3CDMG|1BEXP	168CGEN|2ZMB|378CDMG|4RCR|568VULN|68BPWR|9RCVC|aBEXP
131	33343 33214	 * 	166.98	ACR|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MLV|7ASPD|8LWND|9BEXP|aBASICY
132	33343 33314	   	166.98	ACR|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MLV|7ASPD|8DUR|9BEXP|aBASICY
133	33343 34214	 * 	166.98	ACR|1VULN|1DMG|1BASICY|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MLV|7DMG|8LWND|9BEXP|aBASICY
134	33343 34314	   	166.98	ACR|1VULN|1DMG|1BASICY|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MLV|7DMG|8DUR|9BEXP|aBASICY
135	33341 33414	   	166.98	ACR|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5LWND|6MLV|7ASPD|8VULN|9BEXP|aBASICY
136	33342 33414	   	166.98	ACR|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5LHND|6MLV|7ASPD|8VULN|9BEXP|aBASICY
137	15154 32232	 * 	166.89	ACR|1BASARM|2VULN|1BEXP	1SNIHEL|2BEXP|3BASARM|4RCVC|5RCR|6CGEN|7DUST|8LIT|9aVULN
138	34343 33214	   	166.88	ACR|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CGEN|2AAC|3CDMG|4RCR|5VULN|6MLV|7ASPD|8LWND|9BEXP|aBASICY
139	34343 33314	   	166.88	ACR|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CGEN|2AAC|3CDMG|4RCR|5VULN|6MLV|7ASPD|8DUR|9BEXP|aBASICY
140	33343 33114	   	166.88	ACR|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MLV|7ASPD|8DUST|9BEXP|aBASICY
141	33343 34114	   	166.88	ACR|1VULN|1DMG|1BASICY|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6MLV|7DMG|8DUST|9BEXP|aBASICY
142	33343 53214	   	166.88	ACR|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6ERES|7ASPD|8LWND|9BEXP|aBASICY
143	33343 53314	   	166.88	ACR|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6ERES|7ASPD|8DUR|9BEXP|aBASICY
144	34343 33114	   	166.78	ACR|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CGEN|2AAC|3CDMG|4RCR|5VULN|6MLV|7ASPD|8DUST|9BEXP|aBASICY
145	33343 53114	   	166.78	ACR|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1CGEN|2ZMB|3CDMG|4RCR|5VULN|6ERES|7ASPD|8DUST|9BEXP|aBASICY
146	16215 22336	 * 	166.76	ACR|2VULN|2ASPD|1DMG|1SELL	1SNIHEL|2SELL|3CGEN|49VULN|5RCR|6RMIN|7DMG|8aASPD
147	16215 12336	 * 	166.66	ACR|2VULN|2ASPD|1DMG|1SELL	1SNIHEL|2SELL|3CGEN|49VULN|5RCR|6ERES|7DMG|8aASPD
148	16215 32336	 * 	166.66	ACR|2VULN|2ASPD|1DMG|1SELL	1SNIHEL|2SELL|3CGEN|49VULN|5RCR|6TLV|7DMG|8aASPD
149	33343 66112	   	166.60	ACR|3VULN|3CDMG|1BEXP	168CGEN|2ZMB|378CDMG|4RCR|568VULN|68BPWR|9BEXP|aERES
