0	Index      	 *	Score 	Summary	Detail	
1	33413 23311	 * 	225.78	ACR|3BEXP|2DMG|1VULN|1ASPD|1CDMG	1LHND|2RCR|358BEXP|4VULN|69DMG|7ASPD|aCDMG
39	33413 23343	   	207.20	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	1LHND|2RCR|358BEXP|4VULN|6DMG|7ASPD|9CGEN|aCDMG
40	33413 23253	   	207.10	ACR|3BEXP|1VULN|1ASPD|1DMG|1CDMG	1LHND|2RCR|359BEXP|4VULN|6DMG|7ASPD|8AME|aCDMG
41	33426 23311	   	207.02	ACR|3BEXP|2DMG|1ASPD|1CDMG	1LHND|2RCR|358BEXP|4LWND|69DMG|7ASPD|aCDMG
42	33325 31346	 * 	206.72	ACR|3ASPD|2DMG|1VULN	1LHND|2RCR|39LIT|4CGEN|5TLV|69aASPD|7VULN|89DMG|9BPWR
43	33564 12232	 * 	206.58	ACR|2ASPD|1DMG|1AART|1VULN|1BEXP	1LHND|2RCR|3AEFBLL|46ASPD|5AART|7DMG|8BEXP|9LIT|aVULN
44	33631 32426	   	205.08	ACR|2BASARM|2DMG|1AAC	167aLHND|2RCR|3FEWX|4aDMG|5RPLT|8aBASARM|9AAC|aBPWR
45	33413 21361	   	204.92	ACR|3BEXP|2DMG|1VULN|1CDMG	19LHND|2RCR|358BEXP|4VULN|69DMG|79MLV|9BPWR|aCDMG
46	33413 21311	   	204.72	ACR|3BEXP|2DMG|1VULN|1CDMG	1LHND|2RCR|358BEXP|4VULN|69DMG|7MLV|aCDMG
47	33413 22311	   	204.72	ACR|3BEXP|2DMG|1VULN|1CDMG	1LHND|2RCR|358BEXP|4VULN|69DMG|7CGEN|aCDMG
48	33413 22362	   	204.72	ACR|3BEXP|2DMG|1VULN|1CDMG	1LHND|2RCR|358BEXP|4VULN|6aDMG|7CGEN|9CDMG
49	33413 24311	   	204.72	ACR|3BEXP|2DMG|1VULN|1CDMG	1LHND|2RCR|358BEXP|4VULN|69DMG|7ZMB|aCDMG
50	33413 25361	   	204.72	ACR|3BEXP|2DMG|1VULN|1CDMG	19LHND|2RCR|358BEXP|4VULN|69DMG|79ERES|9BPWR|aCDMG
51	33413 33361	   	204.72	ACR|3BEXP|2ASPD|1VULN|1CDMG	19LHND|2RCR|358BEXP|4VULN|69ERES|79ASPD|9BPWR|aCDMG
52	33413 25311	   	204.62	ACR|3BEXP|2DMG|1VULN|1CDMG	1LHND|2RCR|358BEXP|4VULN|69DMG|7ERES|aCDMG
53	33413 33331	   	204.62	ACR|3BEXP|2ASPD|1VULN|1CDMG	1LHND|2RCR|358BEXP|4VULN|6ERES|79ASPD|aCDMG
54	33554 13212	   	204.60	ACR|2ASPD|2DMG|1AART|1CDMG	1aLHND|2RCR|3AEFBLL|4aDMG|5AART|68ASPD|7CDMG|9aZMB|aBPWR
55	33554 13211	   	204.40	ACR|2ASPD|2DMG|1AART|1CDMG	1LHND|2RCR|3AEFBLL|4aDMG|5AART|68ASPD|7CDMG|9ZMB
56	33652 13433	   	204.23	ACR|1BASARM|1ASPD|1DMG|2CDMG	1LHND|2RCR|3FEWX|46CDMG|5DUST|7DMG|8BASARM|9LEGI|aASPD
57	33413 23366	 * 	204.08	ACR|2VULN|3BEXP|1ASPD|1DMG	1LHND|2RCR|358BEXP|4aVULN|6DMG|7ASPD|9FLTFST
58	33216 33435	   	203.95	ACR|1BASARM|2DMG|1CDMG|1AAC	1LHND|2RCR|34CGEN|5aDMG|6LWND|7BASARM|8CDMG|9AAC
59	33534 31226	   	203.52	ACR|2VULN|1ASPD|1DMG|1AART|1CDMG	1LHND|2RCR|3AEFBLL|4DUST|5AART|68VULN|7ASPD|9CDMG|aDMG
60	33564 11223	 * 	203.17	ACR|3ASPD|1VULN|1AART|1CDMG	1LHND|2RCR|3AEFBLL|46aASPD|5AART|7FEWX|8VULN|9CDMG
61	33221 33522	   	202.64	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1LHND|2RCR|3CGEN|4MDPS|5AART|6VULN|7CDMG|8DMG|9ASPD|aBEXP
62	33221 33546	   	202.64	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1LHND|2RCR|3CGEN|4MDPS|5AART|6VULN|7CDMG|8DMG|9BEXP|aASPD
63	33554 33231	 * 	202.47	ACR|3DMG|1ASPD|1AART|1CDMG	1LHND|2RCR|3AEFBLL|49aDMG|5AART|6MLV|7CDMG|8ASPD
64	33554 13331	   	202.37	ACR|3DMG|1ASPD|1AART|1CDMG	1LHND|2RCR|3AEFBLL|49aDMG|5AART|6ASPD|7CDMG|8ERES
65	33652 13431	 * 	201.94	ACR|1BASARM|1DMG|2CDMG|1VULN	1LHND|2RCR|3FEWX|46CDMG|5DUST|7DMG|8BASARM|9LEGI|aVULN
66	33323 33246	 * 	201.87	ACR|3ASPD|2VULN|1DMG	1LHND|2RCR|39LIT|4CGEN|5DMG|69aASPD|7MLV|89VULN|9BPWR
67	33323 34246	   	201.77	ACR|3ASPD|2VULN|1DMG	1LHND|2RCR|39LIT|4CGEN|5DMG|69aASPD|7ERES|89VULN|9BPWR
68	33343 31246	   	201.77	ACR|3ASPD|2VULN|1DMG	1LHND|2RCR|39LIT|4MLV|5DMG|69aASPD|7ERES|89VULN|9BPWR
69	33426 23512	   	201.67	ACR|3BEXP|2ASPD|1DMG|1AAC	1LHND|2RCR|35aBEXP|4LWND|6DMG|79ASPD|8AAC
70	33221 16333	 * 	201.62	ACR|1BASARM|1VULN|1DMG|1AART	1LHND|2RCR|3CGEN|4MDPS|5AART|6AME|7VENTOX|8VULN|9DMG|aBASARM
71	33221 32133	   	201.62	ACR|1BASARM|1VULN|1DMG|1AART	1LHND|2RCR|3CGEN|4MDPS|5AART|6VULN|7MLV|8SPLREG|9DMG|aBASARM
72	33221 41453	 * 	201.62	ACR|1BASARM|1VULN|1ASPD|1AART	1LHND|2RCR|3CGEN|4MDPS|5AART|6ASPD|7SNITOX|8VULN|9MLV|aBASARM
73	33554 13232	 * 	201.53	ACR|2ASPD|1DMG|2CDMG|1AART|1AAC	1aLHND|2RCR|3aAEFBLL|4DMG|5AART|68ASPD|7aCDMG|9AAC|aBPWR
74	33221 11333	   	201.52	ACR|1BASARM|1VULN|1DMG|1AART	1LHND|2RCR|3CGEN|4MDPS|5AART|6AME|7VENFST|8VULN|9DMG|aBASARM
75	33221 34133	   	201.52	ACR|1BASARM|1VULN|1DMG|1AART	1LHND|2RCR|3CGEN|4MDPS|5AART|6VULN|7AME|8SPLREG|9DMG|aBASARM
76	33413 23526	   	201.22	ACR|2VULN|2BEXP|1ASPD|1DMG|1AAC	1LHND|2RCR|35BEXP|4aVULN|6DMG|7ASPD|8AAC|9ZMB
77	33534 31223	 * 	201.05	ACR|2VULN|2ASPD|1AART|1CDMG	1LHND|2RCR|3AEFBLL|4DUST|5AART|68VULN|7aASPD|9CDMG
78	33413 21552	   	200.85	ACR|3BEXP|1VULN|1ASPD|1DMG|1AAC	1LHND|2RCR|359BEXP|4VULN|6DMG|7MLV|8AAC|aASPD
79	33413 22552	   	200.85	ACR|3BEXP|1VULN|1ASPD|1DMG|1AAC	1LHND|2RCR|359BEXP|4VULN|6DMG|7CGEN|8AAC|aASPD
80	33413 23345	   	200.85	ACR|3BEXP|1VULN|1ASPD|1DMG|1AAC	1LHND|2RCR|358BEXP|4VULN|6DMG|7ASPD|9CGEN|aAAC
81	33413 23532	   	200.85	ACR|3BEXP|1VULN|1ASPD|1DMG|1AAC	19LHND|2RCR|35aBEXP|4VULN|6DMG|7ASPD|8AAC
82	33413 23652	   	200.85	ACR|3BEXP|1VULN|1ASPD|1DMG|1AAC	1LHND|2RCR|359BEXP|4VULN|6DMG|7ASPD|8DUR|aAAC
83	33552 33234	 * 	200.84	ACR|1BASARM|1VULN|1ASPD|1DMG	1LHND|2RCR|3AEFBLL|4DMG|5VULN|6DUST|7ASPD|8LSRREG|9AME|aBASARM
84	33413 23152	   	200.75	ACR|3BEXP|1VULN|1ASPD|1DMG|1AAC	1LHND|2RCR|359BEXP|4VULN|6DMG|7ASPD|8DUST|aAAC
85	33413 23255	   	200.75	ACR|3BEXP|1VULN|1ASPD|1DMG|1AAC	1LHND|2RCR|359BEXP|4VULN|6DMG|7ASPD|8AME|aAAC
86	33413 23551	   	200.75	ACR|3BEXP|1VULN|1ASPD|1DMG|1AAC	1LHND|2RCR|359BEXP|4VULN|6DMG|7ASPD|8AAC|aERES
87	33413 33315	   	200.75	ACR|3BEXP|1VULN|1ASPD|1DMG|1AAC	1LHND|2RCR|358BEXP|4VULN|6ERES|7ASPD|9DMG|aAAC
88	33554 33223	   	200.47	ACR|2ASPD|1DMG|1AART|1BEXP|1CDMG	1LHND|2RCR|3AEFBLL|4DMG|5AART|6MLV|7CDMG|8aASPD|9BEXP
89	33555 11231	   	200.37	ACR|3DMG|1ASPD|1AART|1CDMG	1LHND|2RCR|3AEFBLL|49aDMG|5CDMG|6ERES|7AART|8ASPD
90	33554 13323	   	200.37	ACR|2ASPD|1DMG|1AART|1BEXP|1CDMG	1LHND|2RCR|3AEFBLL|4DMG|5AART|6aASPD|7CDMG|8ERES|9BEXP
91	33431 33451	   	200.32	ACR|1BASARM|1ASPD|1DMG|1BEXP	16LHND|2RCR|3BEXP|4DMG|5RPLT|7RCVC|8BASARM|9ASPD|aLIT
92	33431 33452	   	200.32	ACR|1BASARM|1ASPD|1DMG|1BEXP	16LHND|2RCR|3BEXP|4DMG|5RPLT|7RCVC|8BASARM|9ASPD|aMLV
93	33431 33453	   	200.32	ACR|1BASARM|1ASPD|1DMG|1BEXP	16LHND|2RCR|3BEXP|4DMG|5RPLT|7RCVC|8BASARM|9ASPD|aFEWX
94	33431 33433	   	200.22	ACR|1BASARM|1ASPD|1DMG|1BEXP	16LHND|2RCR|3BEXP|4DMG|5RPLT|7RCVC|8BASARM|9LEGI|aASPD
95	33564 11222	   	200.17	ACR|2ASPD|1VULN|1AART|1BEXP|1CDMG	1LHND|2RCR|3AEFBLL|46ASPD|5AART|7FEWX|8VULN|9CDMG|aBEXP
96	33216 33433	   	200.01	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1LHND|2RCR|34CGEN|5DMG|6LWND|7BASARM|8CDMG|9AAC|aBEXP
97	33431 62324	 * 	199.95	ACR|2ASPD|2BEXP|1DMG|1AART	1aLHND|2RCR|3aBEXP|4DMG|5RPLT|6RMIN|7AART|8FEWX|9aASPD|aBPWR
98	33526 33433	   	199.91	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1LHND|2RCR|3AEFBLL|4CGEN|5DMG|6LWND|7BASARM|8CDMG|9AAC|aBEXP
99	33431 26136	   	199.87	ACR|2DMG|2BEXP|1VULN|1ASPD	1LHND|2RCR|37BEXP|49DMG|5RPLT|6VULN|8RMIN|aASPD
100	33424 26311	 * 	199.79	ACR|2ASPD|2DMG|2BEXP	18LHND|2RCR|3aBEXP|4LWND|5AEFBLL|6aDMG|7FEWX|9aASPD|aBPWR
101	33432 56311	   	199.79	ACR|2ASPD|2DMG|2BEXP	18aLHND|2RCR|36BEXP|4aDMG|5DUST|7FEWX|9aASPD|aBPWR
102	33413 23214	   	199.77	ACR|2ASPD|1VULN|2BEXP|1DMG	1LHND|2RCR|35BEXP|4VULN|6DMG|79ASPD|8AME|aLWND
103	33413 23216	   	199.77	ACR|2ASPD|1VULN|2BEXP|1DMG	1LHND|2RCR|35BEXP|4VULN|6DMG|79ASPD|8AME|aMLV
104	33426 23152	   	199.77	ACR|2DMG|2BEXP|1ASPD|1VULN	1LHND|2RCR|35BEXP|4LWND|69DMG|7ASPD|8DUST|aVULN
105	33413 23211	   	199.67	ACR|2ASPD|1VULN|2BEXP|1DMG	1LHND|2RCR|35BEXP|4VULN|6DMG|79ASPD|8AME|aAEMAG
106	33413 23213	   	199.67	ACR|2ASPD|1VULN|2BEXP|1DMG	1LHND|2RCR|35BEXP|4VULN|6DMG|79ASPD|8AME|aERES
107	33414 23212	   	199.67	ACR|2ASPD|1VULN|2BEXP|1DMG	1LHND|2RCR|3aBEXP|4VULN|5AEMAG|6DMG|79ASPD|8AME
108	33552 63212	   	199.67	ACR|2ASPD|1VULN|2BEXP|1DMG	1LHND|2RCR|3AEFBLL|4DMG|5VULN|6aBEXP|79ASPD|8AME
109	33323 31324	 * 	199.66	ACR|2VULN|2DMG|1ASPD|1CDMG	1LHND|2RCR|3LIT|4CGEN|58DMG|6ASPD|79VULN|aCDMG
110	33221 36161	   	199.01	ACR|1BASARM|2AART|1VULN	1LHND|2RCR|3aCGEN|4MDPS|57AART|6VULN|8AME|9BASARM
111	33221 36166	   	199.01	ACR|1BASARM|2AART|1VULN	1LHND|2RCR|3CGEN|4MDPS|57AART|6VULN|8AME|9BASARM|aFEWX
112	33142 14522	 * 	199.01	ACR|1BASARM|2VULN|1ASPD|1AAC	17LHND|2RCR|3AAC|4SNIHEL|59VULN|6ZMB|8BASARM|aASPD
113	33433 33314	   	198.93	ACR|2BEXP|1ASPD|1DMG|1VULN|1AART	1LHND|2RCR|38BEXP|4DMG|56LWND|7ASPD|9AART|aVULN
114	33413 21634	   	198.93	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|35BEXP|4VULN|6DMG|7MLV|8DUR|9AART|aASPD
115	33413 22634	   	198.93	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|35BEXP|4VULN|6DMG|7CGEN|8DUR|9AART|aASPD
116	33413 23411	   	198.93	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	18LHND|2RCR|35BEXP|4VULN|6DMG|7ASPD|9AART|aCGEN
117	33422 23314	   	198.93	ACR|2BEXP|1ASPD|1DMG|1VULN|1AART	1LHND|2RCR|38BEXP|45LWND|6DMG|7ASPD|9AART|aVULN
118	33221 36165	   	198.91	ACR|1BASARM|2AART|1VULN	1LHND|2RCR|3CGEN|4MDPS|57AART|6VULN|8AME|9BASARM|aDUST
119	33424 23314	   	198.83	ACR|2BEXP|1ASPD|1DMG|1VULN|1AART	1LHND|2RCR|38BEXP|4LWND|5AEFBLL|6DMG|7ASPD|9AART|aVULN
120	33435 23314	   	198.83	ACR|2BEXP|1ASPD|1DMG|1VULN|1AART	1LHND|2RCR|38BEXP|4DMG|5RMIN|6NUKE|7ASPD|9AART|aVULN
121	33552 63311	   	198.83	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|3AEFBLL|4DMG|5VULN|68BEXP|7ASPD|9AART|aCGEN
122	33413 21134	   	198.83	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|35BEXP|4VULN|6DMG|7MLV|8DUST|9AART|aASPD
123	33413 22134	   	198.83	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|35BEXP|4VULN|6DMG|7CGEN|8DUST|9AART|aASPD
124	33413 23412	   	198.83	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	18LHND|2RCR|35BEXP|4VULN|6DMG|7ASPD|9AART|aMDPS
125	33413 23416	   	198.83	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	18LHND|2RCR|35BEXP|4VULN|6DMG|7ASPD|9AART|aAME
126	33413 26134	   	198.83	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|35BEXP|4VULN|6DMG|7FEWX|8ERES|9AART|aASPD
127	33413 26234	   	198.83	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|35BEXP|4VULN|6DMG|7FEWX|8AME|9AART|aASPD
128	33413 33634	   	198.83	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|35BEXP|4VULN|6ERES|7ASPD|8DUR|9AART|aDMG
129	33414 23311	   	198.83	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|38BEXP|4VULN|5AEMAG|6DMG|7ASPD|9AART|aCGEN
130	33432 53114	   	198.73	ACR|2BEXP|1ASPD|1DMG|1VULN|1AART	1LHND|2RCR|36BEXP|4DMG|58DUST|7ASPD|9AART|aVULN
131	33552 63312	   	198.73	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|3AEFBLL|4DMG|5VULN|68BEXP|7ASPD|9AART|aMDPS
132	33413 25134	   	198.73	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|35BEXP|4VULN|6DMG|7ERES|8DUST|9AART|aASPD
133	33413 33134	   	198.73	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|35BEXP|4VULN|6ERES|7ASPD|8DUST|9AART|aDMG
134	33413 63134	   	198.73	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|35BEXP|4VULN|6DUST|7DMG|8ERES|9AART|aASPD
135	33413 63234	   	198.73	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|35BEXP|4VULN|6DUST|7DMG|8AME|9AART|aASPD
136	33414 23312	   	198.73	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|38BEXP|4VULN|5AEMAG|6DMG|7ASPD|9AART|aMDPS
137	33414 23316	   	198.73	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|38BEXP|4VULN|5AEMAG|6DMG|7ASPD|9AART|aAME
138	33413 21522	   	198.38	ACR|3BEXP|2DMG|1VULN|1AAC	1LHND|2RCR|35aBEXP|4VULN|69DMG|7MLV|8AAC
139	33413 24522	   	198.38	ACR|3BEXP|2DMG|1VULN|1AAC	1LHND|2RCR|35aBEXP|4VULN|69DMG|7ZMB|8AAC
140	33325 31341	   	198.37	ACR|2ASPD|2DMG|1VULN|1AAC	1LHND|2RCR|39LIT|4CGEN|5TLV|69ASPD|7VULN|89DMG|9BPWR|aAAC
141	33132 33333	   	198.37	ACR|2ASPD|2DMG|1VULN|1AAC	1LHND|2RCR|3AAC|4aDUR|5DUST|6LWND|7aDMG|8VULN|9aASPD|aBPWR
142	33133 43333	   	198.37	ACR|2ASPD|2DMG|1VULN|1AAC	1LHND|2RCR|3AAC|4aDUR|5LWND|6DUST|7aDMG|8VULN|9aASPD|aBPWR
143	33555 11223	   	198.37	ACR|2ASPD|1DMG|1AART|1BEXP|1CDMG	1LHND|2RCR|3AEFBLL|4DMG|5CDMG|6ERES|7AART|8aASPD|9BEXP
144	33431 32451	   	198.12	ACR|1BASARM|1ASPD|1DMG|1BEXP	167LHND|2RCR|3BEXP|4DMG|5RPLT|8BASARM|9ASPD|aLIT
145	33431 32452	   	198.12	ACR|1BASARM|1ASPD|1DMG|1BEXP	167LHND|2RCR|3BEXP|4DMG|5RPLT|8BASARM|9ASPD|aMLV
146	33431 32453	   	198.12	ACR|1BASARM|1ASPD|1DMG|1BEXP	167LHND|2RCR|3BEXP|4DMG|5RPLT|8BASARM|9ASPD|aFEWX
147	33221 32361	   	198.11	ACR|1BASARM|2AART|1VULN	1LHND|2RCR|3aCGEN|4MDPS|58AART|6VULN|7MLV|9BASARM
148	33221 32366	   	198.11	ACR|1BASARM|2AART|1VULN	1LHND|2RCR|3CGEN|4MDPS|58AART|6VULN|7MLV|9BASARM|aFEWX
149	33353 32462	   	198.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LHND|2RCR|3LIT|4RMIN|5DMG|6ASPD|7DUR|8MBVNT|9BASARM|aBEXP
150	33353 35252	   	198.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LHND|2RCR|3LIT|4RMIN|5DMG|6ASPD|7DUST|8DUR|9BASARM|aBEXP
151	33431 32433	   	198.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	167LHND|2RCR|3BEXP|4DMG|5RPLT|8BASARM|9LEGI|aASPD
152	33651 13433	   	198.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1LHND|2RCR|3FEWX|4CDMG|5RMIN|6ZMB|7DMG|8BASARM|9LEGI|aASPD
153	33221 32365	   	198.01	ACR|1BASARM|2AART|1VULN	1LHND|2RCR|3CGEN|4MDPS|58AART|6VULN|7MLV|9BASARM|aDUST
154	33221 34361	   	198.01	ACR|1BASARM|2AART|1VULN	1LHND|2RCR|3aCGEN|4MDPS|58AART|6VULN|7AME|9BASARM
155	33221 34366	   	198.01	ACR|1BASARM|2AART|1VULN	1LHND|2RCR|3CGEN|4MDPS|58AART|6VULN|7AME|9BASARM|aFEWX
156	33633 33351	 * 	197.96	ACR|3DMG|2BEXP|1ASPD	1aLHND|2RCR|3FEWX|49aDMG|56LWND|7ASPD|8aBEXP|aBPWR
157	33221 34365	   	197.91	ACR|1BASARM|2AART|1VULN	1LHND|2RCR|3CGEN|4MDPS|58AART|6VULN|7AME|9BASARM|aDUST
158	33624 23351	   	197.86	ACR|3DMG|2BEXP|1ASPD	1LHND|2RCR|3aFEWX|4LWND|5AEFBLL|69aDMG|7ASPD|8aBEXP|aBPWR
159	33413 23642	   	197.83	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LHND|2RCR|35BEXP|4VULN|6DMG|7ASPD|8DUR|9VENICY|aAART
160	33433 33316	   	197.75	ACR|2ASPD|2BEXP|1DMG|1AART	1LHND|2RCR|38BEXP|4DMG|56LWND|7aASPD|9AART
