0	Index      	 *	Score 	Summary	Detail	
1	13111 53134	 * 	229.57	ACR|2VULN|3ASPD|2DMG|2CDMG	19aASPD|2ERES|3aDMG|47VULN|5RCR|6LWND|8aCDMG|aBPWR
19	42111 11416	 * 	201.86	ACR|1BASARM|2ASPD|1DMG	1RPLT|2RCR|3LWND|4MDPS|5DMG|6NUKE|7FEWX|8BASARM|9aASPD
20	42211 11416	   	201.86	ACR|1BASARM|2ASPD|1DMG	1RPLT|2RCR|3DUR|4MDPS|5DMG|6NUKE|7FEWX|8BASARM|9aASPD
21	42111 12416	   	201.76	ACR|1BASARM|2ASPD|1DMG	1RPLT|2RCR|3LWND|4MDPS|5DMG|6NUKE|7DUST|8BASARM|9aASPD
22	42211 12416	   	201.76	ACR|1BASARM|2ASPD|1DMG	1RPLT|2RCR|3DUR|4MDPS|5DMG|6NUKE|7DUST|8BASARM|9aASPD
23	42516 32131	 * 	201.33	ACR|1BASARM|1ASPD|1BASICY|1BEXP	1RPLT|2RCR|3RCVC|4MDPS|5BASICY|6CGEN|7LWND|8BASARM|9BEXP|aASPD
24	13111 21246	   	200.94	ACR|2ASPD|2DMG|1VULN|2BEXP	1aASPD|2ERES|3aDMG|4VULN|5RCR|6RMIN|7LHND|8MBVNT|9aBEXP|aBPWR
25	13111 26246	   	200.94	ACR|2ASPD|2DMG|1VULN|2BEXP	1aASPD|2ERES|3aDMG|4VULN|5RCR|6RMIN|7DUR|8MBVNT|9aBEXP|aBPWR
26	13111 36246	   	200.94	ACR|2ASPD|2DMG|1VULN|2BEXP	1aASPD|2ERES|3aDMG|4VULN|5RCR|6FEWX|7RMIN|8MBVNT|9aBEXP|aBPWR
27	13111 56246	   	200.94	ACR|2ASPD|2DMG|1VULN|2BEXP	1aASPD|2ERES|3aDMG|4VULN|5RCR|6LWND|7RMIN|8MBVNT|9aBEXP|aBPWR
28	13163 21346	   	200.94	ACR|2ASPD|2DMG|2BEXP|1VULN	1aASPD|2ERES|3aDMG|4MBVNT|5RCR|6RMIN|7LHND|8VULN|9aBEXP|aBPWR
29	13163 22346	   	200.94	ACR|2ASPD|2DMG|2BEXP|1VULN	1aASPD|2ERES|3aDMG|4MBVNT|5RCR|6RMIN|7FEWX|8VULN|9aBEXP|aBPWR
30	13163 27346	   	200.94	ACR|2ASPD|2DMG|2BEXP|1VULN	1aASPD|2ERES|3aDMG|4MBVNT|5RCR|6RMIN|7DUR|8VULN|9aBEXP|aBPWR
31	13163 37346	   	200.94	ACR|2ASPD|2DMG|2BEXP|1VULN	1aASPD|2ERES|3aDMG|4MBVNT|5RCR|6FEWX|7RMIN|8VULN|9aBEXP|aBPWR
32	13163 38346	   	200.84	ACR|2ASPD|2DMG|2BEXP|1VULN	1aASPD|2ERES|3aDMG|4MBVNT|5RCR|6FEWX|7AAC|8VULN|9aBEXP|aBPWR
33	12115 12216	 * 	200.26	ACR|3VULN|2DMG|2ASPD	1aASPD|24LIT|34aVULN|4aBPWR|5RCR|69AEMAG|7MBVNT|8aDMG
34	12115 51236	   	200.26	ACR|3VULN|2ASPD|2DMG	1aASPD|24LIT|34aVULN|4aBPWR|5RCR|6AME|7ERES|8aDMG|9MBVNT
35	12135 12216	   	200.16	ACR|3VULN|2DMG|2ASPD	1aASPD|2LIT|34aVULN|5RCR|69AEMAG|7MBVNT|8aDMG|aBPWR
36	12135 51236	   	200.16	ACR|3VULN|2ASPD|2DMG	1aASPD|2LIT|34aVULN|5RCR|6AME|7ERES|8aDMG|9MBVNT|aBPWR
