0	Index      	 *	Score 	Summary	Detail	
1	42253 23213	 * 	213.19	ACR|3ASPD|3BEXP|1DMG|1VULN	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678ASPD|78BPWR|9DMG|aVULN
48	12123 31534	 * 	194.87	ACR|1BASARM|1VULN|1DMG|2AAC|1BEXP	1LHND|2BEXP|3DUR|49AAC|5RCR|6DMG|7DUST|8VULN|aBASARM
49	12413 31534	   	194.87	ACR|1BASARM|1VULN|1DMG|2AAC|1BEXP	1LHND|2BEXP|39AAC|4DUR|5RCR|6DMG|7DUST|8VULN|aBASARM
50	12463 16322	   	194.62	ACR|3VULN|1DMG|1AART|1BEXP|1CDMG|1AAC	1LHND|2BEXP|3AAC|467VULN|5RCR|8CDMG|9AART|aDMG
51	36363 34312	 * 	194.56	ACR|1BASARM|1VULN|2BEXP|2CDMG	1CGEN|2VULN|3LWND|46BEXP|5RCR|78CDMG|9DUR|aBASARM
52	26363 34312	   	194.46	ACR|1BASARM|1VULN|2BEXP|2CDMG	1ERES|2VULN|3LWND|46BEXP|5RCR|78CDMG|9DUR|aBASARM
53	42253 23212	   	194.42	ACR|3ASPD|3BEXP|1DMG	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678ASPD|78BPWR|9DMG|aCGEN
54	42253 23216	   	194.42	ACR|3ASPD|3BEXP|1DMG	178DUR|278BEXP|3ZMB|4aFEWX|5RCR|678ASPD|78BPWR|9DMG
55	42253 33212	   	194.42	ACR|3DMG|3BEXP|1ASPD	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678DMG|78BPWR|9ASPD|aCGEN
56	42253 33216	   	194.42	ACR|3DMG|3BEXP|1ASPD	178DUR|278BEXP|3ZMB|4aFEWX|5RCR|678DMG|78BPWR|9ASPD
57	42253 23211	   	194.32	ACR|3ASPD|3BEXP|1DMG	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678ASPD|78BPWR|9DMG|aDUST
58	42253 33211	   	194.32	ACR|3DMG|3BEXP|1ASPD	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678DMG|78BPWR|9ASPD|aDUST
59	11312 11443	   	193.82	ACR|1BASARM|1AART|1VULN|1DMG	1LHND|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9VULN|aLWND
60	11312 11446	   	193.82	ACR|1BASARM|1AART|1VULN|1DMG	1LHND|2aLIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9VULN
61	41212 11443	   	193.82	ACR|1BASARM|1AART|1VULN|1DMG	1DUR|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9VULN|aLWND
62	11312 11441	   	193.72	ACR|1BASARM|1AART|1VULN|1DMG	1LHND|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9VULN|aTLV
63	11312 11445	   	193.72	ACR|1BASARM|1AART|1VULN|1DMG	1LHND|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9VULN|aDUST
64	41212 11441	   	193.72	ACR|1BASARM|1AART|1VULN|1DMG	1DUR|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9VULN|aTLV
65	11312 21241	   	193.25	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|2LIT|3AART|4RCR|59DMG|6CDMG|78VULN|aMLV
66	11312 21242	   	193.25	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|2LIT|3AART|4RCR|59DMG|6CDMG|78VULN|aLWND
67	11312 21243	   	193.25	ACR|2VULN|2DMG|1AART|1CDMG	1aLHND|2LIT|3AART|4RCR|59DMG|6CDMG|78VULN
68	11312 21245	   	193.25	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|2LIT|3AART|4RCR|59DMG|6CDMG|78VULN|aBELT
69	11312 21246	   	193.25	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|2LIT|3AART|4RCR|59DMG|6CDMG|78VULN|aCGEN
70	41212 21364	   	193.15	ACR|2VULN|2DMG|1AART|1CDMG	1DUR|2LIT|3AART|4RCR|59DMG|6CDMG|7aVULN|8MDPS
71	12463 34322	 * 	193.14	ACR|1VULN|2BEXP|1DMG|2CDMG|1AART|1AAC	1LHND|26BEXP|3AAC|4VULN|5RCR|78CDMG|9AART|aDMG
72	11312 21112	 * 	193.11	ACR|2VULN|2AART|1DMG|1CDMG	1LHND|2LIT|38AART|4RCR|5DMG|6CDMG|7aVULN|9LWND
73	12423 62211	 * 	193.10	ACR|2ASPD|2DMG|2BEXP|1AAC	1aLHND|2aBEXP|3AAC|4LWND|5RCR|6MDPS|78ASPD|9aDMG|aBPWR
74	11312 21155	   	193.01	ACR|2VULN|2AART|1DMG|1CDMG	1LHND|2LIT|38AART|4RCR|5DMG|6CDMG|7aVULN|9LSRREG
75	11312 22644	   	193.01	ACR|2VULN|2AART|1DMG|1CDMG	1LHND|2LIT|38AART|4RCR|5DMG|6CDMG|7MDPS|9aVULN
76	43115 15322	   	192.96	ACR|1BASARM|1AART|1VULN|1CDMG|1BEXP	13DUR|2CDMG|4MDPS|5RCR|6AART|7BEXP|8BASARM|9LHND|aVULN
77	43115 15332	   	192.96	ACR|1BASARM|1AART|1VULN|1BEXP|1CDMG	13DUR|2CDMG|4MDPS|5RCR|6AART|7BEXP|8BASARM|9FEWX|aVULN
78	12463 14322	 * 	192.93	ACR|2VULN|1DMG|2CDMG|1AART|1BEXP|1AAC	1LHND|2BEXP|3AAC|46VULN|5RCR|78CDMG|9AART|aDMG
79	26621 24312	   	192.83	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	13ERES|2VULN|4RCR|5DUST|6AAC|7DMG|8CDMG|9DUR|aBASARM
80	41212 21144	   	192.27	ACR|2DMG|1VULN|1AART|1BEXP|1CDMG	1DUR|2LIT|3AART|4RCR|59DMG|6CDMG|7VULN|8DMSP|aBEXP
81	42253 23224	   	192.12	ACR|3ASPD|3BEXP|1VULN	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678ASPD|78BPWR|9LWND|aVULN
82	42253 33224	   	192.12	ACR|3DMG|3BEXP|1VULN	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678DMG|78BPWR|9LWND|aVULN
83	42253 23261	   	192.02	ACR|3ASPD|3BEXP|1VULN	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678ASPD|78BPWR|9MDPS|aVULN
84	42253 33261	   	192.02	ACR|3DMG|3BEXP|1VULN	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678DMG|78BPWR|9MDPS|aVULN
85	36363 14312	 * 	191.35	ACR|2VULN|1BASARM|2CDMG|1BEXP	1CGEN|26VULN|3LWND|4BEXP|5RCR|78CDMG|9DUR|aBASARM
86	11312 11413	   	191.31	ACR|1BASARM|1AART|1DMG|1BEXP	1LHND|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9RCVC|aBEXP
87	41212 11413	   	191.31	ACR|1BASARM|1AART|1DMG|1BEXP	1DUR|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9RCVC|aBEXP
88	26363 14312	   	191.25	ACR|2VULN|1BASARM|2CDMG|1BEXP	1ERES|26VULN|3LWND|4BEXP|5RCR|78CDMG|9DUR|aBASARM
89	11312 21114	   	191.13	ACR|2AART|1VULN|1DMG|1BEXP|1CDMG	1LHND|2LIT|38AART|4RCR|5DMG|6CDMG|7VULN|9LWND|aBEXP
90	11316 15143	   	190.34	ACR|2DMG|2BEXP|1AART|1CDMG	1aLHND|2aLIT|3AART|4RCR|5RCVC|6CDMG|79DMG|8aBEXP|aBPWR
91	11312 22666	   	190.33	ACR|2AART|1ASPD|1DMG|1BEXP|1CDMG	1LHND|2LIT|38AART|4RCR|5DMG|6CDMG|7MDPS|9ASPD|aBEXP
92	11312 21434	   	190.12	ACR|2BEXP|1VULN|1AART|1DMG|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|7VULN|8aBEXP|9RCVC
93	41212 21434	   	190.12	ACR|2BEXP|1VULN|1AART|1DMG|1CDMG	1DUR|2LIT|3AART|4RCR|5DMG|6CDMG|7VULN|8aBEXP|9RCVC
94	42253 23231	 * 	190.01	ACR|3ASPD|3BEXP|1AART	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678ASPD|78BPWR|9AART|aRPLT
95	42253 23232	   	190.01	ACR|3ASPD|3BEXP|1AART	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678ASPD|78BPWR|9AART|aLWND
96	42253 23236	   	190.01	ACR|3ASPD|3BEXP|1AART	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678ASPD|78BPWR|9AART|aCGEN
97	42253 33231	 * 	190.01	ACR|3DMG|3BEXP|1AART	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678DMG|78BPWR|9AART|aRPLT
98	42253 33232	   	190.01	ACR|3DMG|3BEXP|1AART	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678DMG|78BPWR|9AART|aLWND
99	42253 33236	   	190.01	ACR|3DMG|3BEXP|1AART	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678DMG|78BPWR|9AART|aCGEN
100	43115 15312	 * 	189.93	ACR|1BASARM|2BEXP|1AART|1CDMG	13DUR|2CDMG|4MDPS|5RCR|6AART|7aBEXP|8BASARM|9ERES
101	42253 23233	   	189.91	ACR|3ASPD|3BEXP|1AART	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678ASPD|78BPWR|9AART|aLSRREG
102	42253 33233	   	189.91	ACR|3DMG|3BEXP|1AART	178DUR|278BEXP|3ZMB|4FEWX|5RCR|678DMG|78BPWR|9AART|aLSRREG
103	11312 26143	   	189.74	ACR|2DMG|2BEXP|1AART|1CDMG	1aLHND|2aLIT|3AART|4RCR|59DMG|6CDMG|7RCVC|8aBEXP|aBPWR
104	41212 26143	   	189.74	ACR|2DMG|2BEXP|1AART|1CDMG	1aDUR|2aLIT|3AART|4RCR|59DMG|6CDMG|7RCVC|8aBEXP|aBPWR
105	11312 11453	   	189.71	ACR|1BASARM|1AART|1DMG|1BEXP	1LHND|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9ZMB|aBEXP
106	41212 11453	   	189.71	ACR|1BASARM|1AART|1DMG|1BEXP	1DUR|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9ZMB|aBEXP
107	21325 34342	   	189.69	ACR|2ASPD|2DMG|2BEXP	13aERES|23FEWX|3aBPWR|4RCR|5aBEXP|67DMG|8CGEN|9aASPD
108	11312 11423	   	189.61	ACR|1BASARM|1AART|1DMG|1BEXP	1LHND|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9ERES|aBEXP
109	11312 11433	   	189.61	ACR|1BASARM|1AART|1DMG|1BEXP	1LHND|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9NUKE|aBEXP
110	41212 11423	   	189.61	ACR|1BASARM|1AART|1DMG|1BEXP	1DUR|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9ERES|aBEXP
111	41212 11433	   	189.61	ACR|1BASARM|1AART|1DMG|1BEXP	1DUR|2LIT|3AART|4RCR|5DMG|6CGEN|7RPLT|8BASARM|9NUKE|aBEXP
112	11312 26144	   	189.54	ACR|2DMG|2BEXP|1AART|1CDMG	1LHND|2LIT|3AART|4RCR|59DMG|6CDMG|7RCVC|8aBEXP
113	11312 22144	   	189.30	ACR|1AART|1ASPD|1DMG|1VULN|1CDMG|1AAC	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|7MDPS|8AAC|9ASPD|aVULN
114	41212 22144	   	189.30	ACR|1AART|1ASPD|1DMG|1VULN|1CDMG|1AAC	1DUR|2LIT|3AART|4RCR|5DMG|6CDMG|7MDPS|8AAC|9ASPD|aVULN
115	12453 23252	   	189.17	ACR|3ASPD|2BEXP|1VULN|1AAC	178LHND|29BEXP|3AAC|478FEWX|5RCR|678ASPD|78BPWR|aVULN
116	12453 33252	   	189.17	ACR|3DMG|2BEXP|1VULN|1AAC	178LHND|29BEXP|3AAC|478FEWX|5RCR|678DMG|78BPWR|aVULN
117	36363 34212	   	189.15	ACR|1BASARM|1VULN|2BEXP|1CDMG	1CGEN|2VULN|3LWND|46BEXP|5RCR|7CDMG|8RCVC|9DUR|aBASARM
118	11312 21466	   	189.13	ACR|2AART|1VULN|1DMG|1BEXP|1CDMG	1LHND|2LIT|3aAART|4RCR|5DMG|6CDMG|7VULN|8BEXP|9MLV
119	26363 34212	   	189.05	ACR|1BASARM|1VULN|2BEXP|1CDMG	1ERES|2VULN|3LWND|46BEXP|5RCR|7CDMG|8RCVC|9DUR|aBASARM
120	11312 21316	   	189.03	ACR|2AART|1VULN|1DMG|1BEXP|1CDMG	1LHND|2LIT|3aAART|4RCR|5DMG|6CDMG|7VULN|8AME|9BEXP
121	32426 33362	 * 	189.01	DCR|1BASARM|2AART|1VULN|2AAC|1BEXP	1CGEN|29AAC|34AART|5BEXP|6BELT|7VULN|8BASARM|aRCR
122	42253 23313	 * 	188.96	ACR|2ASPD|2BEXP|1VULN|1AART|1AAC	17DUR|27BEXP|3ZMB|4FEWX|5RCR|67ASPD|7BPWR|8AAC|9VULN|aAART
123	42253 33313	 * 	188.96	ACR|2DMG|2BEXP|1VULN|1AART|1AAC	17DUR|27BEXP|3ZMB|4FEWX|5RCR|67DMG|7BPWR|8AAC|9VULN|aAART
124	11312 21432	   	188.92	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|7aVULN|8BEXP|9RCVC
125	41212 21432	   	188.92	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1DUR|2LIT|3AART|4RCR|5DMG|6CDMG|7aVULN|8BEXP|9RCVC
126	26621 25232	 * 	188.81	ACR|1BASARM|2VULN|1DMG|1AAC	13ERES|28VULN|4RCR|5DUST|6AAC|7RPLT|9DMG|aBASARM
127	12463 14123	 * 	188.66	ACR|2VULN|3BEXP|1AART|1CDMG|1AAC	1LHND|28aBEXP|3AAC|46VULN|5RCR|7CDMG|9AART
128	12463 36323	   	188.66	ACR|2VULN|3BEXP|1AART|1CDMG|1AAC	1LHND|26aBEXP|3AAC|47VULN|5RCR|8CDMG|9AART
129	12123 21534	   	188.63	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC	1LHND|2BEXP|3DUR|4AAC|5RCR|6ASPD|7DUST|8VULN|9RCVC|aBASARM
130	12123 31544	   	188.63	ACR|1BASARM|1VULN|1DMG|1BEXP|1AAC	1LHND|2BEXP|3DUR|4AAC|5RCR|6DMG|7DUST|8VULN|9RCVC|aBASARM
131	12413 21534	   	188.63	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AAC	1LHND|2BEXP|3AAC|4DUR|5RCR|6ASPD|7DUST|8VULN|9RCVC|aBASARM
132	11312 21451	   	188.52	ACR|2BEXP|1VULN|1AART|1DMG|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|7VULN|89BEXP|aFEWX
133	11312 21455	   	188.52	ACR|2BEXP|1VULN|1AART|1DMG|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|7VULN|89BEXP|aBELT
134	11312 21456	   	188.52	ACR|2BEXP|1VULN|1AART|1DMG|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|7VULN|89BEXP|aCGEN
135	41212 21451	   	188.52	ACR|2BEXP|1VULN|1AART|1DMG|1CDMG	1DUR|2LIT|3AART|4RCR|5DMG|6CDMG|7VULN|89BEXP|aFEWX
136	11312 21453	   	188.42	ACR|2BEXP|1VULN|1AART|1DMG|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|7VULN|89BEXP|aMDPS
137	41212 21453	   	188.42	ACR|2BEXP|1VULN|1AART|1DMG|1CDMG	1DUR|2LIT|3AART|4RCR|5DMG|6CDMG|7VULN|89BEXP|aMDPS
138	42263 11522	   	188.32	ACR|3VULN|1DMG|1AART|1BEXP|1CDMG	1DUR|2BEXP|3ZMB|469VULN|5RCR|7AART|8CDMG|aDMG
139	12463 34222	   	187.73	ACR|1VULN|2BEXP|1DMG|1AART|1CDMG|1AAC	1LHND|26BEXP|3AAC|4VULN|5RCR|7CDMG|8RCVC|9AART|aDMG
140	11313 15143	   	187.54	ACR|2DMG|2BEXP|1AART|1CDMG	1aLHND|25aLIT|3AART|4RCR|6CDMG|79DMG|8aBEXP|aBPWR
141	41213 15143	   	187.54	ACR|2DMG|2BEXP|1AART|1CDMG	1aDUR|25aLIT|3AART|4RCR|6CDMG|79DMG|8aBEXP|aBPWR
142	11313 15144	   	187.34	ACR|2DMG|2BEXP|1AART|1CDMG	1LHND|25LIT|3AART|4RCR|6CDMG|79DMG|8aBEXP
143	11312 21214	   	187.31	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|78VULN|9LWND|aBEXP
144	11312 21414	   	187.31	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|7aVULN|8BEXP|9FEWX
145	11312 21441	   	187.31	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|79VULN|8BEXP|aFEWX
146	11312 21445	   	187.31	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|79VULN|8BEXP|aBELT
147	11312 21446	   	187.31	ACR|2VULN|1AART|1DMG|1CDMG|1BEXP	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|79VULN|8BEXP|aCGEN
148	11312 21461	   	187.31	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|7aVULN|8BEXP|9MLV
149	41212 21414	   	187.31	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1DUR|2LIT|3AART|4RCR|5DMG|6CDMG|7aVULN|8BEXP|9FEWX
150	41212 21423	   	187.31	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1DUR|2LIT|3AART|4RCR|5DMG|6CDMG|7aVULN|8BEXP|9BELT
151	41212 21441	   	187.31	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1DUR|2LIT|3AART|4RCR|5DMG|6CDMG|79VULN|8BEXP|aFEWX
152	41212 21461	   	187.31	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1DUR|2LIT|3AART|4RCR|5DMG|6CDMG|7aVULN|8BEXP|9MLV
153	36313 24162	   	187.25	ACR|1BASARM|1VULN|2BEXP|1CDMG	1CGEN|2VULN|3LWND|46DUR|5RCR|7CDMG|89BEXP|aBASARM
154	11312 24144	   	187.24	ACR|2DMG|2BEXP|1AART|1CDMG	1LHND|2LIT|3AART|4RCR|59DMG|6CDMG|7AEFBLL|8aBEXP
155	11312 21311	   	187.21	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|7aVULN|8AME|9BEXP
156	11312 21443	   	187.21	ACR|2VULN|1AART|1DMG|1BEXP|1CDMG	1LHND|2LIT|3AART|4RCR|5DMG|6CDMG|79VULN|8BEXP|aMDPS
