0	Index      	 *	Score 	Summary	Detail	
1	61223 51342	 * 	226.39	ACR|1BASARM|2DMG|2BEXP|2AART	16AART|2ERES|38BEXP|4RCR|5DUST|7aDMG|9BASARM
23	63221 35133	   	201.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|2CGEN|3BEXP|4RCR|56ERES|79VULN|8ASPD|aBASARM
24	63322 15133	   	201.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|2CGEN|3AEMAG|4RCR|5ERES|6BEXP|79VULN|8ASPD|aBASARM
25	63322 66133	   	201.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|2CGEN|3AEMAG|4RCR|5ERES|69VULN|7BEXP|8ASPD|aBASARM
26	63326 16133	   	201.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|2CGEN|3AEMAG|4RCR|59VULN|6ERES|7BEXP|8ASPD|aBASARM
27	66221 35133	   	201.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|2MLV|3BEXP|4RCR|56ERES|79VULN|8ASPD|aBASARM
28	66322 15133	   	201.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|2MLV|3AEMAG|4RCR|5ERES|6BEXP|79VULN|8ASPD|aBASARM
29	61222 62133	   	201.37	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1AART|26ERES|3BEXP|4RCR|59VULN|7AME|8ASPD|aBASARM
30	63222 41123	 * 	200.68	ACR|2BEXP|2AART|1ASPD|1DMG|1BASICY	1aAART|2CGEN|36BEXP|4RCR|5LHND|7DMG|8ASPD|9BASICY
31	61223 41123	   	200.48	ACR|2BEXP|2AART|1ASPD|1DMG|1BASICY	1aAART|2ERES|36BEXP|4RCR|5DUST|7DMG|8ASPD|9BASICY
32	61222 41135	 * 	199.96	ACR|3VULN|2BEXP|1ASPD|1DMG|1AART	1AART|2ERES|36BEXP|4RCR|59aVULN|7DMG|8ASPD
33	61222 51135	 * 	197.57	ACR|3VULN|2AART|1ASPD|1DMG|1BEXP	16AART|2ERES|3BEXP|4RCR|59aVULN|7DMG|8ASPD
34	63222 51123	 * 	197.29	ACR|3AART|1ASPD|1DMG|1BASICY|1BEXP	16aAART|2CGEN|3BEXP|4RCR|5LHND|7DMG|8ASPD|9BASICY
35	61223 51123	   	197.09	ACR|3AART|1ASPD|1DMG|1BASICY|1BEXP	16aAART|2ERES|3BEXP|4RCR|5DUST|7DMG|8ASPD|9BASICY
36	63223 53432	   	196.44	ACR|1BASARM|2BEXP|1DMG|1AART	1AART|2CGEN|39BEXP|4RCR|5LIT|6DUR|7SPLREG|8BASARM|aDMG
