0	Index      	 *	Score 	Summary	Detail	
1	23223 51241	 * 	243.34	ACR|1BASARM|2ASPD|2AART|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9aAART
30	12422 46322	 * 	216.25	ACR|3ASPD|2VULN|2DMG	19VULN|2MDPS|3RCR|489ASPD|5AEMAG|6CGEN|79DMG|9BPWR|aLIT
31	12422 46323	   	216.25	ACR|3ASPD|2VULN|2DMG	19VULN|2MDPS|3RCR|489ASPD|5AEMAG|6CGEN|79DMG|9BPWR|aRPLT
32	26123 51262	   	216.25	ACR|3ASPD|1BASARM|1BEXP|1CDMG	17ZMB|27SPLREG|3BEXP|4RCR|5CDMG|679ASPD|7BPWR|8BASARM|aRCVC
33	12422 46321	   	216.15	ACR|3ASPD|2VULN|2DMG	19VULN|2MDPS|3RCR|489ASPD|5AEMAG|6CGEN|79DMG|9BPWR|aERES
34	23223 52262	   	216.15	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1ZMB|2BEXP|3SPLARM|4RCR|5CDMG|679ASPD|8BASARM|aRCVC
35	26123 52262	   	216.15	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1ZMB|2SPLREG|3BEXP|4RCR|5CDMG|679ASPD|8BASARM|aRCVC
36	12424 26321	 * 	216.01	ACR|4VULN|2ASPD|2DMG	169aVULN|2MDPS|3RCR|48ASPD|59MLV|79DMG|9BPWR
37	23223 51133	 * 	215.88	ACR|3BEXP|2ASPD|1DMG|1VULN|1CDMG	17ZMB|278BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|9DMG|aVULN
38	26123 51261	   	214.95	ACR|3ASPD|1BASARM|1BEXP|1CDMG	17ZMB|27SPLREG|3BEXP|4RCR|5CDMG|679ASPD|7BPWR|8BASARM|aLHND
39	26123 51243	   	214.94	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	17ZMB|27SPLREG|3BEXP|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9AART|aLHND
40	23223 52261	   	214.85	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1ZMB|2BEXP|3SPLARM|4RCR|5CDMG|679ASPD|8BASARM|aLHND
41	23223 52266	   	214.85	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1ZMB|2BEXP|3SPLARM|4RCR|5CDMG|679ASPD|8BASARM|aRPLT
42	26123 51263	   	214.85	ACR|3ASPD|1BASARM|1BEXP|1CDMG	17ZMB|27SPLREG|3BEXP|4RCR|5CDMG|679ASPD|7BPWR|8BASARM|aTLV
43	26123 52261	   	214.85	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1ZMB|2SPLREG|3BEXP|4RCR|5CDMG|679ASPD|8BASARM|aLHND
44	23223 52243	   	214.84	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	1ZMB|2BEXP|3SPLARM|4RCR|5CDMG|67ASPD|8BASARM|9AART|aLHND
45	23223 52245	   	214.84	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	1ZMB|2BEXP|3SPLARM|4RCR|5CDMG|67ASPD|8BASARM|9AART|aCGEN
46	23223 52246	   	214.84	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	1ZMB|2BEXP|3SPLARM|4RCR|5CDMG|67ASPD|8BASARM|9AART|aLIT
47	26123 52243	   	214.84	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	1ZMB|2SPLREG|3BEXP|4RCR|5CDMG|67ASPD|8BASARM|9AART|aLHND
48	23223 52263	   	214.75	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1ZMB|2BEXP|3SPLARM|4RCR|5CDMG|679ASPD|8BASARM|aTLV
49	26123 52263	   	214.75	ACR|3ASPD|1BASARM|1BEXP|1CDMG	1ZMB|2SPLREG|3BEXP|4RCR|5CDMG|679ASPD|8BASARM|aTLV
50	15352 32143	 * 	214.28	ACR|2VULN|2DMG|3CDMG|1ASPD|1AAC|1SELL	1aVULN|2aDMG|3DUR|4RCR|5AAC|6SELL|7ASPD|89aCDMG|aBPWR
51	23223 51214	   	214.23	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9FEWX|aCGEN
52	23223 51215	   	214.23	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9FEWX|aBELT
53	23223 51231	   	214.23	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9CGEN|aMLV
54	23223 51213	   	214.13	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9FEWX|aERES
55	23223 51232	   	214.13	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9CGEN|aDUST
56	23223 51235	   	214.13	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9CGEN|aTLV
57	23223 51236	   	214.13	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9CGEN|aMBVNT
58	23223 51251	   	214.13	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9NUKE|aMLV
59	26123 51211	   	214.13	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17ZMB|27SPLREG|3aBEXP|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9FEWX
60	26123 51234	   	214.13	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17ZMB|27SPLREG|3aBEXP|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9CGEN
61	23223 51252	   	214.03	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9NUKE|aDUST
62	23223 51255	   	214.03	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9NUKE|aTLV
63	23223 51256	   	214.03	ACR|1BASARM|2ASPD|2BEXP|1CDMG	17ZMB|27BEXP|3SPLARM|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9NUKE|aMBVNT
64	23223 52211	   	214.03	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1ZMB|2aBEXP|3SPLARM|4RCR|5CDMG|67ASPD|8BASARM|9FEWX
65	23223 52234	   	214.03	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1ZMB|2aBEXP|3SPLARM|4RCR|5CDMG|67ASPD|8BASARM|9CGEN
66	26123 52211	   	214.03	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1ZMB|2SPLREG|3aBEXP|4RCR|5CDMG|67ASPD|8BASARM|9FEWX
67	26123 52234	   	214.03	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1ZMB|2SPLREG|3aBEXP|4RCR|5CDMG|67ASPD|8BASARM|9CGEN
68	26123 51233	   	213.94	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	17ZMB|27SPLREG|3BEXP|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9CGEN|aAART
69	23223 52254	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1ZMB|2aBEXP|3SPLARM|4RCR|5CDMG|67ASPD|8BASARM|9NUKE
70	23223 52233	   	213.84	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	1ZMB|2BEXP|3SPLARM|4RCR|5CDMG|67ASPD|8BASARM|9CGEN|aAART
71	26123 51253	   	213.84	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	17ZMB|27SPLREG|3BEXP|4RCR|5CDMG|67ASPD|7BPWR|8BASARM|9NUKE|aAART
72	26123 52233	   	213.84	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	1ZMB|2SPLREG|3BEXP|4RCR|5CDMG|67ASPD|8BASARM|9CGEN|aAART
73	23223 52253	   	213.74	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	1ZMB|2BEXP|3SPLARM|4RCR|5CDMG|67ASPD|8BASARM|9NUKE|aAART
74	26123 52253	   	213.74	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	1ZMB|2SPLREG|3BEXP|4RCR|5CDMG|67ASPD|8BASARM|9NUKE|aAART
