0	Index      	 *	Score 	Summary	Detail	
1	13132 56223	 * 	203.44	ACR|2ASPD|2DMG|2BEXP|1AART	1DUR|2aBEXP|3LIT|4RCR|5DUST|6aDMG|7CGEN|8AART|9aASPD|aBPWR
41	34341 22243	 * 	180.51	ACR|2ASPD|2BEXP|2CDMG|1AART|1SELL	19ASPD|29BEXP|3LWND|4MDPS|5RCR|6ZMB|79CDMG|8SELL|9BPWR|aAART
42	34233 32233	   	180.27	DCR|3ASPD|3BEXP|1VULN|1DMG	138ASPD|259BEXP|4LIT|6VULN|7DMG|aRCR
43	34234 12233	   	180.27	DCR|3ASPD|3BEXP|1VULN|1DMG	138ASPD|279BEXP|4LIT|5VULN|6DMG|aRCR
44	31641 12413	 * 	179.44	ACR|1VULN|2AART|1ASPD|2CDMG|1BEXP	1ASPD|2VULN|3BEXP|4MDPS|5RCR|6aAART|7CGEN|89CDMG
45	31641 13413	   	179.34	ACR|1VULN|2AART|1ASPD|2CDMG|1BEXP	1ASPD|2VULN|3BEXP|4MDPS|5RCR|6aAART|7ERES|89CDMG
46	31341 32412	   	179.32	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1ASPD|2VULN|3LWND|4MDPS|5RCR|68BEXP|7ZMB|9AART|aDMG
47	31341 34411	   	179.32	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1ASPD|2VULN|3LWND|4MDPS|5RCR|68BEXP|7DMG|9AART|aDUR
48	31341 34413	   	179.32	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1ASPD|2VULN|3LWND|4MDPS|5RCR|68BEXP|7DMG|9AART|aZMB
49	31341 34116	 * 	179.06	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP	1ASPD|2aVULN|38LWND|4MDPS|5RCR|6BEXP|7DMG|9AART
50	31233 33346	 * 	179.05	DCR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	13ASPD|2VULN|4BEXP|5DUR|6ERES|7CDMG|8MDPS|9BASARM|aRCR
51	34213 33346	   	179.05	DCR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	13ASPD|2BEXP|4VULN|5DUR|6ERES|7CDMG|8MDPS|9BASARM|aRCR
52	31341 61253	 * 	178.89	ACR|2VULN|2ASPD|1AART|1CDMG	18ASPD|29VULN|38LWND|4MDPS|5RCR|6AART|78DUST|8BPWR|aCDMG
53	31341 34431	 * 	178.77	ACR|1VULN|2BEXP|1ASPD|1DMG|1CDMG	1ASPD|2VULN|3LWND|4MDPS|5RCR|68BEXP|7DMG|9RCVC|aCDMG
54	31341 61252	 * 	178.76	ACR|2VULN|2ASPD|2AART	18ASPD|29VULN|38LWND|4MDPS|5RCR|6aAART|78DUST|8BPWR
55	61133 61331	   	178.72	ACR|2VULN|1ASPD|1DMG|1AART|1AAC	1aVULN|2LHND|3LIT|4RCR|5MBVNT|6DMG|7ASPD|8AART|9AAC
56	61133 53448	   	178.14	ACR|2VULN|2ASPD|2BEXP	1aVULN|2LHND|3aLIT|4RCR|5MBVNT|69BEXP|7ERES|8aASPD|aBPWR
57	31641 11261	 * 	177.78	ACR|2ASPD|1VULN|2BEXP|1AART|1CDMG|1SELL	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9SELL|aCDMG
58	32251 22434	 * 	177.52	3VULN|3ASPD|3DMG|1AART	139ASPD|26aDUST|49aDMG|5AAC|7AART|89aVULN|9aBPWR
59	31641 11243	   	177.07	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9SNIHEL|aRCVC
60	31341 65213	   	177.06	ACR|2ASPD|1VULN|2AART|1CDMG	17ASPD|2VULN|3LWND|4MDPS|5RCR|69AART|8CDMG|aRPLT
61	31341 65223	   	177.06	ACR|2ASPD|1VULN|2AART|1CDMG	17ASPD|2VULN|3LWND|4MDPS|5RCR|6aAART|8CDMG|9MLV
62	31141 46313	 * 	177.05	ACR|2VULN|3ASPD|2DMG|1BEXP|1MSE	189ASPD|28VULN|3MSE|4MDPS|5RCR|6AEMAG|78DMG|8BPWR|aBEXP
63	31641 14231	   	177.04	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78LHND|8BPWR|9RMIN|aDUR
64	31641 14233	   	177.04	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78LHND|8BPWR|9RMIN|aMLV
65	31641 16232	   	177.04	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78FEWX|8BPWR|9RMIN|aDUR
66	31341 65211	   	176.96	ACR|2ASPD|1VULN|2AART|1CDMG	17ASPD|2VULN|3LWND|4MDPS|5RCR|69AART|8CDMG|aAME
67	31641 14211	   	176.94	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78LHND|8BPWR|9ERES|aDUR
68	31641 14213	   	176.94	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78LHND|8BPWR|9ERES|aMLV
69	31641 14221	   	176.94	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78LHND|8BPWR|9DUST|aDUR
70	31641 14222	   	176.94	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78LHND|8BPWR|9DUST|aLWND
71	31641 14223	   	176.94	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78LHND|8BPWR|9DUST|aCGEN
72	31641 16211	   	176.94	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78FEWX|8BPWR|9ERES|aDUR
73	31641 16213	   	176.94	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78FEWX|8BPWR|9ERES|aMLV
74	31641 16221	   	176.94	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78FEWX|8BPWR|9DUST|aDUR
75	31641 16222	   	176.94	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78FEWX|8BPWR|9DUST|aLWND
76	31641 16223	   	176.94	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78FEWX|8BPWR|9DUST|aCGEN
77	31641 16233	   	176.94	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78FEWX|8BPWR|9RMIN|aDUST
78	31341 65233	   	176.93	ACR|2ASPD|1VULN|1AART|1BEXP|1CDMG	17ASPD|2VULN|3LWND|4MDPS|5RCR|6AART|8CDMG|9BEXP|aRPLT
79	31341 33535	   	176.84	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|3LWND|4MDPS|5RCR|6aBEXP|7FEWX|9AART
80	31641 11232	   	176.84	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9RMIN|aDUR
81	31641 11235	   	176.84	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9RMIN|aLHND
82	31641 11211	   	176.74	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9ERES|aDUR
83	31641 11213	   	176.74	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9ERES|aMLV
84	31641 11215	   	176.74	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9ERES|aLHND
85	31641 11233	   	176.74	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78aDUST|8BPWR|9RMIN
86	31641 11241	   	176.74	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9SNIHEL|aLIT
87	31641 11242	   	176.74	ACR|2ASPD|1VULN|2BEXP|1AART	18ASPD|2VULN|38BEXP|4MDPS|5RCR|6AART|78DUST|8BPWR|9SNIHEL|aDUR
88	61133 43155	 * 	176.69	ACR|2VULN|2BEXP|1DMG|1AART	19VULN|29LHND|3LIT|4RCR|5MBVNT|6AART|7CGEN|89BEXP|9BPWR|aDMG
89	61135 21134	   	176.59	ACR|2VULN|2BEXP|1DMG|1AART	19VULN|2LHND|39LIT|4RCR|5ERES|6AART|7DUST|89BEXP|9BPWR|aDMG
90	13134 46221	   	176.59	ACR|2VULN|2BEXP|1ASPD|1AART	1DUR|26BEXP|3LIT|4RCR|5FEWX|7aVULN|8AART|9ASPD
91	61133 44781	   	176.49	ACR|2VULN|2BEXP|1ASPD|1AART	1aVULN|2LHND|3LIT|4RCR|5MBVNT|6AART|78BEXP|9ASPD
92	66132 43221	   	176.49	ACR|2VULN|2BEXP|1ASPD|1AART	1aVULN|2FEWX|3LIT|4RCR|5DUST|67BEXP|8AART|9ASPD
93	63134 43221	   	176.49	ACR|2VULN|2BEXP|1ASPD|1AART	1aVULN|2DUST|3LIT|4RCR|5FEWX|67BEXP|8AART|9ASPD
94	31641 11622	   	176.49	ACR|2VULN|2ASPD|1AART|1BEXP	19ASPD|2aVULN|3BEXP|4MDPS|5RCR|6AART|7DUST|8LIT
95	31641 15331	   	175.80	ACR|2ASPD|1VULN|2AART|1BEXP	17ASPD|2VULN|3BEXP|4MDPS|5RCR|6aAART|8FEWX|9RMIN
96	61133 42385	 * 	175.19	ACR|1BASARM|1VULN|1AART|1BEXP	1VULN|2LHND|3LIT|4RCR|5MBVNT|6AART|7DUR|8FEWX|9BEXP|aBASARM
97	61133 44355	   	175.19	ACR|1BASARM|1VULN|1AART|1BEXP	1VULN|2LHND|3LIT|4RCR|5MBVNT|6AART|7BEXP|8FEWX|9DUR|aBASARM
98	34233 36223	 * 	175.14	DCR|3ASPD|3BEXP|1VULN|1AART	139ASPD|257BEXP|4LIT|6VULN|8AART|aRCR
99	61133 44315	   	175.09	ACR|1BASARM|1VULN|1AART|1BEXP	1VULN|2LHND|3LIT|4RCR|5MBVNT|6AART|7BEXP|8FEWX|9DUST|aBASARM
100	61133 44615	   	175.09	ACR|1BASARM|1VULN|1AART|1BEXP	1VULN|2LHND|3LIT|4RCR|5MBVNT|6AART|7BEXP|8DUR|9DUST|aBASARM
101	16132 56223	   	174.95	ACR|2ASPD|2DMG|1AART	1DUR|2aFEWX|3LIT|4RCR|5DUST|6aDMG|7CGEN|8AART|9aASPD|aBPWR
102	11133 61228	   	174.70	ACR|2DMG|1ASPD|1VULN|1AART	1DUR|2LHND|3LIT|4RCR|5MBVNT|69DMG|7ASPD|8AART|aVULN
103	16133 61228	   	174.70	ACR|2ASPD|1DMG|1VULN|1AART	1DUR|2FEWX|3LIT|4RCR|5MBVNT|6DMG|79ASPD|8AART|aVULN
104	16133 61248	   	174.70	ACR|2DMG|1ASPD|1VULN|1AART	1DUR|2FEWX|3LIT|4RCR|5MBVNT|69DMG|7ASPD|8AART|aVULN
105	63134 51221	   	174.70	ACR|2DMG|1VULN|1ASPD|1AART	1VULN|2DUST|3LIT|4RCR|5aFEWX|69DMG|7ASPD|8AART
106	63134 51222	   	174.70	ACR|2DMG|1VULN|1ASPD|1AART	1VULN|2DUST|3LIT|4RCR|5FEWX|69DMG|7ASPD|8AART|aCGEN
107	66132 51221	   	174.70	ACR|2DMG|1VULN|1ASPD|1AART	1VULN|2aFEWX|3LIT|4RCR|5DUST|69DMG|7ASPD|8AART
108	66132 51222	   	174.70	ACR|2DMG|1VULN|1ASPD|1AART	1VULN|2FEWX|3LIT|4RCR|5DUST|69DMG|7ASPD|8AART|aCGEN
109	66133 61221	   	174.70	ACR|2DMG|1VULN|1ASPD|1AART	1VULN|2aFEWX|3LIT|4RCR|5MBVNT|69DMG|7ASPD|8AART
110	66133 61222	   	174.70	ACR|2DMG|1VULN|1ASPD|1AART	1VULN|2FEWX|3LIT|4RCR|5MBVNT|69DMG|7ASPD|8AART|aCGEN
111	12133 61228	   	174.60	ACR|2ASPD|1DMG|1VULN|1AART	1DUR|2LEGI|3LIT|4RCR|5MBVNT|6DMG|79ASPD|8AART|aVULN
112	12133 61248	   	174.60	ACR|2DMG|1ASPD|1VULN|1AART	1DUR|2LEGI|3LIT|4RCR|5MBVNT|69DMG|7ASPD|8AART|aVULN
113	63134 51223	   	174.60	ACR|2DMG|1VULN|1ASPD|1AART	1VULN|2DUST|3LIT|4RCR|5FEWX|69DMG|7ASPD|8AART|aERES
114	66132 51223	   	174.60	ACR|2DMG|1VULN|1ASPD|1AART	1VULN|2FEWX|3LIT|4RCR|5DUST|69DMG|7ASPD|8AART|aERES
115	66133 61223	   	174.60	ACR|2DMG|1VULN|1ASPD|1AART	1VULN|2FEWX|3LIT|4RCR|5MBVNT|69DMG|7ASPD|8AART|aERES
116	32256 21234	 * 	174.11	DCR|3ASPD|2DMG|1VULN|1CDMG	138ASPD|25DUST|47DMG|6CDMG|9VULN|aRCR
117	32341 23441	   	173.96	ACR|2ASPD|2DMG|1VULN	19ASPD|29DUST|3LWND|4MDPS|5RCR|6ZMB|7RCVC|89DMG|9BPWR|aVULN
