0	Index      	 *	Score 	Summary	Detail	
1	51226 21231	 * 	300.95	ACR|DCR|5VULN|1DMG	1368aVULN|29RCR|4DMG|5ERES|7LWND
22	51243 21251	   	280.87	ACR|DCR|4VULN|1MLV	1378VULN|29RCR|4MLV|5BBNT|6LIT|aRCVC
23	51243 21253	   	280.87	ACR|DCR|4VULN|1MLV	1378VULN|29RCR|4MLV|5BBNT|6LIT|aFEWX
24	51226 11234	   	280.68	ACR|DCR|3VULN|1DMG|1MLV	138VULN|29RCR|4DMG|5ERES|6RCVC|7LWND|aMLV
25	51226 21533	   	280.68	ACR|DCR|3VULN|1DMG|1MLV	136VULN|29RCR|4DMG|5ERES|7LWND|8MLV|aFEWX
26	51226 63233	   	280.68	ACR|DCR|3VULN|1DMG|1MLV	138VULN|29RCR|4DMG|5ERES|6CGEN|7MLV|aBEXP
27	51226 21531	   	280.58	ACR|DCR|3VULN|1DMG|1MLV	136VULN|29RCR|4DMG|5ERES|7LWND|8MLV|aDUST
28	51226 21532	   	280.58	ACR|DCR|3VULN|1DMG|1MLV	136VULN|29RCR|4DMG|5ERES|7LWND|8MLV|aMBVNT
29	51226 63232	   	280.58	ACR|DCR|3VULN|1DMG|1MLV	138VULN|29RCR|4DMG|5ERES|6CGEN|7MLV|aMDPS
30	51226 32342	 * 	280.45	ACR|DCR|3VULN|2DMG|2ZMB	139VULN|27RCR|49DMG|5ERES|6LIT|89ZMB|9BPWR|aBBNT
31	51226 32341	 * 	280.35	ACR|DCR|3VULN|2DMG|2ZMB	139VULN|27RCR|49DMG|5aERES|6LIT|89ZMB|9BPWR
32	31242 21251	   	280.30	DCR|DCR|3VULN	1MDPS|2LIT|3CGEN|4LWND|578VULN|69RCR|aDUR
33	31652 21251	   	280.30	DCR|DCR|3VULN	1MDPS|2LIT|3LWND|4CGEN|578VULN|69RCR|aDUR
34	35522 21252	   	280.30	DCR|DCR|3VULN	1MDPS|2TLV|3DUR|4LIT|578VULN|69RCR|aFEWX
35	51223 13336	   	279.27	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	13VULN|29RCR|4DMG|5BBNT|6CGEN|7ASPD|8MLV|aDUR
36	51236 32343	 * 	278.56	ACR|DCR|3VULN|2ASPD|2ZMB	139VULN|27RCR|49ASPD|5ERES|6LIT|89ZMB|9BPWR|aRPLT
37	51236 11231	   	276.88	ACR|DCR|4VULN|1ASPD	138aVULN|29RCR|4ASPD|5ERES|6RCVC|7LWND
38	51236 21233	   	276.88	ACR|DCR|4VULN|1ASPD	1368VULN|29RCR|4ASPD|5ERES|7LWND|aBEXP
39	51236 21235	   	276.88	ACR|DCR|4VULN|1ASPD	1368VULN|29RCR|4ASPD|5ERES|7LWND|aAAC
40	51236 21236	   	276.88	ACR|DCR|4VULN|1ASPD	1368VULN|29RCR|4ASPD|5ERES|7LWND|aLHND
41	51536 21231	   	276.88	ACR|DCR|4VULN|1ASPD	168aVULN|29RCR|3DMSP|4ASPD|5ERES|7LWND
42	51236 21232	   	276.78	ACR|DCR|4VULN|1ASPD	1368VULN|29RCR|4ASPD|5ERES|7LWND|aMDPS
43	51236 32621	   	274.70	ACR|DCR|3VULN|1ASPD	13aVULN|27RCR|4ASPD|5ERES|6LIT|8DUR|9AART
44	51116 53231	   	274.27	ACR|DCR|3VULN|1MLV|1ASPD	18aVULN|29RCR|34CGEN|5ERES|6ASPD|7MLV
45	51236 11234	   	274.27	ACR|DCR|3VULN|1MLV|1ASPD	138VULN|29RCR|4ASPD|5ERES|6RCVC|7LWND|aMLV
46	51236 21533	   	274.27	ACR|DCR|3VULN|1MLV|1ASPD	136VULN|29RCR|4ASPD|5ERES|7LWND|8MLV|aFEWX
47	51236 63233	   	274.27	ACR|DCR|3VULN|1MLV|1ASPD	138VULN|29RCR|4ASPD|5ERES|6CGEN|7MLV|aBEXP
48	25522 41232	 * 	274.20	ACR|DCR|2VULN|2ASPD|1DMG	1BBNT|29RCR|34ASPD|4BPWR|5DMG|68VULN|7DUR|aRCVC
49	25522 41233	   	274.20	ACR|DCR|2VULN|2ASPD|1DMG	1BBNT|29RCR|34ASPD|4BPWR|5DMG|68VULN|7DUR|aFEWX
50	51236 21531	   	274.17	ACR|DCR|3VULN|1MLV|1ASPD	136VULN|29RCR|4ASPD|5ERES|7LWND|8MLV|aDUST
51	51236 21532	   	274.17	ACR|DCR|3VULN|1MLV|1ASPD	136VULN|29RCR|4ASPD|5ERES|7LWND|8MLV|aMBVNT
52	51236 63232	   	274.17	ACR|DCR|3VULN|1MLV|1ASPD	138VULN|29RCR|4ASPD|5ERES|6CGEN|7MLV|aMDPS
53	25522 41231	   	274.10	ACR|DCR|2VULN|2ASPD|1DMG|1MSE	1BBNT|29RCR|34ASPD|4BPWR|5DMG|68VULN|7DUR|aMSE
54	51226 32121	   	272.81	ACR|DCR|3VULN|1DMG	13aVULN|27RCR|4DMG|5ERES|6LIT|8LWND|9AART
55	51226 32221	   	272.81	ACR|DCR|3VULN|1DMG	13aVULN|27RCR|4DMG|5ERES|6LIT|8FEWX|9AART
56	51226 32521	   	272.81	ACR|DCR|3VULN|1DMG	13aVULN|27RCR|4DMG|5ERES|6LIT|8LHND|9AART
57	51252 31311	   	272.81	ACR|DCR|3VULN|1DMG	136VULN|29RCR|4LWND|5RPLT|7MULHEA|8BBNT|aDMG
58	51262 22331	   	272.81	ACR|DCR|3VULN|1DMG	134VULN|2aRCR|5AART|6TBNT|7BLASTR|8DMG|9LHND
59	51262 25331	   	272.81	ACR|DCR|3VULN|1DMG	134VULN|2aRCR|5AART|6TBNT|7CANARM|8DMG|9LHND
60	31242 21252	   	271.99	DCR|DCR|3VULN	1MDPS|2LIT|3CGEN|4LWND|578VULN|69RCR|aFEWX
61	31242 21254	   	271.99	DCR|DCR|3VULN	1MDPS|2LIT|3CGEN|4LWND|578VULN|69RCR|aDMSP
62	31652 21252	   	271.99	DCR|DCR|3VULN	1MDPS|2LIT|3LWND|4CGEN|578VULN|69RCR|aFEWX
63	31242 21253	   	271.89	DCR|DCR|3VULN	1MDPS|2LIT|3CGEN|4LWND|578VULN|69RCR|aDUST
64	31242 21255	   	271.89	DCR|DCR|3VULN	1MDPS|2LIT|3CGEN|4LWND|578VULN|69RCR|aSPLREG
65	31652 21253	   	271.89	DCR|DCR|3VULN	1MDPS|2LIT|3LWND|4CGEN|578VULN|69RCR|aDUST
66	21124 23832	   	271.79	DCR|DCR|3VULN	1BBNT|2ERES|3CGEN|46aVULN|5MBVNT|79RCR|8DUST
67	21324 46532	   	271.79	DCR|DCR|3VULN	1BBNT|2ERES|3RMIN|47aVULN|5MBVNT|6DUST|89RCR
68	54123 32631	   	271.79	DCR|DCR|3VULN	14aVULN|2AME|36ERES|5TLV|7AAC|89RCR
69	51223 13332	   	270.97	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	13VULN|29RCR|4DMG|5BBNT|6CGEN|7ASPD|8MLV|aRCVC
70	51223 13333	   	270.97	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	13VULN|29RCR|4DMG|5BBNT|6CGEN|7ASPD|8MLV|aFEWX
71	51223 13334	   	270.97	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	13VULN|29RCR|4DMG|5BBNT|6CGEN|7ASPD|8MLV|aAAC
