0	Index      	 *	Score 	Summary	Detail	
1	41132 63631	 * 	296.69	DCR|4VULN|2MLV|2TLV	13TLV|278aVULN|45MLV|6MDPS|9RCR
20	41422 16311	   	282.33	DCR|3VULN|2MLV|1TLV|1DMG	1TLV|23aVULN|4ERES|57MLV|6RCR|8BEXP|9DMG
21	41132 23632	 * 	282.16	DCR|2VULN|3TLV|2MLV|1DMG	137TLV|28VULN|45MLV|6AEFBLL|9RCR|aDMG
22	41132 35632	   	281.45	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|28VULN|45MLV|6AETHUN|7DUR|9RCR|aDMG
23	41432 16131	   	279.36	DCR|3VULN|2MLV|1TLV|1AAC	1TLV|23aVULN|45MLV|6CGEN|7AAC|8LHND|9RCR
24	45612 23131	   	279.36	DCR|3VULN|2MLV|1TLV|1AAC	1TLV|2RMIN|3AAC|45MLV|67aVULN|8LHND|9RCR
25	41432 21323	   	278.98	DCR|3VULN|2MLV|1TLV	1TLV|23aVULN|45MLV|6AEFBLL|7AART|8RCR|9DUR
26	41132 12315	   	278.65	DCR|2VULN|3TLV|2MLV|1ASPD	138TLV|28VULN|45MLV|6CGEN|78LHND|8BPWR|9ASPD|aRCR
27	41442 12211	 * 	278.40	DCR|4VULN|1TLV|1MLV|1DMG	1TLV|237aVULN|4ZMB|5MLV|6RCR|8MBVNT|9DMG
28	41442 12311	   	278.40	DCR|4VULN|1TLV|1MLV|1DMG	1TLV|237aVULN|4ZMB|5MLV|6RCR|8BEXP|9DMG
29	41122 16633	   	277.64	DCR|2VULN|2MLV|2TLV|1ASPD	13TLV|29VULN|4ERES|57MLV|6RCR|8ASPD|aAART
30	41132 63633	   	276.55	DCR|3VULN|2MLV|2TLV	13TLV|278VULN|45MLV|6MDPS|9RCR|aLIT
31	41132 31631	   	276.55	DCR|3VULN|2MLV|2TLV	13TLV|28aVULN|45MLV|6AETHUN|7LHND|9RCR
32	41132 51631	   	276.55	DCR|3VULN|2MLV|2TLV	13TLV|28aVULN|45MLV|6DUST|7LHND|9RCR
33	41132 53131	   	276.55	DCR|3VULN|2MLV|2TLV	13TLV|27aVULN|45MLV|6DUST|8LHND|9RCR
34	41432 63232	   	276.55	DCR|3VULN|2MLV|2TLV	1aTLV|237VULN|45MLV|6MDPS|8CGEN|9RCR
35	41422 16212	 * 	276.46	DCR|2VULN|2MLV|2DMG|1TLV	1TLV|23VULN|4ERES|57MLV|6RCR|8MBVNT|9aDMG
36	41422 16312	   	276.46	DCR|2VULN|2MLV|2DMG|1TLV	1TLV|23VULN|4ERES|57MLV|6RCR|8BEXP|9aDMG
37	41132 22431	   	276.45	DCR|3VULN|2MLV|2TLV	13TLV|27aVULN|45MLV|6AEFBLL|8MDPS|9RCR
38	41132 26631	   	276.45	DCR|3VULN|2MLV|2TLV	13TLV|28aVULN|45MLV|6AEFBLL|7MDPS|9RCR
39	41132 33131	   	276.45	DCR|3VULN|2MLV|2TLV	13TLV|27aVULN|45MLV|6AETHUN|8LEGI|9RCR
40	41132 33431	   	276.45	DCR|3VULN|2MLV|2TLV	13TLV|27aVULN|45MLV|6AETHUN|8BEXP|9RCR
41	41132 53431	   	276.45	DCR|3VULN|2MLV|2TLV	13TLV|27aVULN|45MLV|6DUST|8BEXP|9RCR
42	41432 23431	   	276.45	DCR|3VULN|2MLV|2TLV	17TLV|23aVULN|45MLV|6AEFBLL|8MDPS|9RCR
43	41432 16132	   	275.96	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1TLV|23VULN|45MLV|6CGEN|7AAC|8LHND|9RCR|aDMG
44	45612 23132	   	275.96	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1TLV|2RMIN|3AAC|45MLV|67VULN|8LHND|9RCR|aDMG
45	33312 13212	   	275.94	DCR|3VULN|2DMG|1TLV|1MLV	1RCVC|2BBNT|389VULN|4TLV|59VENFST|6RCR|79DMG|9BPWR|aMLV
46	33316 13212	   	275.94	DCR|3VULN|2DMG|1TLV|1MLV	1RCVC|2BBNT|389VULN|4TLV|59LSRHEA|6RCR|79DMG|9BPWR|aMLV
47	41442 12212	   	275.84	DCR|3VULN|2DMG|1TLV|1MLV	1TLV|237VULN|4ZMB|5MLV|6RCR|8MBVNT|9aDMG
48	41442 12312	   	275.84	DCR|3VULN|2DMG|1TLV|1MLV	1TLV|237VULN|4ZMB|5MLV|6RCR|8BEXP|9aDMG
49	41652 12211	   	275.04	DCR|3VULN|1TLV|1MLV|1DMG|1AAC	1TLV|27aVULN|3AAC|4AEFBLL|5MLV|6RCR|8MBVNT|9DMG
50	41652 12311	   	275.04	DCR|3VULN|1TLV|1MLV|1DMG|1AAC	1TLV|27aVULN|3AAC|4AEFBLL|5MLV|6RCR|8BEXP|9DMG
51	41432 21343	   	274.22	DCR|2VULN|2MLV|1TLV|1DMG	1TLV|23VULN|45MLV|6AEFBLL|7AART|8RCR|9RAT|aDMG
52	41122 13641	   	273.15	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|2aVULN|4ERES|59MLV|6RCR|7LHND|8DMG
53	41122 16411	   	273.15	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|2aVULN|4ERES|57MLV|6RCR|8LWND|9DMG
54	41132 31632	   	273.15	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|28VULN|45MLV|6AETHUN|7LHND|9RCR|aDMG
55	41132 51632	   	273.15	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|28VULN|45MLV|6DUST|7LHND|9RCR|aDMG
56	41132 53132	   	273.15	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|27VULN|45MLV|6DUST|8LHND|9RCR|aDMG
57	41132 63236	   	273.15	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|27VULN|45MLV|6MDPS|8CGEN|9RCR|aDMG
58	41142 16211	   	273.15	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|2aVULN|4ZMB|57MLV|6RCR|8MBVNT|9DMG
59	41142 16311	   	273.15	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|2aVULN|4ZMB|57MLV|6RCR|8BEXP|9DMG
60	41122 16211	   	273.05	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|2aVULN|4ERES|57MLV|6RCR|8MBVNT|9DMG
61	41122 16311	   	273.05	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|2aVULN|4ERES|57MLV|6RCR|8BEXP|9DMG
62	41132 22432	   	273.05	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|27VULN|45MLV|6AEFBLL|8MDPS|9RCR|aDMG
63	41132 26632	   	273.05	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|28VULN|45MLV|6AEFBLL|7MDPS|9RCR|aDMG
64	41132 33132	   	273.05	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|27VULN|45MLV|6AETHUN|8LEGI|9RCR|aDMG
65	41132 33432	   	273.05	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|27VULN|45MLV|6AETHUN|8BEXP|9RCR|aDMG
66	41132 53432	   	273.05	DCR|2VULN|2MLV|2TLV|1DMG	13TLV|27VULN|45MLV|6DUST|8BEXP|9RCR|aDMG
67	41432 23432	   	273.05	DCR|2VULN|2MLV|2TLV|1DMG	17TLV|23VULN|45MLV|6AEFBLL|8MDPS|9RCR|aDMG
68	41132 13511	 * 	272.83	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	13TLV|2VULN|45MLV|6CGEN|79ASPD|8AAC|aRCR
69	41136 33631	   	272.61	DCR|4VULN|2TLV|1MLV	13TLV|278aVULN|4MLV|5LHND|6LWND|9RCR
70	41136 33632	   	272.52	DCR|3VULN|2TLV|1MLV|1DMG	13TLV|278VULN|4MLV|5LHND|6LWND|9RCR|aDMG
71	41142 12411	   	272.52	DCR|3VULN|2TLV|1MLV|1DMG	13TLV|27aVULN|4ZMB|5MLV|6RCR|8LWND|9DMG
72	41134 33631	   	272.51	DCR|4VULN|2TLV|1MLV	13TLV|278aVULN|4MLV|5DUST|6LWND|9RCR
73	41136 13631	   	272.51	DCR|4VULN|2TLV|1MLV	13TLV|278aVULN|4MLV|5LHND|6AETHUN|9RCR
74	41122 13651	   	272.42	DCR|3VULN|2TLV|1MLV|1DMG	13TLV|29aVULN|4ERES|5MLV|6RCR|7LHND|8DMG
75	41134 33632	   	272.42	DCR|3VULN|2TLV|1MLV|1DMG	13TLV|278VULN|4MLV|5DUST|6LWND|9RCR|aDMG
76	41136 13632	   	272.42	DCR|3VULN|2TLV|1MLV|1DMG	13TLV|278VULN|4MLV|5LHND|6AETHUN|9RCR|aDMG
77	41142 12211	   	272.42	DCR|3VULN|2TLV|1MLV|1DMG	13TLV|27aVULN|4ZMB|5MLV|6RCR|8MBVNT|9DMG
78	41142 12311	   	272.42	DCR|3VULN|2TLV|1MLV|1DMG	13TLV|27aVULN|4ZMB|5MLV|6RCR|8BEXP|9DMG
79	41134 13631	   	272.41	DCR|4VULN|2TLV|1MLV	13TLV|278aVULN|4MLV|5DUST|6AETHUN|9RCR
80	41134 13632	   	272.32	DCR|3VULN|2TLV|1MLV|1DMG	13TLV|278VULN|4MLV|5DUST|6AETHUN|9RCR|aDMG
81	41432 13521	   	272.15	DCR|2VULN|2MLV|1TLV|1AAC|1ASPD	1TLV|23VULN|45MLV|6CGEN|7ASPD|8AAC|9DMSP|aRCR
82	41432 21313	   	270.58	DCR|3VULN|2MLV|1TLV	1TLV|23aVULN|45MLV|6AEFBLL|7AART|8RCR|9DUST
83	41432 21334	   	270.58	DCR|3VULN|2MLV|1TLV	1TLV|23aVULN|45MLV|6AEFBLL|7AART|8RCR|9BEXP
84	41132 16131	   	270.08	DCR|2VULN|2MLV|2TLV|1AAC	13TLV|2aVULN|45MLV|6CGEN|7AAC|8LHND|9RCR
85	41132 16431	   	269.98	DCR|2VULN|2MLV|2TLV|1AAC	13TLV|2aVULN|45MLV|6CGEN|7AAC|8BEXP|9RCR
86	41132 63235	   	269.98	DCR|2VULN|2MLV|2TLV|1AAC	13TLV|27VULN|45MLV|6MDPS|8CGEN|9RCR|aAAC
87	41432 13215	   	269.84	DCR|2VULN|2MLV|1TLV|2ASPD	1TLV|23VULN|45MLV|6CGEN|79ASPD|8TBNT|aRCR
88	41132 21323	   	269.70	DCR|2VULN|2MLV|2TLV	13TLV|2aVULN|45MLV|6AEFBLL|7AART|8RCR|9DUR
89	34363 33118	 * 	269.49	DCR|DCR|2TLV|1VULN	1RCVC|23TLV|3BPWR|4MBVNT|5VULN|6RAT|7LHND|8aRCR|9BEXP
90	42112 23515	   	269.43	DCR|2VULN|2MLV|2TLV|1ASPD	13TLV|2FEWX|45MLV|67VULN|8ZMB|9ASPD|aRCR
91	41132 21354	   	269.39	DCR|3MLV|2TLV|1VULN|1CDMG	13TLV|2VULN|45aMLV|6AEFBLL|7AART|8RCR|9CDMG
92	41122 16631	   	269.33	DCR|2VULN|2MLV|2TLV|1ASPD	13TLV|29VULN|4ERES|57MLV|6RCR|8ASPD|aTBNT
93	41122 16632	   	269.33	DCR|2VULN|2MLV|2TLV|1ASPD	13TLV|29VULN|4ERES|57MLV|6RCR|8ASPD|aRPLT
94	41132 33515	   	269.33	DCR|2VULN|2MLV|2TLV|1ASPD	13TLV|27VULN|45MLV|6AETHUN|8ZMB|9ASPD|aRCR
95	41652 12212	   	269.17	DCR|2VULN|2DMG|1TLV|1MLV|1AAC	1TLV|27VULN|3AAC|4AEFBLL|5MLV|6RCR|8MBVNT|9aDMG
96	41652 12312	   	269.17	DCR|2VULN|2DMG|1TLV|1MLV|1AAC	1TLV|27VULN|3AAC|4AEFBLL|5MLV|6RCR|8BEXP|9aDMG
97	41611 23632	   	269.09	DCR|4VULN|1TLV|1DMG|1AAC	1TLV|2678VULN|3AAC|4MDPS|5RCVC|9RCR|aDMG
98	42251 21222	 * 	268.64	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2FEWX|3TBNT|4VULN|5RPLT|6VENICY|7DMG|8LIT|9aRCR
99	42251 51222	   	268.54	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2FEWX|3TBNT|4VULN|5RPLT|6LSRREG|7DMG|8LIT|9aRCR
100	41132 21346	   	268.33	DCR|2VULN|2MLV|2TLV	13TLV|2aVULN|45MLV|6AEFBLL|7AART|8RCR|9RAT
101	41142 12623	 * 	268.14	DCR|2VULN|2TLV|2ASPD|1MLV	13TLV|27VULN|4ZMB|5MLV|6RCR|89ASPD|aAART
102	34613 16111	   	267.93	DCR|2VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	1RCVC|2TLV|3AAC|4ERES|5aVULN|6RCR|7MLV|8ASPD|9DMG
