0	Index      	 *	Score 	Summary	Detail	
1	42313 42122	 * 	266.45	紫2基础对甲3基地爆炸2攻速1易伤1伤害	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9矿等a伤害
32	42313 42333	   	250.78	紫2基础对甲3攻速1易伤2基地爆炸	1技能27基础对甲3核4易伤57基地爆炸67a攻速7序列升级8策反9矿等
33	42313 42433	   	250.78	紫2基础对甲3攻速1易伤2基地爆炸	1技能27基础对甲3核4易伤57基地爆炸67a攻速7序列升级8随机矿9矿等
34	42313 42633	   	250.78	紫2基础对甲3攻速1易伤2基地爆炸	1技能27基础对甲3核4易伤57基地爆炸67a攻速7序列升级8金币生成9矿等
35	42313 42313	   	250.68	紫2基础对甲3攻速1易伤2基地爆炸	1技能27基础对甲3核4易伤57基地爆炸67a攻速7序列升级8策反9掉矿
36	42313 42362	   	250.68	紫2基础对甲3攻速1易伤2基地爆炸	1技能27基础对甲3核4易伤57基地爆炸679攻速7序列升级8策反a掉矿
37	42313 42413	   	250.68	紫2基础对甲3攻速1易伤2基地爆炸	1技能27基础对甲3核4易伤57基地爆炸67a攻速7序列升级8随机矿9掉矿
38	42313 42613	   	250.68	紫2基础对甲3攻速1易伤2基地爆炸	1技能27基础对甲3核4易伤57基地爆炸67a攻速7序列升级8金币生成9掉矿
39	42313 42363	   	250.53	紫2基础对甲3攻速1易伤2基地爆炸1卖塔	1技能27基础对甲3核4易伤57基地爆炸679攻速7序列升级8策反a卖塔
40	42313 44123	 * 	249.52	紫3攻速1基础对甲2易伤2基地爆炸	1技能2基础对甲3核4a易伤58基地爆炸679攻速
41	42313 42511	   	248.77	紫2基础对甲2攻速1易伤2基地爆炸1暴击	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8最后敌人9暴击a低血量敌人
42	42313 42211	   	248.67	紫2基础对甲2攻速1易伤2基地爆炸1暴击	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9暴击a低血量敌人
43	42313 42215	   	248.67	紫2基础对甲2攻速1易伤2基地爆炸1暴击	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9暴击a策反
44	42313 42217	   	248.67	紫2基础对甲2攻速1易伤2基地爆炸1暴击	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9暴击a敌人爆炸
45	42313 42513	   	248.67	紫2基础对甲2攻速1易伤2基地爆炸1暴击	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8最后敌人9暴击a掉矿
46	42313 42213	   	248.57	紫2基础对甲2攻速1易伤2基地爆炸1暴击	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9暴击a掉矿
47	42313 42216	   	248.57	紫2基础对甲2攻速1易伤2基地爆炸1暴击	1技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9暴击a挖尘
48	42313 42246	   	246.07	紫2基础对甲2易伤2攻速2基地爆炸	1技能27基础对甲3核4a易伤57基地爆炸67攻速7序列升级8加一9导弹对绿
49	42313 42111	   	245.08	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9最后敌人a策反
50	42313 42115	   	245.08	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9最后敌人a低血量敌人
51	42313 42126	   	245.08	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9矿等a敌人爆炸
52	42313 42131	   	245.08	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9低血量敌人a策反
53	42313 42135	   	245.08	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9a低血量敌人
54	42313 42136	   	245.08	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9低血量敌人a雷电
55	42313 42152	   	245.08	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9平台a时间
56	42313 42153	   	245.08	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9平台a敌人爆炸
57	42313 42116	   	244.98	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9最后敌人a加一
58	42313 42121	   	244.98	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9矿等a双倍秒伤
59	42313 42124	   	244.98	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9矿等a狙击对黄
60	42313 42141	   	244.98	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9挖尘a策反
61	42313 42151	   	244.98	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9平台a掉矿
62	42313 42161	   	244.98	紫2基础对甲3基地爆炸2攻速1易伤	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9金币生成a双倍秒伤
63	42313 42113	   	244.84	紫2基础对甲3基地爆炸2攻速1易伤1卖塔	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9最后敌人a卖塔
64	42313 42123	   	244.84	紫2基础对甲3基地爆炸2攻速1易伤1卖塔	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9矿等a卖塔
65	42313 42133	   	244.84	紫2基础对甲3基地爆炸2攻速1易伤1卖塔	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9低血量敌人a卖塔
66	42313 42163	   	244.84	紫2基础对甲3基地爆炸2攻速1易伤1卖塔	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9金币生成a卖塔
67	42313 42143	   	244.74	紫2基础对甲3基地爆炸2攻速1易伤1卖塔	1技能27基础对甲3核4易伤578基地爆炸67攻速7序列升级9挖尘a卖塔
68	42311 22364	 * 	244.24	紫3基础对甲2易伤3基地爆炸1暴击	1技能278基础对甲3核49易伤578掉矿678基地爆炸78序列升级a暴击
69	42313 42242	   	241.46	紫2基础对甲2攻速1易伤2基地爆炸	1a技能27基础对甲3核4易伤57基地爆炸67攻速7序列升级8加一9导弹对绿
70	42313 44112	   	240.40	紫1基础对甲2攻速1易伤2基地爆炸1伤害	1技能2基础对甲3核4易伤58基地爆炸67攻速9伤害a矿等
71	35662 33323	 * 	240.38	紫3易伤3攻速2基地爆炸1全技能1暴击	1a基地爆炸23a易伤4暴击5核6喷火对黄79a攻速8全技能a序列升级
72	42312 42132	   	240.35	紫2基础对甲2攻速1易伤1伤害1基地爆炸	1技能27基础对甲3核4易伤57低血量敌人67攻速7序列升级8基地爆炸9时间a伤害
73	42313 41113	   	240.30	紫1基础对甲2攻速1易伤2基地爆炸1伤害	17技能2基础对甲3核4易伤58基地爆炸6a攻速9伤害
74	42312 42162	   	240.25	紫2基础对甲2攻速1易伤1伤害1基地爆炸	1技能27基础对甲3核4易伤57低血量敌人67攻速7序列升级8基地爆炸9挖青a伤害
75	42313 12346	   	240.06	紫3基础对甲3基地爆炸1易伤1伤害	1技能278基础对甲3核4易伤578基地爆炸678等级78序列升级9立即金币a伤害
76	42313 22323	   	239.60	紫3基础对甲3基地爆炸1易伤1伤害	1技能278基础对甲3核4易伤578基地爆炸678金币生成78序列升级9最后敌人a伤害
77	42313 22353	   	239.60	紫3基础对甲3基地爆炸1易伤1伤害	1技能278基础对甲3核4易伤578基地爆炸678金币生成78序列升级9低血量敌人a伤害
78	42314 22323	   	239.60	紫3基础对甲3基地爆炸1易伤1伤害	1技能278基础对甲3核4易伤578金币生成678基地爆炸78序列升级9最后敌人a伤害
79	42314 22353	   	239.60	紫3基础对甲3基地爆炸1易伤1伤害	1技能278基础对甲3核4易伤578金币生成678基地爆炸78序列升级9低血量敌人a伤害
80	42312 42126	   	239.37	紫2基础对甲2攻速1易伤1基础对冰1基地爆炸	1技能27基础对甲3核4易伤57低血量敌人67攻速7序列升级8基地爆炸9基础对冰a立即金币
81	42311 22321	   	239.30	紫3基础对甲3基地爆炸1易伤1攻速	1技能278基础对甲3核4易伤578掉矿678基地爆炸78序列升级9敌人爆炸a攻速
82	42313 12332	   	239.20	紫3基础对甲3基地爆炸1易伤1伤害	1技能278基础对甲3核4易伤578基地爆炸678等级78序列升级9技能点a伤害
83	42312 42122	   	239.04	紫2基础对甲2攻速1易伤1基础对冰1基地爆炸	1技能27基础对甲3核4易伤57低血量敌人67攻速7序列升级8基地爆炸9基础对冰a策反
84	42312 42123	   	239.04	紫2基础对甲2攻速1易伤1基础对冰1基地爆炸	1技能27基础对甲3核4易伤57低血量敌人67攻速7序列升级8基地爆炸9基础对冰a敌人爆炸
85	42312 42523	   	239.04	紫2基础对甲2攻速1易伤1基础对冰1基地爆炸	1技能27基础对甲3核4易伤57低血量敌人67攻速7序列升级8最后敌人9基础对冰a基地爆炸
86	42312 42121	   	238.94	紫2基础对甲2攻速1易伤1基础对冰1基地爆炸	1技能27基础对甲3核4易伤57低血量敌人67攻速7序列升级8基地爆炸9基础对冰a挖尘
87	42312 42124	   	238.94	紫2基础对甲2攻速1易伤1基础对冰1基地爆炸	1技能27基础对甲3核4易伤57低血量敌人67攻速7序列升级8基地爆炸9基础对冰a等级
88	42311 22363	 * 	237.64	紫3基础对甲3易伤3基地爆炸	1技能278基础对甲3核49a易伤578掉矿678基地爆炸78序列升级
