0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16123 12241	1	 * 	279.27	DCR|4VULN|3DUR|3LIT|2CDMG	1RPLT|27aLIT|357DUR|467aVULN|7aBPWR|8RCR|9aCDMG
19	16123 12262	1	   	254.00	DCR|4VULN|3DUR|2LIT	1RPLT|27LIT|357DUR|467aVULN|7BPWR|8RCR|9ERES
20	51113 31452	1	   	253.88	DCR|3VULN|1TLV|1DMG|2AART|1DUR	1BEXP|24aVULN|39AART|5DUR|6DMG|7RCR|8TLV
21	36223 31364	4	   	253.84	DCR|3VULN|2DMG|1TLV|2ASPD	126ERES|28BPWR|38DMG|4TLV|58ASPD|78aVULN|9RCR
22	32241 25613	2	 * 	253.83	DCR|4VULN|3TLV|1DUR	18ERES|268TLV|3LIT|4DUR|568aVULN|68BPWR|7RCR|9RPLT
23	32241 25621	2	   	253.83	DCR|4VULN|3TLV|1DUR	18ERES|268TLV|3LIT|4DUR|568aVULN|68BPWR|7RCR|9MLV
24	32221 25631	2	   	253.83	DCR|4VULN|3TLV|1DUR	18ERES|268TLV|3LIT|4FEWX|568aVULN|68BPWR|7RCR|9DUR
25	32231 25631	2	   	253.83	DCR|4VULN|3TLV|1DUR	18ERES|268TLV|3LIT|4LWND|568aVULN|68BPWR|7RCR|9DUR
26	32261 25631	2	   	253.83	DCR|4VULN|3TLV|1DUR	18ERES|268TLV|3LIT|4LHND|568aVULN|68BPWR|7RCR|9DUR
27	32241 25413	2	 * 	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1ERES|26TLV|3LIT|4DUR|56aVULN|6BPWR|7RCR|8DMG|9LHND
28	32241 25422	2	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1ERES|26TLV|3LIT|4DUR|569VULN|6BPWR|7RCR|8DMG|aMLV
29	32241 25433	2	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1ERES|26TLV|3LIT|4DUR|56aVULN|6BPWR|7RCR|8DMG|9CGEN
30	32241 25523	2	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1ERES|26TLV|3LIT|4DUR|569VULN|6BPWR|7RCR|8ZMB|aDMG
31	32221 25425	2	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1ERES|26TLV|3LIT|4FEWX|569VULN|6BPWR|7RCR|8DMG|aDUR
32	32221 25443	2	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1ERES|26TLV|3LIT|4FEWX|56aVULN|6BPWR|7RCR|8DMG|9DUR
33	32231 25443	2	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1ERES|26TLV|3LIT|4LWND|56aVULN|6BPWR|7RCR|8DMG|9DUR
34	32241 25421	2	   	252.74	DCR|3VULN|2TLV|1DMG|1DUR	1aERES|26TLV|3LIT|4DUR|569VULN|6BPWR|7RCR|8DMG
35	32241 25423	2	   	252.74	DCR|3VULN|2TLV|1DMG|1DUR|1NUKE	1ERES|26TLV|3LIT|4DUR|569VULN|6BPWR|7RCR|8DMG|aNUKE
36	32122 11566	9	   	252.74	DCR|3VULN|2TLV|1DMG|1DUR	1ERES|24TLV|3DUR|5DMG|68aVULN|7ASPD|9RCR
37	16123 11532	1	   	252.51	DCR|3VULN|3DUR|1TLV	1RPLT|2LIT|358DUR|46aVULN|7TLV|9RCR
38	51113 35313	1	 * 	252.28	DCR|3VULN|2DMG|2DUR|1AART	19BEXP|248VULN|3AART|59DUR|69DMG|7DMSP|9BPWR|aRCR
39	32112 11566	8	 * 	252.14	DCR|2VULN|2DMG|2DUR|1TLV	1ERES|2TLV|34DUR|59DMG|68VULN|7ASPD|aRCR
40	32112 11565	10	   	252.14	DCR|2VULN|2DMG|2DUR|1TLV	1ERES|2TLV|34DUR|5aDMG|68VULN|7ASPD|9RCR
41	32112 16122	7	 * 	251.91	DCR|2VULN|2DMG|2TLV|2DUR	1ERES|27TLV|34DUR|5aDMG|69VULN|8RCR
42	32116 16122	7	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1ERES|2TLV|34DUR|569VULN|7MLV|8RCR|aDMG
43	32116 16122	6	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1ERES|2TLV|34DUR|569VULN|7MLV|8RCR|aDMG
44	41522 22132	1	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|23aVULN|4MLV|5TLV|6RCR|7DMG|8CDMG|9DUR
45	41522 22161	1	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|239VULN|4MLV|5TLV|6RCR|7DMG|8CDMG|aDUR
46	51522 22132	1	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|23aVULN|4MLV|5TLV|6RCR|7DMG|8CDMG|9DUR
47	51522 22161	1	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|239VULN|4MLV|5TLV|6RCR|7DMG|8CDMG|aDUR
48	22236 26236	9	   	249.86	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2FEWX|367VULN|4TLV|5DUR|8DMG|9CDMG|aRCR
49	51113 31416	1	   	249.66	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG|1AART	1BEXP|24VULN|3AART|59DUR|6DMG|7RCR|8TLV|aCDMG
50	16121 12522	1	   	249.55	DCR|3VULN|2DUR|1DMG|2LIT|1AART	1RPLT|27LIT|37DUR|467VULN|5DMSP|7BPWR|8RCR|9DMG|aAART
51	13622 26215	8	 * 	249.33	DCR|4VULN|2TLV|1DMG	1RPLT|2LHND|35TLV|4679VULN|8DMG|aRCR
52	13622 26215	7	   	249.33	DCR|4VULN|2TLV|1DMG	1RPLT|2LHND|35TLV|4679VULN|8DMG|aRCR
53	16322 26215	7	   	249.33	DCR|4VULN|2TLV|1DMG	1RPLT|25TLV|3LHND|4679VULN|8DMG|aRCR
54	16322 26215	8	   	249.33	DCR|4VULN|2TLV|1DMG	1RPLT|25TLV|3LHND|4679VULN|8DMG|aRCR
