0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41532 24231	1	 * 	287.49	DCR|5VULN|3DUR|2ASPD|1CDMG	13467VULN|247DUR|47BPWR|57ASPD|8ZMB|9RCR|aCDMG
27	41263 52111	10	   	271.98	DCR|4VULN|2DMG|2DUR	169aVULN|2ASPD|39DUR|49DMG|5RPLT|7RCR|8RCVC|9BPWR
28	13332 34354	2	   	269.41	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1ERES|248VULN|34DMG|4BPWR|5ASPD|6CDMG|7TLV|9AART|aRCR
29	33616 61333	3	   	269.15	DCR|3VULN|2TLV|1DMG|1DUR|2LIT|1AART	13TLV|235VULN|3BPWR|49LIT|6AART|7DMG|8RCR|aDUR
30	33661 41333	5	   	269.15	DCR|3VULN|2TLV|1DMG|1DUR|2LIT|1AART	13TLV|236VULN|3BPWR|49LIT|5AART|7DMG|8RCR|aDUR
31	45133 32253	6	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1NUKE	179VULN|2BEXP|3NUKE|47DMG|57LIT|6RCR|7BPWR|8DUR|aTLV
32	33613 35263	5	   	267.84	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1AART	13TLV|23aVULN|3BPWR|4LEGI|5DMG|6CDMG|7AART|8RCR|9DUR
33	33613 35263	4	   	267.84	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1AART	13TLV|23aVULN|3BPWR|4LEGI|5DMG|6CDMG|7AART|8RCR|9DUR
34	33632 62531	7	   	267.77	DCR|5VULN|2TLV|1DMG	13TLV|23789VULN|3BPWR|4RMIN|5DMG|6RCVC|aRCR
35	33213 56831	6	 * 	267.76	DCR|2VULN|3DMG|2TLV|2DUR	17TLV|26VULN|37DUR|4MBVNT|57aDMG|7BPWR|8RCR|9BEXP
36	33213 56831	5	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	17TLV|26VULN|37DUR|4MBVNT|57aDMG|7BPWR|8RCR|9BEXP
37	33233 14553	6	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	1aTLV|2aVULN|3aDUR|469DMG|5RPLT|7DLOT|8RCR|aBPWR
38	33635 22621	3	   	267.67	DCR|5VULN|2TLV|1DMG	13TLV|23569VULN|3BPWR|4TBNT|7RCR|8CGEN|aDMG
39	33635 22532	3	   	267.67	DCR|5VULN|2TLV|1DMG	13TLV|2356aVULN|3BPWR|4TBNT|7RCR|8DMG|9RMIN
40	33616 11234	3	   	267.48	DCR|4VULN|2TLV|1DUR|1CDMG	13TLV|2357VULN|3BPWR|4LIT|6BBNT|8CDMG|9DUR|aRCR
41	33635 31234	3	   	267.48	DCR|4VULN|2TLV|1DUR|1CDMG	13TLV|2357VULN|3BPWR|4TBNT|6LIT|8CDMG|9DUR|aRCR
42	33616 61313	3	   	267.40	DCR|4VULN|2TLV|1DMG|1AART	13TLV|235aVULN|3BPWR|4LIT|6AART|7DMG|8RCR|9LWND
43	33661 41313	5	   	267.40	DCR|4VULN|2TLV|1DMG|1AART	13TLV|236aVULN|3BPWR|4LIT|5AART|7DMG|8RCR|9LWND
44	33221 23263	3	   	267.24	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1TLV|26VULN|39DUR|4CDMG|5AART|7aDMG|8RCR
45	33421 23263	2	   	267.24	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1TLV|26VULN|39DUR|4CDMG|5AART|7aDMG|8RCR
46	35421 23263	1	   	267.24	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1TLV|26VULN|39DUR|4CDMG|5AART|7aDMG|8RCR
47	13335 22421	2	   	267.23	DCR|5VULN|2DMG|1DUR	1ERES|24568VULN|34DMG|4BPWR|7RCR|9DUR|aRMIN
48	13335 22423	2	   	267.23	DCR|5VULN|2DMG|1DUR	1ERES|24568VULN|34DMG|4BPWR|7RCR|9DUR|aBEXP
49	15335 22421	1	   	267.23	DCR|5VULN|2DMG|1DUR	1ERES|24568VULN|34DMG|4BPWR|7RCR|9DUR|aRMIN
50	15335 22423	1	   	267.23	DCR|5VULN|2DMG|1DUR	1ERES|24568VULN|34DMG|4BPWR|7RCR|9DUR|aBEXP
51	13335 25421	2	   	267.23	DCR|5VULN|2DMG|1DUR	1ERES|24568VULN|34DMG|4BPWR|7LWND|9DUR|aRCR
52	33232 42653	9	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1TLV|269aVULN|3DUR|4DMG|5LWND|7AART|8RCR
53	33235 12653	9	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1TLV|259aVULN|3DUR|4DMG|6FEWX|7AART|8RCR
54	33235 22653	9	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1TLV|259aVULN|3DUR|4DMG|6LHND|7AART|8RCR
55	13335 22422	2	   	267.13	DCR|5VULN|2DMG|1DUR	1ERES|24568VULN|34DMG|4BPWR|7RCR|9DUR|aTBNT
56	13335 22425	2	   	267.13	DCR|5VULN|2DMG|1DUR	1aERES|24568VULN|34DMG|4BPWR|7RCR|9DUR
57	15335 22422	1	   	267.13	DCR|5VULN|2DMG|1DUR	1ERES|24568VULN|34DMG|4BPWR|7RCR|9DUR|aTBNT
58	33632 44248	10	   	267.02	DCR|4VULN|2DMG|3TLV	139TLV|2379VULN|39BPWR|4RMIN|59DMG|6MBVNT|8RCVC|aRCR
59	41263 12114	10	 * 	266.58	DCR|3VULN|3DMG|2DUR	19aVULN|2ASPD|39DUR|469DMG|5RPLT|7RCR|8RCVC|9BPWR
60	13335 22431	2	 * 	266.53	DCR|5VULN|3DMG	1ERES|24568VULN|34aDMG|4BPWR|7RCR|9BBNT
61	13335 22621	2	   	266.53	DCR|5VULN|3DMG	1ERES|24569VULN|34aDMG|4BPWR|7RCR|8TBNT
62	15335 22431	1	   	266.53	DCR|5VULN|3DMG	1ERES|24568VULN|34aDMG|4BPWR|7RCR|9BBNT
63	15335 22621	1	   	266.53	DCR|5VULN|3DMG	1ERES|24569VULN|34aDMG|4BPWR|7RCR|8TBNT
64	33221 23234	3	   	266.08	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|1AART	1TLV|26aVULN|3DUR|49CDMG|5AART|7DMG|8RCR
65	33421 23234	2	   	266.08	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|1AART	1TLV|26aVULN|3DUR|49CDMG|5AART|7DMG|8RCR
66	35421 23234	1	   	266.08	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|1AART	1TLV|26aVULN|3DUR|49CDMG|5AART|7DMG|8RCR
67	33632 24311	6	   	266.03	DCR|3VULN|2DMG|3TLV|2CDMG	137TLV|238VULN|38BPWR|4RMIN|58DMG|68CDMG|9LWND|aRCR
68	33632 24351	6	   	266.03	DCR|3VULN|2DMG|3TLV|2CDMG	137TLV|238VULN|38BPWR|4RMIN|58DMG|68CDMG|9LHND|aRCR
69	33632 34311	5	   	266.03	DCR|3VULN|2DMG|3TLV|2CDMG	137TLV|238VULN|38BPWR|4RMIN|58DMG|68CDMG|9LWND|aRCR
70	33632 34351	5	   	266.03	DCR|3VULN|2DMG|3TLV|2CDMG	137TLV|238VULN|38BPWR|4RMIN|58DMG|68CDMG|9LHND|aRCR
71	33632 13661	6	   	265.78	DCR|4VULN|3TLV|1DMG|1DUR	138TLV|2389VULN|38BPWR|4RMIN|5DMG|6DUR|78FEWX|aRCR
72	33235 36621	6	 * 	265.76	DCR|2VULN|2DMG|3TLV|2DUR|1CDMG	178TLV|25VULN|38DUR|48DMG|6RMIN|8BPWR|9CDMG|aRCR
73	33213 51317	7	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1aTLV|269aVULN|3DUR|4MBVNT|5DMG|7aCGEN|8RCR|aBPWR
74	33213 52317	6	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1aTLV|269aVULN|3DUR|4MBVNT|5DMG|7aCGEN|8RCR|aBPWR
75	33213 52317	5	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1aTLV|269aVULN|3DUR|4MBVNT|5DMG|7aCGEN|8RCR|aBPWR
76	33624 34321	4	 * 	265.68	DCR|4VULN|3TLV|2CDMG|1DUR	137TLV|2358VULN|38BPWR|48FEWX|68CDMG|9DUR|aRCR
77	23213 55317	7	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1aCGEN|269aVULN|3DUR|4MBVNT|5DMG|7aTLV|8RCR|aBPWR
78	41251 13533	10	   	265.66	DCR|2VULN|3DUR|2DMG|1TLV	1aVULN|2ASPD|37aDUR|4TLV|5BEXP|6aDMG|8RCR|9RMIN|aBPWR
79	41252 13513	10	   	265.66	DCR|2VULN|3DUR|2DMG|1TLV	1aVULN|2ASPD|37aDUR|4TLV|59LWND|6aDMG|8RCR|aBPWR
80	33254 13341	3	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2458VULN|39DUR|6TBNT|7CDMG|aRCR
81	33661 12522	10	 * 	265.53	DCR|3VULN|3TLV|2DUR|1AART	13aTLV|23aVULN|3aBPWR|4LIT|5AART|6ASPD|7DMSP|8aDUR|9RCR
82	33254 22523	3	   	265.44	DCR|5VULN|1TLV|1DUR|1AART	1TLV|2456aVULN|3DUR|7RPLT|8RCR|9AART
83	41161 12612	10	 * 	265.37	DCR|3VULN|3DMG|3LIT|1AART	19aVULN|2ASPD|3RCVC|49aLIT|5AART|69aDMG|7LEGI|8RCR|9aBPWR
84	33213 56136	6	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	17TLV|26VULN|378DUR|4MBVNT|57DMG|7BPWR|9FEWX|aRCR
85	33213 56136	5	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	17TLV|26VULN|378DUR|4MBVNT|57DMG|7BPWR|9FEWX|aRCR
86	41535 23412	1	 * 	265.25	DCR|4VULN|3DUR|1TLV	1346VULN|246DUR|46BPWR|5TBNT|7MBVNT|8CGEN|9RCR|aTLV
87	44222 24231	5	   	264.93	DCR|5VULN|2DMG|1CDMG	12467VULN|347BEXP|47BPWR|57DMG|8ZMB|9RCR|aCDMG
88	44122 24231	5	   	264.63	DCR|5VULN|2DMG|1CDMG	12467VULN|347DUST|47BPWR|57DMG|8ZMB|9RCR|aCDMG
89	33623 15134	6	   	264.60	DCR|3VULN|3TLV|1DMG|2CDMG|1DUR	138TLV|238VULN|38BPWR|4FEWX|5DUR|68CDMG|7TBNT|9RCR|aDMG
90	33231 46161	5	 * 	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|269VULN|378DUR|4DMG|5BEXP|aRCR
91	33231 46161	6	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|269VULN|378DUR|4DMG|5BEXP|aRCR
92	33234 23161	4	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|269VULN|358DUR|4DMG|7BEXP|aRCR
93	41221 13613	10	 * 	264.15	DCR|3VULN|3DUR|2DMG	18aVULN|2ASPD|37aDUR|4CGEN|5BEXP|6aDMG|9RCR|aBPWR
94	43533 13115	4	   	264.09	DCR|3VULN|2DMG|1TLV|3CDMG	158VULN|2BELT|358CDMG|49RMIN|58BPWR|68DMG|7RCR|aTLV
95	41226 13613	10	   	264.05	DCR|3VULN|3DUR|2DMG	18aVULN|2ASPD|37aDUR|4CGEN|5DUST|6aDMG|9RCR|aBPWR
96	41532 33422	1	   	264.03	DCR|4VULN|2DUR|2ASPD|1CDMG	1347VULN|24DUR|4BPWR|59ASPD|6CDMG|8LIT|aRCR
97	33624 26221	4	   	263.96	DCR|5VULN|2TLV|1DUR	13TLV|23567VULN|3BPWR|4FEWX|8ZMB|9DUR|aRCR
98	33631 44711	7	   	263.86	DCR|5VULN|3TLV|2ASPD	138TLV|23789VULN|38BPWR|4RMIN|58ASPD|6MBVNT|aRCR
99	33614 26221	4	   	263.86	DCR|5VULN|2TLV|1DUR	13TLV|23567VULN|3BPWR|4LEGI|8ZMB|9DUR|aRCR
100	45133 32251	6	   	263.84	DCR|4VULN|2DMG|1DUR|2LIT|1NUKE	179aVULN|2BEXP|3NUKE|47DMG|57LIT|6RCR|7BPWR|8DUR
101	33213 54883	7	   	263.60	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1TLV|26aVULN|3DUR|4MBVNT|57DMG|8RCR|9AART
102	33616 32433	3	   	263.59	DCR|4VULN|2TLV|1DUR|1AART	13TLV|2357VULN|3BPWR|4LIT|6MLV|8AART|9RCR|aDUR
103	42213 52414	8	   	263.57	DCR|4VULN|2DMG|2DUR	169aVULN|2CGEN|3aDUR|4MBVNT|5aDMG|7RPLT|8RCR|aBPWR
104	13334 21145	2	   	263.47	DCR|4VULN|2DMG|2DUR	1ERES|2469VULN|34DMG|4BPWR|58DUR|7CGEN|aRCR
105	13632 11141	8	   	263.47	DCR|4VULN|2DMG|2DUR	137ERES|2389VULN|39BPWR|4RMIN|59DMG|69DUR|aRCR
106	13632 11141	7	   	263.47	DCR|4VULN|2DMG|2DUR	137ERES|2389VULN|39BPWR|4RMIN|59DMG|69DUR|aRCR
107	13334 22423	2	   	263.37	DCR|4VULN|2DMG|2DUR	1ERES|2469VULN|34DMG|4BPWR|58DUR|7BBNT|aRCR
108	15334 22423	1	   	263.37	DCR|4VULN|2DMG|2DUR	1ERES|2469VULN|34DMG|4BPWR|58DUR|7BBNT|aRCR
109	33235 34143	4	   	263.13	DCR|2VULN|2TLV|2DUR|1DMG|2LIT|1CDMG	18TLV|25VULN|38DUR|4DMG|6CDMG|78LIT|8BPWR|9RMIN|aRCR
110	33235 34143	5	   	263.13	DCR|2VULN|2TLV|2DUR|1DMG|2LIT|1CDMG	18TLV|25VULN|38DUR|4DMG|6CDMG|78LIT|8BPWR|9RMIN|aRCR
111	33253 34143	3	   	263.13	DCR|2VULN|2TLV|2DUR|1DMG|2LIT|1CDMG	18TLV|24VULN|38DUR|5DMG|6CDMG|78LIT|8BPWR|9RMIN|aRCR
112	33623 11245	6	   	262.60	DCR|3VULN|3TLV|2CDMG|1DUR|1AART	138TLV|238VULN|38BPWR|4FEWX|5DUR|68CDMG|7AART|9LIT|aRCR
113	33316 61343	2	   	262.50	DCR|3VULN|2TLV|1DMG|1DUR|1AART	14TLV|259VULN|3LIT|6AART|7DMG|8RCR|aDUR
114	43533 13152	4	   	262.45	DCR|3VULN|2DMG|3CDMG|1DUR	158VULN|2BELT|358CDMG|4RMIN|58BPWR|68DMG|7RCR|9LIT|aDUR
115	41343 52331	8	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	16aVULN|2ASPD|3aERES|4DUR|5RPLT|7RCR|8TLV|9aDMG|aBPWR
116	33413 45133	3	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|267VULN|3FEWX|4LHND|57DMG|7BPWR|8DUR|9BEXP|aRCR
117	33213 54727	10	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|269VULN|3DUR|4MBVNT|57DMG|8LIT|aRCR
118	33213 54841	7	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|26aVULN|3DUR|4MBVNT|57DMG|8RCR|9LIT
119	33213 51347	7	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1aTLV|26aVULN|3DUR|4MBVNT|59DMG|7aCGEN|8RCR|aBPWR
120	33213 52347	5	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1aTLV|26aVULN|3DUR|4MBVNT|59DMG|7aCGEN|8RCR|aBPWR
121	33213 52347	6	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1aTLV|26aVULN|3DUR|4MBVNT|59DMG|7aCGEN|8RCR|aBPWR
122	23213 55347	7	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1aCGEN|26aVULN|3DUR|4MBVNT|59DMG|7aTLV|8RCR|aBPWR
123	33213 54417	9	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1aTLV|26aVULN|3DUR|4MBVNT|57DMG|8aCGEN|9RCR|aBPWR
124	33213 54817	7	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1aTLV|26aVULN|3DUR|4MBVNT|57DMG|8RCR|9aMLV|aBPWR
125	33213 54827	7	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1aTLV|26aVULN|3DUR|4MBVNT|57DMG|8RCR|9aCGEN|aBPWR
126	33343 12431	9	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1aTLV|28aVULN|3ERES|4DUR|5RPLT|6aDMG|7RCR|9RMIN|aBPWR
127	33343 12425	10	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1aTLV|28aVULN|3ERES|4DUR|5RPLT|6aDMG|7RCR|9LEGI|aBPWR
128	33214 52126	9	 * 	262.04	DCR|3VULN|3DUR|2TLV|1AART	19TLV|269VULN|389DUR|4MBVNT|5RMIN|7AART|9BPWR|aRCR
129	13335 22365	2	   	261.84	DCR|4VULN|3DMG|1CDMG	1ERES|2456VULN|349DMG|4BPWR|7RCR|8DUST|aCDMG
130	33211 48663	10	   	261.77	DCR|4VULN|2TLV|2ASPD|1DUR	1aTLV|256aVULN|3DUR|4MBVNT|7BEXP|8RCR|9aASPD|aBPWR
131	33663 31326	10	   	261.24	DCR|3VULN|2TLV|1DMG|1DUR	13TLV|238VULN|3BPWR|4LIT|5MLV|6DMG|7ASPD|9DUR|aRCR
132	33623 16143	7	   	261.11	DCR|3VULN|2TLV|2DUR|1CDMG	13TLV|239VULN|3BPWR|4FEWX|57DUR|6CDMG|8LIT|aRCR
133	33623 41343	5	   	261.11	DCR|3VULN|2TLV|2DUR|1CDMG	13TLV|239VULN|3BPWR|4FEWX|57DUR|6LIT|8CDMG|aRCR
134	33662 11343	5	   	261.11	DCR|3VULN|2TLV|2DUR|1CDMG	13TLV|239VULN|3BPWR|4LIT|5FEWX|67DUR|8CDMG|aRCR
135	31221 36334	5	   	261.10	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1TLV|2BEXP|3AART|457VULN|68DMG|9CDMG|aRCR
136	33631 24321	6	   	260.78	DCR|3VULN|3TLV|2CDMG|2ASPD|1DUR	137TLV|238VULN|38BPWR|4RMIN|58ASPD|68CDMG|9DUR|aRCR
137	33631 34321	5	   	260.78	DCR|3VULN|3TLV|2CDMG|2ASPD|1DUR	137TLV|238VULN|38BPWR|4RMIN|58ASPD|68CDMG|9DUR|aRCR
138	33632 34321	4	   	260.78	DCR|3VULN|3TLV|2CDMG|2ASPD|1DUR	137TLV|238VULN|38BPWR|4RMIN|58ASPD|68CDMG|9DUR|aRCR
139	31252 22155	5	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2BEXP|3AART|4CDMG|5DUR|679aVULN|8RCR
140	31421 22155	2	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2BEXP|3DUR|4CDMG|5AART|679aVULN|8RCR
141	32221 23153	3	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2LWND|3DUR|4CDMG|5AART|679aVULN|8RCR
142	32251 11153	6	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2LWND|3DUR|459aVULN|6CDMG|7AART|8RCR
143	32421 23153	2	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2LWND|3DUR|4CDMG|5AART|679aVULN|8RCR
144	33221 32155	3	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|279aVULN|3DUR|4CDMG|5AART|6BEXP|8RCR
145	33221 63153	3	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|279aVULN|3DUR|4CDMG|5AART|6LWND|8RCR
146	33224 11153	3	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|269aVULN|3DUR|4CDMG|5LHND|7AART|8RCR
147	33225 11153	3	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|269aVULN|3DUR|4CDMG|5LWND|7AART|8RCR
148	33421 32155	2	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|279aVULN|3DUR|4CDMG|5AART|6BEXP|8RCR
149	33421 63153	2	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|279aVULN|3DUR|4CDMG|5AART|6LWND|8RCR
150	33424 11153	2	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|269aVULN|3DUR|4CDMG|5LHND|7AART|8RCR
151	33425 11153	2	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|269aVULN|3DUR|4CDMG|5LWND|7AART|8RCR
152	43232 43262	8	   	260.74	DCR|5VULN|2DMG|1AART	1347aVULN|2BELT|5AART|67DMG|7BPWR|8BEXP|9RCR
153	43232 43362	8	   	260.74	DCR|5VULN|2DMG|1AART	1347aVULN|2BELT|5AART|67DMG|7BPWR|8LWND|9RCR
154	33231 42663	8	   	260.70	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1TLV|26aVULN|39DUR|4DMG|5BEXP|7AART|8RCR
155	33235 12663	8	   	260.70	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1TLV|25aVULN|39DUR|4DMG|6FEWX|7AART|8RCR
156	13335 22441	2	   	260.64	DCR|5VULN|2DMG|1AART	1ERES|24568VULN|34DMG|4BPWR|7RCR|9AART|aCGEN
157	13335 22442	2	   	260.64	DCR|5VULN|2DMG|1AART	1ERES|24568VULN|34DMG|4BPWR|7RCR|9AART|aLHND
158	13335 22443	2	   	260.64	DCR|5VULN|2DMG|1AART	1ERES|24568VULN|34DMG|4BPWR|7RCR|9AART|aFEWX
159	33213 56844	5	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	17TLV|26VULN|37DUR|4MBVNT|57DMG|7BPWR|8RCR|9LIT|aMLV
160	33213 56844	6	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	17TLV|26VULN|37DUR|4MBVNT|57DMG|7BPWR|8RCR|9LIT|aMLV
161	41661 13321	10	   	260.32	DCR|3VULN|2DMG|2AART|2ASPD|2LIT	13aVULN|23ASPD|3aBPWR|4aLIT|58AART|6aDMG|7DMSP|9RCR
162	41661 13322	9	   	260.32	DCR|3VULN|2DMG|2AART|2ASPD|2LIT	13aVULN|23ASPD|3aBPWR|4aLIT|58AART|6aDMG|7DMSP|9RCR
163	33213 56843	6	   	260.32	DCR|2VULN|2DMG|3TLV|2DUR	17aTLV|26VULN|37DUR|4MBVNT|57DMG|7BPWR|8RCR|9LIT
164	33213 56843	5	   	260.32	DCR|2VULN|2DMG|3TLV|2DUR	17aTLV|26VULN|37DUR|4MBVNT|57DMG|7BPWR|8RCR|9LIT
165	41661 12113	7	   	260.22	DCR|3VULN|2DMG|2AART|2ASPD|2LIT	139VULN|23ASPD|39BPWR|49LIT|58AART|69DMG|7LEGI|aRCR
166	33211 74728	7	 * 	260.20	DCR|4VULN|2TLV|2DUR	18TLV|2578VULN|38DUR|4MBVNT|6RCVC|8BPWR|9LWND|aRCR
167	33211 74738	7	   	260.20	DCR|4VULN|2TLV|2DUR	18TLV|2578VULN|38DUR|4MBVNT|6RCVC|8BPWR|9FEWX|aRCR
168	33211 74748	7	   	260.20	DCR|4VULN|2TLV|2DUR	18TLV|2578VULN|38DUR|4MBVNT|6RCVC|8BPWR|9LHND|aRCR
169	33633 21144	5	   	260.20	DCR|4VULN|2TLV|2DUR	13TLV|2369VULN|3BPWR|4RMIN|58DUR|7CGEN|aRCR
