0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16221 32512	10	 * 	295.44	DCR|5VULN|3DMG|2LIT	1DLOT|2457aVULN|357DMG|57BPWR|67LIT|8FEWX|9RCR
15	52132 66111	2	 * 	282.96	DCR|3VULN|3DUR|2DMG|1TLV	1RCVC|27DMG|3TLV|478VULN|567DUR|7BPWR|9MBVNT|aRCR
16	16261 11321	9	   	282.75	DCR|4VULN|2DMG|2ASPD|1DUR	1DLOT|259aVULN|39DMG|4DUR|6CGEN|79ASPD|8RCR|9BPWR
17	23236 43162	3	 * 	282.16	DCR|4VULN|3DMG|2ASPD	1aERES|25ASPD|3RCVC|457aVULN|5aBPWR|6RCR|89aDMG
18	16221 32511	10	 * 	280.91	DCR|4VULN|3DMG|3LIT	1DLOT|2457VULN|357DMG|57BPWR|67aLIT|8FEWX|9RCR
19	61468 33423	1	 * 	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1MBVNT|237aVULN|4aASPD|5DMG|6RCR|8LWND|9aDUR|aBPWR
20	16221 32413	5	   	279.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	1DLOT|245VULN|35DMG|5BPWR|6RCR|7CDMG|8TLV|9ASPD|aDUR
21	61431 25417	1	   	277.51	DCR|4VULN|3DUR|1TLV|1AART	1MBVNT|2368VULN|456DUR|6BPWR|7RCR|9TLV|aAART
22	21151 31515	4	   	277.34	DCR|3VULN|3DMG|3ASPD	123ERES|279BPWR|479ASPD|579DMG|679VULN|8RCR|aLIT
23	21161 31515	3	   	277.34	DCR|3VULN|3DMG|3ASPD	123ERES|279BPWR|479ASPD|579DMG|679VULN|8RCR|aLIT
24	16221 13355	10	   	277.09	DCR|4VULN|3DMG|1TLV	1DLOT|2456VULN|359DMG|5BPWR|7CGEN|8TLV|aRCR
25	16221 32366	5	 * 	276.16	DCR|4VULN|2DMG|2CDMG|1ASPD	1DLOT|245aVULN|35DMG|5BPWR|6RCR|78CDMG|9ASPD
26	61421 31543	1	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|239aVULN|4BEXP|5aDUR|6RCR|7RMIN|8aDMG|aBPWR
27	61512 31543	1	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|259aVULN|3FEWX|4aDUR|6RCR|7RMIN|8aDMG|aBPWR
28	16221 32511	9	   	275.90	DCR|4VULN|3DMG|2LIT	1DLOT|2457VULN|357DMG|57BPWR|67LIT|8FEWX|9RCR|aCGEN
29	16221 32514	10	   	275.90	DCR|4VULN|3DMG|2LIT	1DLOT|2457VULN|357DMG|57BPWR|67LIT|8FEWX|9RCR|aRMIN
30	16221 32212	10	   	275.80	DCR|4VULN|3DMG|2LIT|1NUKE	1DLOT|2457VULN|357DMG|57BPWR|67LIT|8NUKE|9ZMB|aRCR
31	16221 32512	9	   	275.80	DCR|4VULN|3DMG|2LIT	1DLOT|2457VULN|357DMG|57BPWR|67LIT|8FEWX|9RCR|aBBNT
32	16221 32513	9	   	275.80	DCR|4VULN|3DMG|2LIT	1DLOT|2457VULN|357DMG|57BPWR|67LIT|8FEWX|9RCR|aERES
33	16221 32513	10	   	275.80	DCR|4VULN|3DMG|2LIT	1DLOT|2457VULN|357DMG|57BPWR|67LIT|8FEWX|9RCR|aDUST
34	16221 32515	9	   	275.80	DCR|4VULN|3DMG|2LIT|1NUKE	1DLOT|2457VULN|357DMG|57BPWR|67LIT|8FEWX|9RCR|aNUKE
35	16221 32516	9	   	275.80	DCR|4VULN|3DMG|2LIT	1DLOT|2457VULN|357DMG|57BPWR|67LIT|8FEWX|9RCR|aTBNT
36	16224 32331	10	   	275.80	DCR|4VULN|3DMG|2LIT	1DLOT|2457VULN|379DMG|67LIT|7BPWR|8ZMB|aRCR
37	16261 11324	10	   	275.77	DCR|3VULN|3DMG|2ASPD|1DUR	1DLOT|259VULN|39aDMG|4DUR|6CGEN|79ASPD|8RCR|9BPWR
38	16221 32131	10	   	275.70	DCR|4VULN|3DMG|2LIT	1DLOT|2457VULN|357DMG|57BPWR|67LIT|89ERES|aRCR
39	16224 32231	10	   	275.70	DCR|4VULN|3DMG|2LIT	1DLOT|2457VULN|379DMG|67LIT|7BPWR|8ERES|aRCR
40	23563 41122	5	   	275.63	DCR|5VULN|2DMG|1ASPD	17aERES|2ASPD|3459aVULN|6RCR|8aDMG|aBPWR
41	16221 12146	5	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1DLOT|2458VULN|35DMG|5BPWR|6BEXP|7CDMG|9DUR|aRCR
42	16221 12436	5	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1DLOT|245aVULN|35DMG|5BPWR|6BEXP|7CDMG|8TLV|9RCR
43	16221 13543	10	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1DLOT|2456VULN|35DMG|5BPWR|7CGEN|8DUR|9CDMG|aRCR
44	16221 22146	6	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1DLOT|2458VULN|35DMG|5BPWR|6BEXP|7CDMG|9DUR|aRCR
45	16221 22436	6	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1DLOT|245aVULN|35DMG|5BPWR|6BEXP|7CDMG|8TLV|9RCR
46	16221 32115	5	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7CDMG|9RCVC|aDUR
47	16221 32123	5	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7CDMG|9BEXP|aDUR
48	16221 32133	5	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7CDMG|9FEWX|aDUR
49	16221 32146	5	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7CDMG|9DUR|aRMIN
50	16221 32426	5	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1DLOT|245aVULN|35DMG|5BPWR|6RCR|7CDMG|8TLV|9BEXP
51	16221 52136	6	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1DLOT|2458VULN|35DMG|5BPWR|6DUR|7CDMG|9BEXP|aRCR
52	16221 32141	5	   	274.99	DCR|4VULN|2DMG|1DUR|1CDMG	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7CDMG|9DUR|aDUST
53	16221 32142	5	   	274.99	DCR|4VULN|2DMG|1DUR|1CDMG	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7CDMG|9DUR|aMBVNT
54	16221 32145	5	   	274.99	DCR|4VULN|2DMG|1DUR|1CDMG	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7CDMG|9DUR|aERES
55	16221 32265	5	   	274.99	DCR|4VULN|2DMG|1DUR|1CDMG	1DLOT|245aVULN|35DMG|5BPWR|6RCR|7CDMG|8BBNT|9DUR
56	13221 11321	9	 * 	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	1DLOT|29DUR|39DMG|45aVULN|6CGEN|79ASPD|8RCR|9BPWR
57	16261 11322	9	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	1DLOT|259VULN|39DMG|4aDUR|6CGEN|79ASPD|8RCR|9BPWR
58	16221 32343	5	 * 	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	1DLOT|245VULN|35DMG|5BPWR|6RCR|78CDMG|9aDUR
59	16221 12265	6	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1DLOT|2456VULN|35DMG|5BPWR|7LHND|8DUR|9ASPD|aRCR
60	16222 32143	4	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	1DLOT|2458VULN|3DMG|6RCR|7CDMG|9aDUR
61	16224 32143	5	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	1DLOT|2458VULN|3DMG|6RCR|7CDMG|9aDUR
62	16242 32143	3	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	1DLOT|2458VULN|3DMG|6RCR|7CDMG|9aDUR
63	61431 21431	1	   	271.76	DCR|4VULN|3DUR|2TLV	1MBVNT|2369VULN|456DUR|69BPWR|79TLV|89ZMB|aRCR
64	61431 27511	1	   	271.76	DCR|4VULN|3DUR|1DMG	1MBVNT|2368VULN|456DUR|68BPWR|78MLV|9DMG|aRCR
65	16222 32166	4	   	271.70	DCR|5VULN|1DMG|1CDMG|1ASPD	1DLOT|2458aVULN|3DMG|6RCR|7CDMG|9ASPD
66	61431 21581	1	   	271.66	DCR|4VULN|3DUR|2TLV	1MBVNT|2368VULN|456DUR|68BPWR|78TLV|9RCR|aCGEN
67	61431 21582	1	   	271.66	DCR|4VULN|3DUR|2TLV	1MBVNT|2368VULN|456DUR|68BPWR|78TLV|9RCR|aBEXP
68	61431 21583	1	   	271.66	DCR|4VULN|3DUR|2TLV	1MBVNT|2368VULN|456DUR|68BPWR|78TLV|9RCR|aLHND
69	61431 21541	1	   	271.56	DCR|4VULN|3DUR|2TLV	1MBVNT|2368VULN|456DUR|68BPWR|78TLV|9ERES|aRCR
70	61431 21584	1	   	271.56	DCR|4VULN|3DUR|2TLV	1MBVNT|2368VULN|456DUR|68BPWR|78TLV|9RCR|aERES
71	61431 24511	1	   	271.56	DCR|4VULN|3DUR|1DMG	1MBVNT|2368VULN|456DUR|68BPWR|78ERES|9DMG|aRCR
72	61421 37213	1	   	271.44	DCR|5VULN|3DUR	1MBVNT|2389aVULN|49aBEXP|59aDUR|6RCR|7RPLT|9aBPWR
73	61437 37213	1	   	271.44	DCR|5VULN|3DUR	1MBVNT|2389aVULN|49aDUR|59aFEWX|6RCR|7RPLT|9aBPWR
74	61512 37213	1	   	271.44	DCR|5VULN|3DUR	1MBVNT|2589aVULN|39aFEWX|49aDUR|6RCR|7RPLT|9aBPWR
75	62212 37213	2	   	271.44	DCR|5VULN|3DUR	1MBVNT|29aFEWX|3589aVULN|49aDUR|6RCR|7RPLT|9aBPWR
76	65212 37213	2	   	271.44	DCR|5VULN|3DUR	1MBVNT|29aBEXP|3589aVULN|49aDUR|6RCR|7RPLT|9aBPWR
77	66212 37213	1	   	271.44	DCR|5VULN|3DUR	1MBVNT|29aBEXP|3589aVULN|49aDUR|6RCR|7RPLT|9aBPWR
78	61431 25433	1	   	271.14	DCR|5VULN|3DUR	1MBVNT|23689VULN|456DUR|6BPWR|7RCR|aLWND
79	61431 25434	1	   	271.14	DCR|5VULN|3DUR	1MBVNT|23689VULN|456DUR|6BPWR|7RCR|aZMB
80	61431 25436	1	   	271.14	DCR|5VULN|3DUR	1MBVNT|23689VULN|456DUR|6BPWR|7RCR|aRMIN
81	61431 25447	1	   	271.14	DCR|5VULN|3DUR	1MBVNT|2368aVULN|456DUR|6BPWR|7RCR|9BEXP
82	16221 14612	7	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1DLOT|2456VULN|35DMG|5BPWR|7LWND|8RCR|9AART|aDUR
83	16221 35212	5	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7LHND|9AART|aDUR
84	61431 25428	1	   	271.04	DCR|5VULN|3DUR	1MBVNT|2368aVULN|456DUR|6BPWR|7RCR|9ERES
85	61431 25431	1	   	271.04	DCR|5VULN|3DUR	1MBVNT|23689VULN|456DUR|6BPWR|7RCR|aDUST
86	61431 25432	1	   	271.04	DCR|5VULN|3DUR	1MBVNT|23689VULN|456DUR|6BPWR|7RCR|aTBNT
87	64244 74352	3	 * 	270.33	DCR|3VULN|3DUR|2ASPD|1DMG	1MBVNT|2RMIN|38ASPD|4DMG|58aDUR|678VULN|8BPWR|9RCR
88	16221 32113	5	   	269.84	DCR|4VULN|2DMG|1CDMG|1ASPD	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7CDMG|9RCVC|aASPD
89	16221 32161	5	   	269.84	DCR|4VULN|2DMG|1CDMG|1ASPD	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7CDMG|9ASPD|aMLV
90	16221 32164	5	   	269.84	DCR|4VULN|2DMG|1CDMG|1ASPD	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7CDMG|9ASPD|aFEWX
91	16261 11324	9	   	269.77	DCR|3VULN|2DMG|2ASPD|1DUR|1AART	1DLOT|259VULN|39DMG|4DUR|6CGEN|79ASPD|8RCR|9BPWR|aAART
92	16221 13453	10	   	269.75	DCR|4VULN|2DMG|1TLV	1DLOT|2456VULN|35DMG|5BPWR|7CGEN|8LIT|9RCR|aTLV
93	16221 35115	5	   	269.75	DCR|4VULN|2DMG|1DUR	1DLOT|245aVULN|35DMG|5BPWR|6RCR|7LHND|8DUR|9LIT
94	16221 36115	5	   	269.75	DCR|4VULN|2DMG|1DUR	1DLOT|245aVULN|35DMG|5BPWR|6RCR|7BEXP|8DUR|9LIT
95	16221 32163	5	   	269.74	DCR|4VULN|2DMG|1CDMG|1ASPD	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7CDMG|9ASPD|aBBNT
96	16222 32162	4	   	269.74	DCR|4VULN|2DMG|1CDMG|1ASPD	1DLOT|2458VULN|3aDMG|6RCR|7CDMG|9ASPD
97	16224 32162	5	   	269.74	DCR|4VULN|2DMG|1CDMG|1ASPD	1DLOT|2458VULN|3aDMG|6RCR|7CDMG|9ASPD
98	16242 32162	3	   	269.74	DCR|4VULN|2DMG|1CDMG|1ASPD	1DLOT|2458VULN|3aDMG|6RCR|7CDMG|9ASPD
99	61118 13426	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|278VULN|37LWND|49DUR|5TLV|67DMG|7BPWR|aRCR
100	16221 51315	8	   	269.65	DCR|4VULN|2DMG|1DUR	1DLOT|245aVULN|35DMG|5BPWR|6DUR|7DUST|8RCR|9LIT
101	16221 32165	5	   	269.60	DCR|4VULN|2DMG|1CDMG|1ASPD|1SELL	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7CDMG|9ASPD|aSELL
102	16221 32362	5	 * 	269.17	DCR|3VULN|3DMG|2CDMG|1ASPD	1DLOT|245VULN|35aDMG|5BPWR|6RCR|78CDMG|9ASPD
103	16221 12331	10	   	269.15	DCR|4VULN|3DMG	1DLOT|2456VULN|359DMG|5BPWR|7LIT|8ZMB|aRCR
104	16221 13431	10	   	269.15	DCR|4VULN|3DMG	1DLOT|2456VULN|359DMG|5BPWR|7CGEN|8LIT|aRCR
105	16221 13451	10	   	269.15	DCR|4VULN|3DMG	1DLOT|2456VULN|35aDMG|5BPWR|7CGEN|8LIT|9RCR
106	61421 31563	1	 * 	269.14	DCR|3VULN|3DMG|2DUR	1MBVNT|23aVULN|4BEXP|5aDUR|6RCR|7RMIN|89aDMG|aBPWR
107	16221 12231	10	   	269.05	DCR|4VULN|3DMG	1DLOT|2456VULN|359DMG|5BPWR|7LIT|8ERES|aRCR
108	16221 31241	5	   	269.05	DCR|4VULN|3DMG	1DLOT|2459VULN|358DMG|5BPWR|6RCR|7TBNT|aLIT
109	21151 31516	4	   	269.04	DCR|3VULN|3DMG|3ASPD	123ERES|279BPWR|479ASPD|579DMG|679VULN|8RCR|aLWND
110	21161 31516	3	   	269.04	DCR|3VULN|3DMG|3ASPD	123ERES|279BPWR|479ASPD|579DMG|679VULN|8RCR|aLWND
111	61431 71511	1	   	268.99	DCR|3VULN|3DUR|2TLV|1DMG	1MBVNT|238VULN|456DUR|78TLV|8BPWR|9DMG|aRCR
112	16221 51335	9	   	268.94	DCR|3VULN|3DMG|2DUR	1DLOT|245VULN|359DMG|5BPWR|6aDUR|7DUST|8RCR
113	21151 31513	4	   	268.94	DCR|3VULN|3DMG|3ASPD	123ERES|279BPWR|479ASPD|579DMG|679VULN|8RCR|aDUST
114	21161 31513	3	   	268.94	DCR|3VULN|3DMG|3ASPD	123ERES|279BPWR|479ASPD|579DMG|679VULN|8RCR|aDUST
115	16221 32453	5	   	268.60	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1DLOT|245VULN|35DMG|5BPWR|6RCR|7CDMG|8TLV|9ERES|aDUR
116	23236 43123	3	   	268.35	DCR|5VULN|2ASPD|1DMG	1ERES|25ASPD|3RCVC|4579aVULN|5BPWR|6RCR|8DMG
117	21636 43123	2	   	268.25	DCR|5VULN|2ASPD|1DMG	12ERES|25BPWR|35ASPD|4579aVULN|6RCR|8DMG
118	61473 44347	1	 * 	268.25	DCR|5VULN|2ASPD|2CDMG	1MBVNT|2356aVULN|46CDMG|6BPWR|78ASPD|9RCR
119	52212 17347	4	 * 	268.13	DCR|3VULN|3DMG|2TLV|1AART	1RCVC|279DMG|3MBVNT|47TLV|5AART|679VULN|79BPWR|89BEXP|aRCR
120	61433 17641	1	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	1MBVNT|237aVULN|47DUR|5AART|6DMSP|7BPWR|8DMG|9RCR
121	16221 32261	5	   	268.00	DCR|3VULN|3DMG|1DUR|1CDMG	1DLOT|245VULN|35aDMG|5BPWR|6RCR|7CDMG|8BBNT|9DUR
122	16221 51334	9	   	268.00	DCR|3VULN|3DMG|1DUR|1CDMG	1DLOT|245VULN|359DMG|5BPWR|6DUR|7DUST|8RCR|aCDMG
123	61431 25411	1	   	267.85	DCR|4VULN|3DUR|1TLV	1MBVNT|2368VULN|456DUR|6BPWR|7RCR|9TLV|aCGEN
124	61431 25412	1	   	267.85	DCR|4VULN|3DUR|1TLV	1MBVNT|2368VULN|456DUR|6BPWR|7RCR|9TLV|aBEXP
125	61431 25413	1	   	267.85	DCR|4VULN|3DUR|1TLV	1MBVNT|2368VULN|456DUR|6BPWR|7RCR|9TLV|aLHND
126	61431 25415	1	   	267.85	DCR|4VULN|3DUR|1TLV	1MBVNT|2368VULN|456DUR|6BPWR|7RCR|9TLV|aFEWX
127	61431 25414	1	   	267.75	DCR|4VULN|3DUR|1TLV	1MBVNT|2368VULN|456DUR|6BPWR|7RCR|9TLV|aERES
128	16221 12562	7	   	267.15	DCR|4VULN|2DMG|1CDMG	1DLOT|2456VULN|35DMG|5BPWR|7LIT|8CDMG|9BELT|aRCR
129	16262 32143	3	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	1DLOT|258VULN|34DMG|6RCR|7CDMG|9aDUR
130	23143 24121	9	   	266.67	DCR|3VULN|2DUR|2ASPD|1DMG|1AART	19ERES|29ASPD|35DUR|4DMG|6RCR|7AART|89aVULN|9BPWR
131	52132 66111	3	   	266.61	DCR|3VULN|3DUR|2DMG	1RCVC|27DMG|3ERES|478VULN|567DUR|7BPWR|9MBVNT|aRCR
132	16233 55333	4	   	266.57	DCR|3VULN|3DMG|2TLV	1DLOT|28aVULN|389DMG|4LIT|5LWND|68TLV|7RCR|8BPWR
133	61431 25112	1	   	266.56	DCR|4VULN|3DUR|2LIT	1MBVNT|236aVULN|456DUR|6aBPWR|7RCR|8BELT|9aLIT
134	13264 34212	10	   	266.51	DCR|3VULN|3DUR|2DMG	1DLOT|246DUR|37DMG|57aVULN|7BPWR|8RCR|9DUST
135	16211 11321	9	   	266.50	DCR|4VULN|2DMG|2ASPD	1DLOT|259aVULN|39DMG|4LHND|6CGEN|79ASPD|8RCR|9BPWR
136	16226 41321	9	   	266.50	DCR|4VULN|2DMG|2ASPD	1DLOT|249aVULN|39DMG|5CGEN|6LWND|79ASPD|8RCR|9BPWR
137	16251 11321	9	   	266.50	DCR|4VULN|2DMG|2ASPD	1DLOT|259aVULN|39DMG|4LWND|6CGEN|79ASPD|8RCR|9BPWR
138	23234 46122	3	   	266.50	DCR|4VULN|2DMG|2ASPD	17aERES|27ASPD|3RCVC|479aVULN|5DMSP|6RCR|7aBPWR|8aDMG
139	52134 43122	3	   	266.50	DCR|4VULN|2DMG|2ASPD	1RCVC|2aDMG|3ERES|479aVULN|5DMSP|6RCR|8aASPD|aBPWR
140	16221 35262	5	   	266.40	DCR|4VULN|2DMG|2ASPD	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7LHND|9aASPD
141	16221 36262	5	   	266.40	DCR|4VULN|2DMG|2ASPD	1DLOT|2458VULN|35DMG|5BPWR|6RCR|7BEXP|9aASPD
142	16223 41321	9	   	266.40	DCR|4VULN|2DMG|2ASPD	1DLOT|249aVULN|39DMG|5ERES|6LWND|79ASPD|8RCR|9BPWR
143	23234 43122	2	   	266.40	DCR|4VULN|2DMG|2ASPD	1aERES|23ASPD|479aVULN|5DMSP|6RCR|8aDMG|aBPWR
144	23236 41122	3	   	266.40	DCR|4VULN|2DMG|2ASPD	17aERES|25ASPD|3RCVC|459aVULN|5aBPWR|6RCR|8aDMG
145	23236 43163	3	   	266.40	DCR|4VULN|2DMG|2ASPD	1ERES|25ASPD|3RCVC|457aVULN|5BPWR|6RCR|89DMG
146	23266 43122	2	   	266.40	DCR|4VULN|2DMG|2ASPD	1aERES|23ASPD|4DMSP|579aVULN|6RCR|8aDMG|aBPWR
147	13264 34233	8	   	265.61	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1DLOT|246DUR|37DMG|57VULN|7BPWR|8RCR|9TLV|aAART
