0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52622 13431	5	 * 	276.40	DCR|4VULN|2DMG|1DUR|2LIT	15LIT|2LHND|39DMG|457aVULN|5BPWR|6RCR|8DUR
18	53621 34132	6	 * 	259.86	DCR|2VULN|3DMG|2TLV|2LIT|1CDMG	1aLIT|2CDMG|36aDMG|45TLV|7RCR|8DUST|9aVULN|aBPWR
19	53412 24231	10	   	259.38	DCR|3VULN|1DMG|1TLV|2LIT|1CDMG|1AART	14LIT|2CDMG|358VULN|6AART|7RCR|9TLV|aDMG
20	52622 11231	5	 * 	258.86	DCR|3VULN|2DMG|3LIT|1DUR	159LIT|2LHND|39DMG|459VULN|59BPWR|6RCR|7TBNT|8BELT|aDUR
21	52622 13411	5	   	258.81	DCR|4VULN|1DMG|1DUR|2LIT	15LIT|29LHND|3DMG|457aVULN|5BPWR|6RCR|8DUR
22	52622 11235	5	 * 	258.27	DCR|3VULN|3DMG|3LIT	159LIT|2LHND|39aDMG|459VULN|59BPWR|6RCR|7TBNT|8BELT
23	24311 62241	10	 * 	257.81	DCR|5VULN|2DUR	18DUST|25689VULN|3ERES|4CGEN|78DUR|8BPWR|aRCR
24	53421 11121	7	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2CDMG|368VULN|4LWND|5DMG|79DUR|aRCR
25	53433 11121	7	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2CDMG|368VULN|4DMG|5BEXP|79DUR|aRCR
26	53434 11121	7	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2CDMG|368VULN|4DMG|5LWND|79DUR|aRCR
27	53451 11111	9	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2CDMG|368VULN|47DUR|5DMG|9BEXP|aRCR
28	53451 11111	8	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2CDMG|368VULN|47DUR|5DMG|9BEXP|aRCR
29	53451 12121	7	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2CDMG|368VULN|49DUR|5DMG|7LHND|aRCR
30	53451 13121	7	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2CDMG|368VULN|49DUR|5DMG|7LWND|aRCR
31	53431 11121	7	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2CDMG|368VULN|4DMG|5DUST|79DUR|aRCR
32	53436 11121	7	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2CDMG|358VULN|4DMG|6DUST|79DUR|aRCR
33	53413 31322	10	 * 	257.46	DCR|2VULN|3DMG|3CDMG|3LIT	146LIT|289CDMG|39VULN|569DMG|69BPWR|7RCVC|aRCR
34	24425 33113	5	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|278aVULN|3CDMG|4DUR|5LWND|6RCR|9DMG
35	24462 33113	3	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|278aVULN|3CDMG|4LWND|5DUR|6RCR|9DMG
36	53521 11361	6	 * 	257.13	DCR|2VULN|3DUR|1DMG|2CDMG|2LIT	19LIT|2aCDMG|389DUR|4LWND|5DMG|69VULN|7RCR|9BPWR
37	51222 13661	5	   	256.83	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD|1AART	15LIT|2FEWX|3ASPD|457VULN|5BPWR|6RCR|8DMG|9DUR|aAART
38	51222 24161	8	   	256.83	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD|1AART	15LIT|2FEWX|3ASPD|458VULN|5BPWR|6DMG|7RCR|9DUR|aAART
39	51622 13361	5	   	256.83	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD|1AART	15LIT|2FEWX|3DMG|457VULN|5BPWR|6RCR|8ASPD|9DUR|aAART
40	52622 13361	5	   	256.83	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD|1AART	15LIT|2LHND|3DMG|457VULN|5BPWR|6RCR|8ASPD|9DUR|aAART
41	11124 35124	2	   	256.41	DCR|3VULN|3DUR|1TLV|1ASPD	1aLHND|2ASPD|38aDUR|4TLV|5BEXP|67aVULN|9RCR|aBPWR
42	11123 35124	2	   	256.31	DCR|3VULN|3DUR|1TLV|1ASPD	1aLHND|2ASPD|38aDUR|4TLV|5DUST|67aVULN|9RCR|aBPWR
43	15123 35124	1	   	256.31	DCR|3VULN|3DUR|1TLV|1ASPD	1aLHND|2ASPD|38aDUR|4TLV|5DUST|67aVULN|9RCR|aBPWR
44	32433 15361	6	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	18CGEN|2BEXP|38DMG|47VULN|5TLV|689DUR|8BPWR|aRCR
45	12161 15124	1	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	1aLHND|2TLV|38aDUR|4FEWX|57VULN|6aDMG|9RCR|aBPWR
46	14221 25324	3	 * 	255.96	DCR|3VULN|2DUR|2TLV|1DMG	1aLHND|257VULN|3aDUR|4DMG|6BEXP|8aTLV|9RCR|aBPWR
47	53521 11363	6	 * 	255.83	DCR|2VULN|3DUR|3LIT|1DMG|1CDMG	19aLIT|2CDMG|389DUR|4LWND|5DMG|69VULN|7RCR|9BPWR
48	31431 22124	8	 * 	255.65	DCR|2VULN|3DMG|3DUR	18aCGEN|2FEWX|38aDMG|45VULN|6DUST|78aDUR|8aBPWR|9RCR
49	53534 22121	5	   	255.08	DCR|2VULN|2DMG|2DUR|2LIT|1CDMG	15LIT|2CDMG|39DUR|45DMG|5BPWR|6BEXP|78VULN|aRCR
50	53121 34532	7	 * 	255.08	DCR|2VULN|2DMG|2TLV|2CDMG|1ASPD	1LIT|2aCDMG|3ZMB|45TLV|6aDMG|7ASPD|8RCR|9aVULN|aBPWR
51	53534 12121	6	   	254.98	DCR|2VULN|2DMG|2DUR|2LIT|1CDMG	15LIT|2CDMG|39DUR|45DMG|5BPWR|6DUST|78VULN|aRCR
52	14211 33424	9	   	254.41	DCR|3VULN|3DMG|1DUR|1SELL	19LHND|289VULN|3DUR|4SELL|5ZMB|69aDMG|7RCR|9BPWR
53	53561 13121	6	   	253.84	DCR|3VULN|2DUR|1TLV|1CDMG	1LIT|2CDMG|39DUR|4TLV|5DUST|678VULN|aRCR
54	52622 13263	5	   	253.75	DCR|3VULN|2DMG|1DUR|2LIT	15LIT|2LHND|3aDMG|457VULN|5BPWR|6RCR|8LWND|9DUR
55	52622 13432	5	   	253.75	DCR|3VULN|2DMG|1DUR|2LIT	15LIT|2LHND|39DMG|457VULN|5BPWR|6RCR|8DUR|aZMB
56	52622 13433	5	   	253.75	DCR|3VULN|2DMG|1DUR|2LIT	15LIT|2LHND|39DMG|457VULN|5BPWR|6RCR|8DUR|aBEXP
57	52622 13532	5	   	253.65	DCR|3VULN|2DMG|1TLV|2LIT	15LIT|2LHND|39DMG|457VULN|5BPWR|6RCR|8ERES|aTLV
58	52622 11234	5	   	253.62	DCR|3VULN|2DMG|3LIT|1ASPD	159LIT|2LHND|39DMG|459VULN|59BPWR|6RCR|7TBNT|8BELT|aASPD
59	24425 33133	5	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1DUST|278aVULN|3CDMG|4DUR|5LWND|6RCR|9TLV
60	24462 33133	3	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1DUST|278aVULN|3CDMG|4LWND|5DUR|6RCR|9TLV
61	51222 24121	9	   	253.56	DCR|4VULN|1DMG|2LIT|1ASPD	15LIT|2FEWX|3ASPD|458aVULN|5BPWR|6DMG|7RCR|9ZMB
62	51222 24151	9	   	253.56	DCR|4VULN|1DMG|2LIT|1ASPD	15LIT|2FEWX|3ASPD|458aVULN|5BPWR|6DMG|7RCR|9CGEN
63	53123 42532	4	 * 	253.51	DCR|2VULN|3ASPD|1DMG|2CDMG|1TLV	1LIT|2aCDMG|3ZMB|4TLV|56aASPD|7DMG|8RCR|9aVULN|aBPWR
64	53123 42532	5	   	253.51	DCR|2VULN|3ASPD|1DMG|2CDMG|1TLV	1LIT|2aCDMG|3ZMB|4TLV|56aASPD|7DMG|8RCR|9aVULN|aBPWR
65	51222 13611	5	   	253.46	DCR|4VULN|1DMG|2LIT|1ASPD	15LIT|2FEWX|3ASPD|457aVULN|5BPWR|6RCR|8DMG|9ERES
66	51222 24111	8	   	253.46	DCR|4VULN|1DMG|2LIT|1ASPD	15LIT|2FEWX|3ASPD|458aVULN|5BPWR|6DMG|7RCR|9ERES
67	51622 13311	5	   	253.46	DCR|4VULN|1DMG|2LIT|1ASPD	15LIT|2FEWX|3DMG|457aVULN|5BPWR|6RCR|8ASPD|9ERES
68	52622 13311	5	   	253.46	DCR|4VULN|1DMG|2LIT|1ASPD	15LIT|2LHND|3DMG|457aVULN|5BPWR|6RCR|8ASPD|9ERES
69	23622 14124	1	   	253.38	DCR|3VULN|2DMG|2DUR	1aDUST|2LHND|35aVULN|48DUR|6CGEN|7aDMG|9RCR|aBPWR
70	23622 14124	2	   	253.38	DCR|3VULN|2DMG|2DUR	1aDUST|2LWND|35aVULN|48DUR|6CGEN|7aDMG|9RCR|aBPWR
71	23631 34124	1	   	253.38	DCR|3VULN|2DMG|2DUR	1aDUST|2LHND|35aVULN|4CGEN|68DUR|7aDMG|9RCR|aBPWR
72	23631 34124	2	   	253.38	DCR|3VULN|2DMG|2DUR	1aDUST|2LWND|35aVULN|4CGEN|68DUR|7aDMG|9RCR|aBPWR
73	14221 33152	3	   	253.35	DCR|2VULN|3DUR|2DMG|1CDMG	1LHND|25VULN|368DUR|4aDMG|7CDMG|9RCR
74	14211 33423	10	   	253.34	DCR|3VULN|2DMG|2DUR|1SELL	19LHND|289VULN|3aDUR|4SELL|5ZMB|69DMG|7RCR|9BPWR
75	53223 41411	2	   	252.73	DCR|3VULN|1DMG|1TLV|1CDMG|1AART	1LIT|2CDMG|3DMG|4AART|5TLV|6TBNT|7RCR|89aVULN
76	14224 31413	3	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|27aVULN|3DUR|49DMG|5CDMG|6ERES|8RCR
77	51622 12135	5	   	252.22	DCR|4VULN|1DMG|2LIT|1AART	15LIT|2FEWX|3DMG|459aVULN|5BPWR|6RCR|7ZMB|8AART
78	51323 24151	8	   	252.16	DCR|4VULN|1DMG|1TLV	1LIT|2FEWX|3CGEN|458aVULN|6DMG|7RCR|9TLV
79	14221 25326	3	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1LHND|257VULN|3aDUR|4DMG|6BEXP|8TLV|9RCR
80	51622 21111	8	   	251.16	DCR|3VULN|2DMG|2LIT|1CDMG	15LIT|2FEWX|36DMG|458VULN|5BPWR|7CDMG|9BEXP|aRCR
81	51622 21111	9	   	251.16	DCR|3VULN|2DMG|2LIT|1CDMG	15LIT|2FEWX|36DMG|458VULN|5BPWR|7CDMG|9BEXP|aRCR
82	51622 21151	9	   	251.16	DCR|3VULN|2DMG|2LIT|1CDMG	15LIT|2FEWX|36DMG|458VULN|5BPWR|7CDMG|9LWND|aRCR
83	53436 31111	9	   	251.16	DCR|3VULN|2DMG|2LIT|1CDMG	16LIT|2CDMG|358VULN|46DMG|6BPWR|7LWND|9BEXP|aRCR
84	53436 31111	8	   	251.16	DCR|3VULN|2DMG|2LIT|1CDMG	16LIT|2CDMG|358VULN|46DMG|6BPWR|7LWND|9BEXP|aRCR
85	34361 11513	6	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1CGEN|2TLV|3LHND|4DUR|57aVULN|6CDMG|8RCR|9DMG
86	53436 32111	9	   	251.06	DCR|3VULN|2DMG|2LIT|1CDMG	16LIT|2CDMG|358VULN|46DMG|6BPWR|7LEGI|9BEXP|aRCR
87	53436 32111	8	   	251.06	DCR|3VULN|2DMG|2LIT|1CDMG	16LIT|2CDMG|358VULN|46DMG|6BPWR|7LEGI|9BEXP|aRCR
88	31632 15162	1	 * 	251.02	DCR|3VULN|2DMG|2TLV	19CGEN|2LIT|379VULN|4ZMB|5aTLV|6RCR|89DMG|9BPWR
89	22125 34513	1	   	251.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1DUST|2TLV|3DUR|4CDMG|57aVULN|6RMIN|8RCR|9DMG
90	53413 12335	5	   	250.96	DCR|3VULN|2DMG|2LIT|1CDMG	14LIT|2CDMG|369VULN|57DMG|8ERES|aRCR
91	24422 33333	7	   	250.91	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUST|29aVULN|3CDMG|4DUR|5ERES|6DMG|7RCR|8TLV
92	24422 33533	8	   	250.91	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUST|29aVULN|3CDMG|4DUR|5ERES|6DMG|7RCR|8TLV
93	51222 24125	7	 * 	250.79	DCR|3VULN|2ASPD|1DMG|2LIT|1AART	15LIT|2FEWX|39ASPD|45aVULN|5BPWR|6DMG|7RCR|8AART
94	53521 11362	6	   	250.72	DCR|2VULN|3DUR|1DMG|2LIT|1CDMG	19LIT|2CDMG|389DUR|4LWND|5DMG|69VULN|7RCR|9BPWR|aMBVNT
95	21432 22366	6	 * 	250.16	DCR|2VULN|2DUR|2ASPD|1DMG|2CDMG	1DUST|29ASPD|3DMG|4aVULN|59CDMG|6LHND|79DUR|8RCR|9BPWR
96	53123 42532	6	 * 	250.02	DCR|2VULN|3CDMG|2ASPD|1DMG|1TLV	1LIT|26aCDMG|3ZMB|4TLV|5aASPD|7DMG|8RCR|9aVULN|aBPWR
97	51622 13232	5	   	249.82	DCR|3VULN|1DMG|1TLV|2LIT|1CDMG	15LIT|2FEWX|3DMG|457VULN|5BPWR|6RCR|8LWND|9CDMG|aTLV
98	51622 13235	5	   	249.82	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	15LIT|2FEWX|3DMG|457VULN|5BPWR|6RCR|8LWND|9CDMG|aDUR
99	53433 11161	9	   	249.72	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	18LIT|2CDMG|369VULN|4DMG|5BEXP|7DUR|aRCR
100	53436 11211	5	   	249.72	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	18LIT|2CDMG|356VULN|4DMG|7DUR|9BEXP|aRCR
101	53451 12211	6	   	249.72	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	18LIT|2CDMG|367VULN|4DUR|5DMG|9BEXP|aRCR
102	22125 42423	1	   	249.69	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1DUST|2TLV|37DUR|4CDMG|5aVULN|6DMG|8RCR|9ASPD
103	53431 11161	9	   	249.62	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	18LIT|2CDMG|369VULN|4DMG|5DUST|7DUR|aRCR
104	41431 32331	8	   	249.37	DCR|2VULN|3DUR|1DMG|1TLV|1ASPD	1FEWX|2ASPD|3DMG|45VULN|679DUR|8TLV|aRCR
105	51622 11232	5	 * 	249.32	DCR|2VULN|2DMG|3LIT|2TLV|1CDMG	15aLIT|2FEWX|3aDMG|45VULN|5aBPWR|6RCR|7TBNT|8CDMG|9aTLV
106	21331 62641	10	   	249.28	DCR|4VULN|2DUR|1ASPD	1DUST|2ASPD|3MLV|4569VULN|78DUR|aRCR
107	13251 33362	3	   	249.22	DCR|3VULN|3DUR|1DMG	19LHND|2LWND|349DUR|579VULN|6RPLT|8RCR|9BPWR|aDMG
108	13653 33362	2	   	249.22	DCR|3VULN|3DUR|1DMG	19LHND|2LWND|379VULN|459DUR|6RPLT|8RCR|9BPWR|aDMG
109	14225 16111	10	   	249.12	DCR|3VULN|3DUR|1DMG	1LHND|258VULN|356DUR|4RMIN|5BPWR|7RCVC|9DMG|aRCR
110	14225 15333	9	   	249.12	DCR|3VULN|3DUR|1DMG	1LHND|25aVULN|356DUR|4RMIN|5BPWR|7BELT|8RCR|9DMG
111	14225 12251	9	   	249.02	DCR|3VULN|3DUR|1DMG	1LHND|259VULN|356DUR|4RMIN|5BPWR|7DMG|8ERES|aRCR
112	14225 12261	9	   	249.02	DCR|3VULN|3DUR|1DMG	1LHND|25aVULN|356DUR|4RMIN|5BPWR|7DMG|8ERES|9RCR
113	14225 13351	9	   	249.02	DCR|3VULN|3DUR|1DMG	1LHND|259VULN|356DUR|4RMIN|5BPWR|7ERES|8DMG|aRCR
114	14225 13361	9	   	249.02	DCR|3VULN|3DUR|1DMG	1LHND|25aVULN|356DUR|4RMIN|5BPWR|7ERES|8DMG|9RCR
115	24225 15111	10	   	249.02	DCR|3VULN|3DUR|1DMG	1DUST|258VULN|356DUR|4RMIN|5BPWR|7RCVC|9DMG|aRCR
116	53463 11121	7	   	248.69	DCR|3VULN|2DUR|1CDMG|1ASPD	1LIT|2CDMG|368VULN|4ASPD|5BEXP|79DUR|aRCR
117	53533 11114	6	   	248.63	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|2CDMG|3aDUR|4aDMG|5BEXP|6aVULN|7RCR|8CGEN|9LWND|aBPWR
118	53461 11121	7	   	248.59	DCR|3VULN|2DUR|1CDMG|1ASPD	1LIT|2CDMG|368VULN|4ASPD|5DUST|79DUR|aRCR
119	53531 11114	6	   	248.53	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|2CDMG|3aDUR|4aDMG|5DUST|6aVULN|7RCR|8CGEN|9LWND|aBPWR
120	53531 11134	6	   	248.53	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|2CDMG|3aDUR|4aDMG|5DUST|6aVULN|7RCR|8CGEN|9BEXP|aBPWR
121	41431 35121	6	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1FEWX|2ASPD|3DMG|457VULN|6DUR|8LWND|9RCR|aTLV
122	13621 35421	2	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2LWND|357VULN|4DMG|6DUR|8ASPD|9RCR|aTLV
123	14221 25421	3	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|257VULN|3DUR|4DMG|6BEXP|8ASPD|9RCR|aTLV
124	14221 52125	3	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|257VULN|3DUR|4DMG|6RPLT|8TLV|9ASPD|aRCR
125	14321 35421	2	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|257VULN|3FEWX|4DMG|6DUR|8ASPD|9RCR|aTLV
126	32431 32325	5	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1CGEN|2BEXP|3DMG|45aVULN|6ASPD|7DUR|8TLV|9RCR
127	53532 22121	4	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|2CDMG|39DUR|45DMG|6BEXP|78VULN|aRCR
128	53532 62121	4	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|2CDMG|39DUR|45DMG|6LHND|78VULN|aRCR
129	53532 14121	4	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|2CDMG|39DUR|45DMG|68VULN|7LWND|aRCR
130	53532 15121	4	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|2CDMG|39DUR|45DMG|68VULN|7BEXP|aRCR
131	51222 13513	5	   	248.41	DCR|3VULN|2DMG|2LIT|1ASPD	15LIT|2FEWX|3ASPD|457VULN|5BPWR|6RCR|8BBNT|9aDMG
132	51222 13623	5	   	248.41	DCR|3VULN|2DMG|2LIT|1ASPD	15LIT|2FEWX|3ASPD|457VULN|5BPWR|6RCR|8aDMG|9BBNT
133	51222 13653	5	   	248.41	DCR|3VULN|2DMG|2LIT|1ASPD	15LIT|2FEWX|3ASPD|457VULN|5BPWR|6RCR|8aDMG|9TBNT
134	51222 24123	8	   	248.41	DCR|3VULN|2DMG|2LIT|1ASPD	15LIT|2FEWX|3ASPD|458VULN|5BPWR|6aDMG|7RCR|9BBNT
135	51222 24153	8	   	248.41	DCR|3VULN|2DMG|2LIT|1ASPD	15LIT|2FEWX|3ASPD|458VULN|5BPWR|6aDMG|7RCR|9TBNT
136	51622 13323	5	   	248.41	DCR|3VULN|2DMG|2LIT|1ASPD	15LIT|2FEWX|3aDMG|457VULN|5BPWR|6RCR|8ASPD|9BBNT
137	51622 13353	5	   	248.41	DCR|3VULN|2DMG|2LIT|1ASPD	15LIT|2FEWX|3aDMG|457VULN|5BPWR|6RCR|8ASPD|9TBNT
138	51622 13513	5	   	248.41	DCR|3VULN|2DMG|2LIT|1ASPD	15LIT|2FEWX|3aDMG|457VULN|5BPWR|6RCR|8BBNT|9ASPD
139	52622 13323	5	   	248.41	DCR|3VULN|2DMG|2LIT|1ASPD	15LIT|2LHND|3aDMG|457VULN|5BPWR|6RCR|8ASPD|9BBNT
140	52622 13353	5	   	248.41	DCR|3VULN|2DMG|2LIT|1ASPD	15LIT|2LHND|3aDMG|457VULN|5BPWR|6RCR|8ASPD|9TBNT
141	21431 35121	6	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1DUST|2ASPD|3DMG|457VULN|6DUR|8LWND|9RCR|aTLV
142	21431 35143	6	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1DUST|2ASPD|3DMG|457VULN|6DUR|8LWND|9TLV|aRCR
143	21431 62521	7	   	248.36	DCR|3VULN|1DMG|1DUR|1TLV|1ASPD	1DUST|2ASPD|3DMG|456VULN|7LHND|8DUR|9RCR|aTLV
144	21431 62621	8	   	248.36	DCR|3VULN|1DMG|1DUR|1TLV|1ASPD	1DUST|2ASPD|3DMG|456VULN|7LHND|8DUR|9RCR|aTLV
145	21431 65121	5	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1DUST|2ASPD|3DMG|457VULN|6DUR|8LWND|9RCR|aTLV
146	21431 34325	8	   	248.26	DCR|3VULN|1DMG|1DUR|1TLV|1ASPD	1DUST|2ASPD|3DMG|45aVULN|6DUR|7ERES|8TLV|9RCR
147	21121 78233	2	   	248.24	DCR|4VULN|1DUR|1CDMG|1ASPD	1DUST|2ASPD|3DUR|4MBVNT|589aVULN|6CDMG|7RCR
148	25121 78233	1	   	248.24	DCR|4VULN|1DUR|1CDMG|1ASPD	1DUST|2ASPD|3DUR|4MBVNT|589aVULN|6CDMG|7RCR
149	53412 24233	7	   	248.14	DCR|3VULN|3LIT|1DMG|1CDMG|1AART	149LIT|2CDMG|35aVULN|6AART|7RCR|8DMG
150	13621 25324	2	 * 	247.77	DCR|4VULN|2TLV|1DMG	1aLHND|2LWND|357aVULN|4DMG|6BEXP|8aTLV|9RCR|aBPWR
151	51622 22316	8	   	247.71	DCR|2VULN|3DMG|3LIT|1TLV	159LIT|2FEWX|369DMG|45VULN|59BPWR|7TLV|89ZMB|aRCR
152	53123 22532	6	 * 	247.70	DCR|2VULN|2ASPD|2TLV|1DMG|2CDMG	1LIT|2aCDMG|3ZMB|46TLV|5aASPD|7DMG|8RCR|9aVULN|aBPWR
153	53123 24532	7	   	247.70	DCR|2VULN|2ASPD|2TLV|1DMG|2CDMG	1LIT|2aCDMG|3ZMB|46TLV|5aASPD|7DMG|8RCR|9aVULN|aBPWR
154	14422 21234	4	 * 	247.57	DCR|4VULN|1DMG|2CDMG	1LHND|258aVULN|36CDMG|4RCVC|7RCR|9DMG
155	24412 13336	5	   	247.55	DCR|2VULN|2DMG|3CDMG|1DUR|1AART	18DUST|28VULN|345CDMG|68DMG|7AART|8BPWR|9DUR|aRCR
156	31632 15161	1	   	247.31	DCR|3VULN|2DMG|1TLV	19CGEN|2LIT|379VULN|4ZMB|5TLV|6RCR|89DMG|9BPWR|aFEWX
157	31632 15163	1	   	247.31	DCR|3VULN|2DMG|1TLV	19CGEN|2LIT|379VULN|4ZMB|5TLV|6RCR|89DMG|9BPWR|aBEXP
158	21432 23426	10	   	247.20	DCR|3VULN|2DMG|1CDMG|1ASPD	19DUST|2ASPD|39DMG|48aVULN|5CDMG|69LHND|7RCR|9BPWR
159	51222 13662	5	   	247.17	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD	15LIT|2FEWX|3ASPD|457VULN|5BPWR|6RCR|8DMG|9DUR|aMLV
160	51222 24134	10	   	247.17	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD	15LIT|2FEWX|3ASPD|458VULN|5BPWR|6DMG|7RCR|9RPLT|aDUR
161	51222 24162	8	   	247.17	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD	15LIT|2FEWX|3ASPD|458VULN|5BPWR|6DMG|7RCR|9DUR|aMLV
162	51622 13362	5	   	247.17	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD	15LIT|2FEWX|3DMG|457VULN|5BPWR|6RCR|8ASPD|9DUR|aMLV
163	52622 13335	5	   	247.17	DCR|3VULN|1DMG|1DUR|2LIT|1ASPD	15LIT|2LHND|3DMG|457VULN|5BPWR|6RCR|8ASPD|9FEWX|aDUR
