0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14361 32363	5	 * 	309.05	DCR|4VULN|3DMG|2DUR|2CDMG	1AART|268aVULN|35CDMG|45aDMG|5aBPWR|7aDUR|9RCR
16	33133 22421	10	   	291.08	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|358aVULN|4RCVC|58BPWR|6RCR|78TLV|9ASPD
17	14312 32363	3	   	286.98	DCR|4VULN|2DMG|2DUR|1CDMG	1AART|258aVULN|3CDMG|4DMSP|6aDMG|7aDUR|9RCR|aBPWR
18	14333 14363	6	   	286.98	DCR|4VULN|2DMG|2DUR|1CDMG	1AART|268aVULN|3CDMG|4aDUR|5aDMG|7RCVC|9RCR|aBPWR
19	14333 32163	7	   	286.93	DCR|3VULN|3DUR|2DMG|2AART|1CDMG	18AART|27aVULN|3CDMG|46aDUR|5aDMG|9RCR|aBPWR
20	14361 12453	8	 * 	284.16	DCR|4VULN|3DMG|3CDMG	1AART|279aVULN|35aCDMG|45aDMG|5aBPWR|6MBVNT|8RCR
21	14361 12453	9	   	284.16	DCR|4VULN|3DMG|3CDMG	1AART|279aVULN|35aCDMG|45aDMG|5aBPWR|6MBVNT|8RCR
22	33133 22236	9	   	282.77	DCR|4VULN|3DMG|2TLV	1LEGI|25aDMG|358aVULN|4RCVC|5aBPWR|6RCR|7aTLV|9BELT
23	33133 22431	10	   	282.77	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|3589VULN|4RCVC|58BPWR|6RCR|78TLV|aMLV
24	33133 22432	9	   	282.77	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|3589VULN|4RCVC|58BPWR|6RCR|78TLV|aCGEN
25	33133 22432	10	   	282.77	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|3589VULN|4RCVC|58BPWR|6RCR|78TLV|aBEXP
26	33133 22433	10	   	282.77	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|3589VULN|4RCVC|58BPWR|6RCR|78TLV|aCGEN
27	33133 22434	10	   	282.77	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|3589VULN|4RCVC|58BPWR|6RCR|78TLV|aLWND
28	33133 22436	9	   	282.77	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|3589VULN|4RCVC|58BPWR|6RCR|78TLV|aLHND
29	33133 22444	9	   	282.77	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|358aVULN|4RCVC|58BPWR|6RCR|78TLV|9BEXP
30	33133 22444	8	   	282.77	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|358aVULN|4RCVC|58BPWR|6RCR|78TLV|9FEWX
31	33133 22451	10	   	282.77	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|358aVULN|4RCVC|58BPWR|6RCR|78TLV|9MLV
32	33133 22456	9	   	282.77	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|358aVULN|4RCVC|58BPWR|6RCR|78TLV|9MLV
33	33133 22461	10	   	282.77	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|358aVULN|4RCVC|58BPWR|6RCR|78TLV|9CGEN
34	33133 41336	9	   	282.77	DCR|4VULN|3DMG|2TLV	1LEGI|25aDMG|356aVULN|4RCVC|5aBPWR|7aTLV|8RCR|9BELT
35	33133 22146	7	   	282.67	DCR|4VULN|3DMG|2TLV	1LEGI|259DMG|359aVULN|4RCVC|59BPWR|6RCR|79TLV|8BBNT
36	33133 22416	8	   	282.67	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|358aVULN|4RCVC|58BPWR|6RCR|78TLV|9TBNT
37	33133 22426	8	   	282.67	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|358aVULN|4RCVC|58BPWR|6RCR|78TLV|9BBNT
38	33133 22431	9	   	282.67	DCR|4VULN|3DMG|2TLV	1LEGI|258DMG|3589VULN|4RCVC|58BPWR|6RCR|78TLV|aDUST
39	33133 22434	9	 * 	282.67	DCR|4VULN|3DMG|3TLV	1LEGI|258DMG|3589VULN|4RCVC|58BPWR|6RCR|78aTLV
40	33133 22436	10	   	282.67	DCR|4VULN|3DMG|3TLV	1LEGI|258DMG|3589VULN|4RCVC|58BPWR|6RCR|78aTLV
41	33133 22435	9	   	282.53	DCR|4VULN|3DMG|2TLV|1SELL	1LEGI|258DMG|3589VULN|4RCVC|58BPWR|6RCR|78TLV|aSELL
42	14362 12453	8	   	280.70	DCR|5VULN|2DMG|2CDMG	1AART|2579aVULN|3aCDMG|4aDMG|6MBVNT|8RCR|aBPWR
43	14362 12453	9	   	280.70	DCR|5VULN|2DMG|2CDMG	1AART|2579aVULN|3aCDMG|4aDMG|6MBVNT|8RCR|aBPWR
44	33164 12363	7	   	280.70	DCR|5VULN|2DMG|2CDMG	1LEGI|2aDMG|3678aVULN|4AART|5aCDMG|9RCR|aBPWR
45	33133 21354	10	   	280.38	DCR|5VULN|3DMG|1CDMG	1LEGI|259DMG|35789VULN|4RCVC|59BPWR|6RCR|aCDMG
46	14333 34363	6	   	279.16	DCR|3VULN|3DUR|2DMG|1CDMG	1AART|28aVULN|3CDMG|46aDUR|5aDMG|7RCVC|9RCR|aBPWR
