0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34121 52361	1	 * 	291.79	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|28DUR|3CDMG|4LIT|58DMG|6CGEN|78aVULN|8BPWR|9RCR
37	35114 62311	6	   	266.82	DCR|2VULN|2DMG|2ASPD|2TLV|1DUR|1CDMG	13TLV|23ASPD|3BPWR|4CDMG|58DMG|6RCR|7DUR|9aVULN
38	35135 62311	6	   	266.82	DCR|2VULN|2DMG|2ASPD|2TLV|1DUR|1CDMG	13TLV|23ASPD|3BPWR|48DMG|5CDMG|6RCR|7DUR|9aVULN
39	32111 55112	8	 * 	266.41	DCR|2VULN|2DUR|2ASPD|1DMG|2CDMG|1TLV	1TLV|24CDMG|34ASPD|4BPWR|56DUR|7DMG|89VULN|aRCR
40	65113 32361	5	   	266.17	DCR|3VULN|1DMG|1TLV|1DUR|2LIT|1CDMG	1CDMG|28aVULN|3DMG|4TLV|58LIT|6DUR|78CGEN|8BPWR|9RCR
41	32142 12612	4	   	265.83	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1ASPD	18TLV|2CDMG|3ASPD|469VULN|5DMG|7DUR|aRCR
42	32146 12612	5	   	265.83	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1ASPD	18TLV|2CDMG|3ASPD|469VULN|5DMG|7DUR|aRCR
43	35133 12115	3	   	265.60	DCR|3VULN|3ASPD|2TLV|1DUR|1CDMG	13TLV|235ASPD|3BPWR|489VULN|6RCR|7DUR|aCDMG
44	63621 12342	5	 * 	265.16	DCR|4VULN|2ASPD|2CDMG|1TLV	19CDMG|2CGEN|3679VULN|4BEXP|5TLV|89ASPD|9BPWR|aRCR
45	63623 12342	4	   	265.16	DCR|4VULN|2ASPD|2CDMG|1TLV	19CDMG|2CGEN|3679VULN|4BEXP|5TLV|89ASPD|9BPWR|aRCR
46	34121 52363	1	   	264.88	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|28DUR|3CDMG|4LIT|58DMG|6CGEN|78VULN|8BPWR|9RCR|aRCVC
47	65221 12312	5	   	264.59	DCR|4VULN|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2679VULN|3DUR|4ERES|5TLV|8ASPD|aRCR
48	65223 33621	10	 * 	264.38	DCR|4VULN|2DUR|3CDMG	159CDMG|279aVULN|39DUR|456ERES|59BPWR|8RCR
49	35111 55112	8	 * 	263.81	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG|1CDMG	13TLV|23ASPD|3BPWR|4CDMG|56DUR|7DMG|89VULN|aRCR
50	12221 52312	3	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1FEWX|24DMG|3TLV|579VULN|6CDMG|8ASPD|aRCR
51	12241 52312	4	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1FEWX|24DMG|3TLV|579VULN|6CDMG|8ASPD|aRCR
52	12242 52312	5	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1FEWX|24DMG|3TLV|579VULN|6CDMG|8ASPD|aRCR
53	65112 12312	4	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1CDMG|279VULN|35DMG|4TLV|6LWND|8ASPD|aRCR
54	65112 32312	4	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1CDMG|279VULN|35DMG|4TLV|6FEWX|8ASPD|aRCR
55	65116 12312	5	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1CDMG|279VULN|35DMG|4TLV|6LWND|8ASPD|aRCR
56	65116 22312	6	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1CDMG|279VULN|35DMG|4TLV|6LWND|8ASPD|aRCR
57	65116 32312	5	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1CDMG|279VULN|35DMG|4TLV|6FEWX|8ASPD|aRCR
58	65162 12312	3	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1CDMG|279VULN|35DMG|4TLV|6LWND|8ASPD|aRCR
59	65162 32312	3	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1CDMG|279VULN|35DMG|4TLV|6FEWX|8ASPD|aRCR
60	65112 42312	4	   	263.35	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1CDMG|279VULN|35DMG|4TLV|6DUST|8ASPD|aRCR
61	65223 12143	5	 * 	263.05	DCR|3VULN|2DUR|3CDMG|2ASPD	159CDMG|269VULN|37DUR|45ERES|59BPWR|89ASPD|aRCR
62	32146 22316	6	   	263.02	DCR|2VULN|3DUR|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|4aVULN|5DMG|6RCR|789DUR
63	34213 53343	1	   	262.93	DCR|4VULN|2DUR|1TLV	1TLV|27DUR|3BELT|4569VULN|8LIT|aRCR
64	65112 12142	5	 * 	262.79	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	19CDMG|26VULN|39DMG|4TLV|5ERES|79DUR|8DMSP|9BPWR|aRCR
65	35133 63215	8	 * 	262.79	DCR|2VULN|2DMG|3ASPD|2TLV|1DUR	13TLV|235ASPD|35BPWR|45DMG|6MLV|7DUR|8RCR|9aVULN
66	32624 12342	5	 * 	262.57	DCR|4VULN|2ASPD|2TLV|1CDMG	19TLV|2CDMG|3679VULN|4BEXP|5CGEN|89ASPD|9BPWR|aRCR
67	32614 12342	5	   	262.47	DCR|4VULN|2ASPD|2TLV|1CDMG	19TLV|2CDMG|3679VULN|4MLV|5DUST|89ASPD|9BPWR|aRCR
68	32663 12342	4	   	262.47	DCR|4VULN|2ASPD|2TLV|1CDMG	19TLV|2CDMG|3679VULN|4DUST|5MLV|89ASPD|9BPWR|aRCR
69	12243 32215	8	 * 	262.19	DCR|2VULN|3DMG|2DUR|2TLV	1FEWX|245DMG|35TLV|5BPWR|67DUR|8RCR|9aVULN
70	12243 32265	9	   	262.19	DCR|2VULN|3DMG|2DUR|2TLV	1FEWX|245DMG|35TLV|5BPWR|67DUR|8RCR|9aVULN
71	35133 23361	5	 * 	262.19	DCR|2VULN|3DMG|3ASPD|2TLV	13TLV|235ASPD|35BPWR|459DMG|6ZMB|7RCR|8aVULN
72	35133 23311	5	   	262.19	DCR|2VULN|3DMG|3ASPD|2TLV	13TLV|235ASPD|35BPWR|45aDMG|6ZMB|7RCR|89VULN
73	35133 52121	7	   	262.19	DCR|2VULN|3DMG|3ASPD|2TLV	13TLV|235ASPD|35BPWR|456DMG|7CGEN|8aVULN|9RCR
74	35133 54121	6	   	262.19	DCR|2VULN|3DMG|3ASPD|2TLV	13TLV|235ASPD|35BPWR|456DMG|7ZMB|8aVULN|9RCR
75	35133 64121	7	   	262.19	DCR|2VULN|3DMG|3ASPD|2TLV	13TLV|235ASPD|35BPWR|457DMG|6MLV|8aVULN|9RCR
76	32142 12112	4	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|469VULN|5DMG|7DUR|8DMSP|aRCR
77	32146 12112	5	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|469VULN|5DMG|7DUR|8DMSP|aRCR
78	62662 12112	1	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2ASPD|369VULN|4TLV|5DMG|7DUR|8DMSP|aRCR
79	65262 12112	2	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1CDMG|269VULN|3ASPD|4TLV|5DMG|7DUR|8DMSP|aRCR
80	23121 52362	2	   	261.86	DCR|2VULN|3DUR|2DMG|1CDMG	1MLV|28aDUR|3CDMG|4LIT|58DMG|6CGEN|78VULN|8BPWR|9RCR
81	24121 52362	1	   	261.86	DCR|2VULN|3DUR|2DMG|1CDMG	1MLV|28aDUR|3CDMG|4LIT|58DMG|6CGEN|78VULN|8BPWR|9RCR
