0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33323 21541	1	 * 	298.75	DCR|5VULN|3DUR|1TLV|2LIT	1368aVULN|238DUR|38BPWR|4LWND|5TLV|78LIT|9RCR
17	36114 44753	5	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9BELT|aTLV
18	36114 54714	6	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9RCVC|aTLV
19	36114 54741	6	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aCGEN
20	36114 54742	6	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aFEWX
21	36114 54743	6	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aLHND
22	36114 54744	6	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9TLV|aRPLT
23	36114 44143	5	 * 	287.29	DCR|5VULN|2DMG|2CDMG|1DUR	1249aVULN|3MBVNT|5DUR|6RCR|7aDMG|8aCDMG|aBPWR
24	36114 44143	4	   	287.29	DCR|5VULN|2DMG|2CDMG|1DUR	1249aVULN|3MBVNT|5DUR|6RCR|7aDMG|8aCDMG|aBPWR
25	36114 52843	9	   	287.29	DCR|5VULN|2DMG|2CDMG|1DUR	1249aVULN|3MBVNT|5DUR|6RCR|7aCDMG|8aDMG|aBPWR
26	36114 52843	8	   	287.29	DCR|5VULN|2DMG|2CDMG|1DUR	1249aVULN|3MBVNT|5DUR|6RCR|7aCDMG|8aDMG|aBPWR
27	36114 54143	6	   	287.29	DCR|5VULN|2DMG|2CDMG|1DUR	1249aVULN|3MBVNT|5DUR|6RCR|7aDMG|8aCDMG|aBPWR
28	36114 44761	5	   	285.53	DCR|4VULN|2DMG|2DUR|1CDMG	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9LIT|aCDMG
29	36114 44761	4	   	285.53	DCR|4VULN|2DMG|2DUR|1CDMG	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9LIT|aCDMG
30	33323 21542	1	 * 	285.41	DCR|4VULN|3DUR|1TLV|3LIT	1368VULN|238DUR|38BPWR|4LWND|5TLV|78aLIT|9RCR
31	36114 44763	5	 * 	285.10	DCR|4VULN|3DUR|2DMG	1248VULN|3MBVNT|58aDUR|6RCR|78DMG|8BPWR|9LIT
32	36114 44763	4	   	285.10	DCR|4VULN|3DUR|2DMG	1248VULN|3MBVNT|58aDUR|6RCR|78DMG|8BPWR|9LIT
33	36144 34848	6	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	129VULN|3MBVNT|4RMIN|5TLV|689DUR|79DMG|9BPWR|aRCR
34	36114 44717	5	 * 	281.91	DCR|5VULN|2DMG|2DUR	1248aVULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9RCVC
35	36114 44717	4	   	281.91	DCR|5VULN|2DMG|2DUR	1248aVULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9RCVC
36	36114 44751	5	   	281.91	DCR|5VULN|2DMG|2DUR	1248aVULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9BELT
37	36114 44751	4	   	281.91	DCR|5VULN|2DMG|2DUR	1248aVULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9BELT
38	26423 22232	7	 * 	281.28	DCR|4VULN|1TLV|3ASPD|1DMG|1DUR	1FEWX|2456VULN|345ASPD|45BPWR|7TLV|8DMG|9DUR|aRCR
39	33323 21545	1	   	280.41	DCR|4VULN|3DUR|1TLV|2LIT	1368VULN|238DUR|38BPWR|4LWND|5TLV|78LIT|9RCR|aFEWX
40	33323 21546	1	   	280.41	DCR|4VULN|3DUR|1TLV|2LIT	1368VULN|238DUR|38BPWR|4LWND|5TLV|78LIT|9RCR|aMLV
41	33123 51541	1	   	280.31	DCR|4VULN|3DUR|1TLV|2LIT	138aVULN|268DUR|4LWND|5TLV|78LIT|8BPWR|9RCR
42	33323 21523	1	   	280.31	DCR|4VULN|3DUR|1TLV|2LIT	1368VULN|238DUR|38BPWR|4LWND|5TLV|78LIT|9DLOT|aRCR
43	33323 21543	1	   	280.31	DCR|4VULN|3DUR|1TLV|2LIT|1NUKE	1368VULN|238DUR|38BPWR|4LWND|5TLV|78LIT|9RCR|aNUKE
44	33323 21544	1	   	280.31	DCR|4VULN|3DUR|1TLV|2LIT	1368VULN|238DUR|38BPWR|4LWND|5TLV|78LIT|9RCR|aDUST
45	26433 14232	10	 * 	279.66	DCR|5VULN|1TLV|3ASPD|1DUR	17FEWX|24567VULN|357ASPD|57BPWR|8DUR|9RCR|aTLV
46	26423 25232	10	   	279.56	DCR|5VULN|1TLV|3ASPD|1DUR	1FEWX|24567VULN|345ASPD|45BPWR|8DUR|9RCR|aTLV
47	31426 62132	1	 * 	275.50	DCR|3VULN|3DMG|1TLV|1CDMG	156VULN|2ASPD|3CDMG|456DMG|56BPWR|7TBNT|8TLV|9BELT|aRCR
48	36114 34748	5	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1248VULN|3MBVNT|5DUR|68BEXP|78DMG|8BPWR|9TLV|aRCR
49	36114 34748	4	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1248VULN|3MBVNT|5DUR|68BEXP|78DMG|8BPWR|9TLV|aRCR
50	36114 44748	6	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1248VULN|3MBVNT|5DUR|68BEXP|78DMG|8BPWR|9TLV|aRCR
51	26423 36122	6	 * 	274.82	DCR|3VULN|2DUR|1TLV|3ASPD|1DMG	1FEWX|245VULN|345ASPD|45BPWR|69DUR|7TLV|8DMG|aRCR
52	66423 31122	5	   	274.82	DCR|3VULN|2DUR|1TLV|3ASPD|1DMG	1LHND|245VULN|345ASPD|45BPWR|6TLV|79DUR|8DMG|aRCR
53	36144 52533	8	 * 	273.81	DCR|5VULN|3TLV|3CDMG	1289aVULN|3MBVNT|4RMIN|589TLV|6RCR|789CDMG|89BPWR
54	36133 12534	8	 * 	273.66	DCR|4VULN|3DUR|3CDMG	1289VULN|3MBVNT|489DUR|5MLV|6ASPD|789CDMG|89BPWR|aRCR
55	36138 12534	8	   	273.56	DCR|4VULN|3DUR|3CDMG	1289VULN|3MBVNT|489DUR|5ERES|6ASPD|789CDMG|89BPWR|aRCR
56	36636 32212	10	   	273.50	DCR|4VULN|1TLV|3CDMG|1DUR	129aVULN|39aLHND|4DUR|5AART|6TLV|79aCDMG|8RCR|9aBPWR
57	36636 31212	10	 * 	273.29	DCR|4VULN|3DUR|3TLV|1SELL	129aVULN|3LHND|49aDUR|5AART|69aTLV|7SELL|8RCR|9aBPWR
58	36142 22748	3	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1268VULN|3MBVNT|4DMG|58DUR|78FEWX|8BPWR|9TLV|aRCR
59	36142 41748	3	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1278VULN|3MBVNT|4DMG|58DUR|68BEXP|8BPWR|9TLV|aRCR
60	26433 12251	10	   	272.03	DCR|5VULN|1TLV|2ASPD|1DUR	1FEWX|24569VULN|35ASPD|5BPWR|7TLV|8DUR|aRCR
61	36142 23748	3	   	271.99	DCR|4VULN|2DUR|1TLV|1DMG	1268VULN|3MBVNT|4DMG|58DUR|78DUST|8BPWR|9TLV|aRCR
62	33341 42332	1	   	271.90	DCR|3VULN|3DUR|2DMG|2ASPD|1NUKE	13aVULN|238DUR|3aBPWR|4NUKE|5TBNT|6aASPD|7aDMG|9RCR
63	36114 44712	4	   	271.88	DCR|4VULN|2DMG|2DUR	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9RCVC|aLIT
64	36114 44712	5	   	271.88	DCR|4VULN|2DMG|2DUR	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9RCVC|aLIT
65	36114 44721	5	   	271.88	DCR|4VULN|2DMG|2DUR	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9LHND|aASPD
66	36114 44721	4	   	271.88	DCR|4VULN|2DMG|2DUR	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9LHND|aASPD
67	36114 54712	6	   	271.88	DCR|4VULN|2DMG|2DUR	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9RCVC|aLIT
68	36114 54721	6	   	271.88	DCR|4VULN|2DMG|2DUR	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9LHND|aASPD
69	36114 44764	4	   	271.78	DCR|4VULN|2DMG|2DUR	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9LIT|aERES
70	36114 44764	5	   	271.78	DCR|4VULN|2DMG|2DUR	1248VULN|3MBVNT|58DUR|6RCR|78DMG|8BPWR|9LIT|aERES
71	36114 52843	10	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1249VULN|3MBVNT|5DUR|6RCR|7CDMG|8DMG|aTLV
72	36111 24683	5	   	271.04	DCR|5VULN|2DMG|2CDMG	1245aVULN|3MBVNT|6BEXP|7aDMG|8RCR|9aCDMG|aBPWR
73	36113 52843	8	   	271.04	DCR|5VULN|2DMG|2CDMG	1249aVULN|3MBVNT|5LHND|6RCR|7aCDMG|8aDMG|aBPWR
74	36113 52843	9	   	271.04	DCR|5VULN|2DMG|2CDMG	1249aVULN|3MBVNT|5LHND|6RCR|7aCDMG|8aDMG|aBPWR
75	36113 54143	6	   	271.04	DCR|5VULN|2DMG|2CDMG	1249aVULN|3MBVNT|5LHND|6RCR|7aDMG|8aCDMG|aBPWR
76	36118 44163	5	   	271.04	DCR|5VULN|2DMG|2CDMG	1249aVULN|3MBVNT|5FEWX|6RCR|7aDMG|8aCDMG|aBPWR
77	33331 32664	1	 * 	271.00	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	136VULN|23DUR|3BPWR|4TBNT|59CDMG|7TLV|8RCR|aDMG
78	36263 12151	10	   	270.37	DCR|5VULN|2DUR|1TLV	12569VULN|3RMIN|45DUR|5BPWR|7TLV|8DUST|aRCR
79	31426 61111	1	 * 	270.35	DCR|4VULN|3DMG|1CDMG	1569VULN|2ASPD|3CDMG|456DMG|56BPWR|7DUST|8CGEN|aRCR
80	36114 28118	10	   	270.27	DCR|5VULN|2DUR|1TLV	12467VULN|3MBVNT|57DUR|7BPWR|8DUST|9TLV|aRCR
81	36137 44143	5	   	268.95	DCR|4VULN|2DMG|2CDMG|1DUR	129aVULN|3MBVNT|4DUR|5DMSP|6RCR|7aDMG|8aCDMG|aBPWR
82	36137 54143	6	   	268.95	DCR|4VULN|2DMG|2CDMG|1DUR	129aVULN|3MBVNT|4DUR|5DMSP|6RCR|7aDMG|8aCDMG|aBPWR
83	36114 44143	3	   	268.95	DCR|4VULN|2DMG|2CDMG|1DUR	129aVULN|3MBVNT|4DMSP|5DUR|6RCR|7aDMG|8aCDMG|aBPWR
