0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14251 53322	5	 * 	286.54	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	19DUR|2CDMG|39DMG|4LWND|5LIT|6RCR|789VULN|9BPWR|aASPD
37	14232 34611	7	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|2CDMG|38DMG|4CGEN|5LHND|678VULN|8BPWR|9BBNT|aRCR
38	16116 23611	1	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|238VULN|4LEGI|5CDMG|6CGEN|78DMG|8BPWR|9BBNT|aRCR
39	24342 13231	4	   	266.74	DCR|4VULN|2DUR|3TLV	127TLV|27BPWR|3457VULN|67DUR|8LIT|9RCR|aRCVC
40	24342 13232	4	   	266.74	DCR|4VULN|2DUR|3TLV	127TLV|27BPWR|3457VULN|67DUR|8LIT|9RCR|aRPLT
41	24342 13233	4	   	266.74	DCR|4VULN|2DUR|3TLV	127TLV|27BPWR|3457VULN|67DUR|8LIT|9RCR|aLWND
42	24342 13236	4	   	266.74	DCR|4VULN|2DUR|3TLV	127TLV|27BPWR|3457VULN|67DUR|8LIT|9RCR|aLHND
43	25342 13231	4	   	266.74	DCR|4VULN|2DUR|3TLV	127TLV|3457VULN|67DUR|7BPWR|8LIT|9RCR|aRCVC
44	25342 13232	4	   	266.74	DCR|4VULN|2DUR|3TLV	127TLV|3457VULN|67DUR|7BPWR|8LIT|9RCR|aRPLT
45	25342 13233	4	   	266.74	DCR|4VULN|2DUR|3TLV	127TLV|3457VULN|67DUR|7BPWR|8LIT|9RCR|aLWND
46	25342 13236	4	   	266.74	DCR|4VULN|2DUR|3TLV	127TLV|3457VULN|67DUR|7BPWR|8LIT|9RCR|aLHND
47	24342 13235	4	   	266.64	DCR|4VULN|2DUR|3TLV	127TLV|27BPWR|3457VULN|67DUR|8LIT|9RCR|aERES
48	25342 13235	4	   	266.64	DCR|4VULN|2DUR|3TLV	127TLV|3457VULN|67DUR|7BPWR|8LIT|9RCR|aERES
49	24342 13234	4	   	266.50	DCR|4VULN|2DUR|3TLV|1SELL	127TLV|27BPWR|3457VULN|67DUR|8LIT|9RCR|aSELL
50	25342 13234	4	   	266.50	DCR|4VULN|2DUR|3TLV|1SELL	127TLV|3457VULN|67DUR|7BPWR|8LIT|9RCR|aSELL
51	14113 34313	9	 * 	265.47	DCR|3VULN|3DUR|2CDMG|1TLV	146DUR|2aCDMG|3TLV|56aVULN|6aBPWR|7aZMB|8RPLT|9RCR
52	14113 35214	8	   	265.47	DCR|3VULN|3DUR|2CDMG|1TLV	146DUR|2aCDMG|3TLV|56aVULN|6aBPWR|7RMIN|8RCR|9aCGEN
53	41212 34333	9	   	265.47	DCR|2VULN|3DUR|2DMG|1TLV|1AART|1SELL	1SELL|246DUR|36DMG|5AART|6BPWR|7TLV|8RCR|9aVULN
54	14113 35236	8	   	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	146DUR|29CDMG|3TLV|56aVULN|6BPWR|7RMIN|8RCR
55	24231 13533	9	   	265.15	DCR|4VULN|2DMG|3TLV	124TLV|24BPWR|34DMG|5LWND|679aVULN|8RCR
56	25231 13533	9	   	265.15	DCR|4VULN|2DMG|3TLV	124TLV|34DMG|4BPWR|5LWND|679aVULN|8RCR
57	64261 13113	10	   	265.11	DCR|2VULN|3DMG|2ASPD|1TLV|1DUR	1DLOT|237DMG|37BPWR|47ASPD|57VULN|6RCR|8CGEN|9DUR|aTLV
58	64261 13113	8	   	265.11	DCR|2VULN|3DMG|2ASPD|1TLV|1DUR	1DLOT|237DMG|37BPWR|47ASPD|57VULN|6RCR|8CGEN|9DUR|aTLV
59	64261 13113	9	   	265.11	DCR|2VULN|3DMG|2ASPD|1TLV|1DUR	1DLOT|237DMG|37BPWR|47ASPD|57VULN|6RCR|8CGEN|9DUR|aTLV
60	16116 12315	1	   	265.03	DCR|3VULN|3DUR|2CDMG|1TLV|1SELL	18aDUR|238VULN|4LEGI|58CDMG|6RCR|7SELL|8BPWR|9TLV
61	64261 13213	10	   	265.01	DCR|2VULN|3DMG|2ASPD|1TLV|1DUR	1DLOT|237DMG|37BPWR|47ASPD|57VULN|6RCR|8ERES|9DUR|aTLV
62	41212 31223	8	   	264.87	DCR|2VULN|3DMG|3DUR|1AART|1SELL	1SELL|246DUR|36aDMG|5AART|6aBPWR|7aDUST|8RCR|9aVULN
63	41212 31223	7	   	264.87	DCR|2VULN|3DMG|3DUR|1AART|1SELL	1SELL|246DUR|36aDMG|5AART|6aBPWR|7aDUST|8RCR|9aVULN
64	26311 53512	9	 * 	264.23	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	18TLV|2LHND|378DUR|4CDMG|5LIT|68VULN|8BPWR|9RCR|aDMG
65	13342 31426	1	 * 	263.92	DCR|3VULN|3DUR|2ASPD|1CDMG	178DUR|2TBNT|368VULN|48ASPD|5RCVC|8BPWR|9CDMG|aRCR
66	14413 53332	10	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	19DUR|2CDMG|3AART|4LIT|5TLV|6RCR|78aVULN
67	23152 11156	2	   	263.38	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	17TLV|2AART|37aVULN|4LHND|5FEWX|67DMG|7BPWR|8ASPD|9RCR
68	24341 31531	10	   	263.29	DCR|5VULN|3TLV|1DUR	126TLV|26BPWR|34678VULN|5RPLT|9RCR|aDUR
69	24341 31631	10	   	263.29	DCR|5VULN|3TLV|1DUR	126TLV|26BPWR|34679VULN|5RPLT|8RCR|aDUR
70	25341 31531	10	   	263.29	DCR|5VULN|3TLV|1DUR	126TLV|34678VULN|5RPLT|6BPWR|9RCR|aDUR
71	25341 31631	10	   	263.29	DCR|5VULN|3TLV|1DUR	126TLV|34679VULN|5RPLT|6BPWR|8RCR|aDUR
72	23221 11156	5	   	263.28	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	17TLV|2AART|3LWND|4LEGI|57aVULN|67DMG|7BPWR|8ASPD|9RCR
73	23225 11156	4	   	263.28	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	17TLV|2AART|3LWND|4LEGI|57aVULN|67DMG|7BPWR|8ASPD|9RCR
74	23321 11156	5	   	263.28	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	17TLV|2AART|3LHND|4LEGI|57aVULN|67DMG|7BPWR|8ASPD|9RCR
75	23325 11156	4	   	263.28	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	17TLV|2AART|3LHND|4LEGI|57aVULN|67DMG|7BPWR|8ASPD|9RCR
76	14223 14143	7	   	262.87	DCR|2VULN|3DUR|2DMG|1CDMG|1AART|1SELL	17aDUR|2CDMG|3aDMG|4SELL|5AART|6RCR|8BBNT|9aVULN|aBPWR
77	14223 14413	6	   	262.87	DCR|2VULN|3DUR|2DMG|1CDMG|1AART|1SELL	19aDUR|2CDMG|3aDMG|4SELL|5AART|6RCR|7aVULN|8BBNT|aBPWR
78	24232 63433	9	 * 	262.46	DCR|2VULN|3DMG|3TLV|1DUR|2LIT	124TLV|249BPWR|346DMG|59LIT|7RCR|89VULN|aDUR
79	41113 34333	10	   	262.43	DCR|3VULN|3DUR|2TLV|1CDMG|1SELL	1SELL|247DUR|36TLV|56aVULN|6BPWR|8CDMG|9RCR
80	14211 44313	9	 * 	262.24	DCR|2VULN|3DUR|2TLV|1DMG|2CDMG	145DUR|2aCDMG|3DMG|6aTLV|7aVULN|8RPLT|9RCR|aBPWR
81	15362 12512	10	   	261.96	DCR|2VULN|3DUR|2DMG|1CDMG	138DUR|23LHND|38BPWR|48VULN|5LIT|6CDMG|78DMG|9RCR|aCGEN
82	15362 12511	10	   	261.86	DCR|2VULN|3DUR|2DMG|1CDMG	138DUR|23LHND|38BPWR|48VULN|5LIT|6CDMG|78DMG|9RCR|aERES
83	41251 53321	5	   	261.55	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|29DUR|39DMG|4LWND|5LIT|6RCR|789VULN|9BPWR|aBBNT
84	41251 53323	5	   	261.55	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|29DUR|39DMG|4LWND|5LIT|6RCR|789VULN|9BPWR|aDUST
85	14431 42112	9	 * 	261.49	DCR|2VULN|2ASPD|1DMG|2CDMG|1TLV|1DUR|1AART	1DUR|25CDMG|3AART|45ASPD|5BPWR|6RCR|7TLV|8DMG|9aVULN
86	14431 42113	10	   	261.49	DCR|2VULN|2ASPD|1DMG|2CDMG|1TLV|1DUR|1AART	1DUR|25CDMG|3AART|45ASPD|5BPWR|6RCR|7TLV|8DMG|9aVULN
87	34233 36361	7	 * 	260.79	DCR|5VULN|1DMG|1CDMG	1BEXP|2CDMG|3DMG|4CGEN|56789VULN|aRCR
88	64123 31531	2	 * 	260.74	DCR|4VULN|3DMG	1DLOT|246DMG|347aVULN|4aBPWR|5BELT|8TBNT|9RCR
89	65123 31531	1	   	260.74	DCR|4VULN|3DMG	1DLOT|246DMG|347aVULN|4aBPWR|5BELT|8TBNT|9RCR
90	16121 53611	1	   	260.19	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	18DUR|23VULN|48TLV|5LHND|6CDMG|78DMG|8BPWR|9BBNT|aRCR
91	16122 23611	1	   	260.09	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	18DUR|23VULN|48TLV|5CDMG|6DUST|78DMG|8BPWR|9BBNT|aRCR
92	25234 26333	5	 * 	260.01	DCR|3DMG|1VULN|2DUR|2ASPD|3TLV|1AART	124TLV|347DMG|47BPWR|57DUR|67ASPD|8AART|9VULN|aRCR
93	44113 22532	8	   	260.00	DCR|4VULN|2DMG|2LIT|1SELL	1SELL|28LIT|3LWND|4589VULN|6RCR|78DMG|8BPWR|aBEXP
94	23111 31156	3	 * 	259.92	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG|1AART	17TLV|2AART|37DUR|4aVULN|5LHND|67ASPD|7BPWR|8DMG|9RCR
95	23113 31156	3	   	259.92	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG|1AART	17TLV|2AART|37DUR|4aVULN|5LWND|67ASPD|7BPWR|8DMG|9RCR
96	23121 31156	5	   	259.92	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG|1AART	17TLV|2AART|37DUR|4LHND|5aVULN|67ASPD|7BPWR|8DMG|9RCR
97	23125 31156	4	   	259.92	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG|1AART	17TLV|2AART|37DUR|4LHND|5aVULN|67ASPD|7BPWR|8DMG|9RCR
98	23151 31156	5	   	259.92	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG|1AART	17TLV|2AART|37DUR|4LWND|5aVULN|67ASPD|7BPWR|8DMG|9RCR
99	23161 31156	4	   	259.92	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG|1AART	17TLV|2AART|37DUR|4aVULN|5LHND|67ASPD|7BPWR|8DMG|9RCR
100	23162 31156	5	   	259.92	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG|1AART	17TLV|2AART|37DUR|4aVULN|5LHND|67ASPD|7BPWR|8DMG|9RCR
101	23163 31156	4	   	259.92	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG|1AART	17TLV|2AART|37DUR|4aVULN|5LWND|67ASPD|7BPWR|8DMG|9RCR
102	23211 31156	2	   	259.92	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG|1AART	17TLV|2AART|37DUR|4aVULN|5LHND|67ASPD|7BPWR|8DMG|9RCR
103	23213 31156	2	   	259.92	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG|1AART	17TLV|2AART|37DUR|4aVULN|5LWND|67ASPD|7BPWR|8DMG|9RCR
104	44113 22533	8	   	259.90	DCR|4VULN|2DMG|2LIT|1SELL	1SELL|28LIT|3LWND|4589VULN|6RCR|78DMG|8BPWR|aDUST
105	14213 41314	5	 * 	259.86	DCR|2VULN|3DUR|2DMG|2CDMG	149DUR|2aCDMG|3aDMG|5CGEN|6MLV|7RCR|8aVULN|aBPWR
106	41211 44313	9	 * 	259.62	DCR|2VULN|3DUR|2DMG|2TLV|1SELL	1SELL|245DUR|3aDMG|6aTLV|7aVULN|8RPLT|9RCR|aBPWR
107	64261 13123	7	   	259.52	DCR|3VULN|3DMG|2ASPD	1DLOT|237DMG|37BPWR|47ASPD|579VULN|6RCR|8LHND|aDMSP
108	64261 13332	7	   	259.52	DCR|3VULN|3DMG|2ASPD	1DLOT|237DMG|37BPWR|47ASPD|579VULN|6RCR|8FEWX|aDMSP
109	14212 42633	8	   	259.45	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD|1AART	14DUR|2CDMG|3DMG|5AART|6RCR|7TLV|89VULN|aASPD
110	64261 13133	8	   	259.42	DCR|3VULN|3DMG|2ASPD	1DLOT|237DMG|37BPWR|47ASPD|57aVULN|6RCR|8CGEN|9TBNT
111	43221 31453	5	   	259.37	DCR|3VULN|3DMG|2ASPD|1SELL	1SELL|269VULN|39aDMG|4ERES|56ZMB|69BPWR|7RCR|89ASPD
112	43222 31453	4	   	259.37	DCR|3VULN|3DMG|2ASPD|1SELL	1SELL|269VULN|39aDMG|4ERES|56ZMB|69BPWR|7RCR|89ASPD
113	43233 11453	6	   	259.37	DCR|3VULN|3DMG|2ASPD|1SELL	1SELL|259VULN|39aDMG|4CGEN|6ZMB|7RCR|89ASPD|9BPWR
114	21132 24562	1	   	259.32	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1TLV|2BBNT|378VULN|4DMG|5CDMG|6RCR|9DUR|aLIT
115	43223 11453	6	   	259.27	DCR|3VULN|3DMG|2ASPD|1SELL	1SELL|259VULN|39aDMG|4ERES|6ZMB|7RCR|89ASPD|9BPWR
116	64332 21631	7	   	258.97	DCR|2VULN|2DMG|3ASPD|1TLV|1DUR	1DLOT|29DMG|39aASPD|4TLV|5BELT|6DUR|79VULN|8RCR|9BPWR
117	14113 31662	7	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	146DUR|2CDMG|3TLV|568VULN|6BPWR|7BELT|9DMSP|aRCR
118	14113 35226	8	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	146DUR|2CDMG|3TLV|56aVULN|6BPWR|7RMIN|8RCR|9FEWX
119	14113 35351	9	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	146DUR|2CDMG|3TLV|569VULN|6BPWR|7RMIN|8RCVC|aRCR
120	14113 35224	10	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	146DUR|2CDMG|3TLV|56aVULN|6BPWR|7RMIN|8RCR|9DUST
121	14113 35226	9	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	146DUR|2CDMG|3TLV|56aVULN|6BPWR|7RMIN|8RCR|9DUST
122	14113 35235	10	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	146DUR|2CDMG|3TLV|56aVULN|6BPWR|7RMIN|8RCR|9MBVNT
123	14113 35237	9	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	146DUR|2CDMG|3TLV|56aVULN|6BPWR|7RMIN|8RCR|9MBVNT
124	24234 13131	10	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|24BPWR|34DMG|5DUR|679VULN|8RCVC|aRCR
125	24234 13241	9	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|24BPWR|34DMG|5DUR|679VULN|8RPLT|aRCR
126	24234 13241	10	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|24BPWR|34DMG|5DUR|679VULN|8RPLT|aRCR
127	24234 13531	10	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|24BPWR|34DMG|5DUR|679VULN|8RCR|aBEXP
128	24234 13531	9	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|24BPWR|34DMG|5DUR|679VULN|8RCR|aFEWX
129	24234 13533	10	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|24BPWR|34DMG|5DUR|679VULN|8RCR|aCGEN
130	24234 13533	8	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|24BPWR|34DMG|5DUR|67aVULN|8RCR|9RCVC
131	25234 13131	10	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|34DMG|4BPWR|5DUR|679VULN|8RCVC|aRCR
132	25234 13241	10	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|34DMG|4BPWR|5DUR|679VULN|8RPLT|aRCR
133	25234 13241	9	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|34DMG|4BPWR|5DUR|679VULN|8RPLT|aRCR
134	25234 13531	9	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|34DMG|4BPWR|5DUR|679VULN|8RCR|aFEWX
135	25234 13531	10	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|34DMG|4BPWR|5DUR|679VULN|8RCR|aBEXP
136	25234 13533	8	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|34DMG|4BPWR|5DUR|67aVULN|8RCR|9RCVC
137	25234 13533	10	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|34DMG|4BPWR|5DUR|679VULN|8RCR|aCGEN
138	64114 31231	3	   	258.76	DCR|3VULN|2DMG|2TLV|1DUR	1DLOT|27DMG|3DUR|479VULN|5LEGI|67TLV|7BPWR|8FEWX|aRCR
139	64114 31331	3	   	258.76	DCR|3VULN|2DMG|2TLV|1DUR	1DLOT|27DMG|3DUR|479VULN|5LEGI|67TLV|7BPWR|8BEXP|aRCR
140	64214 31231	2	   	258.76	DCR|3VULN|2DMG|2TLV|1DUR	1DLOT|27DMG|3DUR|479VULN|5LEGI|67TLV|7BPWR|8FEWX|aRCR
141	64214 31331	2	   	258.76	DCR|3VULN|2DMG|2TLV|1DUR	1DLOT|27DMG|3DUR|479VULN|5LEGI|67TLV|7BPWR|8BEXP|aRCR
142	65214 31231	1	   	258.76	DCR|3VULN|2DMG|2TLV|1DUR	1DLOT|27DMG|3DUR|479VULN|5LEGI|67TLV|7BPWR|8FEWX|aRCR
143	65214 31331	1	   	258.76	DCR|3VULN|2DMG|2TLV|1DUR	1DLOT|27DMG|3DUR|479VULN|5LEGI|67TLV|7BPWR|8BEXP|aRCR
144	62221 11631	5	   	258.76	DCR|3VULN|2DMG|2TLV|1DUR	1DLOT|27TLV|3LWND|4LEGI|579VULN|67DMG|7BPWR|8DUR|aRCR
145	62225 11631	4	   	258.76	DCR|3VULN|2DMG|2TLV|1DUR	1DLOT|27TLV|3LWND|4LEGI|579VULN|67DMG|7BPWR|8DUR|aRCR
146	62321 11631	5	   	258.76	DCR|3VULN|2DMG|2TLV|1DUR	1DLOT|27TLV|3LHND|4LEGI|579VULN|67DMG|7BPWR|8DUR|aRCR
147	62325 11631	4	   	258.76	DCR|3VULN|2DMG|2TLV|1DUR	1DLOT|27TLV|3LHND|4LEGI|579VULN|67DMG|7BPWR|8DUR|aRCR
148	62161 22533	10	   	258.68	DCR|3VULN|3DUR|2TLV|1AART	1DLOT|28TLV|38aDUR|458VULN|6RPLT|7AART|8BPWR|9RCR
149	24234 13532	9	   	258.66	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|24BPWR|34DMG|5DUR|679VULN|8RCR|aERES
150	25234 13532	9	   	258.66	DCR|3VULN|2DMG|3TLV|1DUR	124TLV|34DMG|4BPWR|5DUR|679VULN|8RCR|aERES
151	24211 53423	6	 * 	258.47	DCR|3VULN|3DMG|3TLV	127TLV|278BPWR|378DMG|4LHND|58CGEN|678VULN|9LWND|aRCR
152	24342 13363	4	   	258.44	DCR|4VULN|2DUR|3TLV	127TLV|27BPWR|3457VULN|67DUR|8LWND|9RPLT|aRCR
153	25342 13363	4	   	258.44	DCR|4VULN|2DUR|3TLV	127TLV|3457VULN|67DUR|7BPWR|8LWND|9RPLT|aRCR
154	64261 13213	7	   	258.38	DCR|2VULN|3DMG|3ASPD|1DUR	1DLOT|237DMG|37BPWR|478ASPD|57VULN|6RCR|9DUR|aRCVC
155	64261 13232	7	   	258.38	DCR|2VULN|3DMG|3ASPD|1DUR	1DLOT|237DMG|37BPWR|478ASPD|57VULN|6RCR|9LWND|aDUR
156	24342 13316	4	   	258.34	DCR|4VULN|2DUR|3TLV	127TLV|27BPWR|3457VULN|67DUR|8LWND|9DUST|aRCR
157	25342 13316	4	   	258.34	DCR|4VULN|2DUR|3TLV	127TLV|3457VULN|67DUR|7BPWR|8LWND|9DUST|aRCR
158	43211 52313	4	   	258.28	DCR|2VULN|3DUR|1DMG|2CDMG|1TLV|1SELL	1SELL|28VULN|3DMG|48aDUR|5RMIN|6RCR|78CDMG|8BPWR|9TLV
159	64261 13211	7	   	258.28	DCR|2VULN|3DMG|3ASPD|1DUR	1DLOT|237DMG|37BPWR|478ASPD|57VULN|6RCR|9DUR|aBBNT
160	23111 12156	3	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LHND|6DMG|8ASPD|9RCR
161	23111 32156	3	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1TLV|2AART|3DUR|47aVULN|5LHND|6ASPD|8DMG|9RCR
