0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51112 15134	9	 * 	292.45	DCR|4VULN|3DMG|3DUR	15aDMG|248aVULN|367DUR|9RCR|aBPWR
28	51136 31411	9	   	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	17DMG|27VULN|348DUR|5FEWX|67ASPD|7BPWR|9TLV|aRCR
29	51142 31411	9	   	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	17DMG|27VULN|358DUR|4FEWX|67ASPD|7BPWR|9TLV|aRCR
30	51232 31411	9	   	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	17DMG|27VULN|3FEWX|458DUR|67ASPD|7BPWR|9TLV|aRCR
31	51232 31451	8	   	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	17DMG|27VULN|3FEWX|458DUR|67ASPD|7BPWR|9TLV|aRCR
32	51232 31651	7	   	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	17DMG|27VULN|3FEWX|458DUR|67ASPD|7BPWR|9TLV|aRCR
33	51113 36214	8	   	273.33	DCR|4VULN|2DMG|2DUR|1AART	18DMG|248aVULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|9AART
34	56212 44711	7	 * 	273.01	DCR|2VULN|3DMG|3DUR|1TLV	168DMG|2MBVNT|3FEWX|48VULN|568DUR|68BPWR|7RCR|9BEXP|aTLV
35	56113 18342	8	 * 	272.30	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	19DMG|2MBVNT|39DUR|48VULN|5ASPD|6RCR|79CDMG|9BPWR|aTLV
36	51131 11255	9	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1DMG|2679VULN|34DUR|5CGEN|8TLV|aRCR
37	51113 36221	9	   	271.93	DCR|3VULN|3DMG|2DUR|1CDMG	18aDMG|248VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|9CDMG
38	51113 16113	8	   	271.88	DCR|4VULN|2DMG|2DUR	18DMG|2489VULN|38DUR|5RPLT|6LEGI|7RCR|8BPWR|aASPD
39	51113 16153	8	   	271.88	DCR|4VULN|2DMG|2DUR	18DMG|248aVULN|38DUR|5RPLT|6LEGI|7RCR|8BPWR|9LIT
40	51113 16153	9	   	271.88	DCR|4VULN|2DMG|2DUR	18DMG|248aVULN|38DUR|5RPLT|6LEGI|7RCR|8BPWR|9LIT
41	51133 16153	8	   	271.50	DCR|3VULN|3DMG|3DUR	189DMG|289VULN|348DUR|5RPLT|6LEGI|7RCR|89BPWR|aFEWX
42	51133 16152	8	   	271.40	DCR|3VULN|3DMG|3DUR	189DMG|289VULN|348DUR|5RPLT|6LEGI|7RCR|89BPWR|aDUST
43	56113 18344	8	   	270.79	DCR|3VULN|2DMG|2DUR|2CDMG	19DMG|2MBVNT|39DUR|48aVULN|5ASPD|6RCR|79CDMG|9BPWR
44	51126 18241	8	   	269.79	DCR|3VULN|3DMG|3CDMG|1DUR	189DMG|289VULN|3DUR|4ZMB|5MBVNT|6RCR|789CDMG|89BPWR|aMLV
45	51126 18243	8	   	269.79	DCR|3VULN|3DMG|3CDMG|1DUR	189DMG|289VULN|3DUR|4ZMB|5MBVNT|6RCR|789CDMG|89BPWR|aCGEN
46	51126 18244	8	   	269.79	DCR|3VULN|3DMG|3CDMG|1DUR	189DMG|289VULN|3DUR|4ZMB|5MBVNT|6RCR|789CDMG|89BPWR|aLWND
47	51226 18242	8	   	269.79	DCR|3VULN|3DMG|3CDMG|1DUR	189DMG|289VULN|3FEWX|4ZMB|5MBVNT|6RCR|789CDMG|89BPWR|aDUR
48	56181 11444	10	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	147DMG|2MBVNT|3DUR|57CGEN|67aVULN|7BPWR|8TLV|9RCR
49	51112 33535	7	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	158DMG|248VULN|3DUR|6LWND|78ERES|8BPWR|9TLV|aRCR
50	51212 13535	7	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	158DMG|248VULN|3FEWX|6DUR|78ERES|8BPWR|9TLV|aRCR
51	51326 18242	8	   	269.69	DCR|3VULN|3DMG|3CDMG|1DUR	189DMG|289VULN|3DUST|4ZMB|5MBVNT|6RCR|789CDMG|89BPWR|aDUR
52	51114 31612	9	   	269.50	DCR|3VULN|3DMG|2ASPD|1DUR|1AART	178DMG|247VULN|3DUR|5BEXP|67ASPD|7BPWR|9AART|aRCR
53	51113 36222	10	   	269.50	DCR|3VULN|3DUR|2DMG|1CDMG	18DMG|248VULN|38aDUR|5RPLT|6RCVC|7RCR|8BPWR|9CDMG
54	51532 31314	3	   	269.24	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17DMG|27VULN|3ZMB|4AART|5ASPD|67TLV|7BPWR|8DUR|9RCR|aCDMG
55	51132 21262	6	 * 	269.16	DCR|3DMG|3DUR|1VULN|1TLV|3CDMG	158DMG|2VULN|348DUR|678CDMG|8BPWR|9RCR|aTLV
56	51113 36212	9	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|248VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|9CGEN|aTLV
57	51113 36231	8	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|248VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|9TLV|aBEXP
58	51113 36234	8	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|248VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|9TLV|aRMIN
59	51113 36236	8	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|248VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|9TLV|aFEWX
60	51113 11234	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|248VULN|38DUR|5RPLT|6LEGI|7RCVC|8BPWR|9TLV|aRCR
61	51113 36233	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|248VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|9TLV|aERES
62	51113 36235	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|248VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|9TLV|aDUST
63	51113 36242	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|248VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|9ERES|aTLV
64	56141 43426	3	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|2MBVNT|3aDUR|4MLV|5TLV|6RMIN|79aVULN|8RCR|aBPWR
65	51112 12255	8	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DMG|249VULN|36DUR|7RMIN|8TLV|aRCR
66	51112 12255	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15DMG|249VULN|36DUR|7RMIN|8TLV|aRCR
67	51131 12255	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	17DMG|269VULN|34DUR|5CGEN|8TLV|aRCR
68	56212 44225	7	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	16DMG|2MBVNT|3FEWX|49aVULN|56DUR|6BPWR|7RCR|8TLV
69	51232 31661	9	   	268.59	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	17DMG|27VULN|3FEWX|45DUR|67ASPD|7BPWR|8LIT|9TLV|aRCR
70	56312 44225	7	   	268.52	DCR|3VULN|2DMG|2DUR|1TLV	16DMG|2MBVNT|3DUST|49aVULN|56DUR|6BPWR|7RCR|8TLV
71	56812 41444	8	   	268.40	DCR|4VULN|2DMG|1TLV|1AART	15DMG|2MBVNT|3479VULN|6TLV|8RCR|aAART
72	56812 41444	9	   	268.40	DCR|4VULN|2DMG|1TLV|1AART	15DMG|2MBVNT|3479VULN|6TLV|8RCR|aAART
73	52141 22136	4	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	12aDMG|3BEXP|4BELT|57aVULN|6RCR|8AART|9aDUR|aBPWR
74	21112 61652	6	   	267.74	DCR|3VULN|3DMG|2DUR|1AART	17ERES|249VULN|37DUR|578DMG|6AART|7BPWR|aRCR
75	16112 33626	5	   	267.62	DCR|4VULN|3DUR|1DMG	18LWND|2DMG|358DUR|4678VULN|8BPWR|9ASPD|aRCR
76	36112 33626	5	   	267.62	DCR|4VULN|3DUR|1DMG	18BEXP|2DMG|358DUR|4678VULN|8BPWR|9ASPD|aRCR
77	56112 44148	10	   	267.42	DCR|4VULN|3DUR|1DMG	1DMG|2MBVNT|356DUR|4689VULN|6BPWR|7LIT|aRCR
78	51223 11235	9	   	267.12	DCR|4VULN|2DMG|2TLV	19DMG|2679VULN|35FEWX|4ZMB|89TLV|9BPWR|aRCR
79	51223 33615	4	   	267.12	DCR|4VULN|2DMG|2TLV	18DMG|2678VULN|3FEWX|49ZMB|58TLV|8BPWR|aRCR
80	51224 11235	9	   	267.12	DCR|4VULN|2DMG|2TLV	19DMG|2679VULN|3FEWX|45ZMB|89TLV|9BPWR|aRCR
81	51522 21235	9	   	267.12	DCR|4VULN|2DMG|2TLV	19DMG|2479VULN|3ZMB|5RCVC|6BEXP|89TLV|9BPWR|aRCR
82	51163 34332	3	   	267.06	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1DMG|259aVULN|3DUR|4AART|6TLV|7RCR|8ERES
83	51324 11235	9	   	267.02	DCR|4VULN|2DMG|2TLV	19DMG|2679VULN|3DUST|45ZMB|89TLV|9BPWR|aRCR
84	53135 63322	3	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	17DMG|2LHND|379DUR|4TBNT|57VULN|6RCR|7BPWR|8AART|aTLV
85	51113 31256	9	 * 	266.87	DCR|2VULN|3DMG|3DUR|3LIT	189DMG|24VULN|389DUR|5RPLT|6RCVC|789LIT|89BPWR|aRCR
86	52333 43613	2	   	266.58	DCR|3VULN|3DMG|2DUR	128DMG|3ASPD|48DUR|5RMIN|678VULN|8BPWR|9LHND|aRCR
87	52136 11326	8	   	266.58	DCR|3VULN|3DMG|2DUR	127DMG|37BEXP|49DUR|5ASPD|67aVULN|7BPWR|8RCR
88	52333 43623	2	   	266.48	DCR|3VULN|3DMG|2DUR	128DMG|3ASPD|48DUR|5RMIN|678VULN|8BPWR|9DUST|aRCR
89	51212 22451	10	   	266.34	DCR|3VULN|3DMG|2DUR|1SELL	159DMG|249VULN|3FEWX|6LIT|7SELL|89DUR|9BPWR|aRCR
90	53131 25263	7	   	265.66	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|2LHND|38aDUR|4LWND|5LIT|6RCR|78VULN|8BPWR|9TLV
91	56131 23273	5	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	18DMG|2MBVNT|38aDUR|4LWND|5LIT|68VULN|7RCR|8BPWR|9TLV
92	51113 56232	8	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	18DMG|248VULN|368DUR|5RPLT|7RCR|8BPWR|9ERES|aAART
93	51112 15135	10	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	15DMG|248VULN|367DUR|9RCR|aAART
94	56141 23273	5	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	18DMG|2MBVNT|38DUR|4BEXP|5LIT|68aVULN|7RCR|8BPWR|9CDMG
95	56112 42313	10	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|467VULN|6BPWR|8TLV|9MLV|aRCR
96	56112 42813	10	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|467VULN|6BPWR|8RMIN|9TLV|aRCR
97	56832 42313	10	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|367VULN|456DUR|6BPWR|8TLV|9MLV|aRCR
98	56112 42343	10	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|356DUR|467VULN|6BPWR|8TLV|9ERES|aRCR
99	56832 42343	10	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|2MBVNT|367VULN|456DUR|6BPWR|8TLV|9ERES|aRCR
100	51113 56233	10	   	264.15	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|368DUR|5RPLT|7RCR|8BPWR|9LWND|aLIT
101	16112 23626	5	   	264.15	DCR|3VULN|3DUR|2DMG	18LWND|26DMG|358DUR|478VULN|8BPWR|9ASPD|aRCR
102	36112 23626	5	   	264.15	DCR|3VULN|3DUR|2DMG	18BEXP|26DMG|358DUR|478VULN|8BPWR|9ASPD|aRCR
103	51113 36261	9	   	264.15	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|389DUR|5RPLT|6RCVC|7RCR|8BPWR|aASPD
104	51113 36263	9	   	264.15	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|389DUR|5RPLT|6RCVC|7RCR|8BPWR|aLIT
105	51113 36263	10	   	264.15	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|389DUR|5RPLT|6RCVC|7RCR|8BPWR|aLIT
106	51113 56211	8	   	264.15	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|368DUR|5RPLT|7RCR|8BPWR|9LIT|aZMB
107	51113 56211	10	   	264.15	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|368DUR|5RPLT|7RCR|8BPWR|9LIT|aLHND
108	51113 56211	9	   	264.15	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|368DUR|5RPLT|7RCR|8BPWR|9LIT|aZMB
109	51113 56213	9	   	264.15	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|368DUR|5RPLT|7RCR|8BPWR|9LIT|aFEWX
110	51113 56213	10	   	264.15	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|368DUR|5RPLT|7RCR|8BPWR|9LIT|aCGEN
111	51113 56213	8	   	264.15	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|368DUR|5RPLT|7RCR|8BPWR|9LIT|aFEWX
112	51133 36251	8	   	264.15	DCR|3VULN|3DUR|2DMG	18DMG|289VULN|348DUR|5RPLT|6RCVC|7RCR|8BPWR|aASPD
113	51133 36253	8	   	264.15	DCR|3VULN|3DUR|2DMG	18DMG|289VULN|348DUR|5RPLT|6RCVC|7RCR|8BPWR|aLIT
114	51232 33626	5	   	264.15	DCR|3VULN|3DUR|2DMG	18DMG|267VULN|38FEWX|458DUR|8BPWR|9ASPD|aRCR
115	51113 55211	9	   	264.05	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|368DUR|5RPLT|7MBVNT|8BPWR|9LIT|aRCR
116	51113 55211	8	   	264.05	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|368DUR|5RPLT|7MBVNT|8BPWR|9LIT|aRCR
117	51113 56212	9	   	264.05	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|368DUR|5RPLT|7RCR|8BPWR|9LIT|aDUST
118	51113 56212	8	   	264.05	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|368DUR|5RPLT|7RCR|8BPWR|9LIT|aDUST
119	51113 56223	10	   	264.05	DCR|3VULN|3DUR|2DMG	18DMG|248VULN|368DUR|5RPLT|7RCR|8BPWR|9DUST|aLIT
120	51112 15136	9	   	263.95	DCR|3VULN|3DUR|2DMG	15DMG|248VULN|367DUR|9RCR|aASPD
121	22431 31551	10	   	263.70	DCR|3VULN|2DMG|1TLV|1DUR|1AART	19ERES|29DMG|3TLV|4AART|5CGEN|689VULN|7RCR|9BPWR|aDUR
122	51113 36213	10	   	263.67	DCR|4VULN|2DMG|2DUR	18DMG|248aVULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|9CGEN
123	51113 36242	10	   	263.67	DCR|4VULN|2DMG|2DUR	18DMG|2489VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|aBELT
124	51113 36243	10	   	263.67	DCR|4VULN|2DMG|2DUR	18DMG|2489VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|aRMIN
125	51113 36243	9	   	263.67	DCR|4VULN|2DMG|2DUR	18DMG|2489VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|aLWND
126	51163 34333	3	   	263.60	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1aDMG|259VULN|3DUR|4AART|6TLV|7RCR|8ERES
127	51113 14214	9	   	263.57	DCR|4VULN|2DMG|2DUR	18DMG|2478VULN|38DUR|5RPLT|6LEGI|8BPWR|9CGEN|aRCR
128	51113 16111	8	   	263.57	DCR|4VULN|2DMG|2DUR	18DMG|2489VULN|38DUR|5RPLT|6LEGI|7RCR|8BPWR|aFEWX
129	51113 16116	8	   	263.57	DCR|4VULN|2DMG|2DUR	18DMG|2489VULN|38DUR|5RPLT|6LEGI|7RCR|8BPWR|aCGEN
130	51113 16131	10	   	263.57	DCR|4VULN|2DMG|2DUR	18DMG|248aVULN|38DUR|5RPLT|6LEGI|7RCR|8BPWR|9ZMB
131	51113 16141	10	   	263.57	DCR|4VULN|2DMG|2DUR	18DMG|248aVULN|38DUR|5RPLT|6LEGI|7RCR|8BPWR|9CGEN
132	51113 36241	9	   	263.57	DCR|4VULN|2DMG|2DUR	18DMG|2489VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|aBBNT
133	51113 36242	9	   	263.57	DCR|4VULN|2DMG|2DUR	18DMG|2489VULN|38DUR|5RPLT|6RCVC|7RCR|8BPWR|aERES
134	51113 16112	8	   	263.47	DCR|4VULN|2DMG|2DUR	18DMG|2489VULN|38DUR|5RPLT|6LEGI|7RCR|8BPWR|aDUST
135	51113 16161	10	   	263.47	DCR|4VULN|2DMG|2DUR	18DMG|248aVULN|38DUR|5RPLT|6LEGI|7RCR|8BPWR|9ERES
136	51312 11355	9	   	263.37	DCR|4VULN|2DMG|2DUR	15DMG|2479VULN|3DUST|68DUR|aRCR
137	22431 31553	9	   	263.11	DCR|3VULN|3DMG|1TLV|1AART	19ERES|29aDMG|3TLV|4AART|5CGEN|689VULN|7RCR|9BPWR
138	51531 41223	2	   	263.11	DCR|3VULN|3DMG|1TLV|1AART	17aDMG|257VULN|37ERES|4AART|6RCR|7BPWR|8MLV|9TLV
139	56812 41423	8	   	263.01	DCR|3VULN|3DMG|1TLV|1AART	15aDMG|2MBVNT|347VULN|6TLV|8RCR|9AART
140	51531 43221	3	   	262.51	DCR|3VULN|2DMG|1TLV|2LIT|1AART	19DMG|259VULN|3ZMB|4AART|6RCR|7BEXP|89LIT|9BPWR|aTLV
