0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63312 62236	4	 * 	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	17DMG|2ZMB|3BELT|4AART|57DUR|67aVULN|7BPWR|8TLV|9RCR
32	11324 43521	9	   	265.36	DCR|3VULN|2TLV|2DUR|3CDMG	18TLV|246CDMG|34DUR|48BPWR|58aVULN|78CGEN|9RCR
33	11342 31333	9	 * 	265.16	DCR|2VULN|3DMG|1TLV|2CDMG|1DUR	1TLV|2aCDMG|3DUR|4LWND|59aDMG|6RCR|7LHND|8aVULN|aBPWR
34	11642 32333	9	   	265.16	DCR|2VULN|3DMG|1TLV|2CDMG|1DUR	1TLV|2aCDMG|3LHND|4LWND|59aDMG|6RCR|7DUR|8aVULN|aBPWR
35	11324 63521	9	   	265.16	DCR|3VULN|2TLV|2DUR|3CDMG	18TLV|247CDMG|34DUR|48BPWR|58aVULN|68ERES|9RCR
36	66212 63323	4	 * 	264.17	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	19DMG|28VULN|39CDMG|4ASPD|5AART|6LIT|79DUR|9BPWR|aRCR
37	16115 11132	7	 * 	263.76	DCR|5VULN|3TLV|1DUR	168TLV|24589VULN|389DUST|7RCR|89BPWR|aDUR
38	16115 41122	7	   	263.76	DCR|5VULN|2TLV|1DUR	18TLV|24568VULN|38DUST|7RCR|8BPWR|9ERES|aDUR
39	16115 11262	10	 * 	262.88	DCR|4VULN|2TLV|1DMG|1CDMG	16TLV|2459VULN|3DUST|7RCR|8CDMG|aDMG
40	14462 32213	3	   	262.84	DCR|5VULN|1TLV|1CDMG|1AART	1TLV|2MLV|3467aVULN|5CDMG|8RCR|9AART
41	63426 22123	4	 * 	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1aDMG|2ZMB|37aVULN|4BELT|5LHND|6RCR|8DUR|9aTLV|aBPWR
42	63111 12362	10	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|89VULN|aAART
43	44133 13114	1	   	261.83	DCR|3VULN|3DUR|1TLV|2AART	178DUR|28FEWX|35AART|48aVULN|6RCR|8BPWR|9TLV
44	11342 22563	10	   	261.50	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	18TLV|2CDMG|378DUR|4LWND|5DMG|68VULN|8BPWR|9ZMB|aRCR
45	16115 41211	8	   	261.39	DCR|5VULN|1TLV|1CDMG	1TLV|24569VULN|3DUST|7RCR|8CDMG|aASPD
46	16115 41213	9	   	261.36	DCR|5VULN|2TLV|1CDMG	1aTLV|2456aVULN|3DUST|7RCR|8CDMG|9aLHND|aBPWR
47	16115 41223	8	   	261.36	DCR|5VULN|2TLV|1CDMG	1aTLV|2456aVULN|3DUST|7RCR|8CDMG|9aBEXP|aBPWR
48	16115 41223	9	   	261.36	DCR|5VULN|2TLV|1CDMG	1aTLV|2456aVULN|3DUST|7RCR|8CDMG|9aFEWX|aBPWR
49	16115 41233	8	   	261.36	DCR|5VULN|2TLV|1CDMG	1aTLV|2456aVULN|3DUST|7RCR|8CDMG|9aFEWX|aBPWR
50	63251 12342	8	   	261.25	DCR|2VULN|3DMG|1TLV|2ASPD|1DUR	159DMG|2ZMB|3DUR|45ASPD|5BPWR|6TLV|7RCR|8aVULN
51	11335 24141	2	   	261.12	DCR|4VULN|1TLV|1DMG|2CDMG	1TLV|26CDMG|3BBNT|456aVULN|6BPWR|7DMG|8LEGI|9RCR
52	11335 24241	2	   	261.12	DCR|4VULN|1TLV|1DMG|2CDMG	1TLV|26CDMG|3BBNT|456aVULN|6BPWR|7DMG|8DUST|9RCR
53	11324 41523	9	 * 	260.73	DCR|2VULN|2TLV|2DUR|3CDMG|1DMG	18TLV|246CDMG|34DUR|48BPWR|58VULN|78MLV|9RCR|aDMG
54	63111 12365	9	   	260.64	DCR|2VULN|2DMG|2DUR|1TLV	15DMG|2ZMB|3ASPD|45DUR|5BPWR|6TLV|7RCR|89VULN|aLIT
55	63111 12563	10	 * 	260.62	DCR|2VULN|2DMG|2TLV|2DUR	15DMG|2aZMB|3ASPD|45DUR|5aBPWR|6aTLV|7RCR|8FEWX|9aVULN
56	11324 63523	10	   	260.53	DCR|2VULN|2TLV|2DUR|3CDMG|1DMG	18TLV|247CDMG|34DUR|48BPWR|58VULN|68ERES|9RCR|aDMG
57	63316 62221	3	 * 	260.34	ACR|4VULN|3DMG|2TLV|1AART	179DMG|27ZMB|3BELT|4RCR|5AART|679aVULN|79BPWR|89TLV
58	11224 51342	6	 * 	260.31	ACR|3VULN|3DUR|3TLV|1DMG|2CDMG	179TLV|29CDMG|3DMSP|4RCR|579VULN|678DUR|79BPWR|aDMG
59	64611 22122	4	 * 	260.26	ACR|4VULN|3DMG|3DUR	18aDMG|2MLV|3DLOT|468aVULN|5RCR|78aDUR|8aBPWR|9BBNT
60	63111 12314	8	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	15DMG|2ZMB|39ASPD|45DUR|5BPWR|6TLV|7RCR|8aVULN
61	63111 12361	10	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	15DMG|2ZMB|3aASPD|45DUR|5BPWR|6TLV|7RCR|89VULN
62	63251 12324	9	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	15DMG|2ZMB|39DUR|45ASPD|5BPWR|6TLV|7RCR|8aVULN
63	63251 12325	10	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	15DMG|2ZMB|39DUR|45ASPD|5BPWR|6TLV|7RCR|8aVULN
64	63251 12361	9	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	15DMG|2ZMB|3aDUR|45ASPD|5BPWR|6TLV|7RCR|89VULN
65	61114 22122	1	   	260.16	ACR|4VULN|3DMG|3DUR	18aDMG|2RCR|3DLOT|4ERES|568aVULN|78aDUR|8aBPWR|9BBNT
66	16222 23623	10	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	18TLV|268VULN|3CDMG|4LWND|58DMG|7MBVNT|8BPWR|9MLV|aRCR
67	16222 23633	10	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	18TLV|268VULN|3CDMG|4LWND|58DMG|7MBVNT|8BPWR|9RMIN|aRCR
68	16222 23651	10	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	18TLV|268VULN|3CDMG|4LWND|58DMG|7MBVNT|8BPWR|9RCVC|aRCR
69	16222 23645	10	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	18TLV|268VULN|3CDMG|4LWND|58DMG|7MBVNT|8BPWR|9ERES|aRCR
70	11132 34643	8	   	259.44	DCR|3VULN|2DUR|1TLV|2CDMG	1TLV|29CDMG|3BEXP|4CGEN|59DUR|6RCR|7LIT|89aVULN|9BPWR
71	16115 41213	8	 * 	259.40	DCR|5VULN|1TLV|2CDMG	1TLV|24569VULN|3DUST|7RCR|8aCDMG
72	16115 41232	9	   	259.30	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2456VULN|3DUST|7RCR|8CDMG|9ASPD|aDUR
73	13611 61531	10	 * 	259.22	DCR|3VULN|2TLV|2DUR|1DMG	18TLV|2BEXP|348VULN|5LWND|6DUST|78DUR|8BPWR|9DMG|aRCR
74	16116 41122	7	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	18TLV|2468VULN|38DUST|5RCVC|7RCR|8BPWR|9CDMG|aDUR
75	16115 11212	8	   	259.07	DCR|4VULN|2TLV|1DUR|1CDMG	16TLV|2459VULN|3DUST|7RCR|8CDMG|aDUR
76	16115 11262	9	   	259.07	DCR|4VULN|2TLV|1DUR|1CDMG	16TLV|2459VULN|3DUST|7RCR|8CDMG|aDUR
77	16115 11622	7	   	259.07	DCR|4VULN|2TLV|1DUR|1CDMG	16TLV|2458VULN|3DUST|7RCR|9CDMG|aDUR
78	16115 11241	7	   	259.02	DCR|3VULN|2TLV|2DUR|1DMG	16TLV|245VULN|3DUST|7RCR|8aDUR|9DMG
79	12214 61313	10	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LWND|3CDMG|4ASPD|5DUR|6DMG|789VULN|aRCR
80	16214 61313	10	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|279VULN|3CDMG|4ASPD|5DUR|6DMG|8LWND|aRCR
81	11614 61313	10	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2CDMG|3LHND|4ASPD|5DUR|6DMG|789VULN|aRCR
82	16115 11241	9	   	258.08	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	16TLV|245VULN|3DUST|7RCR|8CDMG|9DUR|aDMG
83	16115 11261	7	   	258.08	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	16TLV|245VULN|3DUST|7RCR|8DUR|9CDMG|aDMG
84	66112 22163	2	   	258.07	DCR|3VULN|3DMG|2DUR	189DMG|268VULN|3DLOT|4ERES|5LWND|78DUR|8BPWR|aRCR
85	16232 45123	5	   	257.85	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	1TLV|2aVULN|3CDMG|4DUR|5aDMG|69LIT|7RCR|8aERES|aBPWR
86	16151 15232	2	   	257.83	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	18TLV|28VULN|3DLOT|4AART|5DMG|6CGEN|78DUR|8BPWR|9RCR|aCDMG
87	44242 31313	8	 * 	257.59	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	1DUR|2aTLV|39CDMG|4LWND|5aDMG|6RCR|7LHND|8aVULN|aBPWR
88	63611 22141	4	 * 	257.48	ACR|4VULN|2DMG|2DUR|1TLV	18DMG|2ZMB|3DLOT|468aVULN|5RCR|78DUR|8BPWR|9TLV
89	61114 22141	1	   	257.38	ACR|4VULN|2DMG|2DUR|1TLV	18DMG|2RCR|3DLOT|4ERES|568aVULN|78DUR|8BPWR|9TLV
90	11324 21224	6	   	257.31	DCR|2VULN|3DUR|2TLV|2CDMG|1AART	17TLV|24CDMG|347DUR|47BPWR|57VULN|6LEGI|8RCR|9DUST|aAART
91	62122 31177	3	 * 	256.70	DCR|4VULN|3DMG	128DMG|28BPWR|3ASPD|4789VULN|5MBVNT|68CGEN|aRCR
92	66223 22163	7	   	256.65	DCR|2VULN|3DMG|2DUR|1CDMG|1AART|1SELL	189DMG|28VULN|3CDMG|4LWND|5SELL|68DUR|7AART|8BPWR|aRCR
93	62322 11452	8	   	256.60	DCR|4VULN|3DMG	124DMG|24BPWR|3RPLT|569aVULN|7LIT|8RCR
94	66124 22221	5	   	256.60	DCR|4VULN|3DMG	19aDMG|279aVULN|3DUST|4ASPD|5BELT|6RCR|89aERES|9aBPWR
95	62652 21132	3	   	256.44	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	12DMG|25BPWR|35LIT|456VULN|7DUR|8BEXP|9RCR|aCDMG
96	62652 21332	3	   	256.44	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	12DMG|25BPWR|35LIT|456VULN|7DUR|8LHND|9RCR|aCDMG
97	11335 24342	2	   	256.42	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1TLV|26CDMG|3BBNT|456VULN|6BPWR|7DMG|8DUR|9RCR|aLHND
98	11335 14341	2	   	256.32	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1TLV|26CDMG|3BBNT|45aVULN|7DMG|8DUR|9RCR
99	16212 63352	4	   	256.31	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1TLV|28aVULN|3CDMG|4ASPD|5AART|6LIT|7DUR|9RCR
100	11324 21213	6	   	256.06	DCR|2VULN|3DUR|2TLV|2CDMG	17TLV|24CDMG|347DUR|47BPWR|57VULN|6LEGI|8RCR|9LHND|aLIT
101	11324 21241	6	   	256.06	DCR|2VULN|3DUR|2TLV|2CDMG	17TLV|24CDMG|347DUR|47BPWR|57VULN|6LEGI|8RCR|9RMIN|aLIT
102	11324 21244	6	   	256.06	DCR|2VULN|3DUR|2TLV|2CDMG	17TLV|24CDMG|347DUR|47BPWR|57VULN|6LEGI|8RCR|9RMIN|aASPD
103	11324 21251	6	   	256.06	DCR|2VULN|3DUR|2TLV|2CDMG	17TLV|24CDMG|347DUR|47BPWR|57VULN|6LEGI|8RCR|9CGEN|aLIT
104	11324 21254	6	   	256.06	DCR|2VULN|3DUR|2TLV|2CDMG	17TLV|24CDMG|347DUR|47BPWR|57VULN|6LEGI|8RCR|9CGEN|aASPD
105	11324 21521	6	   	256.06	DCR|2VULN|3DUR|2TLV|2CDMG	17TLV|24CDMG|347DUR|47BPWR|57VULN|6LEGI|8CGEN|9RCR|aLIT
106	11324 21524	6	   	256.06	DCR|2VULN|3DUR|2TLV|2CDMG	17TLV|24CDMG|347DUR|47BPWR|57VULN|6LEGI|8CGEN|9RCR|aASPD
107	11324 21223	6	   	255.96	DCR|2VULN|3DUR|2TLV|2CDMG	17TLV|24CDMG|347DUR|47BPWR|57VULN|6LEGI|8RCR|9DUST|aLIT
108	62652 11121	3	   	255.90	DCR|4VULN|2DMG|2LIT	12DMG|25BPWR|35LIT|457aVULN|6RPLT|8ASPD|9RCR
109	16115 41123	7	   	255.82	DCR|5VULN|2TLV	18TLV|24568VULN|38DUST|7RCR|8BPWR|9ERES|aLIT
110	62135 32122	1	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19DMG|24TLV|3AART|59aVULN|69ZMB|7BELT|8RCR|9BPWR
111	63135 42122	2	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19DMG|2ZMB|3AART|49TLV|59aVULN|6RCVC|7BELT|8RCR|9BPWR
112	63316 34122	7	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19DMG|2ZMB|3BELT|4AART|5DMSP|69aVULN|79TLV|8RCR|9BPWR
113	16115 41213	7	   	255.68	DCR|5VULN|1TLV|1DUR	1TLV|24569VULN|3DUST|7RCR|8DUR|aRMIN
114	11342 31313	8	 * 	255.55	DCR|2VULN|2DMG|1TLV|3CDMG|1DUR	1TLV|29aCDMG|3DUR|4LWND|5aDMG|6RCR|7LHND|8aVULN|aBPWR
115	11642 32313	8	   	255.55	DCR|2VULN|2DMG|1TLV|3CDMG|1DUR	1TLV|29aCDMG|3LHND|4LWND|5aDMG|6RCR|7DUR|8aVULN|aBPWR
116	63316 62223	3	   	255.54	ACR|3VULN|3DMG|2TLV|1DUR|1AART	179DMG|27ZMB|3BELT|4RCR|5AART|679VULN|79BPWR|89TLV|aDUR
117	62131 25163	1	 * 	255.49	DCR|2VULN|2DMG|3TLV|1DUR|1AART	18DMG|248TLV|3AART|5LHND|6DUR|78VULN|8BPWR|9LIT|aRCR
118	63251 12362	10	   	255.26	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1AART	15DMG|2ZMB|3DUR|45ASPD|5BPWR|6TLV|7RCR|89VULN|aAART
119	11132 34642	8	   	254.81	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	1TLV|29CDMG|3BEXP|4CGEN|59DUR|6RCR|7LIT|89VULN|9BPWR|aDMG
120	14462 32231	3	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1TLV|2MLV|3467VULN|5CDMG|8RCR|9BBNT|aDMG
121	16115 41211	9	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1TLV|2456VULN|3DUST|7RCR|8CDMG|9LHND|aDMG
122	16115 41221	8	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1TLV|2456VULN|3DUST|7RCR|8CDMG|9BEXP|aDMG
123	16115 41221	9	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1TLV|2456VULN|3DUST|7RCR|8CDMG|9FEWX|aDMG
124	16115 41231	8	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1TLV|2456VULN|3DUST|7RCR|8CDMG|9FEWX|aDMG
125	16231 12354	8	   	254.29	DCR|3VULN|2TLV|2CDMG|1DUR|1AART	19TLV|29aVULN|36CDMG|4DUR|59BEXP|7AART|8RCR|9BPWR
126	63414 23123	5	   	254.24	DCR|3VULN|2DMG|1TLV|1DUR	17DMG|2ZMB|37aVULN|47FEWX|5BELT|6RCR|7BPWR|8DUR|9TLV
127	63425 23123	4	   	254.24	DCR|3VULN|2DMG|1TLV|1DUR	17DMG|2ZMB|37aVULN|4BELT|57FEWX|6RCR|7BPWR|8DUR|9TLV
128	62333 51116	3	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	12DMG|2BPWR|3RPLT|478VULN|5TLV|6RCR|9MLV|aDUR
129	63613 23141	6	   	254.04	DCR|3VULN|2DMG|1TLV|2ASPD	18DMG|2ZMB|3DLOT|48aVULN|5RMIN|68ASPD|7RCR|8BPWR|9TLV
130	63611 33141	6	   	254.04	DCR|3VULN|2DMG|1TLV|2ASPD	18DMG|2ZMB|3DLOT|48aVULN|58ASPD|6RMIN|7RCR|8BPWR|9TLV
131	12224 51216	6	 * 	253.99	DCR|2VULN|3DUR|3TLV|3CDMG	17aTLV|247LWND|34aCDMG|47aBPWR|5aVULN|679DUR|8RCR
132	63125 12362	10	   	253.94	DCR|3VULN|2DMG|1TLV|2ASPD	19DMG|2ZMB|34ASPD|58aVULN|6TLV|7RCR
133	42114 13114	1	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	178DUR|28DUST|3AART|4RCVC|58aVULN|6RCR|8BPWR|9TLV
134	63226 62231	4	   	253.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17DMG|2ZMB|37DUR|4BELT|5AART|67VULN|7BPWR|8TLV|9RCR|aFEWX
135	63226 62232	4	   	253.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17DMG|2ZMB|37DUR|4aBELT|5AART|67VULN|7BPWR|8TLV|9RCR
136	63226 62233	4	   	253.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17DMG|2ZMB|37DUR|4BELT|5AART|67VULN|7BPWR|8TLV|9RCR|aBEXP
137	63312 62231	4	   	253.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17DMG|2ZMB|3BELT|4AART|57DUR|67VULN|7BPWR|8TLV|9RCR|aFEWX
138	63312 62232	4	   	253.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17DMG|2ZMB|3aBELT|4AART|57DUR|67VULN|7BPWR|8TLV|9RCR
139	63312 62233	4	   	253.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17DMG|2ZMB|3BELT|4AART|57DUR|67VULN|7BPWR|8TLV|9RCR|aBEXP
140	63312 62234	4	   	253.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17DMG|2ZMB|3BELT|4AART|57DUR|67VULN|7BPWR|8TLV|9RCR|aLWND
141	11324 21264	6	   	253.79	DCR|2VULN|3DUR|2TLV|3CDMG	17TLV|24aCDMG|347DUR|47BPWR|57VULN|6LEGI|8RCR|9RCVC
142	11324 31344	7	   	253.79	DCR|2VULN|3DUR|2TLV|3CDMG	19TLV|249CDMG|348DUR|49BPWR|59VULN|6RCVC|7LEGI|aRCR
143	16115 11211	7	   	253.73	DCR|4VULN|2TLV|1DUR	16TLV|2459VULN|3DUST|7RCR|8DUR|aLIT
144	62333 51111	3	 * 	253.44	DCR|3VULN|3DMG|1TLV	12aDMG|2BPWR|3RPLT|478VULN|5TLV|6RCR|9MLV
145	62333 51123	3	   	253.44	DCR|3VULN|3DMG|1TLV	12aDMG|2BPWR|3RPLT|478VULN|5TLV|6RCR|9LWND
146	62333 51141	3	   	253.44	DCR|3VULN|3DMG|1TLV	12aDMG|2BPWR|3RPLT|478VULN|5TLV|6RCR|9ZMB
147	62333 51153	3	   	253.44	DCR|3VULN|3DMG|1TLV	12aDMG|2BPWR|3RPLT|478VULN|5TLV|6RCR|9FEWX
148	62333 51131	3	   	253.34	DCR|3VULN|3DMG|1TLV|1NUKE	12aDMG|2BPWR|3RPLT|478VULN|5TLV|6RCR|9NUKE
149	62333 42623	3	   	253.31	DCR|2VULN|3DMG|1TLV|1DUR	12aDMG|2BPWR|3RPLT|48VULN|5TLV|6LIT|7DUR|9RCR
150	43242 31612	6	 * 	253.30	DCR|3VULN|2DUR|1DMG|2CDMG	18DUR|2RMIN|38CDMG|4LWND|5DMG|6RCR|78aVULN|8BPWR|9ASPD
151	12232 34643	8	   	253.13	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|29LWND|3CDMG|4CGEN|59DUR|6RCR|7LIT|89aVULN|9BPWR
152	13232 34643	8	   	253.13	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|29BEXP|3CDMG|4CGEN|59DUR|6RCR|7LIT|89aVULN|9BPWR
153	16115 41212	8	   	253.08	DCR|5VULN|1TLV|1CDMG	1TLV|24569VULN|3DUST|7RCR|8CDMG|aDMSP
154	62333 21174	3	   	253.08	DCR|2VULN|3DMG|2TLV|2ASPD	127DMG|27BPWR|3RPLT|4aVULN|57TLV|67ASPD|8MBVNT|9RCR
155	63124 12273	10	 * 	253.03	DCR|2VULN|2DMG|1TLV|3ASPD|1DUR	1aDMG|2ZMB|34aASPD|5DUR|6TLV|7RCR|8MBVNT|9aVULN|aBPWR
156	63251 12312	8	   	253.03	DCR|2VULN|2DMG|1TLV|3ASPD|1DUR	15DMG|2ZMB|3DUR|459ASPD|5BPWR|6TLV|7RCR|8aVULN
157	63251 12361	10	   	253.03	DCR|2VULN|2DMG|1TLV|3ASPD|1DUR	15DMG|2ZMB|3DUR|45aASPD|5BPWR|6TLV|7RCR|89VULN
158	16116 11243	9	   	252.70	DCR|3VULN|3TLV|2DUR|1CDMG	16aTLV|24aVULN|3DUST|5RCVC|7RCR|8CDMG|9aDUR|aBPWR
159	16114 11243	9	   	252.60	DCR|3VULN|3TLV|2DUR|1CDMG	16aTLV|24aVULN|35DUST|7RCR|8CDMG|9aDUR|aBPWR
160	14413 32213	3	   	252.58	DCR|4VULN|2TLV|1CDMG|1AART	15TLV|2MLV|367aVULN|4CDMG|8RCR|9AART
161	14442 32213	3	   	252.58	DCR|4VULN|2TLV|1CDMG|1AART	14TLV|2MLV|367aVULN|5CDMG|8RCR|9AART
