0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11322 26151	1	 * 	284.35	DCR|4VULN|3TLV|1DMG|2CDMG|2LIT	146TLV|28LIT|38CDMG|5678VULN|68BPWR|9RCR|aDMG
16	12522 23151	4	   	263.30	DCR|3VULN|3TLV|1DMG|2CDMG|2LIT	167TLV|2RCVC|38LIT|48CDMG|568VULN|68BPWR|9RCR|aDMG
17	32622 16235	3	   	262.98	DCR|4VULN|2TLV|1DMG|1CDMG	1CDMG|2DMG|3567VULN|48TLV|9LHND|aRCR
18	32622 16241	3	   	262.98	DCR|4VULN|2TLV|1DMG|1CDMG	1CDMG|2DMG|3567VULN|48TLV|9RCR|aRMIN
19	32622 16242	3	   	262.98	DCR|4VULN|2TLV|1DMG|1CDMG	1CDMG|2DMG|3567VULN|48TLV|9RCR|aLHND
20	35232 16235	3	   	262.98	DCR|4VULN|2TLV|1DMG|1CDMG	1CDMG|28TLV|3DMG|4567VULN|9LHND|aRCR
21	35232 16241	3	   	262.98	DCR|4VULN|2TLV|1DMG|1CDMG	1CDMG|28TLV|3DMG|4567VULN|9RCR|aRMIN
22	35232 16242	3	   	262.98	DCR|4VULN|2TLV|1DMG|1CDMG	1CDMG|28TLV|3DMG|4567VULN|9RCR|aLHND
23	32622 16243	3	   	262.88	DCR|4VULN|2TLV|1DMG|1CDMG	1CDMG|2DMG|3567VULN|48TLV|9RCR|aBBNT
24	35232 16243	3	   	262.88	DCR|4VULN|2TLV|1DMG|1CDMG	1CDMG|28TLV|3DMG|4567VULN|9RCR|aBBNT
25	12243 31433	2	 * 	262.56	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	18TLV|2RCVC|38DUR|4AART|5CDMG|6FEWX|789VULN|8BPWR|aRCR
26	12643 31433	3	   	262.56	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	18TLV|2RCVC|38DUR|4AART|5CDMG|6FEWX|789VULN|8BPWR|aRCR
27	12652 21433	6	   	262.56	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	18TLV|2RCVC|38DUR|4AART|5LHND|6CDMG|789VULN|8BPWR|aRCR
28	12653 31433	4	   	262.56	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	18TLV|2RCVC|38DUR|4AART|5CDMG|6FEWX|789VULN|8BPWR|aRCR
29	12243 21433	2	   	262.46	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	18TLV|2RCVC|38DUR|4AART|5CDMG|6DUST|789VULN|8BPWR|aRCR
30	12643 21433	3	   	262.46	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	18TLV|2RCVC|38DUR|4AART|5CDMG|6DUST|789VULN|8BPWR|aRCR
31	12653 21433	4	   	262.46	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	18TLV|2RCVC|38DUR|4AART|5CDMG|6DUST|789VULN|8BPWR|aRCR
32	41243 51111	2	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1ASPD|2MLV|3DUR|478VULN|5aDMG|6RCR|9TLV
33	41513 51111	3	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1ASPD|2MLV|378VULN|4DUR|5aDMG|6RCR|9TLV
34	41522 51111	5	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1ASPD|2MLV|378VULN|4aDMG|5DUR|6RCR|9TLV
35	15154 32111	4	 * 	262.14	DCR|3VULN|3DUR|2TLV|1AART	17TLV|2LWND|367DUR|478VULN|5AART|7BPWR|9LHND|aRCR
36	32231 62623	10	   	260.97	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|23DMG|4LIT|5AART|68VULN|7DUR|9TLV|aRCR
37	32242 25223	10	   	260.97	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|23DMG|4AART|56VULN|7LIT|8DUR|9TLV|aRCR
38	31514 23433	6	 * 	260.80	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	18CDMG|28FEWX|369VULN|4AART|5TLV|78DUR|8BPWR|aRCR
39	31511 53433	8	   	260.70	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	16CDMG|2FEWX|389VULN|4AART|56DUR|6BPWR|7TLV|aRCR
40	35422 62231	2	   	260.60	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	1aCDMG|2TLV|3AART|4BBNT|5aDUR|69aVULN|7RCR|8MBVNT|aBPWR
41	35621 21531	6	 * 	260.53	DCR|2VULN|3TLV|2DUR|3CDMG|3LIT	178CDMG|289TLV|3aVULN|49DUR|589LIT|6RCR|89BPWR
42	32242 22156	6	   	260.43	DCR|2VULN|2DMG|1TLV|2AART|1DUR|1CDMG	1CDMG|23DMG|4aAART|56VULN|7TLV|8DUR|9RCR
43	13352 15116	10	 * 	260.43	DCR|4VULN|2DUR|1TLV	1TLV|24LHND|348aVULN|4BPWR|56DUR|7ASPD|9RCR
44	13353 51216	8	 * 	260.40	DCR|4VULN|2TLV|2DUR	1aTLV|246LHND|347aVULN|4aBPWR|5BELT|8aDUR|9RCR
45	11541 31321	8	   	260.06	DCR|4VULN|2TLV|2DUR|1SELL	19TLV|25MLV|3SELL|4679VULN|89DUR|9BPWR|aRCR
46	11544 11321	8	   	260.06	DCR|4VULN|2TLV|2DUR|1SELL	19TLV|26MLV|3SELL|4579VULN|89DUR|9BPWR|aRCR
47	11335 26313	1	   	259.53	DCR|4VULN|3TLV|1CDMG	156TLV|2LIT|3CDMG|4567VULN|56BPWR|8ASPD|9TBNT|aRCR
48	32621 16235	3	 * 	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|25DMG|367VULN|48TLV|9LHND|aRCR
49	32621 16241	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|25DMG|367VULN|48TLV|9RCR|aRMIN
50	32621 16242	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|25DMG|367VULN|48TLV|9RCR|aLHND
51	32622 13235	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|27DMG|356VULN|48TLV|9LHND|aRCR
52	32622 13241	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|27DMG|356VULN|48TLV|9RCR|aRMIN
53	32622 13242	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|27DMG|356VULN|48TLV|9RCR|aLHND
54	32622 13245	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|27DMG|356VULN|48TLV|9RCR|aFEWX
55	32622 13246	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|27DMG|356VULN|48TLV|9RCR|aLWND
56	35231 16235	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|35DMG|467VULN|9LHND|aRCR
57	35231 16241	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|35DMG|467VULN|9RCR|aRMIN
58	35231 16242	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|35DMG|467VULN|9RCR|aLHND
59	35232 13235	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|37DMG|456VULN|9LHND|aRCR
60	35232 13241	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|37DMG|456VULN|9RCR|aRMIN
61	35232 13242	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|37DMG|456VULN|9RCR|aLHND
62	35232 13245	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|37DMG|456VULN|9RCR|aFEWX
63	35232 13246	3	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|37DMG|456VULN|9RCR|aLWND
64	35242 13235	4	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|37DMG|456VULN|9LHND|aRCR
65	35242 13241	4	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|37DMG|456VULN|9RCR|aRMIN
66	35242 13242	4	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|37DMG|456VULN|9RCR|aLHND
67	32231 62661	9	   	259.45	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	1CDMG|23DMG|4LIT|5AART|68aVULN|7DUR|9RCR
68	32242 25261	9	   	259.45	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	1CDMG|23DMG|4AART|56aVULN|7LIT|8DUR|9RCR
69	13352 15111	9	 * 	259.44	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|24LHND|348VULN|4BPWR|56DUR|7ASPD|9RCR|aDMG
70	13352 15114	10	   	259.44	DCR|3VULN|2DUR|1TLV|1DMG	1TLV|24LHND|348VULN|4BPWR|56DUR|7ASPD|9RCR|aDMG
71	32621 16243	3	   	259.42	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|25DMG|367VULN|48TLV|9RCR|aBBNT
72	32622 13243	3	   	259.42	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|27DMG|356VULN|48TLV|9RCR|aBBNT
73	35231 16243	3	   	259.42	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|35DMG|467VULN|9RCR|aBBNT
74	35232 13243	3	   	259.42	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|37DMG|456VULN|9RCR|aBBNT
75	35242 13243	4	   	259.42	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28TLV|37DMG|456VULN|9RCR|aBBNT
76	56216 31111	6	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|23DUR|4ASPD|578VULN|6RCR|9TLV|aDMG
77	56234 31111	6	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|23DUR|478VULN|5ASPD|6RCR|9TLV|aDMG
78	66234 31111	6	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1DUST|23DUR|478VULN|5ASPD|6RCR|9TLV|aDMG
79	32622 22341	10	 * 	258.65	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG	1CDMG|268DMG|3aVULN|4DUR|5FEWX|7TLV|9RCR
80	35611 23611	9	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2TLV|378VULN|4LHND|5LIT|6RCR|9DUR|aDMG
81	35611 23621	8	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2TLV|378VULN|4LHND|5LIT|6RCR|9DUR|aDMG
82	35621 43133	10	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2TLV|367VULN|4DUR|5LIT|8DMG|9ERES|aRCR
83	35266 32212	10	 * 	257.95	DCR|2VULN|2DMG|2TLV|2CDMG	17CDMG|27TLV|34DMG|5LWND|67VULN|7BPWR|8LIT|9ASPD|aRCR
84	35244 22111	7	   	257.85	DCR|3VULN|2DMG|1TLV|2CDMG	17CDMG|2TLV|37DMG|457VULN|6LEGI|7BPWR|8RCR|9RCVC|aRMIN
85	35244 22112	7	   	257.85	DCR|3VULN|2DMG|1TLV|2CDMG	17CDMG|2TLV|37DMG|457VULN|6LEGI|7BPWR|8RCR|9RCVC|aBEXP
86	35244 22113	7	   	257.85	DCR|3VULN|2DMG|1TLV|2CDMG	17CDMG|2TLV|37DMG|457VULN|6LEGI|7BPWR|8RCR|9RCVC|aBELT
87	35244 22332	8	   	257.75	DCR|3VULN|2DMG|1TLV|2CDMG	17CDMG|2TLV|37DMG|457VULN|6LEGI|7BPWR|8BEXP|9BBNT|aRCR
88	35244 22122	7	   	257.75	DCR|3VULN|2DMG|1TLV|2CDMG	17CDMG|2TLV|37DMG|457VULN|6LEGI|7BPWR|8RCR|9FEWX|aTBNT
89	35244 22123	7	   	257.75	DCR|3VULN|2DMG|1TLV|2CDMG	17CDMG|2TLV|37DMG|457VULN|6LEGI|7BPWR|8RCR|9FEWX|aBBNT
90	35244 22132	7	   	257.75	DCR|3VULN|2DMG|1TLV|2CDMG	17CDMG|2TLV|37DMG|457VULN|6LEGI|7BPWR|8RCR|9BBNT|aRMIN
91	32331 13135	2	 * 	257.50	DCR|3VULN|3DMG|1CDMG	1CDMG|257DMG|3ASPD|46aVULN|8RCR|9LIT
92	32611 13135	3	   	257.50	DCR|3VULN|3DMG|1CDMG	1CDMG|257DMG|36aVULN|4ASPD|8RCR|9LIT
93	32641 13135	4	   	257.50	DCR|3VULN|3DMG|1CDMG	1CDMG|257DMG|36aVULN|4ASPD|8RCR|9LIT
94	33231 13135	3	   	257.50	DCR|3VULN|3DMG|1CDMG	1CDMG|2ASPD|357DMG|46aVULN|8RCR|9LIT
95	33241 13135	4	   	257.50	DCR|3VULN|3DMG|1CDMG	1CDMG|2ASPD|357DMG|46aVULN|8RCR|9LIT
96	35262 32131	7	   	257.49	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	17CDMG|27TLV|34DMG|5BEXP|67VULN|7BPWR|8RCR|9BBNT|aDUR
97	35266 32131	7	   	257.49	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	17CDMG|27TLV|34DMG|5LWND|67VULN|7BPWR|8RCR|9BBNT|aDUR
98	63662 31111	6	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1DUST|2RMIN|3478VULN|5DUR|6RCR|9TLV|aDMG
99	35235 12411	1	   	257.30	DCR|4VULN|1TLV|2CDMG|1DUR	13CDMG|2346VULN|3BPWR|5DUR|79ERES|8TLV|aRCR
100	35231 18283	4	 * 	257.02	DCR|2VULN|3DMG|1TLV|2CDMG	18CDMG|2TLV|358DMG|4MBVNT|68VULN|7TBNT|8BPWR|9ASPD|aRCR
101	46212 61311	1	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	17ASPD|2TLV|37DUR|4AART|578VULN|6BBNT|7BPWR|9RCR|aCGEN
102	46212 61313	1	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	17ASPD|2TLV|37DUR|4AART|578VULN|6BBNT|7BPWR|9RCR|aRMIN
103	46212 61333	1	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	17ASPD|2TLV|37DUR|4AART|578VULN|6BBNT|7BPWR|9FEWX|aRCR
104	35223 22436	1	   	256.32	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	13CDMG|239VULN|3BPWR|4DUST|5TBNT|6DUR|7RCR|8TLV|aDMG
105	35256 11123	1	   	255.58	DCR|5VULN|3CDMG|1DUR	134CDMG|23578VULN|35BPWR|6DUST|9RCR|aDUR
106	32631 15314	3	 * 	255.45	DCR|2VULN|2DMG|1TLV|3CDMG|2ASPD	148CDMG|28DMG|36VULN|5ZMB|78ASPD|8BPWR|9TLV|aRCR
107	35611 23521	7	   	254.86	DCR|2VULN|2TLV|1DMG|2CDMG|1DUR|2LIT	18CDMG|28TLV|37VULN|4LHND|58LIT|6RCR|8BPWR|9DUR|aDMG
108	11335 32346	1	   	254.73	DCR|3VULN|2TLV|1DUR|1CDMG	15TLV|2LIT|3CDMG|45aVULN|5BPWR|6MBVNT|7ASPD|8RCR|9DUR
109	13352 15333	6	   	254.38	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1TLV|24LHND|349VULN|4BPWR|56DUR|7AART|8CDMG|aRCR
