0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33113 43356	1	 * 	288.36	DCR|3VULN|3DUR|3ASPD|1DMG	19aDUR|2LIT|39aASPD|4RCVC|5DMG|6ERES|79aVULN|8RCR|9aBPWR
14	14531 12522	8	   	277.19	DCR|4VULN|3DMG|1TLV	14DMSP|2567VULN|359DMG|5BPWR|8TLV|aRCR
15	14531 12224	8	 * 	276.12	DCR|4VULN|2DMG|2DUR	14DMSP|2567VULN|35DMG|5BPWR|89DUR|aRCR
16	21165 22322	1	   	273.76	ACR|3VULN|3DUR|2DMG|3ASPD	148ASPD|2RCR|38aVULN|5LIT|6aDMG|78aDUR|8aBPWR|9RPLT
17	14341 36313	6	   	273.53	DCR|4VULN|2ASPD|1DMG|2LIT|1AART	1DMSP|269aVULN|3AART|4DMG|59ASPD|79LIT|8RCR|9BPWR
18	14341 36313	5	   	273.53	DCR|4VULN|2ASPD|1DMG|2LIT|1AART	1DMSP|269aVULN|3AART|4DMG|59ASPD|79LIT|8RCR|9BPWR
19	14511 36313	5	   	273.53	DCR|4VULN|2ASPD|1DMG|2LIT|1AART	1DMSP|269aVULN|3DMG|4AART|59ASPD|79LIT|8RCR|9BPWR
20	14511 36313	6	   	273.53	DCR|4VULN|2ASPD|1DMG|2LIT|1AART	1DMSP|269aVULN|3DMG|4AART|59ASPD|79LIT|8RCR|9BPWR
21	34312 23112	5	 * 	273.42	DCR|2VULN|3DMG|3DUR|1NUKE|1AART	129DUR|3AART|4LIT|59VULN|6NUKE|789DMG|9BPWR|aRCR
22	14362 11432	10	 * 	273.39	DCR|3VULN|2DUR|2TLV|1DMG|2AART	1DMSP|289VULN|37AART|48TLV|58DUR|6RCR|8BPWR|aDMG
23	14531 12251	10	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	14DMSP|2567VULN|35DMG|5BPWR|8DUR|9RCR|aASPD
24	14531 12252	9	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	14DMSP|2567VULN|35DMG|5BPWR|8DUR|9RCR|aASPD
25	14531 12252	10	   	269.85	DCR|4VULN|2DMG|1DUR	14DMSP|2567VULN|35DMG|5BPWR|8DUR|9RCR|aLIT
26	34361 11421	9	   	269.23	DCR|4VULN|3DUR|2AART	128DUR|37AART|489aVULN|58MLV|6RCR|8BPWR
27	34363 11421	9	   	269.23	DCR|4VULN|3DUR|2AART	128DUR|37AART|489aVULN|58CGEN|6RCR|8BPWR
28	21132 16313	1	 * 	269.09	ACR|4VULN|3DUR|2ASPD|1DMG	18ASPD|2RCR|378aVULN|4LIT|5DMG|689DUR|8BPWR
29	21136 22313	1	   	269.09	ACR|4VULN|3DUR|2ASPD|1DMG	18ASPD|2RCR|358aVULN|4LIT|6DMG|789DUR|8BPWR
30	14211 66113	8	   	268.48	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	1DMSP|29aVULN|35ASPD|4AART|69LIT|79DMG|8RCR|9BPWR
31	14211 66313	7	   	268.48	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	1DMSP|29aVULN|35ASPD|4AART|69LIT|79DMG|8RCR|9BPWR
32	14316 26113	8	   	268.48	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	1DMSP|29aVULN|3AART|45LIT|69ASPD|79DMG|8RCR|9BPWR
33	14316 26313	7	   	268.48	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	1DMSP|29aVULN|3AART|45LIT|69ASPD|79DMG|8RCR|9BPWR
34	14341 14313	6	   	268.48	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	1DMSP|29aVULN|3AART|47DMG|59ASPD|69LIT|8RCR|9BPWR
35	14511 14313	6	   	268.48	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	1DMSP|29aVULN|37DMG|4AART|59ASPD|69LIT|8RCR|9BPWR
36	14331 55111	2	   	268.43	DCR|3VULN|3DUR|2TLV|1ASPD	1DMSP|289VULN|3LIT|458DUR|6RCR|78TLV|8BPWR|aASPD
37	33263 25152	1	   	268.43	DCR|3VULN|3DUR|2TLV|1ASPD	18aDUR|2LIT|368VULN|4ASPD|5ZMB|78TLV|8BPWR|9RCR
38	33213 55111	1	   	268.43	DCR|3VULN|3DUR|2TLV|1ASPD	148DUR|2LIT|389VULN|5DMSP|6RCR|78TLV|8BPWR|aASPD
39	14342 16323	4	 * 	267.93	DCR|3VULN|3DMG|2CDMG|1AART	1DMSP|268VULN|3AART|489DMG|5TBNT|78CDMG|8BPWR|aRCR
40	14342 16323	3	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	1DMSP|268VULN|3AART|489DMG|5TBNT|78CDMG|8BPWR|aRCR
41	14512 16323	4	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	1DMSP|268VULN|389DMG|4AART|5TBNT|78CDMG|8BPWR|aRCR
42	33133 25155	2	   	266.84	DCR|4VULN|2DUR|2TLV	18DUR|2CGEN|368aVULN|4LIT|5ZMB|78TLV|8BPWR|9RCR
43	16515 22211	10	 * 	266.81	DCR|3VULN|3DUR|2DMG	14DMSP|28aDUR|3aDMG|57aVULN|6RPLT|9RCR|aBPWR
44	21521 16512	7	 * 	266.74	DCR|4VULN|3ASPD|1DMG	125ASPD|3RCVC|459aVULN|5BPWR|6DMG|7LIT|8RCR
45	21232 56151	2	   	266.63	DCR|3VULN|3ASPD|2DUR|1DMG	128ASPD|3LWND|4BBNT|58aVULN|6RCR|78DUR|8BPWR|9DMG
46	21332 56151	2	   	266.63	DCR|3VULN|3ASPD|2DUR|1DMG	128ASPD|3LHND|4BBNT|58aVULN|6RCR|78DUR|8BPWR|9DMG
47	21332 56151	3	   	266.63	DCR|3VULN|3ASPD|2DUR|1DMG	128ASPD|3LHND|4BBNT|58aVULN|6RCR|78DUR|8BPWR|9DMG
48	22331 43356	1	 * 	266.63	DCR|3VULN|3ASPD|2DUR|3LIT	19aASPD|2ZMB|39aLIT|45DUR|6ERES|79aVULN|8RCR|9aBPWR
49	33113 43355	1	   	265.41	DCR|3VULN|2DUR|2ASPD|1DMG	19DUR|2LIT|39ASPD|4RCVC|5DMG|6ERES|79aVULN|8RCR|9BPWR
50	33263 25153	1	 * 	265.41	DCR|3VULN|2DUR|2ASPD|2TLV	18DUR|2LIT|368VULN|4aASPD|5ZMB|78TLV|8BPWR|9RCR
51	14231 12256	10	 * 	264.64	DCR|5VULN|2ASPD|1DUR	14DMSP|2567aVULN|35ASPD|5BPWR|8DUR|9RCR
52	34342 22316	7	   	264.42	DCR|2VULN|3DUR|2DMG|2LIT|1AART	125DUR|3AART|4aDMG|6aLIT|7RMIN|8aVULN|9RCR|aBPWR
53	35223 13132	7	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	19DUR|2FEWX|3RPLT|49VULN|58DMG|6TLV|79ASPD|9BPWR|aRCR
54	35223 13132	8	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	19DUR|2FEWX|3RPLT|49VULN|58DMG|6TLV|79ASPD|9BPWR|aRCR
55	22426 23411	5	 * 	263.36	DCR|2VULN|3ASPD|3CDMG|2TLV|1DMG	159ASPD|269CDMG|3LIT|45TLV|59BPWR|79VULN|8RCR|aDMG
56	14324 26313	8	   	263.09	DCR|4VULN|2DUR|2LIT|1AART	1DMSP|259aVULN|3AART|49DUR|6RCR|79LIT|8RCVC|9BPWR
57	63231 25313	1	   	262.93	DCR|4VULN|2DUR|1TLV	1LWND|2LIT|3469VULN|58DUR|7TLV|aRCR
58	21242 61416	10	   	262.82	DCR|3VULN|3ASPD|2DUR|1TLV	128ASPD|3MBVNT|4TLV|589VULN|6DMSP|78DUR|8BPWR|aRCR
59	14312 26111	8	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1DMSP|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR|aFEWX
60	14312 26112	8	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1DMSP|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR|aCGEN
61	14312 26114	8	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1aDMSP|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR
62	14312 26116	8	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1DMSP|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR|aLHND
63	14312 26311	7	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1DMSP|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR|aFEWX
64	14312 26312	7	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1DMSP|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR|aCGEN
65	14312 26314	7	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1aDMSP|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR
66	14312 26316	7	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1DMSP|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR|aLHND
67	14313 44311	4	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1DMSP|269VULN|3AART|4LIT|59DMG|79ASPD|8RCR|9BPWR|aFEWX
68	14313 44312	4	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1DMSP|269VULN|3AART|4LIT|59DMG|79ASPD|8RCR|9BPWR|aCGEN
69	44312 26111	8	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1RCVC|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR|aFEWX
70	44312 26112	8	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1RCVC|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR|aCGEN
71	44312 26311	7	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1RCVC|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR|aFEWX
72	44312 26312	7	   	261.93	DCR|3VULN|2DMG|2ASPD|1AART	1RCVC|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR|aCGEN
73	14312 26115	8	   	261.83	DCR|3VULN|2DMG|2ASPD|1AART	1DMSP|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR|aDUST
74	14312 26315	7	   	261.83	DCR|3VULN|2DMG|2ASPD|1AART	1DMSP|259VULN|3AART|4LIT|69ASPD|79DMG|8RCR|9BPWR|aDUST
75	14324 61321	5	 * 	261.71	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	1DMSP|259VULN|3AART|49DUR|6ERES|7TLV|89CDMG|9BPWR|aRCR
76	34364 31322	9	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	12DUR|3AART|456VULN|7LWND|8DMG|9TLV|aRCR
77	34351 43112	3	 * 	261.58	DCR|3DMG|3DUR|1VULN|2ASPD|1AART	129DUR|3AART|49ASPD|5LIT|6VULN|789DMG|9BPWR|aRCR
78	14531 12251	9	   	261.54	DCR|4VULN|2DMG|1DUR	14DMSP|2567VULN|35DMG|5BPWR|8DUR|9RCR|aZMB
79	14531 12121	10	   	261.54	DCR|4VULN|2DMG|1TLV	14DMSP|2567VULN|35DMG|5BPWR|8LWND|9TLV|aRCR
80	14531 12421	10	   	261.54	DCR|4VULN|2DMG|1TLV	14DMSP|2567VULN|35DMG|5BPWR|8BEXP|9TLV|aRCR
81	14531 12511	10	   	261.54	DCR|4VULN|2DMG|1TLV	14DMSP|2567VULN|35DMG|5BPWR|8TLV|9LWND|aRCR
82	44531 12121	10	   	261.54	DCR|4VULN|2DMG|1TLV	1RCVC|2567VULN|35DMG|4DMSP|5BPWR|8LWND|9TLV|aRCR
83	14531 12211	10	   	261.44	DCR|4VULN|2DMG|1DUR	14DMSP|2567VULN|35DMG|5BPWR|8DUR|9ERES|aRCR
84	14531 12253	9	   	261.44	DCR|4VULN|2DMG|1DUR	14DMSP|2567VULN|35DMG|5BPWR|8DUR|9RCR|aERES
85	44531 12211	10	   	261.44	DCR|4VULN|2DMG|1DUR	1RCVC|2567VULN|35DMG|4DMSP|5BPWR|8DUR|9ERES|aRCR
86	14231 12221	10	   	261.35	DCR|4VULN|2ASPD|1TLV|1DUR	14DMSP|2567VULN|35ASPD|5BPWR|8DUR|9TLV|aRCR
87	44231 12221	10	   	261.35	DCR|4VULN|2ASPD|1TLV|1DUR	1RCVC|2567VULN|35ASPD|4DMSP|5BPWR|8DUR|9TLV|aRCR
88	34362 23421	9	   	261.26	DCR|4VULN|3DUR|1AART	128DUR|3AART|489aVULN|5RCVC|6RCR|78ERES|8BPWR
89	21525 12221	10	   	261.25	DCR|4VULN|2ASPD|1TLV|1DUR	12ASPD|3RCVC|4567VULN|8DUR|9TLV|aRCR
90	14531 12153	10	   	260.94	DCR|4VULN|3DMG	14DMSP|2567VULN|35aDMG|5BPWR|8LWND|9RCR
91	14531 12322	8	   	260.94	DCR|4VULN|3DMG	14DMSP|2567VULN|359DMG|5BPWR|8CGEN|aRCR
92	14531 12352	9	   	260.94	DCR|4VULN|3DMG	14DMSP|2567VULN|359DMG|5BPWR|8CGEN|aRCR
93	14531 13111	9	   	260.94	DCR|4VULN|3DMG	14DMSP|2568VULN|357DMG|5BPWR|9RCVC|aRCR
94	14531 13121	8	   	260.94	DCR|4VULN|3DMG	14DMSP|2568VULN|357DMG|5BPWR|9RCVC|aRCR
95	14531 13162	8	   	260.94	DCR|4VULN|3DMG	14DMSP|2568VULN|357DMG|5BPWR|9CGEN|aRCR
96	14531 13162	9	   	260.94	DCR|4VULN|3DMG	14DMSP|2568VULN|357DMG|5BPWR|9RMIN|aRCR
97	14531 13511	8	   	260.94	DCR|4VULN|3DMG	14DMSP|2569VULN|357DMG|5BPWR|8RCVC|aRCR
98	44531 12322	8	   	260.94	DCR|4VULN|3DMG	1RCVC|2567VULN|359DMG|4DMSP|5BPWR|8CGEN|aRCR
99	44531 13111	9	   	260.94	DCR|4VULN|3DMG	19RCVC|2568VULN|357DMG|4DMSP|5BPWR|aRCR
100	44531 13121	8	   	260.94	DCR|4VULN|3DMG	19RCVC|2568VULN|357DMG|4DMSP|5BPWR|aRCR
101	14531 13132	8	   	260.84	DCR|4VULN|3DMG	14DMSP|2568VULN|357DMG|5BPWR|9ERES|aRCR
102	14531 13232	8	   	260.84	DCR|4VULN|3DMG	14DMSP|2569VULN|357DMG|5BPWR|8ERES|aRCR
103	14531 13232	7	   	260.84	DCR|4VULN|3DMG	14DMSP|2569VULN|357DMG|5BPWR|8ERES|aRCR
104	44531 13132	8	   	260.84	DCR|4VULN|3DMG	1RCVC|2568VULN|357DMG|4DMSP|5BPWR|9ERES|aRCR
105	44531 13232	8	   	260.84	DCR|4VULN|3DMG	1RCVC|2569VULN|357DMG|4DMSP|5BPWR|8ERES|aRCR
106	44531 13232	7	   	260.84	DCR|4VULN|3DMG	1RCVC|2569VULN|357DMG|4DMSP|5BPWR|8ERES|aRCR
107	34222 22161	7	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	12DUR|3ASPD|4FEWX|578VULN|6CDMG|9RCR|aDMG
108	22626 21125	1	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	18ASPD|2ZMB|378VULN|48DMG|5RPLT|6TBNT|8BPWR|9DUR|aRCR
109	22626 31125	1	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	18ASPD|2ZMB|378VULN|48DMG|5RPLT|6BBNT|8BPWR|9DUR|aRCR
110	23626 21152	2	   	260.11	DCR|3VULN|2DMG|2ASPD|1TLV	18ASPD|2RMIN|378VULN|48DMG|5RPLT|6TBNT|8BPWR|9TLV|aRCR
111	23626 31152	2	   	260.11	DCR|3VULN|2DMG|2ASPD|1TLV	18ASPD|2RMIN|378VULN|48DMG|5RPLT|6BBNT|8BPWR|9TLV|aRCR
112	14535 12221	10	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	14DMSP|2567VULN|3DMG|8DUR|9TLV|aRCR
113	23532 22452	3	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV|1NUKE	17ASPD|2RMIN|3NUKE|4BBNT|57aVULN|67DMG|7BPWR|8RCR|9TLV
114	23532 23652	3	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV|1NUKE	18ASPD|2RMIN|3NUKE|4BBNT|58aVULN|68DMG|7RCR|8BPWR|9TLV
115	32123 56622	2	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1DUR|2ERES|3569VULN|4LWND|7TLV|8RCR|aDMG
116	22262 23421	9	 * 	259.86	DCR|3VULN|2ASPD|2CDMG|2AART|1DUR	18ASPD|28CDMG|37AART|4ERES|5DUR|689VULN|8BPWR|aRCR
117	34364 23131	9	   	259.83	DCR|3VULN|3DUR|2ASPD|1AART	12aDUR|3AART|45aVULN|6RCR|7ERES|8DUST|9aASPD|aBPWR
118	14231 12224	8	 * 	259.69	DCR|4VULN|2DUR|2ASPD	14DMSP|2567VULN|35ASPD|5BPWR|89DUR|aRCR
119	14231 12264	9	   	259.69	DCR|4VULN|2DUR|2ASPD	14DMSP|2567VULN|35ASPD|5BPWR|89DUR|aRCR
120	44231 12224	8	   	259.69	DCR|4VULN|2DUR|2ASPD	1RCVC|2567VULN|35ASPD|4DMSP|5BPWR|89DUR|aRCR
121	21525 12224	8	   	259.59	DCR|4VULN|2DUR|2ASPD	12ASPD|3RCVC|4567VULN|89DUR|aRCR
122	21132 26451	10	   	259.49	DCR|4VULN|2DUR|2ASPD	12ASPD|3ERES|456aVULN|78DUR|9RCR
123	14362 11431	10	 * 	259.47	DCR|3VULN|2DUR|3AART|2TLV	1DMSP|289VULN|37aAART|48TLV|58DUR|6RCR|8BPWR
124	22251 61134	6	   	259.45	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD|1AART	1ASPD|2CDMG|3AART|4aVULN|57DUR|6TLV|8RCR|9DMG
125	33224 34385	1	   	259.11	DCR|2VULN|3DUR|2DMG|1ASPD	17aDUR|2LIT|3aVULN|4FEWX|5ASPD|6MBVNT|8aDMG|9RCR|aBPWR
126	33262 34385	1	   	259.11	DCR|2VULN|3DUR|2DMG|1ASPD	17aDUR|2LIT|3aVULN|4ASPD|5FEWX|6MBVNT|8aDMG|9RCR|aBPWR
127	14336 25113	2	   	258.81	DCR|4VULN|2TLV|1DUR|2LIT	1DMSP|2689VULN|38LIT|4DUR|5LWND|78TLV|8BPWR|aRCR
128	63231 25113	1	   	258.81	DCR|4VULN|2TLV|1DUR|2LIT	18LWND|28LIT|3469VULN|5DUR|78TLV|8BPWR|aRCR
129	31362 52633	8	 * 	258.78	DCR|3VULN|3DUR|2CDMG|1AART	159DUR|2AART|3LHND|49CDMG|6RPLT|7RCR|89aVULN|9BPWR
130	34333 12346	2	 * 	258.78	DCR|3VULN|3DUR|3LIT|1AART	124DUR|38aLIT|5AART|6RCR|78aVULN|8aBPWR|9aLHND
131	34333 12346	1	   	258.78	DCR|3VULN|3DUR|3LIT|1AART	124DUR|28aBPWR|38aLIT|5AART|6RCR|78aVULN|9aLHND
132	34333 12366	2	   	258.78	DCR|3VULN|3DUR|3LIT|1AART	124DUR|38aLIT|5AART|6RCR|78aVULN|8aBPWR|9aLWND
133	34333 12366	1	   	258.78	DCR|3VULN|3DUR|3LIT|1AART	124DUR|28aBPWR|38aLIT|5AART|6RCR|78aVULN|9aLWND
134	16311 35153	3	   	258.68	DCR|3VULN|3DUR|3LIT|1AART	1DMSP|289DUR|3AART|4aERES|59aLIT|6RCR|79aVULN|9aBPWR
135	31251 35153	4	   	258.68	DCR|3VULN|3DUR|3LIT|1AART	189DUR|2AART|3aERES|4DMSP|59aLIT|6RCR|79aVULN|9aBPWR
136	32311 35153	4	   	258.58	DCR|3VULN|3DUR|3LIT|1AART	189DUR|23aERES|4AART|59aLIT|6RCR|79aVULN|9aBPWR
137	33113 25155	1	 * 	258.57	DCR|2VULN|2DUR|2ASPD|2TLV|1DMG	18DUR|2LIT|38ASPD|4RCVC|5DMG|6aVULN|78TLV|8BPWR|9RCR
138	16532 51121	3	 * 	258.43	DCR|2VULN|3DUR|1DMG|2CDMG|1TLV	1DMSP|289DUR|3DMG|4BBNT|58VULN|6RCR|78CDMG|8BPWR|aTLV
139	34532 51131	3	   	258.43	DCR|2VULN|3DUR|1DMG|2CDMG|1TLV	128DUR|3DMG|4BBNT|58VULN|6RCR|78CDMG|8BPWR|9RCVC|aTLV
140	21131 23444	6	 * 	258.38	DCR|2VULN|3DMG|3ASPD|1DUR	128ASPD|3ERES|48VULN|5RPLT|678DMG|8BPWR|9DUR|aRCR
