0	Index      	 *	Score 	Summary	Detail	
1	61244 28151	 * 	268.79	橙橙2易伤1等级1时间	1加一2等级35易伤4雷电6基地爆炸7a核8赏金塔9时间
18	61243 63831	   	255.04	橙橙2易伤1等级	1加一2等级38易伤4雷电5敌人爆炸6赏金塔7挖尘9a核
19	61244 28141	   	255.04	橙橙2易伤1等级	1加一2等级35易伤4雷电6基地爆炸7a核8赏金塔9挖尘
20	61462 24831	   	255.04	橙橙2易伤1等级	1加一2等级3立即金币4赏金塔5双倍秒伤68易伤7雷电9a核
21	61644 34271	   	255.04	橙橙2易伤1等级	1加一2等级3雷电减费4雷电56易伤7敌人爆炸8a核9赏金邻近
22	36331 25251	   	251.08	橙橙3易伤1技能	1基地爆炸2低血量敌人3防空对头目4赏金邻近56a易伤79核8技能
23	34331 25251	   	250.98	橙橙3易伤1技能	1基地爆炸2挖尘3防空对头目4赏金邻近56a易伤79核8技能
24	31252 22154	   	249.00	橙橙1易伤1等级1伤害	1基地爆炸2伤害3易伤4技能点5低血量敌人6最后敌人79核8毒液对冰a等级
25	61226 82313	   	249.00	橙橙1易伤1等级1伤害	1加一2等级3易伤4平台5双倍秒伤6伤害7随机技能8a核9敌人爆炸
26	31251 22154	   	248.90	橙橙1易伤1等级1伤害	1基地爆炸2伤害3易伤4技能点5雷电减费6最后敌人79核8爆破对壮a等级
27	61226 82343	   	248.90	橙橙1易伤1等级1伤害	1加一2等级3易伤4平台5双倍秒伤6伤害7随机技能8a核9挖尘
28	23413 26136	 * 	247.43	紫橙2易伤2时间1等级	1随机技能2a核34易伤59时间6基地爆炸7等级8雷电减费
29	23213 53236	   	247.33	紫橙2易伤2时间1等级	1随机技能2a核3双倍秒伤49时间5等级6风暴减费78易伤
30	61811 38341	 * 	245.73	橙橙3等级1易伤	1加一238等级3序列升级4头目5赏金邻近6立即金币7a核9易伤
31	61842 35131	   	245.73	橙橙3等级1易伤	1加一235等级3序列升级4易伤68雷电7赏金邻近9a核
32	61842 38221	   	245.73	橙橙3等级1易伤	1加一235等级3序列升级4易伤6雷电7a核8双倍秒伤9最后敌人
33	61842 38241	   	245.63	橙橙3等级1易伤	1加一235等级3序列升级4易伤6雷电7a核8双倍秒伤9挖尘
34	61845 32113	 * 	245.18	橙3易伤2等级1伤害1矿等	1加一23等级3序列升级49a易伤5伤害6矿等7攻速8核
35	22322 35616	   	244.64	橙橙1易伤1等级1矿等	15随机技能2等级3矿等4基地爆炸6敌人爆炸7a核8易伤9掉矿
36	61326 44131	   	244.54	橙橙1易伤1等级1矿等	1加一2等级3低血量敌人4矿等5头目6赏金邻近7随机矿8易伤9a核
37	63326 45131	   	244.54	橙橙1易伤1等级1矿等	1加一2金币生成3低血量敌人4矿等5头目6赏金塔7等级8易伤9a核
38	12323 65251	   	244.44	橙橙2易伤1矿等1技能	1掉矿2基础对冰3基地爆炸4矿等5赏金塔6a易伤79核8技能
39	32223 65251	   	244.44	橙橙2易伤1矿等1技能	1基地爆炸2爆破对壮3掉矿4矿等5赏金塔6a易伤79核8技能
40	61244 71348	 * 	244.32	橙3易伤2等级2矿等1全技能	1加一2a等级35a易伤4雷电6低血量敌人7全技能8a矿等9核a序列升级
41	32131 25252	   	242.59	橙橙2易伤1时间1技能	1基地爆炸2爆破对壮3时间4赏金邻近56易伤79核8技能a策反
42	32131 25253	   	242.59	橙橙2易伤1时间1技能	1基地爆炸2爆破对壮3时间4赏金邻近56易伤79核8技能a低血量敌人
43	32131 25256	   	242.59	橙橙2易伤1时间1技能	1基地爆炸2爆破对壮3时间4赏金邻近56易伤79核8技能a平台
44	35331 25252	   	242.59	橙橙2易伤1时间1技能	1基地爆炸2时间3防空对头目4赏金邻近56易伤79核8技能a策反
45	35331 25253	   	242.59	橙橙2易伤1时间1技能	1基地爆炸2时间3防空对头目4赏金邻近56易伤79核8技能a低血量敌人
46	55311 35122	   	242.59	橙橙2易伤1暴击	1平台2暴雪减费3挖尘49易伤5暴击6额外掉落78核a策反
47	55311 35123	   	242.59	橙橙2易伤1暴击	1平台2暴雪减费3挖尘49易伤5暴击6额外掉落78核a低血量敌人
48	16211 12154	   	242.59	橙橙1易伤1等级1时间1技能	1掉矿2时间3易伤4低血量敌人5基地爆炸6技能79核8毒液对冰a等级
49	61243 18831	   	242.59	橙橙1易伤1等级1时间	1加一2等级3易伤4雷电5敌人爆炸6双倍秒伤7时间8最后敌人9a核
50	61243 65131	   	242.59	橙橙1易伤1等级1时间	1加一2等级3易伤48雷电5敌人爆炸6赏金塔7时间9a核
51	61246 24731	   	242.59	橙橙1易伤1等级1时间	1加一2等级3易伤4雷电5双倍秒伤6低血量敌人7最后敌人8时间9a核
52	61263 21381	   	242.59	橙橙1易伤1等级1全技能	1加一2等级3易伤4技能点5金币生成6雷电7全技能8头目9a核
53	61272 11831	   	242.59	橙橙1易伤1等级1时间	1加一2等级3易伤4时间5头目6双倍秒伤7低血量敌人8最后敌人9a核
54	61272 48221	   	242.59	橙橙1易伤1等级1时间	1加一2等级3易伤4时间5头目6基地爆炸7a核8双倍秒伤9最后敌人
55	61272 48321	   	242.59	橙橙1易伤1等级1时间	1加一2等级3易伤4时间5头目69基地爆炸7a核8赏金塔
56	61282 11731	   	242.59	橙橙1易伤1等级1时间	1加一2等级3易伤4最后敌人5头目6双倍秒伤7低血量敌人8时间9a核
57	61373 43172	   	242.59	橙橙1易伤1等级1全技能	1加一2等级3低血量敌人4防空对头目5随机矿69核7易伤8全技能a头目
58	61373 43362	   	242.59	橙橙1易伤1等级1时间	1加一2等级3低血量敌人4防空对头目5随机矿69核7易伤8时间a平台
59	61373 43363	   	242.59	橙橙1易伤1等级1时间	1加一2等级3低血量敌人4防空对头目5随机矿69核7易伤8时间a基地爆炸
60	61373 43364	   	242.59	橙橙1易伤1等级1时间	1加一2等级3低血量敌人4防空对头目5随机矿69核7易伤8时间a立即金币
61	61743 18131	   	242.59	橙橙1易伤1等级1时间	1加一2等级3最后敌人4雷电5敌人爆炸6双倍秒伤7时间8易伤9a核
62	61744 11731	   	242.59	橙橙1易伤1等级1时间	1加一2等级3最后敌人4雷电5易伤6双倍秒伤7低血量敌人8时间9a核
63	64112 24131	   	242.59	橙橙1易伤1等级1时间	1加一2双倍秒伤3时间4雷电5等级6低血量敌人7最后敌人8易伤9a核
64	64112 24741	   	242.59	橙橙1易伤1等级1时间	1加一2双倍秒伤3时间4雷电5等级6低血量敌人7最后敌人8a核9易伤
65	64112 41741	   	242.59	橙橙1易伤1等级1时间	1加一2双倍秒伤3时间4雷电5等级6基地爆炸7低血量敌人8a核9易伤
66	64113 81131	   	242.59	橙橙1易伤1等级1时间	1加一2双倍秒伤3时间4雷电5敌人爆炸6等级7低血量敌人8易伤9a核
67	64113 81741	   	242.59	橙橙1易伤1等级1时间	1加一2双倍秒伤3时间4雷电5敌人爆炸6等级7低血量敌人8a核9易伤
68	64212 48741	   	242.59	橙橙1易伤1等级1时间	1加一2双倍秒伤3敌人爆炸4雷电5等级6基地爆炸7时间8a核9易伤
69	64216 81131	   	242.59	橙橙1易伤1等级1时间	1加一2双倍秒伤3敌人爆炸4雷电5时间6等级7低血量敌人8易伤9a核
70	64312 44131	   	242.59	橙橙1易伤1等级1时间	1加一2双倍秒伤3低血量敌人4雷电5等级6时间7最后敌人8易伤9a核
71	64312 44741	   	242.59	橙橙1易伤1等级1时间	1加一2双倍秒伤3低血量敌人4雷电5等级6时间7最后敌人8a核9易伤
72	64316 74131	   	242.59	橙橙1易伤1等级1时间	1加一2双倍秒伤3低血量敌人4雷电5时间6等级7最后敌人8易伤9a核
73	65122 11131	   	242.59	橙橙1易伤1等级1时间	1加一2时间3敌人爆炸4等级5头目6双倍秒伤7低血量敌人8易伤9a核
74	65122 62131	   	242.59	橙橙1易伤1等级1时间	1加一2时间37敌人爆炸4等级5头目6赏金塔8易伤9a核
75	16222 48181	   	242.49	橙橙2易伤1时间	1掉矿2时间38易伤4加一5头目6基地爆炸7a核9赏金邻近
76	32131 25255	   	242.49	橙橙2易伤1时间1技能	1基地爆炸2爆破对壮3时间4赏金邻近56易伤79核8技能a暴雪减费
77	16225 23281	   	242.49	橙橙1易伤1等级1时间	1掉矿2时间3易伤4加一5随机矿6等级7雷电8a核9赏金邻近
78	61182 11131	   	242.49	橙橙1易伤1等级1时间	1加一2等级3挖尘4时间5头目6双倍秒伤7低血量敌人8易伤9a核
79	61253 64131	   	242.49	橙橙1易伤1等级1时间	1加一2等级3易伤4赏金邻近5挖尘6时间78雷电9a核
80	61266 43131	   	242.49	橙橙1易伤1等级1时间	1加一2等级3易伤4技能点5头目6赏金塔7时间8金币生成9a核
81	61272 13831	   	242.49	橙橙1易伤1等级1时间	1加一2等级3易伤4时间5头目6双倍秒伤7挖尘8最后敌人9a核
82	61272 48241	   	242.49	橙橙1易伤1等级1时间	1加一2等级3易伤4时间5头目6基地爆炸7a核8双倍秒伤9挖尘
83	61373 43171	   	242.49	橙橙1易伤1等级1全技能	1加一2等级3低血量敌人4防空对头目5随机矿69核7易伤8全技能a技能点
84	61373 43173	   	242.49	橙橙1易伤1等级1全技能1挖怪	1加一2等级3低血量敌人4防空对头目5随机矿69核7易伤8全技能a挖怪
85	61373 43174	   	242.49	橙橙1易伤1等级1全技能	1加一2等级3低血量敌人4防空对头目5随机矿69核7易伤8全技能a雷电减费
86	61373 43361	   	242.49	橙橙1易伤1等级1时间	1加一2等级3低血量敌人4防空对头目5随机矿69核7易伤8时间a电塔对甲
87	61643 18131	   	242.49	橙橙1易伤1等级1时间	1加一2等级3雷电减费4雷电5敌人爆炸6双倍秒伤7时间8易伤9a核
88	61644 11731	   	242.49	橙橙1易伤1等级1时间	1加一2等级3雷电减费4雷电5易伤6双倍秒伤7低血量敌人8时间9a核
89	61672 11131	   	242.49	橙橙1易伤1等级1时间	1加一2等级3雷电减费4时间5头目6双倍秒伤7低血量敌人8易伤9a核
90	64111 81131	   	242.49	橙橙1易伤1等级1时间	1加一2双倍秒伤3时间4雷电5挖尘6等级7低血量敌人8易伤9a核
91	64111 81741	   	242.49	橙橙1易伤1等级1时间	1加一2双倍秒伤3时间4雷电5挖尘6等级7低血量敌人8a核9易伤
92	64112 43741	   	242.49	橙橙1易伤1等级1时间	1加一2双倍秒伤3时间4雷电5等级6基地爆炸7挖尘8a核9易伤
93	64113 83131	   	242.49	橙橙1易伤1等级1时间	1加一2双倍秒伤3时间4雷电5敌人爆炸6等级7挖尘8易伤9a核
94	64113 83741	   	242.49	橙橙1易伤1等级1时间	1加一2双倍秒伤3时间4雷电5敌人爆炸6等级7挖尘8a核9易伤
95	64216 83131	   	242.49	橙橙1易伤1等级1时间	1加一2双倍秒伤3敌人爆炸4雷电5时间6等级7挖尘8易伤9a核
96	65122 13131	   	242.49	橙橙1易伤1等级1时间	1加一2时间3敌人爆炸4等级5头目6双倍秒伤7挖尘8易伤9a核
97	68222 11131	   	242.49	橙橙1易伤1等级1时间	1加一2雷电减费3时间4等级5头目6双倍秒伤7低血量敌人8易伤9a核
98	56313 23143	 * 	242.39	橙橙1易伤2时间1暴击	1平台2加一3掉矿4赏金塔58时间6a核7暴击9易伤
99	56353 23143	   	242.39	橙橙1易伤2时间1暴击	1平台2加一3掉矿4赏金邻近58时间6a核7暴击9易伤
100	56521 23143	   	242.39	橙橙1易伤2时间1暴击	1平台2加一3赏金塔48时间5掉矿6a核7暴击9易伤
101	61132 18131	   	242.39	橙橙1易伤1等级1时间	1加一2等级3挖尘4挖青5头目6双倍秒伤7时间8易伤9a核
102	65411 23143	   	242.39	橙橙1易伤2时间1暴击	1加一28时间3平台4赏金邻近5掉矿6a核7暴击9易伤
103	65441 23143	   	242.39	橙橙1易伤2时间1暴击	1加一28时间3平台4掉矿5赏金邻近6a核7暴击9易伤
104	68122 18131	   	242.39	橙橙1易伤1等级1时间	1加一2雷电减费3挖尘4等级5头目6双倍秒伤7时间8易伤9a核
105	52521 23143	   	242.39	橙橙1易伤2时间1暴击	1平台2赏金塔3易伤4加一5掉矿6a核7暴击89时间
106	56315 23143	   	242.39	橙橙1易伤2时间1暴击	1平台2加一3掉矿4赏金塔5易伤6a核7暴击89时间
107	56341 23143	   	242.39	橙橙1易伤2时间1暴击	1平台2加一3掉矿4易伤5赏金邻近6a核7暴击89时间
108	61672 13131	   	242.39	橙橙1易伤1等级1时间	1加一2等级3雷电减费4时间5头目6双倍秒伤7挖尘8易伤9a核
109	65424 25143	   	242.39	橙橙1易伤2时间1暴击	1加一29时间3平台4暴击5赏金塔6易伤7a核8掉矿
110	68222 13131	   	242.39	橙橙1易伤1等级1时间	1加一2雷电减费3时间4等级5头目6双倍秒伤7挖尘8易伤9a核
111	23316 21123	 * 	241.59	紫橙2易伤1等级2暴击	138随机技能29核47随机矿58暴击68易伤8序列升级a等级
112	23411 65123	   	241.59	紫橙2易伤1等级2暴击	158随机技能29核34易伤68暴击78金币生成8序列升级a等级
113	61271 24834	   	241.56	橙3易伤1等级1伤害1矿等1时间	1加一2等级37a易伤4时间5基地爆炸6矿等8核9伤害
114	68464 32411	 * 	240.58	橙3易伤2喷火对甲2时间	1加一2雷电减费379易伤4低血量敌人59喷火对甲6平台89时间9序列升级a核
115	31312 65251	   	240.49	橙橙2伤害1易伤	1基地爆炸26伤害3最后敌人4低血量敌人5机枪对壮7赏金邻近89核a易伤
116	61817 41131	   	239.37	橙橙2等级1易伤	1加一23等级3序列升级4头目567最后敌人8易伤9a核
117	61148 23131	   	239.27	橙橙2等级1易伤	1加一27等级37挖尘4赏金塔5头目67敌人爆炸7序列升级8易伤9a核
118	61811 71131	   	239.27	橙橙2等级1易伤	1加一23等级3序列升级4头目5赏金邻近6最后敌人7低血量敌人8易伤9a核
119	61811 21131	   	239.17	橙橙2等级1易伤	1加一23等级3序列升级4头目5赏金邻近6挖青7低血量敌人8易伤9a核
120	61811 73131	   	239.17	橙橙2等级1易伤	1加一23等级3序列升级4头目5赏金邻近6最后敌人7挖尘8易伤9a核
121	61815 21131	   	239.17	橙橙2等级1易伤	1加一23等级3序列升级4头目5赏金塔6挖青7低血量敌人8易伤9a核
122	61862 24131	   	239.17	橙橙2等级1易伤	1加一23等级3序列升级4赏金塔5双倍秒伤6易伤78雷电9a核
123	61811 23131	   	239.07	橙橙2等级1易伤	1加一23等级3序列升级4头目5赏金邻近6挖青7挖尘8易伤9a核
124	61815 23131	   	239.07	橙橙2等级1易伤	1加一23等级3序列升级4头目5赏金塔6挖青7挖尘8易伤9a核
