0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63331 64333	10	 * 	300.45	橙4易伤3时间2伤害1攻速	135时间236a易伤36序列升级46伤害7敌人爆炸8核9攻速
81	63335 21213	6	   	277.71	橙3易伤3时间2伤害1攻速	13a时间237易伤3序列升级48伤害5攻速6敌人爆炸9核
82	63335 23213	5	   	277.71	橙3易伤3时间2伤害1攻速	13a时间236易伤3序列升级48伤害5攻速7基地爆炸9核
83	63335 25113	8	   	277.71	橙3易伤3时间2伤害1攻速	13a时间237易伤3序列升级48伤害5攻速6敌人爆炸9核
84	63335 25213	7	   	277.71	橙3易伤3时间2伤害1攻速	13a时间237易伤3序列升级48伤害5攻速6敌人爆炸9核
85	63335 61213	5	   	277.71	橙3易伤3时间2伤害1攻速	13a时间237易伤3序列升级48伤害5攻速6基地爆炸9核
86	63332 65121	10	   	277.71	橙3易伤3时间2伤害1攻速	139时间23a易伤3序列升级48伤害5立即金币6攻速7核
87	63335 31213	5	   	277.61	橙3易伤3时间2伤害1攻速	13a时间237易伤3序列升级48伤害5攻速6挖尘9核
88	63351 15331	4	   	276.68	橙4易伤2时间1等级1暴击	13时间2369易伤3序列升级4立即金币5等级7暴击8雷电a核
89	63352 15331	5	   	276.68	橙4易伤2时间1等级1暴击	13时间2369易伤3序列升级4立即金币5等级7暴击8雷电a核
90	63352 25331	6	   	276.68	橙4易伤2时间1等级1暴击	13时间2369易伤3序列升级4立即金币5等级7暴击8雷电a核
91	63331 61411	7	   	276.37	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7矿等8全技能9挖尘a核
92	53331 23436	5	   	276.22	橙4易伤2伤害2时间	136最后敌人239a易伤36序列升级47伤害56时间8核
93	63325 21523	5	   	275.94	橙4易伤2时间2攻速1等级	13时间2367易伤3序列升级4金币生成58攻速9核a等级
94	63315 21523	5	   	275.84	橙4易伤2时间2攻速1等级	13时间2367易伤3序列升级4掉矿58攻速9核a等级
95	63315 61323	6	   	275.84	橙4易伤2时间2攻速1等级	13时间2378易伤3序列升级4掉矿56攻速9核a等级
96	63315 61323	7	   	275.84	橙4易伤2时间2攻速1等级	13时间2378易伤3序列升级4掉矿56攻速9核a等级
97	53332 14322	5	   	275.19	橙4易伤2伤害1时间1暴击	13最后敌人2367易伤3序列升级45伤害8时间9暴击a核
98	53332 24322	6	   	275.19	橙4易伤2伤害1时间1暴击	13最后敌人2367易伤3序列升级45伤害8时间9暴击a核
99	63332 14421	6	   	275.12	橙3易伤3时间2伤害	137时间237易伤37序列升级47伤害5立即金币6挖青8核9雷电a敌人爆炸
100	63331 61421	6	   	275.12	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7最后敌人8核9雷电a敌人爆炸
101	63331 61611	8	   	275.12	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7矿等8核9雷电a低血量敌人
102	63331 62421	7	   	275.12	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7基地爆炸8核9雷电a敌人爆炸
103	63331 64321	8	   	275.12	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7a敌人爆炸8核9雷电
104	63232 61522	5	   	275.09	橙4易伤2伤害1时间1暴击	1时间2678易伤3低血量敌人45伤害9暴击a核
105	63336 62311	9	   	275.03	橙3易伤3时间1伤害1等级	137时间239易伤3序列升级4伤害5等级6全技能8低血量敌人a核
106	63331 33415	7	   	275.02	橙3易伤3时间2伤害	135时间237易伤3序列升级49伤害6基地爆炸8核a雷电
107	63331 33435	6	   	275.02	橙3易伤3时间2伤害	135时间239易伤3序列升级47伤害6基地爆炸8核a雷电
108	63332 14422	6	   	275.02	橙3易伤3时间2伤害	137时间237易伤37序列升级47伤害5立即金币6挖青8核9雷电a赏金塔
109	63332 14423	6	   	275.02	橙3易伤3时间2伤害	137时间237易伤37序列升级47伤害5立即金币6挖青8核9雷电a挖尘
110	63331 33426	6	   	275.02	橙3易伤3时间2伤害	135时间23a易伤3序列升级47伤害6基地爆炸8核9雷电
111	63331 63421	7	   	275.02	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7挖尘8核9雷电a敌人爆炸
112	63331 61422	6	   	275.02	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7最后敌人8核9雷电a赏金塔
113	63331 61423	6	   	275.02	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7最后敌人8核9雷电a挖尘
114	63331 61612	8	   	275.02	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7矿等8核9雷电a挖青
115	63331 61612	9	   	275.02	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7矿等8核9掉矿a雷电
116	63331 62422	7	   	275.02	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7基地爆炸8核9雷电a赏金塔
117	63331 62423	7	   	275.02	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7基地爆炸8核9雷电a挖尘
118	63331 13415	7	   	274.92	橙3易伤3时间2伤害	135时间237易伤3序列升级49伤害6挖尘8核a雷电
119	63331 13426	6	   	274.92	橙3易伤3时间2伤害	135时间23a易伤3序列升级47伤害6挖尘8核9雷电
120	63331 13435	6	   	274.92	橙3易伤3时间2伤害	135时间239易伤3序列升级47伤害6挖尘8核a雷电
121	63331 63422	7	   	274.92	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7挖尘8核9雷电a赏金塔
122	63331 63423	7	   	274.92	橙3易伤3时间2伤害	135时间236易伤36序列升级46伤害7a挖尘8核9雷电
123	63333 23426	4	   	274.92	橙3易伤3时间2伤害	136时间23a易伤36序列升级47伤害56挖尘8核9雷电
124	63333 23435	4	   	274.92	橙3易伤3时间2伤害	136时间239易伤36序列升级47伤害56挖尘8核a雷电
125	63331 61613	8	   	274.87	橙3易伤3时间2伤害1卖塔	135时间236易伤36序列升级46伤害7矿等8核9雷电a卖塔
126	63331 14523	4	   	274.79	橙4易伤2时间1伤害1等级	13时间2367易伤3序列升级4伤害5双倍矿8策反9核a等级
127	63332 14523	5	   	274.79	橙4易伤2时间1伤害1等级	13时间2367易伤3序列升级4伤害5立即金币8策反9核a等级
128	63333 51323	8	   	274.79	橙4易伤2时间1伤害1等级	13时间2367易伤3序列升级4伤害58金币生成9核a等级
129	63335 21211	6	   	274.70	橙3易伤2伤害2时间2攻速	13时间237易伤3序列升级48伤害5a攻速6敌人爆炸9核
130	63335 23211	5	   	274.70	橙3易伤2伤害2时间2攻速	13时间236易伤3序列升级48伤害5a攻速7基地爆炸9核
131	63335 25111	8	   	274.70	橙3易伤2伤害2时间2攻速	13时间237易伤3序列升级48伤害5a攻速6敌人爆炸9核
132	63335 25211	7	   	274.70	橙3易伤2伤害2时间2攻速	13时间237易伤3序列升级48伤害5a攻速6敌人爆炸9核
133	63335 35111	8	   	274.70	橙3易伤2伤害2时间2攻速	13时间237易伤3序列升级48伤害5a攻速6低血量敌人9核
134	63335 61211	5	   	274.70	橙3易伤2伤害2时间2攻速	13时间237易伤3序列升级48伤害5a攻速6基地爆炸9核
135	61136 21325	5	   	274.69	橙4易伤2时间1伤害1等级	18时间2立即金币367a易伤4伤害5等级9核
136	63331 14223	4	   	274.69	橙4易伤2时间1伤害1等级	13时间2367易伤3序列升级4伤害5双倍矿8掉矿9核a等级
137	63332 14223	5	   	274.69	橙4易伤2时间1伤害1等级	13时间2367易伤3序列升级4伤害5立即金币8掉矿9核a等级
138	63332 51323	7	   	274.69	橙4易伤2时间1伤害1等级	13时间2378易伤3序列升级4伤害5立即金币6掉矿9核a等级
139	63332 51323	6	   	274.69	橙4易伤2时间1伤害1等级	13时间2378易伤3序列升级4伤害5立即金币6掉矿9核a等级
140	63336 21412	4	   	274.69	橙4易伤2时间1伤害1等级	13时间2359易伤3序列升级4伤害6赏金邻近7立即金币8核a等级
141	63335 31211	5	   	274.60	橙3易伤2伤害2时间2攻速	13时间237易伤3序列升级48伤害5a攻速6挖尘9核
142	13335 62341	7	   	274.35	橙3易伤2伤害2时间1攻速	139敌人爆炸239易伤39序列升级48伤害5攻速6全技能79时间a核
143	63361 13522	3	   	274.26	橙5易伤2时间1等级	13时间23468易伤3序列升级5等级7敌人爆炸9核a额外掉落
144	63361 13523	3	   	274.26	橙5易伤2时间1等级	13时间23468易伤3序列升级5等级7敌人爆炸9核a基地爆炸
145	63361 14222	3	   	274.26	橙5易伤2时间1等级	13时间23467易伤3序列升级5等级8敌人爆炸9核a额外掉落
146	63361 14223	3	   	274.26	橙5易伤2时间1等级	13时间23467易伤3序列升级5等级8敌人爆炸9核a基地爆炸
147	63361 13521	3	   	274.16	橙5易伤2时间1等级	13时间23468易伤3序列升级5等级7敌人爆炸9核a掉矿
148	63361 14221	3	   	274.16	橙5易伤2时间1等级	13时间23467易伤3序列升级5等级8敌人爆炸9核a掉矿
149	63333 52623	9	   	274.10	橙3易伤2时间1伤害1等级1暴击	13时间236易伤3序列升级4伤害5金币生成7雷电8核9等级a暴击
150	63333 52633	8	   	274.10	橙3易伤2时间1伤害1等级1暴击	13时间236易伤3序列升级4伤害5金币生成7雷电8核9等级a暴击
151	63333 52621	9	   	273.68	橙3易伤3时间1伤害1等级	13a时间236易伤3序列升级4伤害5金币生成7雷电8核9等级
152	63333 52631	8	   	273.68	橙3易伤3时间1伤害1等级	13a时间236易伤3序列升级4伤害5金币生成7雷电8核9等级
153	63312 33641	6	 * 	272.91	橙4易伤3时间2攻速	139时间2379易伤39序列升级4掉矿5最后敌人6双倍物品89攻速a核
154	13332 31364	7	   	272.82	橙3易伤3伤害1暴击1攻速	137敌人爆炸237易伤37序列升级457伤害6全技能8暴击9攻速a核
155	63335 21215	6	   	272.79	橙3易伤2伤害2时间1攻速	13时间237易伤3序列升级48伤害5攻速6敌人爆炸9核a雷电
156	63335 23215	5	   	272.79	橙3易伤2伤害2时间1攻速	13时间236易伤3序列升级48伤害5攻速7基地爆炸9核a雷电
157	63335 31215	5	   	272.69	橙3易伤2伤害2时间1攻速	13时间237易伤3序列升级48伤害5攻速6挖尘9核a雷电
158	13332 61523	8	   	272.54	橙4易伤2伤害1等级1攻速	13敌人爆炸2378易伤3序列升级45伤害6攻速9核a等级
159	53331 51522	6	   	272.19	橙4易伤2时间1伤害1暴击	13最后敌人2378易伤3序列升级4伤害56时间9暴击a核
160	61336 21522	4	   	272.19	橙4易伤2时间1伤害1暴击	16时间2立即金币3最后敌人4伤害5678易伤6序列升级9暴击a核
161	63321 21132	3	   	272.19	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级45基地爆炸8暴击9伤害a核
162	63333 21112	5	   	272.19	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5金币生成8暴击9基地爆炸a核
163	63333 21122	5	   	272.19	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5金币生成8暴击9低血量敌人a核
164	63333 26612	5	   	272.19	橙4易伤2时间1伤害1暴击	13时间2368易伤3序列升级4伤害5金币生成7暴击9基地爆炸a核
165	63333 26622	5	   	272.19	橙4易伤2时间1伤害1暴击	13时间2368易伤3序列升级4伤害5金币生成7暴击9低血量敌人a核
166	63333 51112	7	   	272.19	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5金币生成8暴击9基地爆炸a核
167	63333 51112	6	   	272.19	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5金币生成8暴击9基地爆炸a核
168	63333 51122	7	   	272.19	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5金币生成8暴击9低血量敌人a核
169	63333 51122	6	   	272.19	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5金币生成8暴击9低血量敌人a核
170	63333 51262	9	   	272.19	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5金币生成8基地爆炸9暴击a核
171	63335 41322	4	   	272.19	橙4易伤2时间1伤害1暴击	13时间2378易伤3序列升级4伤害5基地爆炸6立即金币9暴击a核
172	63336 15112	4	   	272.19	橙4易伤2时间1伤害1暴击	13时间2356易伤3序列升级4伤害7暴击8金币生成9基地爆炸a核
173	63336 15122	4	   	272.19	橙4易伤2时间1伤害1暴击	13时间2356易伤3序列升级4伤害7暴击8金币生成9低血量敌人a核
174	63336 16112	4	   	272.19	橙4易伤2时间1伤害1暴击	13时间2356易伤3序列升级4伤害7金币生成8暴击9基地爆炸a核
175	63336 16122	4	   	272.19	橙4易伤2时间1伤害1暴击	13时间2356易伤3序列升级4伤害7金币生成8暴击9低血量敌人a核
176	63361 21132	5	   	272.19	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级45低血量敌人8暴击9伤害a核
177	63363 21132	4	   	272.19	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4低血量敌人5双倍矿8暴击9伤害a核
178	63364 31132	7	   	272.19	橙4易伤2时间1伤害1暴击	13时间2357易伤3序列升级46低血量敌人8暴击9伤害a核
179	63364 31132	6	   	272.19	橙4易伤2时间1伤害1暴击	13时间2357易伤3序列升级46低血量敌人8暴击9伤害a核
180	63365 21132	4	   	272.19	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级45低血量敌人8暴击9伤害a核
181	33522 21132	2	   	272.09	橙4易伤2时间1伤害1暴击	1低血量敌人2467易伤35时间8暴击9伤害a核
182	33566 21132	1	   	272.09	橙4易伤2时间1伤害1暴击	1低血量敌人23时间4567易伤8暴击9伤害a核
183	63214 21132	5	   	272.09	橙4易伤2时间1伤害1暴击	14时间2567易伤3低血量敌人8暴击9伤害a核
184	63216 21132	4	   	272.09	橙4易伤2时间1伤害1暴击	14时间2567易伤3低血量敌人8暴击9伤害a核
185	63222 21132	3	   	272.09	橙4易伤2时间1伤害1暴击	15时间2467易伤3低血量敌人8暴击9伤害a核
186	63331 14422	4	   	272.09	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5双倍矿8挖尘9暴击a核
187	63331 15412	4	   	272.09	橙4易伤2时间1伤害1暴击	13时间236a易伤3序列升级4伤害5双倍矿7暴击8赏金邻近9核
188	63332 11522	6	   	272.09	橙4易伤2时间1伤害1暴击	13时间2378易伤3序列升级4伤害5立即金币6挖青9暴击a核
189	63332 14422	5	   	272.09	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5立即金币8挖尘9暴击a核
190	63332 15412	5	   	272.09	橙4易伤2时间1伤害1暴击	13时间236a易伤3序列升级4伤害5立即金币7暴击8赏金邻近9核
191	63332 41522	6	   	272.09	橙4易伤2时间1伤害1暴击	13时间2378易伤3序列升级4伤害5立即金币6挖尘9暴击a核
192	63333 21162	5	   	272.09	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5金币生成8暴击9挖尘a核
193	63333 21222	5	   	272.09	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5金币生成8掉矿9暴击a核
194	63333 41522	4	   	272.09	橙4易伤2时间1伤害1暴击	13时间2378易伤3序列升级4伤害5挖尘6立即金币9暴击a核
195	63333 51162	7	   	272.09	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5金币生成8暴击9挖尘a核
196	63333 51162	6	   	272.09	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5金币生成8暴击9挖尘a核
197	63333 51222	7	   	272.09	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5金币生成8掉矿9暴击a核
198	63333 51222	6	   	272.09	橙4易伤2时间1伤害1暴击	13时间2367易伤3序列升级4伤害5金币生成8掉矿9暴击a核
199	63336 16222	4	   	272.09	橙4易伤2时间1伤害1暴击	13时间2356易伤3序列升级4伤害7金币生成8掉矿9暴击a核
200	63336 21411	4	   	272.09	橙4易伤2时间1伤害1暴击	13时间2359易伤3序列升级4伤害6赏金邻近7立即金币8核a暴击
201	13331 25432	5	   	271.86	橙4易伤3时间1伤害	136敌人爆炸2379易伤36序列升级4伤害56a时间8核
202	63331 14342	4	   	271.76	橙4易伤3时间1伤害	138时间2367易伤3序列升级4伤害5双倍矿9金币生成a核
203	63331 16332	4	   	271.76	橙4易伤3时间1伤害	138时间2369易伤3序列升级4伤害5双倍矿7金币生成a核
204	63331 21436	7	   	271.76	橙4易伤3时间1伤害	135时间239a易伤3序列升级4伤害6金币生成7矿等8核
205	63331 31436	7	   	271.76	橙4易伤3时间1伤害	135时间239a易伤3序列升级4伤害6基地爆炸7立即金币8核
206	63331 33432	7	   	271.76	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6基地爆炸8核a额外掉落
207	63331 33433	7	   	271.76	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6a基地爆炸8核
208	63331 33434	7	   	271.76	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6基地爆炸8核a立即金币
209	63331 35432	6	   	271.76	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6基地爆炸8核a额外掉落
210	63331 35433	6	   	271.76	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6a基地爆炸8核
211	63331 43432	7	   	271.76	橙4易伤3时间1伤害	135时间2379易伤3序列升级4伤害6最后敌人8核a敌人爆炸
212	63332 14342	5	   	271.76	橙4易伤3时间1伤害	138时间2367易伤3序列升级4伤害5立即金币9金币生成a核
213	63332 16332	5	   	271.76	橙4易伤3时间1伤害	138时间2369易伤3序列升级4伤害5立即金币7金币生成a核
214	63333 41332	6	   	271.76	橙4易伤3时间1伤害	138时间2379易伤3序列升级4伤害56金币生成a核
215	63333 41332	7	   	271.76	橙4易伤3时间1伤害	138时间2379易伤3序列升级4伤害56金币生成a核
216	63333 51326	8	   	271.76	橙4易伤3时间1伤害	13a时间2367易伤3序列升级4伤害58金币生成9核
