0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21563 13532	8	 * 	291.69	橙5易伤3伤害1攻速	1随机矿248伤害34589易伤48序列升级6核78基地爆炸a攻速
44	21563 14222	8	   	268.20	橙3易伤3伤害1时间1暴击	1随机矿249伤害345易伤4序列升级6核7时间8敌人爆炸a暴击
45	21563 14322	8	   	268.20	橙3易伤3伤害1时间1暴击	1随机矿249伤害345易伤4序列升级6核7时间8基地爆炸a暴击
46	21563 31361	8	   	268.10	橙3易伤3伤害1等级1暴击	1随机矿24a伤害345易伤4序列升级6等级7挖青8暴击9核
47	23344 11133	10	   	267.27	橙3易伤2伤害2暴击1等级	1随机矿2额外掉落357易伤47伤害67暴击7序列升级8等级9雷电a核
48	11125 52521	1	 * 	266.96	橙4易伤3时间2雷电	178策反267时间3最后敌人48雷电5678易伤678序列升级9金币生成a核
49	22563 13533	8	   	266.42	橙5易伤3攻速	1随机矿248攻速34589易伤48序列升级6核78基地爆炸a雷电
50	22532 22624	3	 * 	266.40	橙4易伤2伤害2攻速	1随机矿24攻速348a易伤4序列升级57伤害6加一9核
51	22532 22681	3	   	266.40	橙4易伤2伤害2攻速	1随机矿24攻速3489易伤4序列升级57伤害6加一a核
52	22532 23623	3	   	266.40	橙4易伤2伤害2攻速	1随机矿24攻速3478易伤4序列升级5a伤害6加一9核
53	22562 22624	4	   	266.40	橙4易伤2伤害2攻速	1随机矿24攻速348a易伤4序列升级57伤害6加一9核
54	22562 23623	4	   	266.40	橙4易伤2伤害2攻速	1随机矿24攻速3478易伤4序列升级5a伤害6加一9核
55	21563 13322	7	   	266.15	橙3易伤2伤害1等级1时间1攻速	1随机矿24伤害345易伤4序列升级6核7基地爆炸8等级9攻速a时间
56	21563 11253	7	   	265.56	橙3易伤3伤害1时间1攻速	1随机矿24a伤害345易伤4序列升级6核7双倍矿8时间9攻速
57	21563 13323	7	   	265.56	橙3易伤3伤害1等级1攻速	1随机矿24a伤害345易伤4序列升级6核7基地爆炸8等级9攻速
58	21532 33624	3	   	265.46	橙3易伤3伤害1等级1攻速	1随机矿245伤害346易伤46序列升级7等级8攻速9加一a核
59	21562 33624	4	   	265.46	橙3易伤3伤害1等级1攻速	1随机矿245伤害346易伤46序列升级7等级8攻速9加一a核
60	23344 11231	10	   	265.35	橙4易伤2伤害2暴击	1随机矿2额外掉落3579易伤47伤害67暴击7序列升级8低血量敌人a核
61	23344 16321	10	   	265.35	橙4易伤2伤害2暴击	1随机矿2额外掉落3578易伤48伤害68暴击8序列升级9低血量敌人a核
62	23324 16314	9	   	265.35	橙4易伤2伤害2暴击	1随机矿2额外掉落378a易伤4立即金币58伤害68暴击8序列升级9核
63	23344 16311	10	   	265.35	橙4易伤2伤害2暴击	1a随机矿2额外掉落3578易伤48伤害68暴击8序列升级9核
64	23344 16313	9	   	265.35	橙4易伤2伤害2暴击	1随机矿2额外掉落3578易伤48伤害68暴击8序列升级9核a敌人爆炸
65	23344 16313	10	   	265.35	橙4易伤2伤害2暴击	1随机矿2额外掉落3578易伤48伤害68暴击8序列升级9核a基地爆炸
66	21534 31412	10	 * 	265.25	橙4易伤2伤害2等级1核弹	1随机矿28伤害358a易伤4核弹6平台78等级8序列升级9核
67	23344 16311	9	   	265.25	橙4易伤2伤害2暴击	1随机矿2额外掉落3578易伤48伤害68暴击8序列升级9核a掉矿
68	23344 16312	9	   	265.25	橙4易伤2伤害2暴击	1随机矿2额外掉落3578易伤48伤害68暴击8序列升级9核a赏金邻近
69	22563 11513	6	   	265.16	橙4易伤2攻速1伤害1时间	1随机矿24攻速3458易伤4序列升级6核7金币生成9时间a伤害
70	22563 12513	7	   	265.16	橙4易伤2攻速1伤害1时间	1随机矿24攻速3458易伤4序列升级6核7矿等9时间a伤害
71	22563 33241	8	   	265.16	橙4易伤2攻速1伤害1等级	1随机矿24攻速3458易伤4序列升级6等级7平台9核a伤害
72	22563 33251	9	   	265.16	橙4易伤2攻速1伤害1等级	1随机矿24攻速3458易伤4序列升级6等级7平台9核a伤害
73	22532 23625	3	   	265.06	橙4易伤2攻速1伤害1等级	1随机矿24攻速3478易伤4序列升级5伤害6加一9核a等级
74	21563 23243	8	   	264.83	橙5易伤2伤害	1随机矿24伤害3458a易伤4序列升级6矿等7平台9核
75	21563 23253	9	   	264.83	橙5易伤2伤害	1随机矿24伤害3458a易伤4序列升级6矿等7平台9核
76	26413 84434	2	   	264.63	橙5易伤2伤害	1随机矿24589易伤3加一68伤害78挖尘8序列升级a核
77	21563 12325	9	 * 	264.51	橙3易伤3伤害3暴击	1随机矿249伤害345易伤49序列升级6核79矿等89a暴击
78	21563 14232	7	   	264.49	橙3易伤2伤害2时间1攻速	1随机矿24伤害345易伤4序列升级6核7a时间8攻速9金币生成
79	21563 14133	7	   	263.04	橙3易伤2伤害2时间1全技能	1随机矿24伤害345易伤4序列升级6核79时间8赏金邻近a全技能
80	21563 13353	8	   	262.96	橙3易伤3伤害1暴击1攻速	1随机矿24a伤害345易伤4序列升级6核7基地爆炸8暴击9攻速
81	22563 14233	7	   	262.93	橙4易伤3攻速1时间	1随机矿248攻速3459易伤4序列升级6核7时间a雷电
82	21532 33111	3	   	262.86	橙3易伤3伤害1等级	1随机矿245伤害346易伤46序列升级7等级8雷电9基地爆炸a核
83	21532 33151	3	   	262.86	橙3易伤3伤害1等级	1随机矿245伤害346易伤46序列升级7等级8雷电9最后敌人a核
84	21562 33111	4	   	262.86	橙3易伤3伤害1等级	1随机矿245伤害346易伤46序列升级7等级8雷电9基地爆炸a核
85	21562 33151	4	   	262.86	橙3易伤3伤害1等级	1随机矿245伤害346易伤46序列升级7等级8雷电9最后敌人a核
86	21563 11623	7	   	262.86	橙3易伤3伤害1时间	1随机矿24a伤害345易伤4序列升级6核7双倍矿8雷电9时间
87	21532 33131	3	   	262.76	橙3易伤3伤害1等级	1随机矿245伤害346易伤46序列升级7等级8雷电9挖尘a核
88	21562 33131	4	   	262.76	橙3易伤3伤害1等级	1随机矿245伤害346易伤46序列升级7等级8雷电9挖尘a核
89	21563 15111	7	   	262.21	橙3易伤2伤害1等级1暴击1全技能	1随机矿24伤害345易伤4序列升级6核7暴击8立即金币9等级a全技能
90	21563 12135	10	   	261.79	橙3易伤2伤害2时间	1随机矿24伤害345易伤4序列升级6核7矿等8a时间9雷电
