0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51642 22131	10	 * 	305.20	橙4易伤3伤害3时间	178伤害2挖尘3平台4789易伤5立即金币678时间78序列升级a核
29	51117 52413	1	   	282.46	橙3易伤3伤害3时间	178伤害2加一378时间478易伤5赏金塔6核78序列升级9立即金币a最后敌人
30	51117 52421	1	   	282.46	橙3易伤3伤害3时间	178伤害2加一378时间478易伤5赏金塔6核78序列升级9敌人爆炸a立即金币
31	51117 52422	1	   	282.46	橙3易伤3伤害3时间	178伤害2加一378时间478易伤5赏金塔6核78序列升级9a敌人爆炸
32	21117 52464	1	   	282.43	橙4易伤3时间3攻速1核弹	178攻速2加一378时间4789易伤5赏金塔6核78序列升级a核弹
33	51117 52414	1	   	282.36	橙3易伤3伤害3时间1核弹	178伤害2加一378时间478易伤5赏金塔6核78序列升级9立即金币a核弹
34	51117 52424	1	   	282.36	橙3易伤3伤害3时间1核弹	178伤害2加一378时间478易伤5赏金塔6核78序列升级9敌人爆炸a核弹
35	51641 21121	10	   	282.36	橙3易伤3伤害3时间	158伤害2挖尘3平台478易伤689时间8序列升级a核
36	51641 22221	10	   	282.36	橙3易伤3伤害3时间	157伤害2挖尘3平台478易伤679时间7序列升级a核
37	51117 32414	1	   	282.26	橙3易伤3伤害3时间	18a伤害2加一368时间48a易伤5赏金塔7核8a序列升级9a掉矿
38	21114 12672	1	   	282.14	橙5易伤3时间1攻速	1攻速2加一356时间45689易伤56序列升级7赏金邻近a核
39	51114 14827	1	   	281.77	橙3易伤3时间2伤害2雷电	1a伤害2加一356时间456易伤56a序列升级7a雷电8核9a策反
40	51114 14837	1	   	281.77	橙3易伤3时间2伤害2雷电	1a伤害2加一356时间456易伤56a序列升级7a雷电8核9a最后敌人
41	51117 32431	1	   	280.26	橙3易伤3时间2伤害1暴击	18伤害2加一368时间48a易伤5赏金塔7核8序列升级9暴击
42	51114 14853	1	   	280.07	橙4易伤3时间1伤害	1伤害2加一356时间4569易伤56序列升级7雷电8核a平台
43	51114 14854	1	   	280.07	橙4易伤3时间1伤害	1伤害2加一356时间4569易伤56序列升级7雷电8核a最后敌人
44	51114 44852	1	   	279.97	橙4易伤3时间1伤害	1伤害2加一356时间459a易伤5序列升级7雷电8核
45	21117 52411	1	   	279.96	橙3易伤3时间3攻速1伤害	178攻速2加一378时间478易伤5赏金塔6核78序列升级9立即金币a伤害
46	21117 52423	1	   	279.96	橙3易伤3时间3攻速1伤害	178攻速2加一378时间478易伤5赏金塔6核78序列升级9敌人爆炸a伤害
47	51114 13524	1	   	279.02	橙3易伤3时间1伤害1等级1暴击	1伤害2加一356时间456易伤56序列升级7等级8暴击9敌人爆炸a核
48	51114 13564	1	   	279.02	橙3易伤3时间1伤害1等级1暴击	1伤害2加一356时间456易伤56序列升级7等级8暴击9最后敌人a核
49	21114 13741	1	   	278.95	橙4易伤3时间1等级1攻速	1攻速2加一356时间4568易伤56序列升级7等级9基地爆炸a核
50	21114 13771	1	   	278.95	橙4易伤3时间1等级1攻速	1攻速2加一356时间4568易伤56序列升级7等级9敌人爆炸a核
51	21114 13781	1	   	278.95	橙4易伤3时间1等级1攻速	1攻速2加一356时间4568易伤56序列升级7等级9低血量敌人a核
52	21641 32161	9	   	277.54	橙3易伤3伤害3攻速	178攻速2挖尘3平台478易伤578伤害6随机矿78序列升级9雷电a核
53	21641 32143	9	   	277.54	橙3易伤3伤害3攻速	178攻速2挖尘3平台478易伤578伤害6随机矿78序列升级9核a雷电
54	51117 32472	1	   	276.27	橙3易伤3时间2伤害	18伤害2加一368时间48a易伤5赏金塔7核8序列升级9全技能
55	53642 21112	10	   	276.22	橙4易伤2伤害2时间	18伤害2低血量敌人3平台4789易伤5立即金币68时间8序列升级a核
56	21117 52427	1	   	276.14	橙3易伤3时间3攻速1等级	178攻速2加一378时间478易伤5赏金塔6核78序列升级9敌人爆炸a等级
57	53115 12432	3	   	276.12	橙4易伤2伤害2时间	16伤害2低血量敌人37时间4568易伤6序列升级9基地爆炸a核
58	51642 21112	10	   	276.12	橙4易伤2伤害2时间	18伤害2挖尘3平台4789易伤5立即金币68时间8序列升级a核
59	21117 52452	1	   	276.04	橙3易伤3时间3攻速1等级	178攻速2加一378时间478易伤5赏金塔6核78序列升级9等级a赏金邻近
60	21117 52454	1	   	276.04	橙3易伤3时间3攻速1等级1核弹	178攻速2加一378时间478易伤5赏金塔6核78序列升级9等级a核弹
