0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66126 11122	6	 * 	288.79	橙5易伤3伤害1暴击	1立即金币24569易伤345伤害456序列升级7雷电8核a暴击
18	66126 33211	5	   	269.69	橙3易伤3伤害1等级1时间	1立即金币245易伤345伤害45序列升级6核7等级8时间9挖尘a赏金塔
19	66126 33213	5	   	269.69	橙3易伤3伤害1等级1时间	1立即金币245易伤345伤害45序列升级6核7等级8时间9挖尘a挖青
20	66126 33121	5	   	267.29	橙3易伤3伤害1等级1暴击	1立即金币245易伤345伤害45序列升级6核7等级8暴击9最后敌人a敌人爆炸
21	66126 33122	5	   	267.29	橙3易伤3伤害1等级1暴击	1立即金币245易伤345伤害45序列升级6核7等级8暴击9最后敌人a金币生成
22	66126 33131	5	   	267.29	橙3易伤3伤害1等级1暴击	1立即金币245易伤345伤害45序列升级6核7等级8暴击9随机矿a矿等
23	66126 33132	5	   	267.29	橙3易伤3伤害1等级1暴击	1立即金币245易伤345伤害45序列升级6核7等级8暴击9随机矿a平台
24	66126 33133	5	   	267.29	橙3易伤3伤害1等级1暴击	1立即金币245易伤345伤害45序列升级6核7等级8暴击9随机矿a策反
25	66124 11113	4	   	267.19	橙3易伤3伤害1等级1暴击	1立即金币249易伤347伤害4序列升级5基地爆炸6等级8暴击a核
26	66124 11133	5	   	267.06	橙2易伤3伤害1等级1时间1暴击	1立即金币24易伤347伤害4序列升级5时间6等级8暴击9核a攻速
27	66126 32211	9	   	267.03	橙5易伤3伤害	1立即金币2458a易伤345伤害45a序列升级6a最后敌人7核9a低血量敌人
28	66126 32221	8	   	267.03	橙5易伤3伤害	1立即金币2458a易伤345伤害45a序列升级6a最后敌人7核9a敌人爆炸
29	66126 32311	5	   	267.03	橙5易伤3伤害	1立即金币2458a易伤345伤害45a序列升级6核7a敌人爆炸9a最后敌人
30	66126 32321	7	   	267.03	橙5易伤3伤害	1立即金币2458a易伤345伤害45a序列升级6a最后敌人7核9a敌人爆炸
31	66126 32321	5	   	267.03	橙5易伤3伤害	1立即金币2458a易伤345伤害45a序列升级6核7a敌人爆炸9a基地爆炸
32	66126 32231	10	   	266.83	橙5易伤3伤害	1立即金币24589易伤345伤害45序列升级6最后敌人7核a平台
33	66126 32231	8	   	266.83	橙5易伤3伤害	1立即金币2458a易伤345伤害45序列升级6最后敌人7核9随机矿
34	66126 32232	9	   	266.83	橙5易伤3伤害	1立即金币24589易伤345伤害45序列升级6最后敌人7核a低血量敌人
35	66126 32232	10	   	266.83	橙5易伤3伤害	1立即金币24589易伤345伤害45序列升级6最后敌人7核a低血量敌人
36	66126 32331	7	   	266.83	橙5易伤3伤害	1立即金币2458a易伤345伤害45序列升级6最后敌人7核9随机矿
37	66126 32332	5	   	266.83	橙5易伤3伤害	1立即金币24589易伤345伤害45序列升级6核7敌人爆炸a低血量敌人
38	66126 12233	10	   	266.73	橙5易伤3伤害	1立即金币24569易伤345伤害456序列升级7掉矿8金币生成a核
39	66126 32231	9	   	266.73	橙5易伤3伤害	1立即金币24589易伤345伤害45序列升级6最后敌人7核a挖尘
40	66126 32233	10	   	266.73	橙5易伤3伤害	1立即金币24589易伤345伤害45序列升级6最后敌人7核a掉矿
41	66126 32331	5	   	266.73	橙5易伤3伤害	1立即金币24589易伤345伤害45序列升级6核7敌人爆炸a挖尘
42	66126 32222	10	   	264.74	橙4易伤3伤害1时间	1立即金币2458易伤345伤害45序列升级6最后敌人7核9双倍矿a时间
43	66126 32223	8	   	264.74	橙4易伤3伤害1时间	1立即金币2458易伤345伤害45序列升级6最后敌人7核9敌人爆炸a时间
44	66126 32313	5	   	264.74	橙4易伤3伤害1时间	1立即金币2458易伤345伤害45序列升级6核7敌人爆炸9最后敌人a时间
45	66126 32323	5	   	264.74	橙4易伤3伤害1时间	1立即金币2458易伤345伤害45序列升级6核7敌人爆炸9基地爆炸a时间
46	66126 32323	7	   	264.74	橙4易伤3伤害1时间	1立即金币2458易伤345伤害45序列升级6最后敌人7核9敌人爆炸a时间
47	54121 31262	2	   	262.55	橙3易伤2伤害1等级1时间	1平台27伤害37低血量敌人4时间5雷电679易伤7序列升级8核a等级
48	35613 31353	2	 * 	262.50	橙4易伤2时间1伤害	1攻速2雷电3678易伤4a时间5伤害9核
49	51343 32423	3	 * 	262.36	紫4易伤3伤害3暴击3雷电	1平台279暴击3核48a雷电579伤害679a易伤79a序列升级
50	66126 32232	5	   	261.95	橙3易伤3伤害1等级	1立即金币245易伤345伤害45序列升级6核7敌人爆炸8攻速9金币生成a等级
51	66126 32212	5	   	261.85	橙3易伤3伤害1等级	1立即金币245易伤345伤害45序列升级6核7敌人爆炸8攻速9挖尘a等级
52	66126 32212	7	   	261.85	橙3易伤3伤害1等级	1立即金币245易伤345伤害45序列升级6最后敌人7核8攻速9挖尘a等级
53	66126 33332	5	   	261.72	橙3易伤3伤害2等级	1立即金币245易伤345伤害45序列升级6核7a等级8敌人爆炸9金币生成
54	66126 33312	5	   	261.62	橙3易伤3伤害2等级	1立即金币245易伤345伤害45序列升级6核7a等级8敌人爆炸9挖尘
55	35613 31351	2	   	261.56	橙4易伤1伤害1时间1暴击	1攻速2雷电3678易伤4时间5伤害9核a暴击
56	25212 25252	10	   	261.10	橙3易伤2伤害1等级1暴击1全技能	1敌人爆炸2等级3暴击4全技能57伤害69a易伤8核
57	53351 12222	4	 * 	260.74	橙2易伤2伤害2时间1等级	1平台29易伤3攻速49伤害5金币生成6雷电79时间8核9序列升级a等级
58	53553 12222	5	   	260.74	橙2易伤2伤害2时间1等级	1平台29易伤3金币生成49伤害5攻速6雷电79时间8核9序列升级a等级
59	53514 12111	6	 * 	260.40	橙4易伤2等级2时间	1平台249a易伤34金币生成4a序列升级5a等级6a时间7核8立即金币
60	53514 12311	6	   	260.40	橙4易伤2等级2时间	1平台249a易伤34金币生成4a序列升级5a等级6a时间7核8双倍矿
61	31261 21215	7	 * 	259.82	橙3易伤2伤害3攻速1时间	13a攻速2挖尘4a伤害5雷电6时间7核89a易伤a序列升级
