0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36111 12356	5	 * 	291.73	橙5易伤2时间1伤害1暴击	1金币生成24568易伤35时间5序列升级7伤害9暴击a核
37	36113 17242	3	   	267.95	橙4易伤3时间1等级1核弹	17金币生成2479易伤347时间47序列升级5加一6核弹8核a等级
38	53511 12323	10	   	267.47	橙5易伤2时间1全技能	18时间256掉矿34589易伤58序列升级7全技能a核
39	34154 13212	3	   	266.91	橙3易伤3时间2伤害	18a金币生成2随机矿3a伤害458时间68a易伤7赏金塔8a序列升级9核
40	36112 32365	3	   	266.81	橙3易伤3时间2伤害	18金币生成24a易伤348时间48序列升级5低血量敌人6掉矿78伤害9核
41	52524 13212	5	   	266.81	橙3易伤3时间2伤害1核弹	158时间2核弹3a伤害48a金币生成68a易伤7赏金塔8a序列升级9核
42	52524 13212	4	   	266.81	橙3易伤3时间2伤害1核弹	158时间2核弹3a伤害48a金币生成68a易伤7赏金塔8a序列升级9核
43	52532 33212	3	   	266.81	橙3易伤3时间2伤害1核弹	148时间2核弹3a伤害58a易伤68a金币生成7赏金塔8a序列升级9核
44	51122 57241	6	   	266.71	橙3易伤3时间2伤害	137时间2金币生成4加一57伤害679易伤7序列升级8核a基地爆炸
45	51122 57243	6	   	266.71	橙3易伤3时间2伤害	137时间2金币生成4加一57伤害679易伤7序列升级8核a最后敌人
46	51122 87241	5	   	266.71	橙3易伤3时间2伤害	137时间2金币生成4加一57伤害679易伤7序列升级8核a基地爆炸
47	51122 87243	5	   	266.71	橙3易伤3时间2伤害	137时间2金币生成4加一57伤害679易伤7序列升级8核a最后敌人
48	63122 32365	6	   	266.71	橙3易伤3时间2伤害	1挖青28a易伤348时间5金币生成6矿等78伤害8序列升级9核
49	36127 37244	4	   	266.71	橙3易伤3时间2伤害	17金币生成29a易伤367时间4加一57伤害7序列升级8核
50	53122 57241	6	   	266.61	橙3易伤3时间2伤害	137时间2掉矿4加一57伤害679易伤7序列升级8核a基地爆炸
51	53122 57243	6	   	266.61	橙3易伤3时间2伤害	137时间2掉矿4加一57伤害679易伤7序列升级8核a最后敌人
52	53122 87241	5	   	266.61	橙3易伤3时间2伤害	137时间2掉矿4加一57伤害679易伤7序列升级8核a基地爆炸
53	53122 87243	5	   	266.61	橙3易伤3时间2伤害	137时间2掉矿4加一57伤害679易伤7序列升级8核a最后敌人
54	51122 57221	6	   	266.61	橙3易伤3时间2伤害	137时间2金币生成4加一57伤害67a易伤7序列升级8核9赏金塔
55	51122 87221	5	   	266.61	橙3易伤3时间2伤害	137时间2金币生成4加一57伤害67a易伤7序列升级8核9赏金塔
56	63122 32365	5	   	266.61	橙3易伤3时间2伤害	1挖青28a易伤348时间5金币生成6掉矿78伤害8序列升级9核
57	63123 32365	4	   	266.61	橙3易伤3时间2伤害	1挖青28a易伤348时间5金币生成6掉矿78伤害8序列升级9核
58	53122 57221	6	   	266.51	橙3易伤3时间2伤害	137时间2掉矿4加一57伤害67a易伤7序列升级8核9赏金塔
59	53122 87221	5	   	266.51	橙3易伤3时间2伤害	137时间2掉矿4加一57伤害67a易伤7序列升级8核9赏金塔
60	52514 13212	3	   	266.51	橙3易伤3时间2伤害1核弹	158时间2核弹3a伤害48a掉矿68a易伤7赏金塔8a序列升级9核
61	51322 22434	1	   	265.55	橙4易伤3时间1暴击	189时间2暴击3789易伤489基地爆炸5赏金邻近6核89序列升级a矿等
62	51322 22435	1	   	265.55	橙4易伤3时间1暴击	189时间2暴击3789易伤489基地爆炸5赏金邻近6核89序列升级a金币生成
63	51322 22436	1	   	265.55	橙4易伤3时间1暴击	189时间2暴击3789易伤489基地爆炸5赏金邻近6核89序列升级a敌人爆炸
64	36113 17247	3	   	265.35	橙4易伤3时间1暴击1核弹	17金币生成2479易伤347时间47序列升级5加一6核弹8核a暴击
65	51322 22441	1	   	265.35	橙4易伤3时间1暴击	189时间2暴击378a易伤48基地爆炸5赏金邻近6核8序列升级
66	51322 22531	1	   	265.35	橙4易伤3时间1暴击	189时间2暴击379a易伤49基地爆炸5赏金邻近6核9序列升级
67	51322 22432	1	   	265.31	橙4易伤3时间1暴击1卖塔	189时间2暴击3789易伤489基地爆炸5赏金邻近6核89序列升级a卖塔
68	63121 13126	6	   	263.82	橙3易伤3时间2攻速1暴击	1挖青259易伤345时间59序列升级6暴击79攻速89挖尘a核
69	36311 16621	5	   	263.49	橙5易伤1伤害1时间	1金币生成24568易伤35最后敌人5序列升级7时间9核a伤害
70	13511 16621	5	   	263.29	橙5易伤1伤害1时间	1低血量敌人25掉矿34568易伤5序列升级7时间9核a伤害
71	23511 16621	5	   	263.29	橙5易伤1伤害1时间	1最后敌人25掉矿34568易伤5序列升级7时间9核a伤害
72	63211 16621	5	   	263.19	橙5易伤1伤害1时间	1挖青24568易伤35掉矿5序列升级7时间9核a伤害
73	63121 55211	8	   	262.67	橙3易伤3时间1伤害1暴击	1挖青25a易伤345时间5序列升级6额外掉落7核8暴击9伤害
74	63121 55211	7	   	262.67	橙3易伤3时间1伤害1暴击	1挖青25a易伤345时间5序列升级6额外掉落7核8暴击9伤害
