0	Index      	 *	Score 	Summary	Detail	
1	14116 14234	 * 	296.18	DCR|DCR|2VULN|1TLV|1ASPD	1DUR|28VULN|3BEXP|4ASPD|5TLV|6ERES|7aRCR|9MBVNT
16	14351 13361	 * 	280.40	DCR|DCR|1VULN|1TLV|1DMG|2DUR|1SELL	18DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|9TLV|aFEWX
17	14351 13363	 * 	280.40	DCR|DCR|1VULN|1TLV|1DMG|2DUR|1SELL	18DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|9TLV|aCGEN
18	14351 13362	 * 	280.30	DCR|DCR|1VULN|1TLV|1DMG|2DUR|1SELL	18DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|9TLV|aLEGI
19	14512 24234	 * 	278.87	DCR|DCR|2VULN|2ASPD	1DUR|28VULN|3LHND|45ASPD|6FEWX|7aRCR|9MBVNT
20	14512 32544	   	278.87	DCR|DCR|2VULN|2ASPD	1DUR|28VULN|3LHND|45ASPD|6LWND|7MBVNT|9aRCR
21	14211 14262	   	277.94	DCR|DCR|2VULN|1ASPD|1CDMG	1DUR|28VULN|3LEGI|4ASPD|5LHND|6RCVC|79RCR|aCDMG
22	14211 24262	   	277.94	DCR|DCR|2VULN|1ASPD|1CDMG	1DUR|28VULN|3LEGI|4ASPD|56LHND|79RCR|aCDMG
23	14111 24262	   	277.84	DCR|DCR|2VULN|1ASPD|1CDMG	1DUR|28VULN|36BEXP|4ASPD|5LHND|79RCR|aCDMG
24	12333 36844	   	276.73	DCR|DCR|1VULN|1TLV|1ASPD|2DUR	12DUR|3LHND|4MBVNT|5VULN|6AME|7ASPD|8TLV|9aRCR
25	12333 56844	   	276.73	DCR|DCR|1VULN|1TLV|1ASPD|2DUR	12DUR|3LHND|4MBVNT|5VULN|6RMIN|7ASPD|8TLV|9aRCR
26	12431 36844	   	276.73	DCR|DCR|1VULN|1TLV|1ASPD|2DUR	12DUR|3VULN|4MBVNT|5LHND|6AME|7ASPD|8TLV|9aRCR
27	14421 34234	 * 	276.63	DCR|DCR|2VULN|1MLV	1DUR|28VULN|3MLV|4ZMB|5LHND|6AME|7aRCR|9MBVNT
28	14421 14234	   	276.53	DCR|DCR|2VULN|1MLV	1DUR|28VULN|3MLV|4ZMB|5LHND|6ERES|7aRCR|9MBVNT
29	14423 24234	   	276.53	DCR|DCR|2VULN|1MLV	1DUR|28VULN|3MLV|4ZMB|5ERES|6FEWX|7aRCR|9MBVNT
30	14432 34234	   	276.43	DCR|DCR|2VULN|1MLV	1DUR|28VULN|3MLV|4BEXP|5NUKE|6AME|7aRCR|9MBVNT
31	14432 14234	   	276.33	DCR|DCR|2VULN|1MLV	1DUR|28VULN|3MLV|4BEXP|5NUKE|6ERES|7aRCR|9MBVNT
32	11213 14264	 * 	275.95	DCR|DCR|2VULN|3DUR|1ASPD	16aDUR|2FEWX|3LHND|4ASPD|58VULN|79RCR
33	14453 22211	   	275.67	DCR|3VULN|2MLV|1TLV	1DUR|248VULN|34MLV|4BPWR|5DUST|6FEWX|7RCR|9TLV|aRAT
34	14351 13242	 * 	273.85	DCR|DCR|1VULN|1TLV|1DMG|1SELL	1DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|8RPLT|9TLV|aLIT
35	14351 13241	 * 	273.75	DCR|DCR|1VULN|1TLV|1DMG|1SELL	1DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|8RPLT|9TLV|aMULARM
36	14351 13124	 * 	271.49	DCR|DCR|1VULN|1DMG|1ASPD|2DUR|1SELL	1aDUR|2VULN|3TBNT|4SELL|5DMG|67RCR|8RAT|9ASPD
37	11213 14261	   	270.94	DCR|DCR|2VULN|1ASPD|2DUR	16DUR|2FEWX|3LHND|4ASPD|58VULN|79RCR|aBELT
38	11213 14263	   	270.94	DCR|DCR|2VULN|1ASPD|2DUR	16DUR|2FEWX|3LHND|4ASPD|58VULN|79RCR|aRPLT
39	11213 14266	   	270.94	DCR|DCR|2VULN|1ASPD|2DUR	16DUR|2FEWX|3aLHND|4ASPD|58VULN|79RCR
40	11235 14261	   	270.94	DCR|DCR|2VULN|1ASPD|2DUR	16DUR|2FEWX|3LHND|48VULN|5ASPD|79RCR|aBELT
41	11235 14263	   	270.94	DCR|DCR|2VULN|1ASPD|2DUR	16DUR|2FEWX|3LHND|48VULN|5ASPD|79RCR|aRPLT
42	14111 14261	   	270.84	DCR|DCR|2VULN|1ASPD|2DUR	16DUR|28VULN|3BEXP|4ASPD|5LHND|79RCR|aBELT
43	14111 14263	   	270.84	DCR|DCR|2VULN|1ASPD|2DUR	16DUR|28VULN|3BEXP|4ASPD|5LHND|79RCR|aRPLT
44	11213 14234	   	270.84	DCR|DCR|2VULN|1ASPD|2DUR	16DUR|2FEWX|3LHND|4ASPD|58VULN|7aRCR|9MBVNT
45	11213 14265	   	270.84	DCR|DCR|2VULN|1ASPD|2DUR	16DUR|2FEWX|3LHND|4ASPD|58VULN|79RCR|aERES
46	11235 14234	   	270.84	DCR|DCR|2VULN|1ASPD|2DUR	16DUR|2FEWX|3LHND|48VULN|5ASPD|7aRCR|9MBVNT
47	11635 14234	   	270.74	DCR|DCR|2VULN|1ASPD|2DUR	16DUR|2FEWX|3LEGI|48VULN|5ASPD|7aRCR|9MBVNT
48	14111 14234	   	270.74	DCR|DCR|2VULN|1ASPD|2DUR	16DUR|28VULN|3BEXP|4ASPD|5LHND|7aRCR|9MBVNT
49	14216 14234	   	270.64	DCR|DCR|2VULN|1ASPD|2DUR	16DUR|28VULN|3LEGI|4ASPD|5BEXP|7aRCR|9MBVNT
50	14351 13232	 * 	270.34	DCR|DCR|1VULN|1MLV|1DMG|1SELL	1DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|8RPLT|9MLV|aLIT
51	14351 13234	 * 	270.34	DCR|DCR|1VULN|1MLV|1DMG|1SELL	1DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|8RPLT|9MLV|aBBNT
52	14351 13235	 * 	270.34	DCR|DCR|1VULN|1MLV|1DMG|1SELL	1DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|8RPLT|9MLV|aCGEN
53	14351 13236	 * 	270.34	DCR|DCR|1VULN|1MLV|1DMG|1SELL	1DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|8RPLT|9MLV|aBELT
54	14351 13231	 * 	270.24	DCR|DCR|1VULN|1MLV|1DMG|1SELL	1DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|8RPLT|9MLV|aMULARM
55	14351 13632	 * 	270.24	DCR|DCR|1VULN|1MLV|1DMG|1SELL	1DUR|2VULN|3TBNT|4SELL|5DMG|67RCR|8BBNT|9ERES|aMLV
56	61613 32251	   	270.14	DCR|3MLV|2VULN|1TLV	1BBNT|236MLV|3BPWR|4RMIN|5DUR|7RCR|89VULN|aTLV
57	14116 14334	   	269.88	DCR|DCR|1VULN|1TLV|1ASPD	1DUR|2VULN|3BEXP|4ASPD|5TLV|6ERES|7aRCR|8AEFBLL|9MBVNT
58	34211 24262	   	269.53	DCR|DCR|2VULN|1ASPD|1CDMG	1FEWX|28VULN|3LEGI|4ASPD|5LHND|6AEBURN|79RCR|aCDMG
59	61611 32151	   	268.77	DCR|3MLV|1VULN|1TLV|1AAC|1ASPD	1BBNT|236MLV|3BPWR|4RMIN|5VULN|7RCR|8ASPD|9AAC|aTLV
60	14453 22212	   	268.63	DCR|3VULN|2MLV|1TLV	1DUR|248VULN|34MLV|4BPWR|5DUST|6FEWX|7RCR|9TLV|aERES
61	14453 22234	   	268.63	DCR|3VULN|2MLV|1TLV	1DUR|248VULN|34MLV|4BPWR|5DUST|6FEWX|7RCR|9MBVNT|aTLV
62	14463 22213	   	268.63	DCR|3VULN|2MLV|1TLV	1DUR|248VULN|3aMLV|5DUST|6FEWX|7RCR|9TLV
63	34421 34234	   	268.32	DCR|DCR|2VULN|1MLV	1FEWX|28VULN|3MLV|4ZMB|5LHND|6AME|7aRCR|9MBVNT
64	34421 14234	   	268.22	DCR|DCR|2VULN|1MLV	1FEWX|28VULN|3MLV|4ZMB|5LHND|6ERES|7aRCR|9MBVNT
65	14351 13214	 * 	267.96	DCR|DCR|2VULN|1DMG|1SELL	1DUR|2aVULN|3TBNT|4SELL|5DMG|67RCR|89RPLT
66	14351 11113	 * 	267.86	DCR|DCR|2VULN|1DMG|1SELL	1DUR|28VULN|3TBNT|4SELL|5DMG|6aRCR|7BELT|9AEFBLL
67	14351 13424	 * 	267.86	DCR|DCR|2VULN|1DMG|1SELL	1DUR|2aVULN|3TBNT|4SELL|5DMG|67RCR|8MBVNT|9LWND
68	14351 13444	 * 	267.86	DCR|DCR|2VULN|1DMG|1SELL	1DUR|2aVULN|3TBNT|4SELL|5DMG|67RCR|8MBVNT|9CGEN
69	14351 13633	 * 	267.86	DCR|DCR|2VULN|1DMG|1SELL	1DUR|2aVULN|3TBNT|4SELL|5DMG|67RCR|8BBNT|9ERES
