0	Index      	 *	Score 	Summary	Detail	
1	15133 34533	 * 	304.10	橙3等级3易伤2伤害1暴击1挖怪	1挖青259等级389易伤4挖怪6暴击79伤害9序列升级a核
22	11511 43521	   	279.00	紫橙1等级1易伤1伤害1攻速	1挖青29核3掉矿4低血量敌人5基地爆炸6易伤7攻速8伤害a等级
23	23246 22633	   	278.53	紫橙2等级1易伤	1立即金币28等级3双倍矿4金币生成57核6机枪对壮9易伤a策反
24	62411 13612	 * 	278.43	橙橙2等级1易伤	1随机技能26等级3最后敌人4加农对直升5挖尘7a核8金币生成9易伤
25	62411 13112	   	278.33	橙橙2等级1易伤	1随机技能26等级3最后敌人4加农对直升5挖尘7a核8掉矿9易伤
26	15313 63511	   	275.66	橙2等级2易伤2时间1暴击2随机技能	1挖青28等级35时间48随机技能6核78易伤8序列升级9暴击a基地爆炸
27	15313 63512	   	275.66	橙2等级2易伤2时间1暴击2随机技能	1挖青28等级35时间48随机技能6核78易伤8序列升级9暴击a金币生成
28	15313 63523	   	275.56	橙2等级2易伤2时间2随机技能1暴击	1挖青28等级35时间48随机技能6核78易伤8序列升级9掉矿a暴击
29	15316 22531	   	275.37	橙2等级2易伤1火球减费2时间	1挖青29等级39时间4随机技能5雷电减费6火球减费79易伤8核9序列升级a敌人爆炸
30	31156 43221	   	275.05	紫橙2易伤1等级	1掉矿2最后敌人36易伤4低血量敌人59核7加一8挖尘a等级
31	23132 22436	   	275.01	紫橙1等级1易伤1伤害	1立即金币2等级3掉矿47核5敌人爆炸6加农对毒8时间9易伤a伤害
32	32126 15321	   	275.01	橙橙1等级1易伤1伤害	1掉矿2时间3易伤4核弹5敌人爆炸6低血量敌人7伤害89核a等级
33	35325 15321	   	275.01	橙橙1等级1易伤1伤害	1掉矿2基地爆炸3时间4核弹5易伤6低血量敌人7伤害89核a等级
34	31122 55321	   	274.91	橙橙1等级1易伤1伤害	1掉矿2最后敌人3易伤4核弹5挖尘6时间7伤害89核a等级
35	32122 15321	   	274.91	橙橙1等级1易伤1伤害	1掉矿2时间3易伤4核弹5挖尘6低血量敌人7伤害89核a等级
36	32126 45321	   	274.91	橙橙1等级1易伤1伤害	1掉矿2时间3易伤4核弹5敌人爆炸6雷电减费7伤害89核a等级
37	36325 15321	   	274.91	橙橙1等级1易伤1伤害	1掉矿2挖尘3时间4核弹5易伤6低血量敌人7伤害89核a等级
38	32122 45321	   	274.81	橙橙1等级1易伤1伤害	1掉矿2时间3易伤4核弹5挖尘6雷电减费7伤害89核a等级
39	15156 11113	 * 	274.52	紫3易伤2等级1伤害	1挖青27等级37a易伤47低血量敌人5核6平台7序列升级8伤害9额外掉落
40	15166 11113	   	274.52	紫3易伤2等级1伤害	1挖青27等级37a易伤47最后敌人5核6平台7序列升级8伤害9额外掉落
