0	Index      	 *	Score 	Summary	Detail	
1	12523 11121	 * 	280.50	橙橙3易伤	1赏金塔2技能357易伤45最后敌人5序列升级6时间8a核9金币生成
19	23121 14553	 * 	263.65	橙橙3攻速1矿等1暴击1全技能1策反	1策反268攻速3暴击4全技能5挖尘7矿等9a核
20	13323 11121	   	262.28	橙橙2易伤1攻速	1赏金塔26低血量敌人3攻速4最后敌人57易伤8a核9金币生成
21	53133 11121	   	262.18	橙橙2易伤1攻速	1挖青2攻速3赏金塔46低血量敌人57易伤8a核9金币生成
22	12541 25131	   	262.03	橙橙2易伤1暴击1卖塔	1赏金塔2技能35易伤4暴击6雷电7a核8额外掉落9卖塔
23	11226 23431	   	261.98	橙橙2易伤1攻速	1赏金塔23掉矿4攻速56易伤7挖青8a核9基地爆炸
24	11226 25431	   	261.98	橙橙2易伤1攻速	1赏金塔23掉矿4攻速56易伤7挖尘8a核9基地爆炸
25	11326 23431	   	261.98	橙橙2易伤1攻速	1赏金塔23掉矿3序列升级4攻速56易伤7挖青8a核9基地爆炸
26	11326 25431	   	261.98	橙橙2易伤1攻速	1赏金塔23掉矿3序列升级4攻速56易伤7挖尘8a核9基地爆炸
27	42326 23431	   	261.98	橙橙2易伤1攻速	12掉矿3赏金塔4攻速56易伤7挖青8a核9基地爆炸
28	43226 23431	   	261.98	橙橙2易伤1攻速	13掉矿2赏金邻近4攻速56易伤7挖青8a核9基地爆炸
29	43326 23431	   	261.98	橙橙2易伤1攻速	13掉矿2赏金邻近3序列升级4攻速56易伤7挖青8a核9基地爆炸
30	54533 22111	   	259.84	橙橙1易伤1矿等1攻速	1挖青2时间3低血量敌人4挖尘5最后敌人6易伤7攻速8a核9矿等
31	15323 12612	 * 	258.98	橙2易伤3矿等2伤害1攻速	1赏金塔2双倍矿38伤害4攻速5立即金币689矿等78易伤8序列升级a核
32	15333 52421	   	258.05	橙橙1易伤1伤害1矿等	1赏金塔2双倍矿3伤害4敌人爆炸5激光减费6矿等7低血量敌人8a核9易伤
33	52234 25111	   	257.95	橙橙1易伤1伤害1矿等	1挖青2低血量敌人3敌人爆炸4挖尘5基地爆炸6易伤7伤害8a核9矿等
34	24622 11234	   	257.16	橙橙1易伤1矿等1全技能1平台1策反	1策反2敌人爆炸3平台4赏金塔5基地爆炸6矿等7易伤8全技能9a核
35	12523 15121	   	257.03	橙橙2易伤	1赏金塔2技能35易伤45最后敌人5序列升级6时间7立即金币8a核9金币生成
36	12166 11121	   	256.93	橙橙2易伤	1赏金塔2技能3基地爆炸4立即金币57易伤6时间8a核9金币生成
37	12333 11121	   	256.93	橙橙2易伤	1赏金塔2技能3时间46低血量敌人57易伤8a核9金币生成
38	12521 11121	   	256.93	橙橙2易伤	1赏金塔2技能37易伤45最后敌人6时间8a核9金币生成
39	12536 11121	   	256.93	橙橙2易伤	1赏金塔2技能37易伤45低血量敌人6时间8a核9金币生成
40	24166 11121	   	256.69	橙橙2易伤1策反	1策反2敌人爆炸3赏金塔4立即金币57易伤6时间8a核9金币生成
41	13261 25121	   	255.47	橙橙1易伤1伤害2时间	1赏金塔25低血量敌人34时间6易伤7伤害8a核9金币生成
42	13263 25121	   	255.47	橙橙1易伤1伤害2时间	1赏金塔2低血量敌人34时间5立即金币6易伤7伤害8a核9金币生成
43	15344 12121	   	255.47	橙橙1易伤1伤害2时间	1赏金塔2双倍矿3伤害4易伤56时间7低血量敌人8a核9金币生成
44	13266 25121	   	255.37	橙橙1易伤1伤害2时间	1赏金塔2低血量敌人34时间5激光减费6易伤7伤害8a核9金币生成
45	13336 12121	   	254.96	橙橙1易伤2攻速	1赏金塔24低血量敌人37攻速5易伤6时间8a核9金币生成
46	32434 23116	   	254.06	橙橙1易伤1伤害1攻速	1电塔对甲2激光减费3雷电47双倍矿5攻速68核9伤害a易伤
47	24253 21111	   	252.59	橙橙1易伤1矿等2时间1策反	1策反2敌人爆炸3双倍秒伤4基地爆炸56时间7易伤8a核9矿等
48	13333 53421	   	251.63	橙橙1易伤1矿等1攻速	1赏金塔24低血量敌人3攻速5激光减费6矿等7最后敌人8a核9易伤
49	35133 16132	 * 	251.56	橙橙3攻速2平台1暴击	1电塔对甲245攻速3赏金塔67平台8暴击9a核
50	35233 16132	   	251.56	橙橙3攻速2平台1暴击	1电塔对甲245攻速3赏金邻近67平台8暴击9a核
51	13333 55421	   	251.53	橙橙1易伤1矿等1攻速	1赏金塔24低血量敌人3攻速5激光减费6矿等7挖尘8a核9易伤
52	53252 62111	   	251.53	橙橙1易伤1矿等1攻速	1挖青2攻速3双倍秒伤4基地爆炸5立即金币6易伤7最后敌人8a核9矿等
53	14111 62121	   	251.49	橙橙1易伤1矿等1暴击1卖塔	1赏金塔2等级3敌人爆炸4卖塔5易伤6矿等7暴击8a核9金币生成
54	14511 62121	   	251.49	橙橙1易伤1矿等1暴击1卖塔	1赏金塔2等级3低血量敌人4卖塔5易伤6矿等7暴击8a核9金币生成
55	53255 11111	   	251.43	橙橙1易伤1矿等1攻速	1挖青2攻速3双倍秒伤4基地爆炸5挖尘6双倍矿7易伤8a核9矿等
56	13531 23521	 * 	250.66	紫橙2易伤1矿等1暴击1卖塔	1赏金塔2低血量敌人3暴击4a核59易伤6矿等7卖塔8最后敌人
