0	Index      	 *	Score 	Summary	Detail	
1	32244 33362	 * 	271.64	橙橙2易伤1攻速1全技能	1多重对甲2激光减费35易伤4全技能6挖尘7技能8攻速9a核
50	23141 88164	   	243.19	紫橙3易伤	16雷电2加一3a核467易伤5立即金币6序列升级8低血量敌人9金币生成
51	23141 88324	   	243.19	紫橙3易伤	16雷电2加一3a核467易伤5立即金币6序列升级8金币生成9基地爆炸
52	23148 88324	   	243.19	紫橙3易伤	16雷电2加一3a核467易伤5双倍矿6序列升级8金币生成9基地爆炸
53	25161 53211	   	243.19	紫橙3易伤	15雷电2寒冰对甲389易伤46核7基地爆炸a额外掉落
54	25161 53213	   	243.19	紫橙3易伤	15雷电2寒冰对甲389易伤46核7基地爆炸a赏金塔
55	32241 24261	 * 	243.10	紫橙2易伤3全技能	1多重对甲2激光减费36易伤48a全技能59核7雷电
56	23141 88644	   	243.09	紫橙3易伤	16雷电2加一3a核467易伤5立即金币6序列升级8基地爆炸9技能点
57	25161 53212	   	243.09	紫橙3易伤1策反	15雷电2寒冰对甲389易伤46核7基地爆炸a策反
58	23143 88164	   	242.99	紫橙3易伤	1雷电2加一3a核467易伤56激光减费6序列升级8低血量敌人9金币生成
59	23143 88324	   	242.99	紫橙3易伤	1雷电2加一3a核467易伤56激光减费6序列升级8金币生成9基地爆炸
60	23144 46531	   	242.99	紫橙3易伤	1雷电2加一38核49a易伤5赏金塔6挖尘7基地爆炸
61	23144 47531	   	242.99	紫橙3易伤	1雷电2加一38核49a易伤5赏金塔6挖尘7敌人爆炸
62	23143 88644	   	242.89	紫橙3易伤	1雷电2加一3a核467易伤56激光减费6序列升级8基地爆炸9技能点
63	32241 25632	   	242.73	紫橙2易伤1暴击1全技能	1多重对甲2激光减费36易伤4全技能5a核7核弹8暴击9低血量敌人
64	21361 34152	   	242.69	紫橙1易伤1伤害1矿等1攻速	1雷电27核3立即金币4技能点5掉矿6矿等8攻速9伤害a易伤
65	32241 12632	   	242.59	紫橙1易伤1伤害2全技能1暴击	1多重对甲2激光减费3易伤46全技能5a核7伤害8暴击9低血量敌人
66	32241 12642	   	242.59	紫橙1易伤1伤害2全技能1暴击	1多重对甲2激光减费3易伤46全技能5a核7伤害8暴击9敌人爆炸
67	34234 74214	   	242.21	橙橙1易伤1攻速	1多重对甲2加一3金币生成4双倍矿5攻速6a核7基础对甲8时间9易伤
68	34284 74214	   	242.21	橙橙1易伤1攻速	1多重对甲2加一34金币生成5攻速6a核7基础对甲8时间9易伤
