0	Index      	 *	Score 	Summary	Detail	
1	32133 63245	 * 	246.42	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1暴击1技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9技能a暴击
44	32133 63222	   	223.39	橙2散射对甲2易伤1双倍秒伤2伤害1全技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9基地爆炸a平台
45	32133 63225	   	223.39	橙2散射对甲2易伤1双倍秒伤2伤害1全技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9a基地爆炸
46	32133 63234	   	223.39	橙2散射对甲2易伤1双倍秒伤2伤害1全技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9技能点a雷电
47	32133 63263	   	223.39	橙2散射对甲2易伤1双倍秒伤2伤害1全技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9a立即金币
48	32133 63264	   	223.39	橙2散射对甲2易伤1双倍秒伤2伤害1全技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9立即金币a金币生成
49	32133 63215	   	223.29	橙2散射对甲2易伤1双倍秒伤2伤害1全技能	18伤害2全技能3a等级48易伤58散射对甲6双倍秒伤7核8序列升级9电球减费
50	32133 63224	   	223.29	橙2散射对甲2易伤1双倍秒伤2伤害1全技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9基地爆炸a掉矿
51	32133 63231	   	223.29	橙2散射对甲2易伤1双倍秒伤2伤害1全技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9技能点a挖尘
52	32133 63254	   	223.29	橙2散射对甲2易伤2伤害1双倍秒伤1全技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9掉矿a雷电
53	32133 63265	   	223.29	橙2散射对甲2易伤1双倍秒伤2伤害1全技能	18伤害2全技能3a等级48易伤58散射对甲6双倍秒伤7核8序列升级9立即金币
54	32133 63216	   	223.19	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1卖塔	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9电球减费a卖塔
55	32133 63233	   	223.19	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1挖怪	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9技能点a挖怪
56	32133 63251	   	223.19	橙2散射对甲2易伤1双倍秒伤2伤害1全技能	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9掉矿a挖尘
57	32133 63253	   	223.19	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1挖怪	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9掉矿a挖怪
58	32133 63266	   	223.19	橙2散射对甲2易伤1双倍秒伤2伤害1全技能1卖塔	18伤害2全技能3等级48易伤58散射对甲6双倍秒伤7核8序列升级9立即金币a卖塔
59	35133 61511	   	221.81	橙3易伤2伤害2攻速1暴击	18伤害28攻速3暴击467易伤58挖尘8序列升级9低血量敌人a核
60	35127 38224	   	221.63	橙2易伤2伤害2攻速1暴击2策反	17伤害27攻速3暴击4加一5a策反67易伤7序列升级8核9雷电
61	32432 26221	   	221.36	橙2易伤2全技能2伤害1攻速	14伤害28全技能3额外掉落4序列升级5金币生成6核7a易伤9攻速
62	32432 26331	   	221.36	橙2易伤2全技能2伤害1攻速	14伤害29全技能3额外掉落4序列升级5金币生成6核7a易伤8攻速
63	32435 26331	   	221.26	橙2易伤2全技能2伤害1攻速	14伤害29全技能3额外掉落4序列升级5掉矿6核7a易伤8攻速
64	32533 21223	 * 	221.21	紫3易伤2全技能2伤害1攻速1时间	19伤害25全技能3核49掉矿6时间7攻速89a易伤9序列升级
65	35128 23532	 * 	220.91	橙3攻速2易伤1双倍秒伤2伤害1暴击	1a伤害25a攻速3暴击4加一6雷电7双倍秒伤8核9a易伤a序列升级
66	42133 63611	   	220.85	橙1散射对甲1双倍秒伤1易伤1全技能1攻速1伤害1暴击1策反	1攻速2全技能3等级4易伤5散射对甲6双倍秒伤7核8伤害9暴击a策反
67	35135 23231	 * 	220.78	橙2易伤1双倍秒伤1全技能1攻速1伤害1暴击	1伤害2攻速3暴击49易伤5立即金币6雷电7核8全技能a双倍秒伤
68	35135 23236	 * 	219.78	橙3易伤1全技能1攻速1伤害1暴击	1伤害2攻速3暴击49a易伤5立即金币6雷电7核8全技能
69	35125 38141	   	219.01	橙3攻速2易伤2伤害1暴击	17伤害278攻速3暴击4加一5金币生成67易伤7序列升级9核a随机矿
70	35125 38142	   	219.01	橙3攻速2易伤2伤害1暴击	17伤害278攻速3暴击4加一5金币生成67易伤7序列升级9核a最后敌人
71	35125 38143	   	219.01	橙3攻速2易伤2伤害1暴击	17伤害278攻速3暴击4加一5金币生成67易伤7序列升级9核a敌人爆炸
72	35125 38144	   	218.91	橙3攻速2易伤2伤害1暴击	17伤害278攻速3暴击4加一5金币生成67易伤7序列升级9核a挖尘
73	35125 38243	   	218.91	橙3攻速2易伤2伤害1暴击1技能	17伤害27a攻速3暴击4加一5金币生成67易伤7序列升级8技能9核
74	35127 38221	   	218.41	橙2易伤2伤害2攻速1暴击1策反	17伤害27攻速3暴击4加一5策反67易伤7序列升级8核9雷电a平台
75	35127 38223	   	218.41	橙2易伤2伤害2攻速1暴击1策反	17伤害27攻速3暴击4加一5策反67易伤7序列升级8核9雷电a低血量敌人
76	35127 38231	   	218.41	橙2易伤2伤害2攻速1暴击1策反	17伤害27攻速3暴击4加一5策反67易伤7序列升级8核9随机矿a平台
77	35127 38241	   	218.41	橙2易伤2伤害2攻速1暴击1策反	17伤害27攻速3暴击4加一5策反67易伤7序列升级8核9金币生成a平台
78	35127 38242	   	218.41	橙2易伤2伤害2攻速1暴击1策反	17伤害27攻速3暴击4加一5策反67易伤7序列升级8核9金币生成a随机矿
79	35127 38222	   	218.31	橙2易伤2伤害2攻速1暴击1策反	17伤害27攻速3暴击4加一5策反67易伤7序列升级8核9雷电a双倍物品
80	35127 38232	   	218.31	橙2易伤2伤害2攻速1暴击1策反	17伤害27攻速3暴击4加一5策反67易伤7序列升级8核9随机矿a挖尘
81	35127 38244	   	218.31	橙2易伤2伤害2攻速1暴击1策反	17伤害27攻速3暴击4加一5策反67易伤7序列升级8核9金币生成a挖青
82	35127 38212	   	218.21	橙2易伤2伤害2攻速1暴击1策反1卖塔	17伤害27攻速3暴击4加一5策反67易伤7序列升级8核9卖塔a金币生成
83	35127 38213	   	218.21	橙2易伤2伤害2攻速1暴击1策反1卖塔	17伤害27攻速3暴击4加一5策反67易伤7序列升级8核9卖塔a敌人爆炸
84	35135 23216	   	218.03	橙2易伤2全技能1攻速1伤害1暴击	1伤害2攻速3暴击4a易伤5立即金币6雷电7核89全技能
85	42533 24223	 * 	217.84	紫3易伤2全技能2攻速1伤害1时间	19攻速25全技能3核49掉矿6时间7伤害89a易伤9序列升级
86	33641 32234	 * 	217.51	橙3易伤2伤害1全技能1暴击	19伤害29低血量敌人3雷电4全技能5暴击69a易伤7核8立即金币9序列升级
87	35135 23211	 * 	216.47	橙2全技能1双倍秒伤1易伤1攻速1伤害1暴击	1伤害2攻速3暴击4易伤5立即金币6雷电7核89全技能a双倍秒伤
