0	Index      	 *	Score 	Summary	Detail	
1	52412 33343	 * 	278.92	DCR|DCR|2VULN|1DMG|2DUR	1aDUR|2DMG|3aTLV|4AME|5LHND|6aVULN|79RCR|8TBNT|aBPWR
25	36314 42331	   	257.45	DCR|DCR|2VULN|1CDMG	16VULN|2LHND|3MDPS|4CGEN|5TBNT|7TLV|8CDMG|9aRCR
26	32313 44331	   	257.35	DCR|DCR|2VULN|1CDMG	16VULN|2BEXP|3MDPS|4CGEN|5BBNT|7AME|8CDMG|9aRCR
27	32314 44331	   	257.35	DCR|DCR|2VULN|1CDMG	16VULN|2BEXP|3MDPS|4CGEN|5TBNT|7AME|8CDMG|9aRCR
28	32333 42331	   	257.35	DCR|DCR|2VULN|1CDMG	16VULN|2BEXP|3MDPS|4AME|5BBNT|7TLV|8CDMG|9aRCR
29	32334 42331	   	257.35	DCR|DCR|2VULN|1CDMG	16VULN|2BEXP|3MDPS|4AME|5TBNT|7TLV|8CDMG|9aRCR
30	32352 42331	   	257.35	DCR|DCR|2VULN|1CDMG	16VULN|2BEXP|3MDPS|4BBNT|5ERES|7TLV|8CDMG|9aRCR
31	33352 35421	   	257.35	DCR|DCR|2VULN|1CDMG	19VULN|2AELOIC|3TBNT|4BBNT|5ERES|6RMIN|7CDMG|8aRCR
32	36313 44331	   	257.35	DCR|DCR|2VULN|1CDMG	16VULN|2LHND|3MDPS|4CGEN|5BBNT|7AME|8CDMG|9aRCR
33	36333 42331	   	257.35	DCR|DCR|2VULN|1CDMG	16VULN|2LHND|3MDPS|4AME|5BBNT|7TLV|8CDMG|9aRCR
34	36334 42331	   	257.35	DCR|DCR|2VULN|1CDMG	16VULN|2LHND|3MDPS|4AME|5TBNT|7TLV|8CDMG|9aRCR
35	32112 53364	   	257.25	DCR|DCR|2VULN|1CDMG	19VULN|2BEXP|3SPLJET|4AAC|5CDMG|6MDPS|7DUST|8aRCR
36	32352 44331	   	257.25	DCR|DCR|2VULN|1CDMG	16VULN|2BEXP|3MDPS|4BBNT|5ERES|7AME|8CDMG|9aRCR
37	32132 42151	   	257.20	DCR|DCR|2VULN|1ASPD|1ZMB	16VULN|2BEXP|3SPLJET|4ZMB|5ASPD|7LIT|8aRCR|9CGEN
38	51512 13336	   	257.18	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2DMSP|3VULN|4MLV|5LHND|6LWND|7aRCR|8TBNT|9ASPD
39	26351 22411	   	256.84	ACR|DCR|2VULN|1MLV|2RPLT|1AART	13RPLT|26VULN|48RCR|5AIRHEA|7MLV|9MSLREG|aAART
40	26232 36513	   	255.56	DCR|DCR|1VULN|2DUR|1ASPD|1RPLT	1RPLT|2VULN|3AME|46DUR|5DUST|7ASPD|8aRCR|9ERES
41	22251 65131	   	252.82	ACR|DCR|2VULN|1DMG|1RPLT	1RPLT|2AAC|37VULN|46RCR|5LSRHEA|8DMG|9SPLARM|aDUR
42	52212 43116	   	249.71	ACR|DCR|2VULN|1DMG|2DUR	17DUR|2DMG|3aRCR|4CGEN|5DUST|6MDPS|89VULN
43	11213 51634	 * 	249.51	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT|1ZMB	1ZMB|2LWND|3aRCR|4CGEN|5ASPD|6VULN|7RPLT|89DMG
