0	Index      	 *	Score 	Summary	Detail	
1	12215 54121	 * 	283.93	ACR|DCR|3VULN|1MLV|1CDMG|1AART	1TBNT|26aVULN|3AART|4MLV|57RCR|8CDMG|9SNIFST
18	12215 54113	   	260.47	ACR|DCR|2VULN|1MLV|1CDMG|1AART	1TBNT|26VULN|3AART|4MLV|57RCR|8CDMG|9FEWX|aAME
19	12215 54122	   	260.47	ACR|DCR|2VULN|1MLV|1CDMG|1AART	1TBNT|26VULN|3AART|4MLV|57RCR|8CDMG|9SNIFST|aCGEN
20	12215 54131	   	260.47	ACR|DCR|2VULN|1MLV|1CDMG|1AART	1TBNT|26VULN|3AART|4MLV|57RCR|8CDMG|9LWND|aERES
21	12215 54132	   	260.47	ACR|DCR|2VULN|1MLV|1CDMG|1AART|1MSE	1TBNT|26VULN|3AART|4MLV|57RCR|8CDMG|9LWND|aMSE
22	12215 54133	   	260.47	ACR|DCR|2VULN|1MLV|1CDMG|1AART	1TBNT|26VULN|3AART|4MLV|57RCR|8CDMG|9LWND|aAME
23	12215 54123	   	260.37	ACR|DCR|2VULN|1MLV|1CDMG|1AART|1SELL	1TBNT|26VULN|3AART|4MLV|57RCR|8CDMG|9SNIFST|aSELL
24	12653 61212	 * 	259.27	DCR|4VULN|2DMG|1MLV	1TBNT|234aVULN|5aDMG|6MLV|7BEXP|8aCGEN|9RCR|aBPWR
25	12653 62312	   	259.27	DCR|4VULN|2DMG|1MLV	1TBNT|234aVULN|5aDMG|6MLV|7CGEN|8aFEWX|9RCR|aBPWR
26	12653 63312	   	259.27	DCR|4VULN|2DMG|1MLV	1TBNT|234aVULN|5aDMG|6MLV|7TLV|8aFEWX|9RCR|aBPWR
27	52362 12623	   	258.48	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2LIT|3NUKE|4FEWX|5DMG|6RMIN|78RCR|9RPLT|aDUR
28	52362 12611	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2LIT|3NUKE|4FEWX|5DMG|6RMIN|78RCR|9MLV|aMULARM
29	52362 12612	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2LIT|3NUKE|4FEWX|5DMG|6RMIN|78RCR|9MLV|aMDPS
30	52362 12613	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2LIT|3NUKE|4FEWX|5DMG|6RMIN|78RCR|9MLV|aFLTFST
31	15213 55332	   	256.84	ACR|DCR|3VULN|1CDMG	1TBNT|2RCVC|38RCR|4CDMG|5BBNT|6FEWX|79aVULN
32	12215 54311	   	255.22	ACR|DCR|2VULN|1MLV|1AART	1TBNT|26VULN|3AART|4MLV|57RCR|8DUR|9TLV|aFEWX
33	12215 54312	   	255.22	ACR|DCR|2VULN|1MLV|1AART	1TBNT|26VULN|3AART|4MLV|57RCR|8DUR|9TLV|aLHND
34	12215 54313	   	255.22	ACR|DCR|2VULN|1MLV|1AART	1TBNT|26VULN|3AART|4MLV|57RCR|8DUR|9TLV|aBELT
35	12215 54331	   	255.22	ACR|DCR|2VULN|1MLV|1AART	1TBNT|26VULN|3AART|4MLV|57RCR|8DUR|9LHND|aAAC
36	12215 54321	   	255.12	ACR|DCR|2VULN|1MLV|1AART	1TBNT|26VULN|3AART|4MLV|57RCR|8DUR|9DUST|aAAC
37	12215 54332	   	255.12	ACR|DCR|2VULN|1MLV|1AART|1ZMB	1TBNT|26VULN|3AART|4MLV|57RCR|8DUR|9LHND|aZMB
38	12215 54322	   	255.02	ACR|DCR|2VULN|1MLV|1AART|1ZMB	1TBNT|26VULN|3AART|4MLV|57RCR|8DUR|9DUST|aZMB
39	15312 61212	 * 	254.87	DCR|3VULN|3DMG|1MLV	1TBNT|2RCVC|35aDMG|45aVULN|5aBPWR|6MLV|7BEXP|8aCGEN|9RCR
40	15312 61412	   	254.87	DCR|3VULN|3DMG|1MLV	1TBNT|2RCVC|35aDMG|45aVULN|5aBPWR|6MLV|7BEXP|8aTLV|9RCR
41	15312 62312	   	254.87	DCR|3VULN|3DMG|1MLV	1TBNT|2RCVC|35aDMG|45aVULN|5aBPWR|6MLV|7CGEN|8aFEWX|9RCR
42	15312 62612	   	254.87	DCR|3VULN|3DMG|1MLV	1TBNT|2RCVC|35aDMG|45aVULN|5aBPWR|6MLV|7CGEN|8aBEXP|9RCR
43	15312 63312	   	254.87	DCR|3VULN|3DMG|1MLV	1TBNT|2RCVC|35aDMG|45aVULN|5aBPWR|6MLV|7TLV|8aFEWX|9RCR
44	15312 64212	   	254.87	DCR|3VULN|3DMG|1MLV	1TBNT|2RCVC|35aDMG|45aVULN|5aBPWR|6MLV|7LHND|8aCGEN|9RCR
45	46422 11211	 * 	254.73	DCR|3VULN|2DMG|2MLV	1RCVC|29MLV|38DMG|459VULN|6BELT|79FRZICY|9BPWR|aRCR
46	15312 61612	   	254.67	DCR|3VULN|3DMG|1MLV	1TBNT|2RCVC|35aDMG|45aVULN|5aBPWR|6MLV|7BEXP|8aERES|9RCR
