0	Index      	 *	Score 	Summary	Detail	
1	22264 21314	 * 	274.72	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1RPLT	1CGEN|2ASPD|3CDMG|4BELT|5VULN|6aRCR|7DMG|8RPLT|9AAC
32	16332 13413	   	257.45	DCR|DCR|2VULN|1ASPD	1MSLTOX|2BEXP|3FEWX|4aVULN|5ASPD|68RCR|7LIT|9TLV
33	16332 13423	   	257.45	DCR|DCR|2VULN|1ASPD	1MSLTOX|2BEXP|3FEWX|4aVULN|5ASPD|68RCR|7LIT|9LHND
34	11332 13423	   	257.35	DCR|DCR|2VULN|1ASPD	1MSLTOX|2LWND|3FEWX|4aVULN|5ASPD|68RCR|7LIT|9LEGI
35	11632 13413	   	257.35	DCR|DCR|2VULN|1ASPD	1MSLTOX|2LWND|3DUST|4aVULN|5ASPD|68RCR|7LIT|9TLV
36	11632 13443	   	257.35	DCR|DCR|2VULN|1ASPD	1MSLTOX|2LWND|3DUST|4aVULN|5ASPD|68RCR|7LIT|9LHND
37	11632 13463	   	257.35	DCR|DCR|2VULN|1ASPD	1MSLTOX|2LWND|3DUST|4aVULN|5ASPD|68RCR|7LIT|9FEWX
38	16632 13413	   	257.35	DCR|DCR|2VULN|1ASPD	1MSLTOX|2BEXP|3DUST|4aVULN|5ASPD|68RCR|7LIT|9TLV
39	16632 13423	   	257.35	DCR|DCR|2VULN|1ASPD	1MSLTOX|2BEXP|3DUST|4aVULN|5ASPD|68RCR|7LIT|9LHND
40	11632 13423	   	257.25	DCR|DCR|2VULN|1ASPD	1MSLTOX|2LWND|3DUST|4aVULN|5ASPD|68RCR|7LIT|9LEGI
41	31652 13413	   	257.25	DCR|DCR|2VULN|1ASPD	14MDPS|2aVULN|3AIRHEA|5ASPD|68RCR|7LIT|9TLV
42	31652 13423	   	257.25	DCR|DCR|2VULN|1ASPD	14MDPS|2aVULN|3AIRHEA|5ASPD|68RCR|7LIT|9LHND
43	15363 44341	   	257.10	DCR|DCR|2VULN|1ASPD|1ZMB	1MSLTOX|2ZMB|3RCVC|4ASPD|5CGEN|6MBVNT|7aVULN|89RCR
44	13532 13433	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1MSLTOX|2MLV|3MDPS|4CGEN|5ASPD|68RCR|7LIT|9DUR|aVULN
45	13551 13423	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1MSLTOX|2MLV|3MDPS|4DMG|5ERES|68RCR|7LIT|9LHND|aVULN
46	13651 13423	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1MSLTOX|2MLV|3DMG|4MDPS|5ERES|68RCR|7LIT|9LHND|aVULN
47	13333 34364	   	254.71	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8BEXP|9DMG|aDUR
48	22264 22314	   	254.41	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT|1ZMB	1CGEN|2ASPD|3CDMG|4BELT|5VULN|6aRCR|7ZMB|8RPLT|9AAC
49	14333 34112	   	254.35	DCR|DCR|1VULN|1ASPD|1CDMG|1AART	1MSLTOX|2ERES|3BELT|4CDMG|5AART|67RCR|8TSLARM|9VULN|aASPD
50	13333 34265	   	254.18	DCR|DCR|1DMG|2AART|1MLV|1CDMG	1MSLTOX|2MLV|3BELT|4CDMG|5aAART|67RCR|8LWND|9DMG
51	15336 33611	   	253.07	DCR|DCR|2VULN|1RPLT|2ZMB	17MSLTOX|27ZMB|35RCVC|47VULN|6aRCR|7BPWR|8RPLT|9BEXP
52	13333 34262	 * 	252.72	DCR|DCR|1DMG|2CDMG|1MLV|1AART	1MSLTOX|2MLV|3BELT|4aCDMG|5AART|67RCR|8LWND|9DMG
53	13333 34362	   	252.72	DCR|DCR|1DMG|2CDMG|1MLV|1AART	1MSLTOX|2MLV|3BELT|4aCDMG|5AART|67RCR|8BEXP|9DMG
54	13333 34462	   	252.72	DCR|DCR|1DMG|2CDMG|1MLV|1AART	1MSLTOX|2MLV|3BELT|4aCDMG|5AART|67RCR|8FEWX|9DMG
55	13333 34562	   	252.62	DCR|DCR|1DMG|2CDMG|1MLV|1AART	1MSLTOX|2MLV|3BELT|4aCDMG|5AART|67RCR|8DUST|9DMG
56	13333 34612	   	252.45	DCR|DCR|2ASPD|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8aASPD|9LIT
57	11332 13455	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1MSLTOX|2LWND|3FEWX|4VULN|5ASPD|68RCR|7LIT|9TBNT|aDMG
58	31523 53522	 * 	250.68	ACR|DCR|3VULN|1CDMG	1MDPS|256VULN|37CGEN|49RCR|8FEWX|aCDMG
59	31523 53622	   	250.68	ACR|DCR|3VULN|1CDMG	1MDPS|256VULN|37CGEN|49RCR|8LWND|aCDMG
60	11332 13431	   	249.21	DCR|DCR|1VULN|1ASPD|1RPLT	1MSLTOX|2LWND|3FEWX|4VULN|5ASPD|68RCR|7LIT|9RPLT|aDUR
61	11632 13431	   	249.11	DCR|DCR|1VULN|1ASPD|1RPLT	1MSLTOX|2LWND|3DUST|4VULN|5ASPD|68RCR|7LIT|9RPLT|aDUR
62	13532 13413	   	248.68	DCR|DCR|1VULN|1MLV|1ASPD	1MSLTOX|2MLV|3MDPS|4CGEN|5ASPD|68RCR|7LIT|9TLV|aVULN
63	13532 13423	   	248.68	DCR|DCR|1VULN|1MLV|1ASPD	1MSLTOX|2MLV|3MDPS|4CGEN|5ASPD|68RCR|7LIT|9LHND|aVULN
64	31423 35623	 * 	247.93	ACR|DCR|2VULN|2MLV	1MDPS|25VULN|3AAC|48RCR|6NUKE|79MLV|aLHND
65	31423 35621	   	247.83	ACR|DCR|2VULN|2MLV	1MDPS|25VULN|3AAC|48RCR|6NUKE|79MLV|aERES
66	31423 35622	   	247.83	ACR|DCR|2VULN|2MLV	1MDPS|25VULN|3AAC|48RCR|6NUKE|79MLV|aMBVNT
67	13333 34615	   	247.76	DCR|DCR|2AART|1MLV|1ASPD|1CDMG	1MSLTOX|2MLV|3BELT|4CDMG|5aAART|67RCR|8ASPD|9LIT
68	13333 34625	   	247.66	DCR|DCR|2AART|1MLV|1ASPD|1CDMG	1MSLTOX|2MLV|3BELT|4CDMG|5aAART|67RCR|8ASPD|9LEGI
69	14333 34111	 * 	247.02	DCR|DCR|1VULN|2CDMG|1AART	1MSLTOX|2ERES|3BELT|4aCDMG|5AART|67RCR|8TSLARM|9VULN
70	13333 34263	   	246.41	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8LWND|9DMG|aCGEN
71	13333 34264	   	246.41	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8LWND|9DMG|aRCVC
72	13333 34266	   	246.41	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8LWND|9DMG|aLIT
73	13333 34363	   	246.41	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8BEXP|9DMG|aCGEN
74	13333 34365	   	246.41	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8aBEXP|9DMG
75	13333 34366	   	246.41	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3aBELT|4CDMG|5AART|67RCR|8BEXP|9DMG
76	13333 34463	   	246.41	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8FEWX|9DMG|aCGEN
77	13333 34121	   	246.31	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8TSLARM|9DMG|aRCVC
78	13333 34122	   	246.31	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8TSLARM|9DMG|aAAC
79	13333 34124	   	246.31	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3aBELT|4CDMG|5AART|67RCR|8TSLARM|9DMG
80	13333 34125	   	246.31	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8TSLARM|9DMG|aCGEN
81	13333 34126	   	246.31	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8TSLARM|9DMG|aFEWX
82	13333 34215	   	246.31	DCR|DCR|2CDMG|1MLV|1ASPD|1AART	1MSLTOX|2MLV|3BELT|49CDMG|5AART|67RCR|8LWND|aASPD
83	13333 34261	   	246.31	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8LWND|9DMG|aAME
84	13333 34315	   	246.31	DCR|DCR|2CDMG|1MLV|1ASPD|1AART	1MSLTOX|2MLV|3BELT|49CDMG|5AART|67RCR|8BEXP|aASPD
85	13333 34361	   	246.31	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8BEXP|9DMG|aAME
86	13333 34415	   	246.31	DCR|DCR|2CDMG|1MLV|1ASPD|1AART	1MSLTOX|2MLV|3BELT|49CDMG|5AART|67RCR|8FEWX|aASPD
87	13333 34461	   	246.31	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8FEWX|9DMG|aAME
88	13333 34563	   	246.31	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8DUST|9DMG|aCGEN
89	13333 34123	   	246.21	DCR|DCR|1DMG|1MLV|1CDMG|1AART|1SELL	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8TSLARM|9DMG|aSELL
90	13333 34515	   	246.21	DCR|DCR|2CDMG|1MLV|1ASPD|1AART	1MSLTOX|2MLV|3BELT|49CDMG|5AART|67RCR|8DUST|aASPD
91	13333 34561	   	246.21	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1MSLTOX|2MLV|3BELT|4CDMG|5AART|67RCR|8DUST|9DMG|aAME
92	13333 34622	   	246.21	DCR|DCR|2CDMG|1MLV|1ASPD|1AART	1MSLTOX|2MLV|3BELT|4aCDMG|5AART|67RCR|8ASPD|9LEGI
93	22264 23112	   	244.89	DCR|DCR|1VULN|1ASPD|1CDMG	1CGEN|2ASPD|3CDMG|4BELT|5VULN|6aRCR|7RCVC|8LWND|9MDPS
94	22262 23612	   	244.89	DCR|DCR|1VULN|1ASPD|1CDMG	1CGEN|2ASPD|3CDMG|4BELT|5LWND|6aRCR|7RCVC|8VULN|9MDPS
95	22266 23212	   	244.89	DCR|DCR|1VULN|1ASPD|1CDMG	1CGEN|2ASPD|3CDMG|4BELT|5BEXP|6aRCR|7RCVC|8VULN|9MDPS
