0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16652 23321	8	 * 	296.53	橙3易伤3时间2伤害3雷电	159雷电2额外掉落3a伤害4全技能69a时间79a易伤8核9a序列升级
56	32431 15423	9	   	268.10	橙4易伤2时间1伤害	1基地爆炸29时间3伤害456a易伤7核8全技能
57	32431 15423	10	   	268.10	橙4易伤2时间1伤害	1基地爆炸29时间3伤害456a易伤7核8全技能
58	32621 34224	1	   	267.95	橙4易伤2时间1伤害1卖塔	1基地爆炸24时间3457易伤4序列升级6卖塔8全技能9伤害a核
59	32621 34224	2	   	267.95	橙4易伤2时间1伤害1卖塔	1基地爆炸24时间3457易伤4序列升级6卖塔8全技能9伤害a核
60	31431 15323	7	   	267.23	橙3易伤2伤害2时间1暴击	1a基地爆炸2最后敌人3a伤害456易伤7核8暴击9a时间a序列升级
61	33431 15323	7	   	267.23	橙3易伤2伤害2时间1暴击	1a基地爆炸2低血量敌人3a伤害456易伤7核8暴击9a时间a序列升级
62	42336 31162	3	   	267.16	橙4易伤1伤害1等级1暴击	1等级2457易伤3暴击6伤害8全技能9核a矿等
63	13613 25533	1	 * 	267.13	橙3易伤2伤害2暴击2雷电	1a雷电2赏金塔378易伤4全技能5a伤害6a暴击9核a序列升级
64	42336 31161	3	   	267.06	橙4易伤1伤害1等级1暴击	1等级2457易伤3暴击6伤害8全技能9核a掉矿
65	32433 15225	10	   	267.03	橙3易伤2伤害2时间1暴击	1基地爆炸25时间3a伤害469易伤7核8暴击
66	41631 23216	4	 * 	266.96	橙3易伤2时间2等级1伤害1攻速	18等级2攻速358易伤49时间6伤害78低血量敌人8序列升级a核
67	32433 15212	7	   	266.81	橙3易伤3时间2伤害	18基地爆炸259时间38伤害468易伤7核8序列升级a敌人爆炸
68	32433 15213	7	   	266.81	橙3易伤3时间2伤害	18基地爆炸259时间38伤害468易伤7核8序列升级a低血量敌人
69	32433 15215	7	   	266.71	橙3易伤3时间2伤害	18基地爆炸259时间38伤害468易伤7核8序列升级a挖青
70	32433 15235	7	   	266.71	橙3易伤3时间2伤害	18基地爆炸25a时间38伤害468易伤7核8序列升级9挖青
71	42322 11162	6	   	266.54	橙5易伤1等级1暴击	1等级2567a易伤3暴击4掉矿8全技能9核
