0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65332 11121	7	 * 	277.04	橙5易伤1伤害1等级1暴击	1立即金币23457易伤45序列升级6等级8暴击9核a伤害
112	16256 32121	3	   	249.02	橙3易伤3时间1伤害	1挖尘267时间3金币生成4低血量敌人569易伤6序列升级8伤害a核
113	65332 52221	8	 * 	248.71	橙4易伤2攻速2暴击	1立即金币2345易伤45序列升级67暴击8a攻速9核
114	21323 25125	10	   	248.56	橙3易伤2伤害1时间1全技能	12低血量敌人358易伤45伤害5序列升级6矿等7全技能9时间a核
115	21323 25424	9	   	248.56	橙3易伤2伤害1等级1全技能	12低血量敌人35a易伤45伤害5序列升级6矿等7全技能8等级9核
116	21323 55125	10	   	248.56	橙3易伤2伤害1时间1全技能	12低血量敌人358易伤45伤害5序列升级6策反7全技能9时间a核
117	26323 25125	10	   	248.56	橙3易伤2伤害1时间1全技能	1低血量敌人2立即金币358易伤45伤害5序列升级6矿等7全技能9时间a核
118	61323 25125	10	   	248.56	橙3易伤2伤害1时间1全技能	1立即金币2基地爆炸358易伤45伤害5序列升级6矿等7全技能9时间a核
119	22323 65121	6	   	248.35	橙4易伤1等级1时间	1低血量敌人2金币生成3789易伤4时间5等级6核a雷电
120	65333 36332	4	   	248.25	橙4易伤1等级1时间	1立即金币2346易伤4序列升级5时间7雷电8核9挖尘a等级
121	65325 21331	10	   	248.10	橙4易伤1等级1时间1卖塔	1立即金币2389易伤4雷电5卖塔6核7等级a时间
122	65331 11113	6	 * 	247.77	橙4易伤1伤害2暴击	1立即金币2348易伤48序列升级58暴击6核78低血量敌人9最后敌人a伤害
123	65331 15113	7	   	247.77	橙4易伤1伤害2暴击	1立即金币2348易伤48序列升级58暴击6核78最后敌人9低血量敌人a伤害
124	65331 16113	7	   	247.77	橙4易伤1伤害2暴击	1立即金币2348易伤48序列升级58暴击6核78低血量敌人9最后敌人a伤害
125	65331 11125	6	   	247.44	橙5易伤2暴击	1立即金币2348a易伤48a序列升级58暴击6核78a低血量敌人9a策反
126	22525 31226	9	   	247.31	橙3易伤2伤害1等级	1a低血量敌人2金币生成3随机矿4a伤害5雷电6等级78a易伤9核a序列升级
127	21323 12663	6	   	247.21	橙3易伤2伤害1时间	12低血量敌人358易伤45伤害5序列升级6时间7立即金币9雷电a核
128	21323 16663	6	   	247.21	橙3易伤2伤害1时间	127低血量敌人358易伤45伤害5序列升级6时间9雷电a核
129	21323 24663	5	   	247.21	橙3易伤2伤害1时间	12低血量敌人358易伤45伤害5序列升级6立即金币7时间9雷电a核
130	21323 62663	5	   	247.21	橙3易伤2伤害1时间	12低血量敌人358易伤45伤害5序列升级6时间7立即金币9雷电a核
131	26323 12663	6	   	247.21	橙3易伤2伤害1时间	1低血量敌人27立即金币358易伤45伤害5序列升级6时间9雷电a核
132	61323 15313	10	   	247.21	橙3易伤2伤害1时间	1立即金币2基地爆炸358易伤45伤害5序列升级6时间7雷电9额外掉落a核
133	61323 15343	9	   	247.21	橙3易伤2伤害1时间	1立即金币2基地爆炸358易伤45伤害5序列升级6时间7雷电9敌人爆炸a核
134	66323 25313	10	   	247.21	橙3易伤2伤害1时间	1立即金币2时间358易伤45伤害5序列升级6基地爆炸7雷电9额外掉落a核
135	65331 13125	7	   	247.14	橙5易伤2暴击	1立即金币2348a易伤48a序列升级58暴击6核78a挖尘9a策反
136	65332 21522	7	   	247.14	橙5易伤1伤害	1立即金币23457易伤45序列升级6策反8额外掉落9核a伤害
137	22125 31225	10	   	247.11	橙3易伤2伤害1时间	1低血量敌人2金币生成34伤害5雷电6时间78a易伤9核
138	62423 15313	9	   	247.11	橙3易伤2伤害1时间	1立即金币2挖青358易伤45伤害5序列升级6时间7雷电9敌人爆炸a核
139	62423 15313	8	   	247.11	橙3易伤2伤害1时间	1立即金币2挖青358易伤45伤害5序列升级6时间7雷电9双倍矿a核
140	15121 51226	9	   	247.11	橙3易伤2伤害1等级	1a挖尘2金币生成3a伤害4雷电5等级6随机矿78a易伤9核a序列升级
141	21323 13553	8	   	247.11	橙3易伤2伤害1时间	12低血量敌人359易伤45伤害5序列升级6时间7挖尘8雷电a核
142	21323 15125	10	   	247.11	橙3易伤2伤害1时间	12低血量敌人35a易伤45伤害5序列升级6时间7雷电8掉矿9核
143	21323 15253	7	   	247.11	橙3易伤2伤害1时间	12低血量敌人359易伤45伤害5序列升级6时间7雷电8挖尘a核
144	21323 15453	8	   	247.11	橙3易伤2伤害1时间	12低血量敌人359易伤45伤害5序列升级6时间7雷电8挖尘a核
145	26323 13553	8	   	247.11	橙3易伤2伤害1时间	1低血量敌人2立即金币359易伤45伤害5序列升级6时间7挖尘8雷电a核
146	26323 15125	10	   	247.11	橙3易伤2伤害1时间	1低血量敌人2立即金币35a易伤45伤害5序列升级6时间7雷电8掉矿9核
147	26323 15253	7	   	247.11	橙3易伤2伤害1时间	1低血量敌人2立即金币359易伤45伤害5序列升级6时间7雷电8挖尘a核
148	61323 15125	10	   	247.11	橙3易伤2伤害1时间	1立即金币2基地爆炸35a易伤45伤害5序列升级6时间7雷电8掉矿9核
149	61323 15253	7	   	247.11	橙3易伤2伤害1时间	1立即金币2基地爆炸359易伤45伤害5序列升级6时间7雷电8挖尘a核
150	61323 15323	9	   	247.11	橙3易伤2伤害1时间	1立即金币2基地爆炸358易伤45伤害5序列升级6时间7雷电9挖尘a核
151	61323 15333	8	   	247.11	橙3易伤2伤害1时间	1立即金币2基地爆炸358易伤45伤害5序列升级6时间7雷电9挖尘a核
152	66323 25323	9	   	247.11	橙3易伤2伤害1时间	1立即金币2时间358易伤45伤害5序列升级6基地爆炸7雷电9挖尘a核
153	66323 25333	8	   	247.11	橙3易伤2伤害1时间	1立即金币2时间358易伤45伤害5序列升级6基地爆炸7雷电9挖尘a核
