0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52132 42214	4	 * 	289.77	橙4易伤2伤害2时间1暴击	1平台27伤害3挖尘479a易伤57时间6核7序列升级8暴击
31	52353 13333	5	   	269.83	橙3易伤2伤害2时间1等级	1平台27伤害3立即金币4最后敌人578易伤67时间7序列升级9等级a核
32	52532 23333	4	   	269.83	橙3易伤2伤害2时间1等级	1平台27伤害35时间478易伤67最后敌人7序列升级9等级a核
33	52132 42121	4	   	269.73	橙3易伤2伤害2时间1等级	1平台27伤害3挖尘479易伤57时间6核7序列升级8低血量敌人a等级
34	52132 42331	4	   	269.73	橙3易伤2伤害2时间1等级	1平台27伤害3挖尘479易伤57时间6核7序列升级8基地爆炸a等级
35	52211 34323	8	 * 	269.24	橙3易伤3伤害2时间	1平台289伤害378易伤4金币生成5敌人爆炸68时间8序列升级a核
36	52413 31324	8	 * 	269.24	橙3易伤3伤害3攻速1核弹	1平台28a伤害3金币生成48a攻速58a易伤6核7随机矿8a序列升级9核弹
37	55221 62312	6	   	268.92	橙5易伤2时间1攻速	1平台23489易伤4序列升级5a时间6核7攻速
38	55634 32433	10	   	268.34	橙3易伤2伤害2时间2雷电	1平台26a易伤38时间4加一5a伤害7a雷电9核a序列升级
39	52222 42214	4	   	267.23	橙3易伤2伤害2时间1暴击	1平台27伤害39a易伤47最后敌人57时间6核7序列升级8暴击
40	52132 42211	4	   	267.13	橙3易伤2伤害2时间1暴击	1平台27伤害3挖尘479易伤57时间6核7序列升级8暴击a金币生成
41	52132 42215	4	   	267.13	橙3易伤2伤害2时间1暴击	1平台27伤害3挖尘479易伤57时间6核7序列升级8暴击a低血量敌人
42	52232 33355	5	   	267.13	橙3易伤2伤害2时间1暴击	1平台29伤害349易伤5策反6赏金塔7暴击89时间9序列升级a核
43	52132 42212	4	   	267.03	橙3易伤2伤害2时间1暴击	1平台27伤害3a挖尘479易伤57时间6核7序列升级8暴击
44	52132 42213	4	   	267.03	橙3易伤2伤害2时间1暴击	1平台27伤害3挖尘479易伤57时间6核7序列升级8暴击a赏金塔
45	52133 41316	8	   	267.03	橙3易伤2伤害2时间1暴击	1平台29伤害3挖尘49a易伤5暴击6核7掉矿89时间9序列升级
46	52212 42214	3	   	267.03	橙3易伤2伤害2时间1暴击	1平台27伤害39a易伤47挖尘57时间6核7序列升级8暴击
47	55231 15122	4	   	266.81	橙3易伤3时间2伤害	1平台23a易伤4金币生成56a时间7随机矿8核9a伤害a序列升级
48	55231 15122	3	   	266.81	橙3易伤3时间2伤害	1平台23a易伤4矿等56a时间7随机矿8核9a伤害a序列升级
49	55231 15122	2	   	266.81	橙3易伤3时间2伤害	1平台23a易伤4矿等56a时间7随机矿8核9a伤害a序列升级
50	52413 35312	6	   	266.60	橙4易伤2伤害2攻速	1平台2a伤害37金币生成4a攻速589a易伤6核a序列升级
51	52413 35312	7	   	266.60	橙4易伤2伤害2攻速	1平台2a伤害3金币生成4a攻速589a易伤6核7立即金币a序列升级
52	52413 36312	7	   	266.60	橙4易伤2伤害2攻速	1平台2a伤害37金币生成4a攻速589a易伤6核a序列升级
53	52413 42312	7	   	266.60	橙4易伤2伤害2攻速	1平台2a伤害36金币生成4a攻速589a易伤7核a序列升级
54	52413 62312	7	   	266.60	橙4易伤2伤害2攻速	1平台2a伤害3金币生成4a攻速589a易伤6立即金币7核a序列升级
55	55213 23124	5	   	266.60	橙4易伤2伤害2攻速	1平台235a易伤4a攻速6低血量敌人7金币生成8核9a伤害a序列升级
56	36141 61213	6	   	266.57	橙3易伤3时间2伤害1卖塔	1随机矿247时间37伤害578易伤6卖塔7序列升级9核a最后敌人
57	36251 61213	6	   	266.57	橙3易伤3时间2伤害1卖塔	1随机矿237时间47伤害578易伤6卖塔7序列升级9核a最后敌人
58	55221 63313	10	   	266.22	橙5易伤2时间	1平台2348a易伤4序列升级59时间6核7雷电
59	21452 62211	1	   	266.05	橙3易伤2伤害1等级1时间1攻速	1敌人爆炸23伤害456易伤7时间8核9等级a攻速
60	55211 23333	4	   	265.83	橙4易伤2时间1等级1攻速	1平台2378易伤4攻速57时间67最后敌人7序列升级9等级a核
61	55212 13333	4	   	265.83	橙4易伤2时间1等级1攻速	1平台2378易伤4攻速57最后敌人67时间7序列升级9等级a核
62	31641 31114	8	   	265.81	橙2易伤3时间2伤害1等级1全技能	12随机矿37a时间4等级5a易伤6a伤害8全技能9核a序列升级
63	23323 63513	3	   	265.47	橙3易伤3时间1伤害1等级	17敌人爆炸257时间3随机矿467易伤7序列升级8等级9伤害a核
64	34223 63513	3	   	265.47	橙3易伤3时间1伤害1等级	1随机矿27基地爆炸357时间467易伤7序列升级8等级9伤害a核
65	34232 63513	4	   	265.47	橙3易伤3时间1伤害1等级	1随机矿27基地爆炸347时间567易伤7序列升级8等级9伤害a核
66	36212 63513	4	   	265.47	橙3易伤3时间1伤害1等级	1随机矿237时间47最后敌人567易伤7序列升级8等级9伤害a核
67	36222 63513	4	   	265.47	橙3易伤3时间1伤害1等级	1随机矿237时间47基地爆炸567易伤7序列升级8等级9伤害a核
68	36241 22513	7	   	265.47	橙3易伤3时间1伤害1等级	1随机矿238时间4等级578易伤68低血量敌人8序列升级9伤害a核
69	36252 23513	2	   	265.47	橙3易伤3时间1伤害1等级	1随机矿237时间37序列升级457易伤67敌人爆炸8等级9伤害a核
70	36252 23513	3	   	265.47	橙3易伤3时间1伤害1等级	1随机矿237时间457易伤67敌人爆炸7序列升级8等级9伤害a核
71	43323 63513	3	   	265.27	橙3易伤3时间1伤害1等级	17挖尘257时间3随机矿467易伤7序列升级8等级9伤害a核
72	43332 63513	4	   	265.27	橙3易伤3时间1伤害1等级	17挖尘247时间3随机矿567易伤7序列升级8等级9伤害a核
73	52233 33342	4	 * 	265.15	橙4易伤2伤害3雷电	1平台2a伤害347a易伤58a雷电6核9赏金塔a序列升级
74	52236 31162	9	   	264.93	橙5易伤2伤害	1平台2a伤害3478a易伤5a金币生成6立即金币9核a序列升级
75	55232 52312	7	   	264.93	橙5易伤2伤害	1平台2389a易伤4金币生成5a策反6a伤害7核a序列升级
76	52234 31162	9	   	264.83	橙5易伤2伤害	1平台2a伤害3478a易伤5随机矿6立即金币9核a序列升级
77	52233 22162	9	   	264.73	橙5易伤2伤害	1平台2a伤害3458a易伤6立即金币7a掉矿9核a序列升级
78	32112 13614	8	 * 	264.58	橙4易伤3攻速1时间1全技能	1随机矿28a矿等3全技能4时间578a易伤68a攻速8a序列升级9核
79	52132 42115	4	   	263.14	橙3易伤2伤害2时间1全技能	1平台27伤害3挖尘47a易伤57时间6核7序列升级8低血量敌人9全技能
80	52132 42126	4	   	263.14	橙3易伤2伤害2时间1全技能	1平台27伤害3挖尘479易伤57时间6核7序列升级8低血量敌人a全技能
81	52232 11135	3	   	263.14	橙3易伤2伤害3攻速1全技能	1平台27伤害367易伤4赏金塔567攻速67序列升级8敌人爆炸9全技能a核
82	52252 11135	3	   	263.14	橙3易伤2伤害3攻速1全技能	1平台27伤害367易伤467攻速5赏金邻近67序列升级8敌人爆炸9全技能a核
83	52233 34123	5	   	263.04	橙3易伤2伤害2时间1全技能	1平台27伤害345易伤6全技能89时间a核
84	36212 63315	4	   	262.90	橙4易伤3时间1攻速	1随机矿237时间478最后敌人5678易伤78序列升级9核a攻速
85	55221 62313	6	   	262.64	橙5易伤1时间1攻速	1平台23489易伤4序列升级5时间6核7攻速a雷电
86	55221 43212	6	   	262.60	橙4易伤3时间1攻速	1平台2348易伤4序列升级567时间9核a攻速
87	13215 42352	4	 * 	262.49	橙3易伤2攻速2暴击1伤害1时间	1低血量敌人28a易伤3掉矿4伤害5a暴击6时间7a攻速9核a序列升级
88	52232 43342	3	 * 	262.19	橙2易伤3伤害3攻速3雷电	1平台29a伤害3a易伤4赏金塔589攻速69a雷电7核9a序列升级
89	12613 12335	7	   	261.89	橙3易伤2伤害2时间	18低血量敌人28时间3策反45伤害6核78a易伤8序列升级9雷电
90	13613 15335	6	   	261.89	橙3易伤2伤害2时间	18低血量敌人28a易伤3策反45伤害6核78时间8序列升级9雷电
91	52132 42612	4	   	261.79	橙3易伤2伤害2时间	1平台27伤害3挖尘479易伤57时间6核7序列升级8雷电a敌人爆炸
92	52132 42613	4	   	261.69	橙3易伤2伤害2时间	1平台27伤害3挖尘479易伤57时间6核7序列升级8雷电a掉矿
93	13113 61533	3	   	261.64	橙4易伤2伤害1等级	18低血量敌人2689易伤34基地爆炸5等级78伤害8序列升级a核
94	13114 61533	2	   	261.64	橙4易伤2伤害1时间	18低血量敌人2689易伤3双倍矿4矿等5时间78伤害8序列升级a核
95	13133 61533	3	   	261.64	橙4易伤2伤害1等级	148低血量敌人2689易伤3基地爆炸5等级78伤害8序列升级a核
96	13133 61533	4	   	261.64	橙4易伤2伤害1等级	18低血量敌人2689易伤3基地爆炸4双倍矿5等级78伤害8序列升级a核
97	13136 61533	2	   	261.64	橙4易伤2伤害1等级	18低血量敌人2689易伤3双倍矿4敌人爆炸5等级78伤害8序列升级a核
98	13153 61533	4	   	261.64	橙4易伤2伤害1等级	18低血量敌人2689易伤3基地爆炸4立即金币5等级78伤害8序列升级a核
99	13163 61533	2	   	261.64	橙4易伤2伤害1等级	18低血量敌人2689易伤3双倍矿4基地爆炸5等级78伤害8序列升级a核
100	13326 61333	3	   	261.64	橙4易伤2伤害1等级	18低血量敌人2689易伤3随机矿4矿等5等级78伤害8序列升级a核
101	52233 53152	6	   	261.64	橙4易伤2伤害1时间	1平台2a伤害345a易伤6时间7金币生成8核9a低血量敌人a序列升级
102	55221 53122	6	   	261.64	橙4易伤2伤害1时间	1平台234a易伤4a序列升级5时间6随机矿7a金币生成8核9a伤害
103	16634 32225	8	   	261.54	橙4易伤2伤害1时间	17低血量敌人2平台3时间4加一57伤害679a易伤7序列升级8核
104	16634 32335	6	   	261.54	橙4易伤2伤害1时间	17低血量敌人2平台3时间4加一57伤害678a易伤7序列升级9核
105	16634 32335	7	   	261.54	橙4易伤2伤害1时间	17低血量敌人2平台3时间4加一57伤害678a易伤7序列升级9核
106	51232 43735	6	   	261.54	橙4易伤2伤害1时间	1平台27最后敌人357a易伤4加一67伤害7序列升级8时间9核
107	51634 32225	8	   	261.54	橙4易伤2伤害1时间	1平台27最后敌人3时间4加一57伤害679a易伤7序列升级8核
108	13214 61533	3	   	261.54	橙4易伤2伤害1时间	148低血量敌人2689易伤3掉矿5时间78伤害8序列升级a核
109	13224 61513	3	   	261.54	橙4易伤2伤害1时间	189低血量敌人2468易伤34掉矿48序列升级5时间78伤害a核
110	13233 61533	3	   	261.54	橙4易伤2伤害1时间	158低血量敌人2689易伤3掉矿4时间78伤害8序列升级a核
111	13233 61533	4	   	261.54	橙4易伤2伤害1时间	158低血量敌人2689易伤3掉矿4时间78伤害8序列升级a核
112	13236 61513	4	   	261.54	橙4易伤2伤害1时间	189低血量敌人2568易伤3掉矿4时间78伤害8序列升级a核
113	13236 61513	3	   	261.54	橙4易伤2伤害1时间	189低血量敌人2568易伤3掉矿4时间78伤害8序列升级a核
114	13366 61333	4	   	261.54	橙4易伤2伤害1等级	18低血量敌人2689易伤3随机矿4掉矿5等级78伤害8序列升级a核
115	13366 61333	3	   	261.54	橙4易伤2伤害1等级	18低血量敌人2689易伤3随机矿4掉矿5等级78伤害8序列升级a核
116	13231 61533	4	   	261.44	橙4易伤2伤害1时间	18低血量敌人2689易伤35掉矿4时间78伤害8序列升级a核
117	13231 61533	3	   	261.44	橙4易伤2伤害1时间	18低血量敌人2689易伤35掉矿4时间78伤害8序列升级a核
118	52231 24315	4	   	261.44	橙4易伤2伤害1时间	1平台27伤害3489易伤5时间6最后敌人a核
119	52232 14315	4	   	261.44	橙4易伤2伤害1时间	1平台27伤害3489易伤5最后敌人6时间a核
120	43613 12125	10	   	261.34	橙4易伤2伤害1时间	1挖尘2时间3策反45伤害6核789a易伤
121	52222 11165	3	   	261.34	橙4易伤2伤害1时间	1平台27伤害367a易伤467掉矿5赏金邻近67序列升级8时间9核
122	52322 11165	2	   	261.34	橙4易伤2伤害1时间	1平台27伤害3赏金邻近467掉矿567a易伤67序列升级8时间9核
123	55221 43211	6	   	261.26	橙4易伤3时间1全技能	1平台2348易伤4序列升级567时间9核a全技能
124	52233 32661	8	   	261.20	橙4易伤2伤害1等级1卖塔	1平台29伤害3457易伤6卖塔8等级a核
125	52213 51162	9	 * 	261.04	橙4易伤3伤害	1平台26a伤害378a易伤45a金币生成9核a序列升级
126	52532 35211	5	   	260.45	橙3易伤2时间1伤害1暴击1攻速	1平台2伤害3a时间479易伤5攻速6核8暴击
127	55221 31234	5	   	260.33	橙4易伤2时间1暴击	1平台2347易伤47序列升级57时间6赏金塔8雷电9暴击a核
128	12613 11112	8	 * 	260.29	橙2易伤2伤害2时间2等级1暴击	1低血量敌人2a时间3策反45伤害6核7a等级8暴击9a易伤a序列升级
129	55211 51322	4	   	260.21	橙3易伤2伤害2攻速1时间	1平台23a易伤4a攻速5时间68金币生成7核9a伤害a序列升级
130	55211 33122	4	   	260.21	橙3易伤2伤害2攻速1时间	16平台23a易伤4a攻速5时间7金币生成8核9a伤害a序列升级
131	55211 43122	4	   	260.21	橙3易伤2伤害2攻速1时间	1平台23a易伤4a攻速5时间6立即金币7金币生成8核9a伤害a序列升级
132	55211 52122	4	   	260.21	橙3易伤2伤害2攻速1时间	1平台23a易伤4a攻速5时间67金币生成8核9a伤害a序列升级
133	43613 11112	8	   	260.19	橙2易伤2伤害2时间2等级1暴击	1挖尘2a时间3策反45伤害6核7a等级8暴击9a易伤a序列升级
134	52233 33442	4	   	260.15	橙4易伤2伤害2雷电	18平台2a伤害347a易伤5a雷电6核9赏金塔a序列升级
135	52233 33642	4	   	260.15	橙4易伤2伤害2雷电	1平台2a伤害347a易伤5a雷电6核8双倍矿9赏金塔a序列升级
136	55532 42223	10	   	260.15	橙4易伤2伤害2雷电	1平台259a易伤3最后敌人4加一6a伤害7a雷电8核a序列升级
137	52233 54333	6	   	260.10	橙4易伤1伤害1等级1时间	1平台2伤害3458易伤6时间7低血量敌人9等级a核
138	36315 25122	5	   	260.10	橙2易伤2时间2攻速1伤害1等级1暴击1核弹	1随机矿2a时间3暴击4a攻速5伤害6等级7a易伤8核9核弹a序列升级
139	55336 42223	10	   	260.05	橙4易伤2伤害2雷电	1平台259a易伤3挖尘4加一6a伤害7a雷电8核a序列升级
140	51262 23315	6	 * 	259.79	橙4易伤2时间2攻速	1平台27最后敌人3589易伤47时间67攻速7序列升级a核
141	51333 13315	5	   	259.79	橙4易伤2时间2攻速	1平台27最后敌人34攻速5789易伤67时间7序列升级a核
142	51342 13315	5	   	259.79	橙4易伤2时间2攻速	1平台27最后敌人35攻速4789易伤67时间7序列升级a核
