0	Index      	 *	Score 	Summary	Detail	
1	31536 15312	 * 	213.02	紫3伤害2基地爆炸2易伤1攻速	1额外掉落258低血量敌人3核45a伤害58序列升级68基地爆炸78易伤9攻速
81	31556 31333	   	184.34	紫2攻速2基地爆炸1全技能1暴击	1额外掉落2低血量敌人3核4矿等5全技能6暴击79基地爆炸8a攻速
82	31533 33552	   	184.33	紫3基地爆炸1伤害1攻速1暴击	1额外掉落2低血量敌人3核4伤害589基地爆炸6暴击7挖尘a攻速
83	31536 14111	   	184.32	紫2伤害1攻速1基地爆炸1暴击1技能	1额外掉落25低血量敌人3核45伤害5序列升级6基地爆炸7技能8随机矿9攻速a暴击
84	31536 14311	   	184.32	紫2伤害1攻速1基地爆炸1暴击1技能	1额外掉落25低血量敌人3核45伤害5序列升级6基地爆炸7技能8金币生成9攻速a暴击
85	31536 11211	   	184.26	紫3伤害3基地爆炸	1额外掉落258低血量敌人3核458伤害58序列升级689基地爆炸7双倍矿a敌人爆炸
86	31536 11212	   	184.26	紫3伤害3基地爆炸	1额外掉落258低血量敌人3核458伤害58序列升级689基地爆炸7双倍矿a金币生成
87	31536 11213	   	184.26	紫3伤害3基地爆炸	1额外掉落258低血量敌人3核458伤害58序列升级689基地爆炸7双倍矿a平台
88	31536 11261	   	184.26	紫3伤害3基地爆炸	1额外掉落258a低血量敌人3核458伤害58a序列升级68a基地爆炸7双倍矿9双倍物品
89	31515 23361	   	184.22	紫2攻速1基础对冰1基地爆炸1暴击1技能	1额外掉落2低血量敌人3核4时间5技能6a攻速7基础对冰8基地爆炸9暴击
90	31533 31616	   	184.22	紫2伤害1攻速1基地爆炸1暴击1技能	1额外掉落2低血量敌人3核48伤害5基地爆炸6暴击7技能9平台a攻速
91	31536 11214	   	184.16	紫3伤害3基地爆炸	1额外掉落258低血量敌人3核458伤害58序列升级689基地爆炸7双倍矿a等级
92	31536 11215	   	184.16	紫3伤害3基地爆炸	1额外掉落258低血量敌人3核458伤害58序列升级689基地爆炸7双倍矿a技能点
93	31536 11216	   	184.16	紫3伤害3基地爆炸	1额外掉落258低血量敌人3核458伤害58序列升级689基地爆炸7双倍矿a挖尘
94	31522 14212	 * 	183.98	紫1基础对甲2基地爆炸2技能	1额外掉落248低血量敌人3核57技能68基地爆炸8序列升级9激光对冰a基础对甲
