0	Index      	 *	Score 	Summary	Detail	
1	22421 22616	 * 	279.86	橙橙2伤害1易伤2时间1平台	1技能2赏金塔35伤害45时间5序列升级6加一7a核8易伤9平台
24	32236 43611	 * 	257.25	橙橙2易伤1攻速	1雷电2掉矿3攻速4额外掉落58易伤69挖尘7a核
25	22123 22616	   	255.76	橙橙1易伤2时间1攻速1平台	1技能2赏金塔34时间4序列升级5攻速6加一7a核8易伤9平台
26	33313 62214	   	253.41	橙橙2易伤1全技能1卖塔	1雷电24易伤345最后敌人4序列升级69核7卖塔8低血量敌人a全技能
27	33313 62614	   	253.31	橙橙2易伤1全技能1卖塔	1雷电24易伤345最后敌人4序列升级69核7卖塔8挖尘a全技能
28	43131 22616	   	253.11	橙橙1易伤2攻速1平台1策反	1基地爆炸2策反3加一4赏金塔56攻速7a核8易伤9平台
29	65224 13121	 * 	252.26	橙橙2矿等1伤害1攻速	1狙击对黄2掉矿3赏金塔4赏金邻近59矿等6伤害7攻速8a核
30	33313 62211	   	252.06	橙橙2易伤1卖塔	1雷电24易伤345最后敌人4序列升级69核7卖塔8低血量敌人a时间
31	33313 62513	   	252.06	橙橙2易伤1卖塔	1雷电24易伤345最后敌人4序列升级69核7卖塔8时间a金币生成
32	33313 62515	   	252.06	橙橙2易伤1卖塔	1雷电24易伤345最后敌人4序列升级69核7卖塔8时间a立即金币
33	33313 62611	   	251.96	橙橙2易伤1卖塔	1雷电24易伤345最后敌人4序列升级69核7卖塔8挖尘a时间
34	12251 14111	   	251.31	橙橙1易伤1伤害1攻速	1攻速2寒冰对甲3赏金塔4挖尘5基地爆炸6伤害7a核8最后敌人9易伤
35	12255 14111	   	251.31	橙橙1易伤1伤害1攻速	1攻速2寒冰对甲3赏金塔4挖尘5敌人爆炸6伤害7a核8最后敌人9易伤
36	42611 14111	   	251.31	橙橙1易伤1伤害1攻速	1基地爆炸2散射对喷气3赏金邻近4低血量敌人5伤害6攻速7a核8最后敌人9易伤
37	42611 14211	   	251.31	橙橙1易伤1伤害1攻速	1基地爆炸2散射对喷气3赏金邻近4低血量敌人5伤害6攻速7a核8敌人爆炸9易伤
38	11442 62211	   	251.21	橙橙1易伤1伤害1攻速	1攻速2双倍秒伤3赏金邻近4最后敌人5机枪对壮6a核7伤害8立即金币9易伤
39	11522 62211	   	251.21	橙橙1易伤1伤害1攻速	1攻速2双倍秒伤3最后敌人4赏金塔5机枪对壮6a核7伤害8立即金币9易伤
40	11462 62331	   	251.11	橙橙1易伤1伤害1攻速	1攻速2双倍秒伤3赏金邻近4易伤5导弹对黄6a核7伤害8掉矿9金币生成
