0	Index      	 *	Score 	Summary	Detail	
1	21837 25133	 * 	396.19	DCR|2VULN|1MDPS|2DMG|1CDMG|1DUR	1MBVNT|2DUR|3LIT|47DMG|59VULN|6RCR|8CDMG|aMDPS
24	21732 17342	   	374.83	DCR|3VULN|1MDPS|1DUR	1MBVNT|2DUR|3ZMB|459VULN|6ERES|7RCR|8FEWX|aMDPS
25	21732 24142	   	374.83	DCR|3VULN|1MDPS|1DUR	1MBVNT|2DUR|3ZMB|458VULN|6DUST|7CGEN|9RCR|aMDPS
26	21732 81245	   	374.83	DCR|3VULN|1MDPS|1DUR|1MSE	1MBVNT|2DUR|3ZMB|457VULN|6LIT|8RCR|9MSE|aMDPS
27	21732 81273	   	374.83	DCR|3VULN|1MDPS|1DUR	1MBVNT|2DUR|3ZMB|457VULN|6LIT|8RCR|9TBNT|aMDPS
28	13732 17642	   	374.83	DCR|3VULN|1MDPS|1DUR	1FEWX|2MBVNT|3ZMB|459VULN|6ERES|7RCR|8DUR|aMDPS
29	25732 17432	   	374.83	DCR|3VULN|1MDPS|1DUR	1MBVNT|2BEXP|3ZMB|458VULN|6ERES|7RCR|9DUR|aMDPS
30	21672 48142	   	374.73	DCR|3VULN|1MDPS|1DUR	1MBVNT|2DUR|3DUST|4ZMB|568VULN|7ERES|9RCR|aMDPS
31	21732 11157	   	374.73	DCR|3VULN|1MDPS|1DUR	1MBVNT|2DUR|3ZMB|459VULN|6ERES|7AIRARM|8RCR|aMDPS
32	21732 28142	   	374.73	DCR|3VULN|1MDPS|1DUR	1MBVNT|2DUR|3ZMB|458VULN|6DUST|7ERES|9RCR|aMDPS
33	34215 22351	   	371.10	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	18VULN|2CGEN|3RAT|4DUR|5BOSS|6AART|7RCR|9TLV|aMDPS
34	21732 67242	   	369.70	DCR|2VULN|1MDPS|2DUR|1TLV	1MBVNT|26DUR|3ZMB|45VULN|7DUST|8TLV|9RCR|aMDPS
35	23621 27542	   	368.79	DCR|2VULN|1MDPS|2DMG|1DUR	1MBVNT|28ERES|3RMIN|48DMG|5DUR|6MLV|78VULN|8BPWR|9RCR|aMDPS
36	23621 37542	   	368.79	DCR|2VULN|1MDPS|2DMG|1DUR	1MBVNT|28ERES|3RMIN|48DMG|5DUR|6CGEN|78VULN|8BPWR|9RCR|aMDPS
37	21272 48544	 * 	368.22	DCR|DCR|3VULN|2DUR	1MBVNT|28DUR|3AETHUN|48ZMB|568VULN|7RMIN|8BPWR|9aRCR
38	21734 48544	   	368.22	DCR|DCR|3VULN|2DUR	1MBVNT|28DUR|38ZMB|468VULN|5AETHUN|7RMIN|8BPWR|9aRCR
