0	Index      	 *	Score 	Summary	Detail	
1	33121 15542	 * 	237.44	DCR|3VULN|2DMG|2ASPD|1AART|1AAC	12aVULN|3aASPD|4LWND|5AAC|6RCR|7AELBLL|8AART|9aDMG|aBPWR
25	33212 57481	 * 	217.31	DCR|3VULN|2DMG|1AART|1CDMG	125VULN|35LIT|4MBVNT|5BPWR|6AART|7RCR|8CDMG|9aDMG
26	33116 33431	 * 	216.96	DCR|4VULN|1ASPD|1DMG|1CDMG	1258VULN|3ASPD|4RCVC|6RCR|7LIT|9CDMG|aDMG
27	33153 11643	 * 	216.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	12VULN|38ASPD|4FEWX|5AART|6TLV|7RCR|9DMG|aCDMG
28	33234 22316	   	216.06	DCR|3VULN|2ASPD|1DMG|2DUR|1ZMB	127VULN|35LIT|47DUR|67ASPD|7BPWR|8RCR|9DMG|aZMB
29	33236 32316	   	216.06	DCR|3VULN|2ASPD|1DMG|2DUR|1ZMB	127VULN|3LIT|47DUR|57ASPD|6DMSP|7BPWR|8RCR|9DMG|aZMB
30	25233 52313	   	215.77	DCR|3VULN|2DMG|1ASPD|2DUR	15RCVC|27aVULN|3LIT|47DUR|67DMG|7BPWR|8RCR|9ASPD
31	33116 31252	   	215.13	DCR|4VULN|2ASPD|1DMG	1259VULN|39ASPD|4RCVC|6RCR|7BELT|89CGEN|9BPWR|aDMG
32	33116 31552	   	214.93	DCR|4VULN|2ASPD|1DMG	1259VULN|39ASPD|4RCVC|6RCR|7BELT|89ERES|9BPWR|aDMG
33	34363 52313	   	214.87	DCR|3VULN|2DMG|1ASPD|2DUR	17aVULN|2LIT|37DUR|45RCVC|67DMG|7BPWR|8RCR|9ASPD
34	33234 22321	   	214.84	DCR|3VULN|3ASPD|1CDMG|2DUR	127VULN|35LIT|47DUR|679ASPD|7BPWR|8RCR|aCDMG
35	33236 32321	   	214.84	DCR|3VULN|3ASPD|1CDMG|2DUR	127VULN|3LIT|47DUR|579ASPD|6DMSP|7BPWR|8RCR|aCDMG
36	33233 22365	   	214.65	DCR|4VULN|2ASPD|2DUR|1ZMB	1279VULN|3LIT|47DUR|5RCVC|67ASPD|7BPWR|8RCR|aZMB
37	33323 66151	 * 	214.36	DCR|5VULN|1ASPD|1CDMG|1DUR	12458VULN|3LWND|6DUR|7RCR|9ASPD|aCDMG
38	33232 52236	 * 	214.25	DCR|3VULN|2DMG|1ASPD|3DUR	127VULN|35LIT|457DUR|57BPWR|67DMG|8RCR|9BEXP|aASPD
39	33235 52236	   	214.15	DCR|3VULN|2DMG|1ASPD|3DUR	127VULN|3LIT|457DUR|67DMG|7BPWR|8RCR|9BEXP|aASPD
40	33232 52216	   	214.15	DCR|3VULN|2DMG|1ASPD|3DUR	127VULN|35LIT|457DUR|57BPWR|67DMG|8RCR|9DUST|aASPD
41	33235 52216	   	214.05	DCR|3VULN|2DMG|1ASPD|3DUR	127VULN|3LIT|457DUR|67DMG|7BPWR|8RCR|9DUST|aASPD
42	25234 52313	   	213.10	DCR|3VULN|2DMG|1ASPD|2DUR	1RCVC|27aVULN|35LIT|47DUR|67DMG|7BPWR|8RCR|9ASPD
43	33233 52311	   	213.07	DCR|3VULN|2DMG|1ASPD|2DUR	127VULN|3LIT|47DUR|5aRCVC|67DMG|7BPWR|8RCR|9ASPD
44	33232 52262	 * 	213.01	DCR|3VULN|1MDPS|2DMG|3DUR	127VULN|359LIT|457DUR|57BPWR|67DMG|8RCR|aMDPS
45	33235 52263	   	212.91	DCR|3VULN|1MDPS|2DMG|3DUR	127VULN|39LIT|457DUR|67DMG|7BPWR|8RCR|aMDPS
46	25233 22313	   	212.40	DCR|3VULN|2ASPD|1DMG|2DUR	15RCVC|27aVULN|3LIT|47DUR|67ASPD|7BPWR|8RCR|9DMG
47	25233 52362	   	211.96	DCR|3VULN|2DMG|1CDMG|2DUR	15RCVC|279VULN|3LIT|47DUR|67DMG|7BPWR|8RCR|aCDMG
48	34233 52313	   	211.90	DCR|3VULN|2DMG|1ASPD|2DUR	17aVULN|23LIT|47DUR|5RCVC|67DMG|7BPWR|8RCR|9ASPD
49	33233 52312	   	211.90	DCR|3VULN|2DMG|1ASPD|2DUR	127VULN|3LIT|47DUR|5RCVC|67DMG|7BPWR|8RCR|9ASPD|aLHND
50	33234 22365	   	211.84	DCR|4VULN|2ASPD|2DUR|1ZMB	1279VULN|35LIT|47DUR|67ASPD|7BPWR|8RCR|aZMB
51	33236 32365	   	211.84	DCR|4VULN|2ASPD|2DUR|1ZMB	1279VULN|3LIT|47DUR|57ASPD|6DMSP|7BPWR|8RCR|aZMB
52	33153 22312	   	211.84	DCR|3VULN|2ASPD|1AART|1CDMG	126VULN|39ASPD|4FEWX|5AART|7DLOT|8RCR|aCDMG
53	33233 52314	   	211.80	DCR|3VULN|2DMG|1ASPD|2DUR	127VULN|3LIT|47DUR|5RCVC|67DMG|7BPWR|8RCR|9ASPD|aTLV
54	33153 11344	   	211.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	128VULN|3ASPD|4FEWX|5AART|6TLV|7RCR|9DMG|aDUR
55	34363 22313	   	211.50	DCR|3VULN|2ASPD|1DMG|2DUR	17aVULN|2LIT|37DUR|45RCVC|67ASPD|7BPWR|8RCR|9DMG
56	33114 33424	   	211.31	DCR|3VULN|1AART|1ASPD|1DMG	128VULN|3ASPD|45RCVC|6RCR|7LIT|9AART|aDMG
57	33116 33434	   	211.15	DCR|5VULN|1ASPD|1CDMG	1258aVULN|3ASPD|4RCVC|6RCR|7LIT|9CDMG
58	33232 22231	 * 	210.88	DCR|3VULN|2ASPD|1DMG|3DUR	127VULN|35LIT|457DUR|57BPWR|67ASPD|8RCR|9BEXP|aDMG
59	33232 22211	   	210.78	DCR|3VULN|2ASPD|1DMG|3DUR	127VULN|35LIT|457DUR|57BPWR|67ASPD|8RCR|9DUST|aDMG
60	33235 22231	   	210.78	DCR|3VULN|2ASPD|1DMG|3DUR	127VULN|3LIT|457DUR|67ASPD|7BPWR|8RCR|9BEXP|aDMG
61	33236 52231	   	210.78	DCR|3VULN|2ASPD|1DMG|3DUR	127VULN|3LIT|467DUR|57ASPD|7BPWR|8RCR|9BEXP|aDMG
62	35321 32135	 * 	210.73	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	19VULN|2SPLJET|3ASPD|4DMG|5AART|6ERES|7DUR|8RCR|aMDPS
63	33141 11635	 * 	210.70	DCR|3VULN|1SPLARM|1ASPD|1DMG|1AAC	12aVULN|3ASPD|4LHND|5AAC|6RCR|7ERES|8SPLARM|9DMG
64	33235 22211	   	210.68	DCR|3VULN|2ASPD|1DMG|3DUR	127VULN|3LIT|457DUR|67ASPD|7BPWR|8RCR|9DUST|aDMG
65	33236 52211	   	210.68	DCR|3VULN|2ASPD|1DMG|3DUR	127VULN|3LIT|467DUR|57ASPD|7BPWR|8RCR|9DUST|aDMG
66	33212 57522	 * 	210.60	DCR|3VULN|1MDPS|1AART|1DMG|1DUR	125VULN|35LIT|4MBVNT|5BPWR|6AART|7RCR|8DUR|9DMG|aMDPS
67	33232 52223	 * 	210.43	DCR|3VULN|2DMG|3DUR|1CDMG	127VULN|35LIT|457DUR|57BPWR|67DMG|8RCR|9CGEN|aCDMG
68	33232 52243	   	210.43	DCR|3VULN|2DMG|3DUR|1CDMG	127VULN|35LIT|457DUR|57BPWR|67DMG|8RCR|9AME|aCDMG
69	33116 33524	   	210.41	DCR|3VULN|1AART|1ASPD|1DMG	125VULN|3ASPD|48RCVC|6RCR|7LIT|9AART|aDMG
70	33234 52311	   	210.40	DCR|3VULN|2DMG|1ASPD|2DUR	127VULN|35LIT|47DUR|67DMG|7BPWR|8RCR|9ASPD|aRCVC
71	65313 22352	 * 	210.35	ACR|3VULN|2DMG|2ASPD|1AART	1RMIN|23aVULN|4RCVC|5RCR|6LWND|7AART|8aDMG|9aASPD|aBPWR
72	33235 52223	   	210.33	DCR|3VULN|2DMG|3DUR|1CDMG	127VULN|3LIT|457DUR|67DMG|7BPWR|8RCR|9CGEN|aCDMG
73	33235 52243	   	210.33	DCR|3VULN|2DMG|3DUR|1CDMG	127VULN|3LIT|457DUR|67DMG|7BPWR|8RCR|9AME|aCDMG
74	33232 52253	   	210.33	DCR|3VULN|2DMG|3DUR|1CDMG	127VULN|35LIT|457DUR|57BPWR|67DMG|8RCR|9ERES|aCDMG
75	33235 52253	   	210.23	DCR|3VULN|2DMG|3DUR|1CDMG	127VULN|3LIT|457DUR|67DMG|7BPWR|8RCR|9ERES|aCDMG
76	33153 62312	 * 	210.08	DCR|2VULN|2AART|2ASPD|1CDMG	12VULN|39ASPD|4FEWX|56AART|7DLOT|8RCR|aCDMG
77	35231 15411	   	209.94	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	137VULN|23SPLJET|3BPWR|4DUR|5AART|6AME|8RCR|9DMG|aASPD
78	33232 52231	 * 	209.84	DCR|3VULN|3DMG|3DUR	127VULN|35LIT|457DUR|57BPWR|67aDMG|8RCR|9BEXP
79	33143 21635	   	209.79	DCR|3VULN|2ASPD|1DMG|2SPLREG|1DUR|1SELL	128VULN|38ASPD|4LHND|5DUR|68SPLREG|7SELL|8BPWR|9DMG|aRCR
80	25233 52321	   	209.78	DCR|3DMG|2VULN|1CDMG|2DUR	15RCVC|27VULN|3LIT|47DUR|679DMG|7BPWR|8RCR|aCDMG
81	33235 52231	   	209.74	DCR|3VULN|3DMG|3DUR	127VULN|3LIT|457DUR|67aDMG|7BPWR|8RCR|9BEXP
82	33232 52211	   	209.74	DCR|3VULN|3DMG|3DUR	127VULN|35LIT|457DUR|57BPWR|67aDMG|8RCR|9DUST
83	25234 22313	   	209.73	DCR|3VULN|2ASPD|1DMG|2DUR	1RCVC|27aVULN|35LIT|47DUR|67ASPD|7BPWR|8RCR|9DMG
84	25236 32313	   	209.73	DCR|3VULN|2ASPD|1DMG|2DUR	1RCVC|27aVULN|3LIT|47DUR|57ASPD|6DMSP|7BPWR|8RCR|9DMG
85	33233 22311	   	209.70	DCR|3VULN|2ASPD|1DMG|2DUR	127VULN|3LIT|47DUR|5aRCVC|67ASPD|7BPWR|8RCR|9DMG
86	33232 22262	 * 	209.64	DCR|3VULN|1MDPS|2ASPD|3DUR	127VULN|359LIT|457DUR|57BPWR|67ASPD|8RCR|aMDPS
87	33235 52211	   	209.64	DCR|3VULN|3DMG|3DUR	127VULN|3LIT|457DUR|67aDMG|7BPWR|8RCR|9DUST
88	33235 22263	   	209.54	DCR|3VULN|1MDPS|2ASPD|3DUR	127VULN|39LIT|457DUR|67ASPD|7BPWR|8RCR|aMDPS
89	33236 52263	   	209.54	DCR|3VULN|1MDPS|2ASPD|3DUR	127VULN|39LIT|467DUR|57ASPD|7BPWR|8RCR|aMDPS
90	33116 35123	   	209.32	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	125VULN|3ASPD|4RCVC|6RCR|7CDMG|8AAC|9DMG|aDUR
91	33234 52312	   	209.09	DCR|3VULN|2DMG|1ASPD|2DUR	127VULN|35LIT|47DUR|67DMG|7BPWR|8RCR|9ASPD|aLHND
92	33234 52314	   	208.99	DCR|3VULN|2DMG|1ASPD|2DUR	127VULN|35LIT|47DUR|67DMG|7BPWR|8RCR|9ASPD|aTLV
93	34363 52321	   	208.88	DCR|3DMG|2VULN|1CDMG|2DUR	17VULN|2LIT|37DUR|45RCVC|679DMG|7BPWR|8RCR|aCDMG
94	34364 22313	   	208.83	DCR|3VULN|2ASPD|1DMG|2DUR	17aVULN|25LIT|37DUR|4RCVC|67ASPD|7BPWR|8RCR|9DMG
95	34366 32313	   	208.83	DCR|3VULN|2ASPD|1DMG|2DUR	17aVULN|2LIT|37DUR|4RCVC|57ASPD|6DMSP|7BPWR|8RCR|9DMG
96	33233 52416	 * 	208.74	DCR|4VULN|2DMG|3DUR	1278VULN|3LIT|479DUR|5RCVC|67DMG|7BPWR|aRCR
97	33111 33424	   	208.64	DCR|3VULN|1AART|1ASPD|1DMG	128VULN|3ASPD|4RCVC|5AELBLL|6RCR|7LIT|9AART|aDMG
98	25233 22362	   	208.59	DCR|3VULN|2ASPD|1CDMG|2DUR	15RCVC|279VULN|3LIT|47DUR|67ASPD|7BPWR|8RCR|aCDMG
99	33515 32413	   	208.57	DCR|4VULN|2DMG|1ZMB	129aVULN|3CGEN|4RCVC|5ZMB|6RCR|78DMG
100	33615 32413	   	208.57	DCR|4VULN|2DMG|1ZMB	129aVULN|3MLV|4RCVC|5ZMB|6RCR|78DMG
101	33116 35511	 * 	208.54	DCR|3VULN|2CDMG|1ASPD|1DMG	125VULN|3ASPD|4RCVC|6RCR|79CDMG|8LIT|aDMG
102	34233 22313	   	208.53	DCR|3VULN|2ASPD|1DMG|2DUR	17aVULN|23LIT|47DUR|5RCVC|67ASPD|7BPWR|8RCR|9DMG
103	33233 22312	   	208.53	DCR|3VULN|2ASPD|1DMG|2DUR	127VULN|3LIT|47DUR|5RCVC|67ASPD|7BPWR|8RCR|9DMG|aLHND
104	33233 22314	   	208.43	DCR|3VULN|2ASPD|1DMG|2DUR	127VULN|3LIT|47DUR|5RCVC|67ASPD|7BPWR|8RCR|9DMG|aTLV
105	25233 52316	   	208.27	DCR|2VULN|2DMG|1ASPD|2DUR|1ZMB	15RCVC|27VULN|3LIT|47DUR|67DMG|7BPWR|8RCR|9ASPD|aZMB
106	34233 52362	   	208.08	DCR|3VULN|2DMG|1CDMG|2DUR	179VULN|23LIT|47DUR|5RCVC|67DMG|7BPWR|8RCR|aCDMG
107	33233 52342	   	208.08	DCR|3VULN|2DMG|1CDMG|2DUR	127VULN|39LIT|47DUR|5RCVC|67DMG|7BPWR|8RCR|aCDMG
108	34634 32313	   	208.02	DCR|4VULN|2ASPD|1DMG	157aVULN|2LIT|37ASPD|47BEXP|6DMSP|7BPWR|8RCR|9DMG
109	34624 32313	   	207.82	DCR|4VULN|2ASPD|1DMG	157aVULN|2LIT|37ASPD|47DUST|6DMSP|7BPWR|8RCR|9DMG
110	34363 22362	   	207.69	DCR|3VULN|2ASPD|1CDMG|2DUR	179VULN|2LIT|37DUR|45RCVC|67ASPD|7BPWR|8RCR|aCDMG
111	33233 52364	   	207.68	DCR|4VULN|2DMG|2DUR	1279VULN|3LIT|47DUR|5RCVC|67DMG|7BPWR|8RCR|aLWND
112	33233 52366	   	207.68	DCR|4VULN|2DMG|2DUR	1279VULN|3LIT|47DUR|5RCVC|67DMG|7BPWR|8RCR|aCGEN
113	33233 52361	   	207.58	DCR|4VULN|2DMG|2DUR	1279VULN|3LIT|47DUR|5RCVC|67DMG|7BPWR|8RCR|aMBVNT
114	33233 52363	   	207.58	DCR|4VULN|2DMG|2DUR	1279VULN|3LIT|47DUR|5RCVC|67DMG|7BPWR|8RCR|aTLV
115	33233 52322	   	207.49	DCR|3VULN|3DMG|2DUR	127VULN|3LIT|47DUR|5RCVC|679DMG|7BPWR|8RCR|aLHND
116	33233 52323	   	207.49	DCR|3VULN|3DMG|2DUR	127VULN|3LIT|47DUR|5RCVC|679DMG|7BPWR|8RCR|aCGEN
117	33233 52326	   	207.49	DCR|3VULN|3DMG|2DUR	127VULN|3LIT|47DUR|5RCVC|679DMG|7BPWR|8RCR|aMULFIG
