0	Index      	 *	Score 	Summary	Detail	
1	34123 26612	 * 	243.45	DCR|5VULN|1MDPS|2ASPD|1AART|2DUR	1235aVULN|4MDPS|6RCR|7aDUR|8AART|9aASPD|aBPWR
47	34151 71112	   	215.69	DCR|5VULN|2DMG|1DUR	12348VULN|5MBVNT|68DMG|7RCR|8BPWR|9DUR|aFEWX
48	31151 71123	   	215.66	DCR|4VULN|1MDPS|2DMG	1348VULN|2RCVC|5MBVNT|68DMG|7RCR|8BPWR|9DMSP|aMDPS
49	34151 71111	   	215.59	DCR|5VULN|2DMG|1DUR	12348VULN|5MBVNT|68DMG|7RCR|8BPWR|9DUR|aERES
50	34151 71114	   	215.59	DCR|5VULN|2DMG|1DUR	12348VULN|5MBVNT|68DMG|7RCR|8BPWR|9DUR|aDUST
51	34151 71143	   	215.59	DCR|5VULN|2DMG|1DUR	12348VULN|5MBVNT|68DMG|7RCR|8BPWR|9DUST|aDUR
52	31151 71111	   	215.56	DCR|4VULN|2DMG|1MDPS	1348VULN|2aRCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS
53	31151 71112	   	215.56	DCR|4VULN|2DMG|1MDPS	1348VULN|2RCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS|aCGEN
54	31151 71113	   	215.56	DCR|4VULN|2DMG|1MDPS	1348VULN|2RCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS|aLHND
55	31151 71114	   	215.56	DCR|4VULN|2DMG|1MDPS	1348VULN|2RCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS|aLWND
56	31151 71115	   	215.56	DCR|4VULN|2DMG|1MDPS|1DUR	1348VULN|2RCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS|aDUR
57	31151 71116	   	215.56	DCR|4VULN|2DMG|1MDPS|1ZMB	1348VULN|2RCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS|aZMB
58	31151 71117	   	215.56	DCR|4VULN|1MDPS|2DMG	1348VULN|2RCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS|aAELBLL
59	31151 71118	   	215.56	DCR|4VULN|2DMG|1MDPS	1348VULN|2RCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS|aRPLT
60	34251 71123	   	215.36	DCR|4VULN|1MDPS|2DMG	1248VULN|3RCVC|5MBVNT|68DMG|7RCR|8BPWR|9DMSP|aMDPS
61	34251 71111	   	215.26	DCR|4VULN|2DMG|1MDPS	1248VULN|3aRCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS
62	34251 71112	   	215.26	DCR|4VULN|2DMG|1MDPS	1248VULN|3RCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS|aCGEN
63	34251 71113	   	215.26	DCR|4VULN|2DMG|1MDPS	1248VULN|3RCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS|aLHND
64	34251 71114	   	215.26	DCR|4VULN|2DMG|1MDPS	1248VULN|3RCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS|aLWND
65	42533 23111	 * 	215.23	DCR|2VULN|2DMG|1AART|1CDMG|2ZMB	17ZMB|2LWND|3RPLT|47DMG|57VULN|6RCR|7BPWR|8CDMG|9AART|aDMSP
66	42533 23112	   	215.23	DCR|2VULN|2DMG|1AART|1CDMG|2ZMB	17ZMB|2LWND|3RPLT|47DMG|57VULN|6RCR|7BPWR|8CDMG|9AART|aCGEN
67	42533 23115	   	215.23	DCR|2VULN|2DMG|1AART|1CDMG|2ZMB	17ZMB|2LWND|3RPLT|47DMG|57VULN|6RCR|7BPWR|8CDMG|9AART|aAME
68	42533 23116	   	215.23	DCR|2VULN|2DMG|1AART|1CDMG|2ZMB	17ZMB|2LWND|3aRPLT|47DMG|57VULN|6RCR|7BPWR|8CDMG|9AART
69	42533 23113	   	215.13	DCR|2VULN|2DMG|1AART|1CDMG|2ZMB	17ZMB|2LWND|3RPLT|47DMG|57VULN|6RCR|7BPWR|8CDMG|9AART|aMSLREG
70	42533 23114	   	215.13	DCR|2VULN|2DMG|1AART|1CDMG|2ZMB	17ZMB|2LWND|3RPLT|47DMG|57VULN|6RCR|7BPWR|8CDMG|9AART|aDUST
71	34161 71123	   	215.06	DCR|4VULN|1MDPS|2DMG	1238VULN|4RCVC|5MBVNT|68DMG|7RCR|8BPWR|9DMSP|aMDPS
72	34161 71111	   	214.96	DCR|4VULN|2DMG|1MDPS	1238VULN|4aRCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS
73	34161 71112	   	214.96	DCR|4VULN|2DMG|1MDPS	1238VULN|4RCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS|aCGEN
74	34161 71113	   	214.96	DCR|4VULN|2DMG|1MDPS	1238VULN|4RCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS|aLHND
75	34161 71114	   	214.96	DCR|4VULN|2DMG|1MDPS	1238VULN|4RCVC|5MBVNT|68DMG|7RCR|8BPWR|9MDPS|aLWND
76	33534 22313	 * 	214.72	ACR|3VULN|3DMG|3ZMB|1AART	18aVULN|2BEXP|38aDMG|4LWND|5RCR|6ERES|78aZMB|8aBPWR|9AART
77	22512 43521	 * 	214.54	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1AART|2ERES|348VULN|5RCVC|6ASPD|7RCR|9DUR|aDMG
