0	Index      	 *	Score 	Summary	Detail	
1	25212 12315	 * 	218.34	DCR|3VULN|1AART|1DMG|1NUKE|3DUR	1BEXP|245VULN|345DUR|45BPWR|6LIT|7DMG|8AART|9RCR|aNUKE
36	25212 12316	   	198.17	DCR|3VULN|1AART|1DMG|3DUR	1BEXP|245VULN|345DUR|45BPWR|6LIT|7DMG|8AART|9RCR|aLEGI
37	35122 43336	   	198.17	DCR|4VULN|2ASPD|1DUR	1LEGI|2DMSP|39ASPD|4DUR|59AME|689aVULN|7RCR|9BPWR
38	35123 43336	   	198.17	DCR|4VULN|2ASPD|1DUR	1LEGI|2DMSP|39ASPD|4DUR|59MLV|689aVULN|7RCR|9BPWR
39	25514 33113	 * 	197.68	DCR|2VULN|2AART|1ASPD|1DMG	1BEXP|23VULN|4ASPD|5AIRARM|6aAART|7LIT|8DMG|9RCR
40	31311 61651	 * 	197.40	DCR|4VULN|1AART|1CDMG	1LEGI|2AART|3LIT|4589VULN|6RCR|7RPLT|aCDMG
41	62311 43336	   	197.37	DCR|3VULN|3ASPD|1ZMB	149ASPD|29AME|3BEXP|5FEWX|689VULN|7RCR|9BPWR|aZMB
42	63211 43336	   	197.37	DCR|3VULN|3ASPD|1ZMB	149ASPD|29BEXP|3MLV|5FEWX|689VULN|7RCR|9BPWR|aZMB
43	25313 43336	   	197.34	DCR|3VULN|2DMG|1ASPD	1BEXP|248VULN|34FEWX|4BPWR|5ERES|6aDMG|7RCR|9ASPD
44	36562 33311	   	197.07	DCR|3VULN|3ASPD|1ZMB	1LEGI|2LHND|358VULN|45aASPD|5BPWR|6ERES|7RCR|9ZMB
45	25222 43331	   	196.22	DCR|3VULN|2DMG|1ZMB|1DUR	159BEXP|289VULN|3DUR|45CGEN|59BPWR|69DMG|7RCR|aZMB
46	11315 51122	   	196.08	DCR|4VULN|1ASPD|1ZMB|1DUR	1TLV|2ZMB|3BEXP|4ASPD|5DUR|6RCR|789aVULN
47	25512 63333	   	196.07	DCR|4VULN|1ASPD|2DUR|1AAC	19BEXP|2389VULN|4ASPD|5AME|69DUR|7RCR|9BPWR|aAAC
48	25513 63333	   	196.07	DCR|4VULN|1ASPD|2DUR|1AAC	19BEXP|2389VULN|4ASPD|5MLV|69DUR|7RCR|9BPWR|aAAC
49	25212 11361	 * 	196.06	DCR|4VULN|1AART|3DUR	1BEXP|2457VULN|345DUR|45BPWR|6LIT|8RCR|9MLV|aAART
50	25313 43332	   	195.60	DCR|4VULN|1ASPD|1DMG	1BEXP|248aVULN|34FEWX|4BPWR|5ERES|6DMG|7RCR|9ASPD
51	62111 43331	   	195.34	DCR|3VULN|3ASPD|1DUR	149ASPD|29AME|3DUR|5FEWX|689VULN|7RCR|9BPWR|aBEXP
52	62111 43332	   	195.34	DCR|3VULN|3ASPD|1DUR	149ASPD|29AME|3DUR|5FEWX|689VULN|7RCR|9BPWR|aLIT
53	62113 43331	   	195.34	DCR|3VULN|3ASPD|1DUR	149ASPD|29AME|3DUR|5BEXP|689VULN|7RCR|9BPWR|aFEWX
54	62113 43332	   	195.34	DCR|3VULN|3ASPD|1DUR	149ASPD|29AME|3DUR|5BEXP|689VULN|7RCR|9BPWR|aLIT
55	62311 43333	   	195.34	DCR|3VULN|3ASPD|1DUR	149ASPD|29AME|3BEXP|5FEWX|689VULN|7RCR|9BPWR|aDUR
56	63211 43333	   	195.34	DCR|3VULN|3ASPD|1DUR	149ASPD|29BEXP|3MLV|5FEWX|689VULN|7RCR|9BPWR|aDUR
57	63411 43333	   	195.34	DCR|3VULN|3ASPD|1DUR	149ASPD|29BEXP|3AME|5FEWX|689VULN|7RCR|9BPWR|aDUR
58	63511 43333	   	195.34	DCR|3VULN|3ASPD|1DUR	149ASPD|29BEXP|3CGEN|5FEWX|689VULN|7RCR|9BPWR|aDUR
59	62111 43333	   	195.24	DCR|3VULN|3ASPD|1DUR|1MSE	149ASPD|29AME|3DUR|5FEWX|689VULN|7RCR|9BPWR|aMSE
60	62113 43333	   	195.24	DCR|3VULN|3ASPD|1DUR|1MSE	149ASPD|29AME|3DUR|5BEXP|689VULN|7RCR|9BPWR|aMSE
61	11315 51121	   	194.45	DCR|3VULN|2ASPD|1ZMB|1DUR	1TLV|2ZMB|3BEXP|4aASPD|5DUR|6RCR|789VULN
62	11315 51622	   	194.45	DCR|3VULN|2ASPD|1ZMB|1DUR	1TLV|2ZMB|3BEXP|48ASPD|5DUR|6RCR|79aVULN
63	62143 43333	   	194.44	DCR|3VULN|2ASPD|2DUR|1AAC	19ASPD|2AME|39DUR|4FEWX|5AELBLL|689VULN|7RCR|9BPWR|aAAC
64	25212 23276	 * 	194.36	DCR|3VULN|1AART|3DUR|1CDMG	1BEXP|245VULN|345DUR|45BPWR|6MBVNT|7FEWX|8AART|9RCR|aCDMG
65	25512 63312	   	194.18	DCR|4VULN|1ASPD|1ZMB|1DUR	1BEXP|238aVULN|4ASPD|5AME|6DUR|7RCR|9ZMB
66	25513 63312	   	194.18	DCR|4VULN|1ASPD|1ZMB|1DUR	1BEXP|238aVULN|4ASPD|5MLV|6DUR|7RCR|9ZMB
67	63221 43332	   	194.17	DCR|3VULN|2ASPD|1DMG	19ASPD|259BEXP|3MLV|4LHND|689VULN|7RCR|9BPWR|aDMG
68	63241 43332	   	194.17	DCR|3VULN|2ASPD|1DMG	19ASPD|259BEXP|3MLV|4FEWX|689VULN|7RCR|9BPWR|aDMG
69	63421 43332	   	194.17	DCR|3VULN|2ASPD|1DMG	19ASPD|259BEXP|3AME|4LHND|689VULN|7RCR|9BPWR|aDMG
70	63521 43332	   	194.17	DCR|3VULN|2ASPD|1DMG	19ASPD|259BEXP|3CGEN|4LHND|689VULN|7RCR|9BPWR|aDMG
71	11215 51511	   	194.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2ZMB|3ERES|47VULN|5FEWX|6RCR|8AART|9CDMG|aDMG
72	25313 43331	   	193.97	DCR|3VULN|2ASPD|1DMG	1BEXP|248VULN|34FEWX|4BPWR|5ERES|6DMG|7RCR|9aASPD
73	25212 23277	   	193.96	DCR|4VULN|1AART|3DUR	1BEXP|245aVULN|345DUR|45BPWR|6MBVNT|7FEWX|8AART|9RCR
74	25212 22514	 * 	193.88	DCR|3VULN|2DMG|1MDPS|3DUR	1BEXP|245VULN|345DUR|45BPWR|6MBVNT|7MDPS|8RCR|9aDMG
75	25322 43335	   	193.83	DCR|3VULN|2DMG|1CDMG	159BEXP|289VULN|3FEWX|45CGEN|59BPWR|69DMG|7RCR|aCDMG
76	25213 43335	   	193.31	DCR|3VULN|1ASPD|1DMG|2DUR	1BEXP|248VULN|34DUR|4BPWR|5ERES|6DMG|7RCR|9ASPD|aMLV
77	25213 43532	   	193.31	DCR|3VULN|1ASPD|1DMG|2DUR	1BEXP|24aVULN|34DUR|4BPWR|5ERES|6DMG|7RCR|8DMSP|9ASPD
78	11615 22343	 * 	193.24	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|2ZMB	14TLV|24ZMB|3MDPS|4BPWR|5AART|6DMG|7aVULN|8RCR|9CDMG
79	11615 33343	   	193.24	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|2ZMB	14TLV|24ZMB|3MDPS|4BPWR|5AART|6aVULN|7DMG|8RCR|9CDMG
80	25322 43332	   	193.23	DCR|3VULN|3DMG	159BEXP|289VULN|3FEWX|45CGEN|59BPWR|69aDMG|7RCR
81	25213 43136	   	193.21	DCR|3VULN|1ASPD|1DMG|2DUR	1BEXP|24aVULN|34DUR|4BPWR|5ERES|6DMG|7RCR|8DUST|9ASPD
82	25213 43421	   	193.21	DCR|3VULN|1ASPD|1DMG|2DUR|1AAC	1BEXP|249VULN|34DUR|4BPWR|5ERES|6DMG|7RCR|8AAC|aASPD
83	25213 43632	   	193.21	DCR|3VULN|1ASPD|1DMG|2DUR	1BEXP|24aVULN|34DUR|4BPWR|58ERES|6DMG|7RCR|9ASPD
84	25263 43332	   	193.21	DCR|3VULN|1ASPD|1DMG|2DUR	1BEXP|28aVULN|34DUR|5ERES|6DMG|7RCR|9ASPD
85	25412 43332	   	193.03	DCR|3VULN|3DMG	159BEXP|289VULN|3CGEN|45DUST|59BPWR|69aDMG|7RCR
86	25612 43332	   	193.03	DCR|3VULN|3DMG	159BEXP|289VULN|3MLV|45DUST|59BPWR|69aDMG|7RCR
87	21422 43333	   	192.56	DCR|3VULN|2DMG|1AAC|1DUR	19BEXP|2DMSP|39DMG|4DUR|5AME|689VULN|7RCR|9BPWR|aAAC
88	21423 43333	   	192.56	DCR|3VULN|2DMG|1AAC|1DUR	19BEXP|2DMSP|39DMG|4DUR|5MLV|689VULN|7RCR|9BPWR|aAAC
89	25512 63311	   	192.55	DCR|3VULN|2ASPD|1ZMB|1DUR	1BEXP|238VULN|4aASPD|5AME|6DUR|7RCR|9ZMB
90	25513 63311	   	192.55	DCR|3VULN|2ASPD|1ZMB|1DUR	1BEXP|238VULN|4aASPD|5MLV|6DUR|7RCR|9ZMB
91	62111 43312	   	192.55	DCR|3VULN|2ASPD|1ZMB|1DUR	14ASPD|2AME|3DUR|5FEWX|68aVULN|7RCR|9ZMB
92	62113 43312	   	192.55	DCR|3VULN|2ASPD|1ZMB|1DUR	14ASPD|2AME|3DUR|5BEXP|68aVULN|7RCR|9ZMB
93	35322 43333	   	192.46	DCR|3VULN|2DMG|1AAC|1DUR	1LEGI|2DMSP|39DMG|4DUR|59AME|689VULN|7RCR|9BPWR|aAAC
94	35323 43333	   	192.46	DCR|3VULN|2DMG|1AAC|1DUR	1LEGI|2DMSP|39DMG|4DUR|59MLV|689VULN|7RCR|9BPWR|aAAC
95	36562 33313	   	192.45	DCR|3VULN|2ASPD|1ZMB|1DUR	1LEGI|2LHND|358VULN|45ASPD|5BPWR|6ERES|7RCR|9ZMB|aDUR
96	25212 23344	 * 	192.44	DCR|4VULN|1ASPD|3DUR	19BEXP|2459VULN|345DUR|459BPWR|6MBVNT|79FEWX|8RCR|aASPD
97	25212 11351	 * 	192.34	DCR|4VULN|1DMG|3DUR	1BEXP|2457VULN|345DUR|45BPWR|6LIT|8RCR|9DMG|aDMSP
98	25212 11352	   	192.34	DCR|4VULN|1DMG|3DUR	1aBEXP|2457VULN|345DUR|45BPWR|6LIT|8RCR|9DMG
99	25212 11353	   	192.34	DCR|4VULN|1DMG|3DUR	1BEXP|2457VULN|345DUR|45BPWR|6LIT|8RCR|9DMG|aCGEN
100	25212 11354	   	192.34	DCR|4VULN|1DMG|3DUR	1BEXP|2457VULN|345DUR|45BPWR|6LIT|8RCR|9DMG|aAME
101	25212 11355	   	192.34	DCR|4VULN|1DMG|3DUR	1BEXP|2457VULN|345DUR|45BPWR|6LIT|8RCR|9DMG|aFEWX
102	25212 26344	   	192.24	DCR|4VULN|1ASPD|3DUR	19BEXP|2459VULN|345DUR|459BPWR|6MBVNT|79DUST|8RCR|aASPD
103	25212 11356	   	192.24	DCR|4VULN|1DMG|3DUR	1BEXP|2457VULN|345DUR|45BPWR|6LIT|8RCR|9DMG|aERES
104	25212 22518	 * 	192.14	DCR|4VULN|1MDPS|1DMG|3DUR	1BEXP|245aVULN|345DUR|45BPWR|6MBVNT|7MDPS|8RCR|9DMG
105	25212 22525	   	192.14	DCR|4VULN|1MDPS|1DMG|3DUR	1BEXP|2459VULN|345DUR|45BPWR|6MBVNT|7MDPS|8RCR|aDMG
106	61212 56312	   	191.89	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1ASPD|2AAC|3ERES|48aVULN|5LWND|6RCR|7DMG|9ZMB
107	31311 61615	   	191.49	DCR|4VULN|1AART|1ZMB	1LEGI|2AART|3LIT|458aVULN|6RCR|7RPLT|9ZMB
108	25512 13521	 * 	190.41	DCR|3VULN|1AART|1ASPD	1BEXP|23aVULN|4ASPD|5AME|6LHND|7RCR|8AART|9SPLREG
109	25513 13521	   	190.41	DCR|3VULN|1AART|1ASPD	1BEXP|23aVULN|4ASPD|5MLV|6LHND|7RCR|8AART|9SPLREG
110	25313 43311	   	190.09	DCR|3VULN|1ASPD|1DMG|1ZMB	1BEXP|248VULN|34FEWX|4BPWR|5ERES|6DMG|7RCR|9ZMB|aASPD
111	36522 43311	   	190.09	DCR|3VULN|1ASPD|1DMG|1ZMB	1LEGI|2LHND|358VULN|45CGEN|5BPWR|6DMG|7RCR|9ZMB|aASPD
112	23413 51126	   	190.06	DCR|3VULN|1ASPD|1DMG|1DUR	1BEXP|2CGEN|3AME|4ASPD|5DUR|6RCR|789VULN|aDMG
113	62333 51126	   	190.06	DCR|3VULN|1ASPD|1DMG|1DUR	1ASPD|2AME|3BEXP|4CGEN|5DUR|6RCR|789VULN|aDMG
114	31352 21215	 * 	190.02	DCR|2VULN|1AART|1ASPD|1NUKE|1CDMG|1ZMB	1LEGI|2AART|3LIT|4CDMG|5ASPD|6NUKE|7aVULN|8RCR|9ZMB
115	25512 13336	 * 	190.00	DCR|5VULN|1ASPD	19BEXP|2389aVULN|4ASPD|5AME|69LHND|7RCR|9BPWR
116	25513 13336	   	190.00	DCR|5VULN|1ASPD	19BEXP|2389aVULN|4ASPD|5MLV|69LHND|7RCR|9BPWR
117	36513 43311	   	189.99	DCR|3VULN|1ASPD|1DMG|1ZMB	1LEGI|24LHND|348VULN|4BPWR|5TLV|6DMG|7RCR|9ZMB|aASPD
118	62321 43336	   	189.96	DCR|4VULN|2ASPD	19ASPD|29AME|35BEXP|4LHND|689aVULN|7RCR|9BPWR
119	61212 41312	   	189.89	DCR|3VULN|1ASPD|1DMG|1AAC|1ZMB	1ASPD|2AAC|3ERES|48aVULN|5LWND|6DMG|7RCR|9ZMB
120	33413 51126	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1LEGI|2ERES|3AME|4ASPD|5DUR|6RCR|789VULN|aDMG
121	25213 43531	   	189.69	DCR|2VULN|2ASPD|1DMG|2DUR	1BEXP|24VULN|34DUR|4BPWR|5ERES|6DMG|7RCR|8DMSP|9aASPD
122	61212 41316	   	189.64	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB	1ASPD|2AAC|3ERES|48VULN|5LWND|6aDMG|7RCR|9ZMB
123	31342 34321	 * 	189.63	DCR|3VULN|2AART|1CDMG	1LEGI|24AART|37LIT|579VULN|67TSLARM|7BPWR|8CDMG|aRCR
124	31345 11511	   	189.63	DCR|3VULN|2AART|1CDMG	1LEGI|24AART|3LIT|5CDMG|678VULN|9BELT|aRCR
125	25213 43631	   	189.59	DCR|2VULN|2ASPD|1DMG|2DUR	1BEXP|24VULN|34DUR|4BPWR|58ERES|6DMG|7RCR|9aASPD
126	25263 43331	   	189.59	DCR|2VULN|2ASPD|1DMG|2DUR	1BEXP|28VULN|34DUR|5ERES|6DMG|7RCR|9aASPD
127	62126 51213	 * 	189.56	DCR|3VULN|1MDPS|2ASPD|2DUR	1aASPD|2AME|3aDUR|4LHND|5MLV|6RCR|79aVULN|8MDPS|aBPWR
128	11315 51621	   	189.54	DCR|3ASPD|2VULN|1ZMB|1DUR	1TLV|2ZMB|3BEXP|48aASPD|5DUR|6RCR|79VULN
129	11611 61335	 * 	189.54	DCR|2VULN|1MDPS|3ZMB|1AART|1ASPD	149TLV|249ZMB|3MDPS|49BPWR|5FEWX|6ASPD|79VULN|8RCR|aAART
130	11612 61335	   	189.54	DCR|2VULN|1MDPS|3ZMB|1AART|1ASPD	149TLV|249ZMB|3MDPS|49BPWR|5LHND|6ASPD|79VULN|8RCR|aAART
131	31311 36321	   	189.53	DCR|3VULN|2AART|1CDMG	1LEGI|27AART|3LIT|459VULN|6TSLARM|8CDMG|aRCR
132	62123 51213	   	189.46	DCR|3VULN|1MDPS|2ASPD|2DUR	1aASPD|2AME|3aDUR|4LHND|5TLV|6RCR|79aVULN|8MDPS|aBPWR
133	31311 61653	   	189.46	DCR|4VULN|1AART|1DUR	1LEGI|2AART|3LIT|4589VULN|6RCR|7RPLT|aDUR
134	31311 34321	   	189.40	DCR|4VULN|1AART|1CDMG	1LEGI|2AART|37LIT|4579VULN|67TSLARM|7BPWR|8CDMG|aRCR
135	25512 63331	   	189.29	DCR|4VULN|1ASPD|2DUR	19BEXP|2389VULN|4ASPD|5AME|69DUR|7RCR|9BPWR|aLHND
136	25512 63332	   	189.29	DCR|4VULN|1ASPD|2DUR	19BEXP|2389VULN|4ASPD|5AME|69DUR|7RCR|9BPWR|aRMIN
137	25513 63331	   	189.29	DCR|4VULN|1ASPD|2DUR	19BEXP|2389VULN|4ASPD|5MLV|69DUR|7RCR|9BPWR|aLHND
138	25513 63332	   	189.29	DCR|4VULN|1ASPD|2DUR	19BEXP|2389VULN|4ASPD|5MLV|69DUR|7RCR|9BPWR|aRMIN
139	21112 43336	   	189.29	DCR|4VULN|1ASPD|2DUR	19BEXP|2DMSP|39DUR|4ASPD|5AME|689aVULN|7RCR|9BPWR
140	21113 43336	   	189.29	DCR|4VULN|1ASPD|2DUR	19BEXP|2DMSP|39DUR|4ASPD|5MLV|689aVULN|7RCR|9BPWR
141	63321 52331	 * 	189.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1ASPD|2BEXP|3LWND|4AART|5CGEN|6aDMG|7VULN|8RCR|9DUR
142	66321 22331	   	189.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1ASPD|2LHND|3LWND|4AART|5CGEN|6aDMG|7VULN|8RCR|9DUR
143	66321 33331	   	189.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1ASPD|2LHND|3LWND|4AART|5CGEN|6VULN|7aDMG|8RCR|9DUR
144	66621 22331	   	189.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1ASPD|2LHND|3FEWX|4AART|5CGEN|6aDMG|7VULN|8RCR|9DUR
145	66621 33331	   	189.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1ASPD|2LHND|3FEWX|4AART|5CGEN|6VULN|7aDMG|8RCR|9DUR
146	66623 22331	   	189.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1ASPD|2LHND|3FEWX|4AART|5RMIN|6aDMG|7VULN|8RCR|9DUR
147	66623 33331	   	189.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1ASPD|2LHND|3FEWX|4AART|5RMIN|6VULN|7aDMG|8RCR|9DUR
148	21433 31612	 * 	189.20	DCR|3DMG|2ASPD|1AART	18BEXP|2DMSP|358DMG|48LIT|6AART|7RCR|8BPWR|9aASPD
149	35122 43333	   	189.09	DCR|3VULN|2ASPD|1AAC|1DUR	1LEGI|2DMSP|39ASPD|4DUR|59AME|689VULN|7RCR|9BPWR|aAAC
150	35123 43333	   	189.09	DCR|3VULN|2ASPD|1AAC|1DUR	1LEGI|2DMSP|39ASPD|4DUR|59MLV|689VULN|7RCR|9BPWR|aAAC
151	21433 31262	   	189.00	DCR|3DMG|2ASPD|1AART	1BEXP|2DMSP|359DMG|4LIT|6AART|7RCR|8aASPD
152	25213 43326	   	188.99	DCR|4VULN|1DMG|2DUR	1BEXP|248aVULN|34DUR|4BPWR|59ERES|6DMG|7RCR
153	36542 33332	   	188.99	DCR|4VULN|1ASPD|2ZMB	1LEGI|2LHND|358aVULN|45ZMB|5BPWR|6ERES|7RCR|9ASPD
154	11315 53136	   	188.89	DCR|3VULN|1ASPD|2DUR|2ZMB	1TLV|29ZMB|3BEXP|4ASPD|59DUR|6RCR|7FEWX|89aVULN|9BPWR
155	25212 65322	 * 	188.75	DCR|3VULN|1DMG|3DUR|1CDMG	16BEXP|245VULN|345DUR|45BPWR|7CDMG|8LWND|9DMG|aRCR
156	25212 23273	   	188.44	DCR|3VULN|1AART|3DUR|1ZMB	1BEXP|245VULN|345DUR|45BPWR|6MBVNT|7FEWX|8AART|9RCR|aZMB
157	25212 26273	   	188.34	DCR|3VULN|1AART|3DUR|1ZMB	1BEXP|245VULN|345DUR|45BPWR|6MBVNT|7DUST|8AART|9RCR|aZMB
158	25212 12256	   	188.34	DCR|4VULN|1DMG|3DUR	19BEXP|2458VULN|345DUR|45BPWR|6LIT|7DMG|aRCR
