0	Index      	 *	Score 	Summary	Detail	
1	41433 42122	 * 	321.94	ACR|DCR|2TLV|2VULN|1ASPD	1DUST|2aVULN|38RCR|4RAT|5ASPD|69TLV|7MSLTOX
39	11214 26131	   	301.32	ACR|DCR|2TLV|1VULN|1AEBURN	1ERES|2LWND|3DUR|4VULN|58RCR|6BEXP|7AEBURN|9aTLV
40	11214 36131	   	301.32	ACR|DCR|2TLV|1VULN|1AEBURN	1ERES|2LWND|3DUR|4VULN|58RCR|6LHND|7AEBURN|9aTLV
41	13614 23131	   	301.32	ACR|DCR|2TLV|1VULN|1AEBURN	1ERES|2DUR|3LHND|4VULN|58RCR|6BEXP|7AEBURN|9aTLV
42	41421 61132	   	301.32	ACR|DCR|2TLV|1VULN|1DMG	1DUST|2VULN|38RCR|47LWND|59TLV|6DUR|aDMG
43	11314 66131	   	301.22	ACR|DCR|2TLV|1VULN|1AEBURN	1ERES|2LWND|3DUST|4VULN|58RCR|6DUR|7AEBURN|9aTLV
44	41421 25111	 * 	299.94	ACR|DCR|3VULN|1TLV	1aDUST|27aVULN|38RCR|4LWND|5TLV|6aBEXP|9DLOT|aBPWR
45	41421 35111	   	299.94	ACR|DCR|3VULN|1TLV	1aDUST|27aVULN|38RCR|4LWND|5TLV|6aLHND|9DLOT|aBPWR
46	51314 25113	   	299.94	ACR|DCR|3VULN|1TLV	1TLV|2LWND|3FEWX|47aVULN|58RCR|6BEXP|9DLOT
47	51314 35113	   	299.94	ACR|DCR|3VULN|1TLV	1TLV|2LWND|3FEWX|47aVULN|58RCR|6LHND|9DLOT
48	41421 25113	   	299.84	ACR|DCR|3VULN|1TLV	1DUST|27aVULN|38RCR|4LWND|5TLV|6BEXP|9DLOT
49	41421 35113	   	299.84	ACR|DCR|3VULN|1TLV	1DUST|27aVULN|38RCR|4LWND|5TLV|6LHND|9DLOT
50	41433 42123	   	299.02	ACR|DCR|2TLV|1VULN|1ASPD	1DUST|2VULN|38RCR|4RAT|5ASPD|69TLV|7MSLTOX|aBLAICY
51	61441 33121	   	299.01	ACR|DCR|2VULN|1TLV|1AEPOI|2DUR|1MSE	1MSE|2aVULN|38RCR|4BEXP|5TLV|6aLHND|7AEPOI|9aDUR|aBPWR
52	23111 24423	 * 	296.25	ACR|ACR|2TLV|1VULN|1ASPD|1AART	1LSRICY|2AART|3FEWX|45RCR|6AAC|79TLV|8ASPD|aVULN
53	41433 42132	   	295.64	ACR|DCR|2VULN|1TLV|1ASPD	1DUST|2aVULN|38RCR|4RAT|5ASPD|6TLV|7MSLTOX|9AEWIND
54	51314 13314	   	295.41	ACR|DCR|2VULN|1TLV|1AEPOI	1TLV|28LWND|3FEWX|4aVULN|57RCR|6LIT|9AEPOI
55	51314 21152	   	295.41	ACR|DCR|2VULN|1TLV|1DMG	1TLV|27LWND|3FEWX|49VULN|58RCR|6BEXP|aDMG
56	51314 31152	   	295.41	ACR|DCR|2VULN|1TLV|1DMG	1TLV|27LWND|3FEWX|49VULN|58RCR|6LHND|aDMG
57	41421 13314	   	295.31	ACR|DCR|2VULN|1TLV|1AEPOI	1DUST|2aVULN|37RCR|4LWND|5TLV|6LIT|8DMSP|9AEPOI
58	41421 21152	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	1DUST|29VULN|38RCR|47LWND|5TLV|6BEXP|aDMG
59	41421 31152	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	1DUST|29VULN|38RCR|47LWND|5TLV|6LHND|aDMG
60	41421 13214	   	295.21	ACR|DCR|2VULN|1TLV|1AEPOI	18DUST|2aVULN|37RCR|4LWND|5TLV|6LIT|9AEPOI
61	11214 26132	   	295.18	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1ERES|2LWND|3DUR|4VULN|58RCR|6BEXP|7AEBURN|9TLV|aDMG
62	11214 36132	   	295.18	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1ERES|2LWND|3DUR|4VULN|58RCR|6LHND|7AEBURN|9TLV|aDMG
63	13614 23132	   	295.18	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1ERES|2DUR|3LHND|4VULN|58RCR|6BEXP|7AEBURN|9TLV|aDMG
64	11314 66132	   	295.08	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1ERES|2LWND|3DUST|4VULN|58RCR|6DUR|7AEBURN|9TLV|aDMG
65	41421 25121	   	294.05	ACR|DCR|2VULN|1TLV|2DUR	1aDUST|27VULN|38RCR|4aLWND|5TLV|6BEXP|9aDUR|aBPWR
66	41421 35121	   	294.05	ACR|DCR|2VULN|1TLV|2DUR	1aDUST|27VULN|38RCR|4aLWND|5TLV|6LHND|9aDUR|aBPWR
67	41421 61111	   	293.95	ACR|DCR|2VULN|1TLV|2DUR	1aDUST|2aVULN|38RCR|47LWND|5TLV|6aDUR|9DLOT|aBPWR
