0	Index      	 *	Score 	Summary	Detail	
1	25126 15131	 * 	321.37	DCR|3TLV|2VULN|3DMG|1CDMG|1AART	179DMG|2MDPS|3AART|4CDMG|59VULN|6RCR|89aTLV|9BPWR
27	23622 26111	   	293.52	DCR|2TLV|2VULN|2DMG|2ASPD	17DMG|25ASPD|37TLV|47VULN|6AAC|7BPWR|8FEWX|9RCR|aERES
28	23622 26114	   	293.52	DCR|2TLV|2VULN|2DMG|2ASPD|1MSE	17DMG|25ASPD|37TLV|47VULN|6AAC|7BPWR|8FEWX|9RCR|aMSE
29	23622 26116	   	293.52	DCR|2TLV|2VULN|2DMG|2ASPD	17DMG|25ASPD|37TLV|47VULN|6AAC|7BPWR|8FEWX|9RCR|aAETHUN
30	23622 26411	   	293.52	DCR|2TLV|2VULN|2DMG|2ASPD	17DMG|25ASPD|37TLV|47VULN|6AAC|7BPWR|8BEXP|9RCR|aERES
31	23622 26511	   	293.52	DCR|2TLV|2VULN|2DMG|2ASPD	17DMG|25ASPD|37TLV|47VULN|6AAC|7BPWR|8LHND|9RCR|aERES
32	23653 22223	   	293.28	DCR|2TLV|1VULN|2DMG|2ASPD|1AEBURN	16DMG|24ASPD|34TLV|4BPWR|5AEBURN|7DUR|8LSRREG|9RCR|aVULN
33	21321 36241	   	293.14	DCR|DCR|3VULN|2DMG|1CDMG	17DMG|23FEWX|478VULN|57LIT|69RCR|7BPWR|aCDMG
34	22421 36241	   	293.14	DCR|DCR|3VULN|2DMG|1CDMG	17DMG|2LWND|3DMSP|478VULN|57LIT|69RCR|7BPWR|aCDMG
35	22521 36241	   	293.14	DCR|DCR|3VULN|2DMG|1CDMG	17DMG|23LWND|478VULN|57LIT|69RCR|7BPWR|aCDMG
36	22621 36241	   	293.14	DCR|DCR|3VULN|2DMG|1CDMG	17DMG|2LWND|3RCVC|478VULN|57LIT|69RCR|7BPWR|aCDMG
37	16335 13243	 * 	291.76	DCR|3VULN|2TLV|3ASPD|1SELL	1SELL|2aTLV|3AAC|46aASPD|5AETHUN|78aVULN|9RCR|aBPWR
