0	Index      	 *	Score 	Summary	Detail	
1	22531 64222	 * 	315.07	ACR|DCR|2TLV|1VULN|1AEPOI|1CDMG	1LHND|2CDMG|3aTLV|49RCR|5DUR|6AEPOI|7AAC|8VULN
28	22533 21213	   	288.90	ACR|DCR|2VULN|1TLV|1CDMG	1LHND|2CDMG|3TLV|4aRCR|58VULN|6DUST|7BEXP|9FEWX
29	22533 34123	   	288.87	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	16LHND|2CDMG|3TLV|49RCR|5VULN|7AAC|8DUR|aDMG
30	13351 54122	   	288.87	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AAC|2LHND|3AEBURN|49RCR|5MLV|6CDMG|7VULN|8DUR|aTLV
31	22531 34223	   	288.87	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	16LHND|2CDMG|3TLV|49RCR|5DUR|7AAC|8VULN|aDMG
32	22531 64221	   	288.77	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1LHND|2CDMG|3TLV|49RCR|5DUR|6AEPOI|7AAC|8VULN|aAETHUN
33	32532 22553	   	288.75	ACR|DCR|2TLV|1VULN|2DUR|1CDMG|2MSE	18MSE|2CDMG|38TLV|4aRCR|5LHND|6DUST|78DUR|8BPWR|9VULN
34	12651 42232	 * 	288.07	ACR|3VULN|2TLV|1AEBURN|1ASPD	1AAC|2AEBURN|367VULN|4RCR|5MLV|89TLV|aASPD
35	22533 63533	   	286.04	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1LHND|2CDMG|3TLV|49RCR|5VULN|6AIRARM|7DMG|8AME|aRAT
36	22533 25623	   	285.94	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1LHND|2CDMG|3TLV|49RCR|5VULN|6DUST|7ZMB|8AEFRZ|aDMG
37	63113 31636	 * 	285.27	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1SELL	1SELL|2RMIN|3TLV|4DMG|5MDPS|6VULN|7LHND|8AEFBLL|9aRCR
38	63113 32636	 * 	285.27	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1SELL	1SELL|2RMIN|3TLV|4DMG|5MDPS|6VULN|7BEXP|8AEFBLL|9aRCR
39	22533 21143	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1LHND|2CDMG|39TLV|4aRCR|5VULN|6DUST|7BEXP|8FEWX
40	22533 21343	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1LHND|2CDMG|39TLV|4aRCR|5VULN|6DUST|7BEXP|8LWND
