0	Index      	 *	Score 	Summary	Detail	
1	24116 18121	 * 	299.00	DCR|3TLV|2VULN|2DMG|1AART	1DMSP|279TLV|3MBVNT|4AART|57VULN|67DMG|7BPWR|8FRZICY|aRCR
20	53361 33224	 * 	275.35	ACR|DCR|2VULN|1TLV	1TLV|2RMIN|3BEXP|48RCR|5TSLARM|6LWND|7AAC|9aVULN
21	42225 41133	 * 	275.25	DCR|DCR|2VULN|1TLV	1LEGI|2LWND|35FEWX|45VULN|5BPWR|6aRCR|7RMIN|8ERES|9TLV
22	13141 14262	 * 	275.16	DCR|DCR|3VULN|1DMG|1CDMG	1SPLJET|2DUST|369VULN|4CDMG|5RCVC|7aRCR|8DMG
23	13142 14262	   	275.16	DCR|DCR|3VULN|1DMG|1CDMG	1SPLJET|2DUST|369VULN|4CDMG|5DMSP|7aRCR|8DMG
24	41213 41133	   	275.15	DCR|DCR|2VULN|1TLV	1LEGI|25VULN|3FEWX|4LHND|6aRCR|7RMIN|8ERES|9TLV
25	13126 14262	   	275.06	DCR|DCR|3VULN|1DMG|1CDMG	1SPLJET|2DUST|369VULN|4AEWIND|5CDMG|7aRCR|8DMG
26	41613 41133	   	275.05	DCR|DCR|2VULN|1TLV	1LEGI|25VULN|3DUST|4LHND|6aRCR|7RMIN|8ERES|9TLV
27	53364 31322	 * 	274.60	ACR|DCR|2TLV|1DMG|1CDMG	19TLV|2RMIN|3BEXP|4aRCR|5CDMG|6DMG|7RCVC|8BLAICY
28	52432 21351	   	274.38	DCR|2TLV|2VULN|1DMG|1CDMG|1AART	13TLV|28VULN|4AART|5FEWX|6RCR|7MLV|9CDMG|aDMG
29	52432 22351	   	274.38	DCR|2TLV|2VULN|1DMG|1CDMG|1AART	13TLV|28VULN|4AART|5FEWX|6RCR|7RMIN|9CDMG|aDMG
30	52432 25231	 * 	274.38	DCR|2TLV|2VULN|1AEFBLL|1CDMG|1AART	13TLV|27VULN|4AART|5FEWX|6RCR|8LHND|9AEFBLL|aCDMG
31	52433 21351	   	274.38	DCR|2TLV|2VULN|1DMG|1CDMG|1AART	13TLV|28VULN|4AART|5BEXP|6RCR|7MLV|9CDMG|aDMG
32	52433 22351	   	274.38	DCR|2TLV|2VULN|1DMG|1CDMG|1AART	13TLV|28VULN|4AART|5BEXP|6RCR|7RMIN|9CDMG|aDMG
33	52433 25231	   	274.38	DCR|2TLV|2VULN|1AEFBLL|1CDMG|1AART	13TLV|27VULN|4AART|5BEXP|6RCR|8LHND|9AEFBLL|aCDMG
34	54332 21351	   	274.38	DCR|2TLV|2VULN|1DMG|1CDMG|1AART	12TLV|38VULN|4AART|5FEWX|6RCR|7MLV|9CDMG|aDMG
35	54332 22351	   	274.38	DCR|2TLV|2VULN|1DMG|1CDMG|1AART	12TLV|38VULN|4AART|5FEWX|6RCR|7RMIN|9CDMG|aDMG
36	54332 25231	   	274.38	DCR|2TLV|2VULN|1AEFBLL|1CDMG|1AART	12TLV|37VULN|4AART|5FEWX|6RCR|8LHND|9AEFBLL|aCDMG
37	54333 21351	   	274.38	DCR|2TLV|2VULN|1DMG|1CDMG|1AART	12TLV|38VULN|4AART|5BEXP|6RCR|7MLV|9CDMG|aDMG
38	54333 22351	   	274.38	DCR|2TLV|2VULN|1DMG|1CDMG|1AART	12TLV|38VULN|4AART|5BEXP|6RCR|7RMIN|9CDMG|aDMG
39	54333 25231	   	274.38	DCR|2TLV|2VULN|1AEFBLL|1CDMG|1AART	12TLV|37VULN|4AART|5BEXP|6RCR|8LHND|9AEFBLL|aCDMG
40	52433 21343	 * 	274.38	DCR|3TLV|2VULN|1AEFBLL|1AART	139TLV|28VULN|4AART|5BEXP|6RCR|7MLV|aAEFBLL
41	52433 22343	   	274.38	DCR|3TLV|2VULN|1AEFBLL|1AART	139TLV|28VULN|4AART|5BEXP|6RCR|7RMIN|aAEFBLL
42	54333 21343	   	274.38	DCR|3TLV|2VULN|1AEFBLL|1AART	129TLV|38VULN|4AART|5BEXP|6RCR|7MLV|aAEFBLL
43	54333 22343	   	274.38	DCR|3TLV|2VULN|1AEFBLL|1AART	129TLV|38VULN|4AART|5BEXP|6RCR|7RMIN|aAEFBLL
44	52432 23421	   	274.38	DCR|3TLV|2VULN|1DMG|1AART	13aTLV|29VULN|4AART|5FEWX|6RCR|7RPLT|8DMG
45	52433 23421	   	274.38	DCR|3TLV|2VULN|1DMG|1AART	13aTLV|29VULN|4AART|5BEXP|6RCR|7RPLT|8DMG
46	54332 23421	   	274.38	DCR|3TLV|2VULN|1DMG|1AART	12aTLV|39VULN|4AART|5FEWX|6RCR|7RPLT|8DMG
47	54333 23421	   	274.38	DCR|3TLV|2VULN|1DMG|1AART	12aTLV|39VULN|4AART|5BEXP|6RCR|7RPLT|8DMG
48	24331 53421	   	274.28	DCR|2TLV|2VULN|1DMG|1CDMG|1AART	1DMSP|2aTLV|39VULN|4AART|5MDPS|6RCR|7CDMG|8DMG
49	54132 42473	   	274.12	DCR|3VULN|2TLV|1DMG	12TLV|3MBVNT|4ERES|56aVULN|7DMG|8DLOT|9RCR
50	35122 11516	   	273.14	DCR|2TLV|2VULN|1DMG|1ASPD	1DUST|2DUR|3aMLV|4aTLV|5DMG|6aVULN|7LIT|8RCR|9ASPD|aBPWR
51	52323 11111	 * 	273.07	DCR|2TLV|3DMG|1VULN|3RAT	16TLV|2VULN|389RAT|4AAC|567DMG|6BPWR|aRCR
52	35322 11516	   	272.94	DCR|2TLV|2VULN|1DMG|1ASPD	1DUST|2DUR|3aERES|4aTLV|5DMG|6aVULN|7LIT|8RCR|9ASPD|aBPWR
53	52221 25513	   	272.30	DCR|3VULN|2TLV|1AART	14TLV|278VULN|3LWND|5RAT|6LHND|9RCR|aAART
54	52221 35513	   	272.30	DCR|3VULN|2TLV|1AART	14TLV|268VULN|3LWND|5RAT|7FEWX|9RCR|aAART
55	52421 33513	   	272.30	DCR|3VULN|2TLV|1AART	13TLV|268VULN|4FEWX|5RAT|7LWND|9RCR|aAART
56	54321 33513	   	272.30	DCR|3VULN|2TLV|1AART	12TLV|368VULN|4FEWX|5RAT|7LWND|9RCR|aAART
57	52221 36513	   	272.20	DCR|3VULN|2TLV|1AART	14TLV|268VULN|3LWND|5RAT|7DUST|9RCR|aAART
58	52223 15513	   	272.20	DCR|3VULN|2TLV|1AART	14TLV|268VULN|3LWND|5LEGI|7RAT|9RCR|aAART
59	53361 33212	 * 	271.69	ACR|DCR|2TLV|1VULN	19TLV|2RMIN|3BEXP|48RCR|5TSLARM|6LWND|7AAC|aVULN
60	53361 33226	   	271.69	ACR|DCR|2TLV|1VULN	1aTLV|2RMIN|3BEXP|48RCR|5TSLARM|6LWND|7AAC|9VULN
61	52231 46133	 * 	271.59	DCR|DCR|2TLV|1VULN	18TLV|2VULN|3LWND|4LHND|5CGEN|6aRCR|7DUST|9MLV
62	24152 18121	   	271.59	DCR|3TLV|2VULN|1AART|2ZMB	1DMSP|279TLV|3MBVNT|47ZMB|57VULN|6AART|7BPWR|8FRZICY|aRCR
63	52221 34511	   	270.95	DCR|3VULN|2TLV	14TLV|268VULN|3LWND|5RAT|7DUR|9RCR|aCGEN
64	52222 15511	   	270.95	DCR|3VULN|2TLV	14TLV|268VULN|3LWND|5DUR|7RAT|9RCR|aCGEN
65	52411 33511	   	270.95	DCR|3VULN|2TLV	13TLV|268VULN|4DUR|5RAT|7LWND|9RCR|aCGEN
66	54311 33511	   	270.95	DCR|3VULN|2TLV	12TLV|368VULN|4DUR|5RAT|7LWND|9RCR|aCGEN
67	52221 34512	   	270.85	DCR|3VULN|2TLV	14TLV|268VULN|3LWND|5RAT|7DUR|9RCR|aCANSTR
68	52222 15512	   	270.85	DCR|3VULN|2TLV	14TLV|268VULN|3LWND|5DUR|7RAT|9RCR|aCANSTR
69	52411 33512	   	270.85	DCR|3VULN|2TLV	13TLV|268VULN|4DUR|5RAT|7LWND|9RCR|aCANSTR
70	54311 33512	   	270.85	DCR|3VULN|2TLV	12TLV|368VULN|4DUR|5RAT|7LWND|9RCR|aCANSTR
71	54132 23323	   	270.61	DCR|3TLV|2VULN|1ASPD|1CDMG	127TLV|3MBVNT|4ERES|57VULN|67FEWX|7BPWR|8ASPD|9RCR|aCDMG
72	52435 31122	   	270.29	DCR|2TLV|2VULN|1AEBURN|1AART	13TLV|25VULN|4AART|6AEBURN|7DUR|8LHND|9SPLREG|aRCR
73	52435 31222	   	270.29	DCR|2TLV|2VULN|1AEBURN|1AART	13TLV|25VULN|4AART|6AEBURN|7DUR|8FEWX|9SPLREG|aRCR
74	54335 31122	   	270.29	DCR|2TLV|2VULN|1AEBURN|1AART	12TLV|35VULN|4AART|6AEBURN|7DUR|8LHND|9SPLREG|aRCR
75	54335 31222	   	270.29	DCR|2TLV|2VULN|1AEBURN|1AART	12TLV|35VULN|4AART|6AEBURN|7DUR|8FEWX|9SPLREG|aRCR
76	54164 14421	   	270.11	DCR|2TLV|2VULN|1AEFBLL|1ASPD	12TLV|3MBVNT|4AEFBLL|5MDPS|69VULN|7RCR|8ASPD|aRAT
77	24116 18122	 * 	269.71	3TLV|3VULN|3DMG|2FRZICY|1AART	1DMSP|279TLV|3MBVNT|4AART|57aVULN|67aDMG|7aBPWR|8aFRZICY
78	52325 53233	   	269.69	DCR|4VULN|1TLV|1ASPD	1TLV|2568VULN|3RAT|4AAC|7MBVNT|9RCR|aASPD
79	12643 23325	 * 	269.59	DCR|2TLV|2VULN|1AEFBLL|1DMG	1SPLJET|2MDPS|3DMG|4AEFBLL|57VULN|6LHND|89TLV|aRCR
80	54152 32142	   	269.35	DCR|3VULN|2TLV|1DMG|2ZMB|1MSE	12TLV|3MBVNT|46ZMB|569VULN|6BPWR|7DMG|8MSE|aRCR
