0	Index      	 *	Score 	Summary	Detail	
1	13111 34451	 * 	315.20	DCR|DCR|2VULN|1TLV|2ASPD|2RAT	1RPLT|29VULN|39RAT|4TLV|5LWND|6RMIN|7aRCR|89ASPD|9BPWR
19	12111 36321	   	291.95	ACR|DCR|2VULN|1TLV	1RPLT|2TLV|3aRCR|4RAT|57VULN|6AAC|8AME|9DUR
20	12111 14631	   	291.20	ACR|DCR|1TLV|1VULN|1DMG|2DUR	1RPLT|2TLV|3aRCR|4RAT|5VULN|6CGEN|7DMG|89DUR
21	12132 62663	 * 	289.22	ACR|3TLV|2VULN|1AEBURN|2DUR	1RPLT|28aTLV|3RCR|4MLV|5aDUR|6AEBURN|7ZMB|9aVULN|aBPWR
22	24133 31112	   	288.90	ACR|DCR|2VULN|1TLV|2RAT	1RCVC|2CGEN|36RAT|49VULN|5aRCR|7LHND|8TLV
23	24133 32112	   	288.90	ACR|DCR|2VULN|1TLV|2RAT	1RCVC|2CGEN|36RAT|49VULN|5aRCR|7BEXP|8TLV
24	24133 35112	   	288.90	ACR|DCR|2VULN|1TLV|2RAT	1RCVC|2CGEN|36RAT|49VULN|5aRCR|7FEWX|8TLV
25	52133 31112	   	288.80	ACR|DCR|2VULN|1TLV|2RAT	1AEWIND|2CGEN|36RAT|49VULN|5aRCR|7LHND|8TLV
26	52133 32112	   	288.80	ACR|DCR|2VULN|1TLV|2RAT	1AEWIND|2CGEN|36RAT|49VULN|5aRCR|7BEXP|8TLV
27	52133 35112	   	288.80	ACR|DCR|2VULN|1TLV|2RAT	1AEWIND|2CGEN|36RAT|49VULN|5aRCR|7FEWX|8TLV
28	62133 31112	   	288.80	ACR|DCR|2VULN|1TLV|2RAT	1AEFRZ|2CGEN|36RAT|49VULN|5aRCR|7LHND|8TLV
29	62133 32112	   	288.80	ACR|DCR|2VULN|1TLV|2RAT	1AEFRZ|2CGEN|36RAT|49VULN|5aRCR|7BEXP|8TLV
30	62133 35112	   	288.80	ACR|DCR|2VULN|1TLV|2RAT	1AEFRZ|2CGEN|36RAT|49VULN|5aRCR|7FEWX|8TLV
31	12115 33431	 * 	288.19	ACR|DCR|1TLV|1VULN|2ASPD	1RPLT|2TLV|3aRCR|4RAT|58ASPD|6VULN|7DUR|9AME
32	13112 24543	   	288.07	DCR|3VULN|2TLV|1DMG|2RAT	1RPLT|268VULN|38RAT|48TLV|5MDPS|7DMSP|8BPWR|9DMG|aRCR
33	12532 21543	   	287.97	DCR|3VULN|2TLV|1DMG|2RAT	1RPLT|28TLV|38RAT|468VULN|57MDPS|8BPWR|9DMG|aRCR
34	13112 21543	   	287.97	DCR|3VULN|2TLV|1DMG|2RAT	1RPLT|268VULN|38RAT|48TLV|57MDPS|8BPWR|9DMG|aRCR
35	12115 21151	   	286.14	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1RPLT|2TLV|3aRCR|4RAT|5ASPD|6CGEN|7AEPOI|8BEXP|9VULN
36	12115 21351	   	286.14	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1RPLT|2TLV|3aRCR|4RAT|5ASPD|6CGEN|7AEPOI|8LHND|9VULN
37	12115 22361	   	286.14	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1RPLT|2TLV|3aRCR|4RAT|5ASPD|6CGEN|7VULN|8AEPOI|9LHND
38	12115 11151	   	286.04	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1RPLT|2TLV|3aRCR|4RAT|5ASPD|6ERES|7AEPOI|8BEXP|9VULN
39	12115 12361	   	286.04	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1RPLT|2TLV|3aRCR|4RAT|5ASPD|6ERES|7VULN|8AEPOI|9LHND
40	12115 22331	   	286.04	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1RPLT|2TLV|3aRCR|4RAT|5ASPD|6CGEN|7VULN|8AEPOI|9DUST
41	34263 13124	   	285.92	DCR|2TLV|2VULN|2DMG|2DUR	17DUR|29DMG|3aTLV|4LEGI|58VULN|6RCR
42	34263 11142	 * 	285.76	DCR|4VULN|1TLV|1DMG	1DUR|2DMG|3TLV|4LEGI|5789VULN|6RCR|aZMB
43	12121 14342	   	285.69	ACR|2TLV|2VULN|2ASPD|1DMG	1RPLT|28TLV|3RCR|4RCVC|5BELT|68VULN|78ASPD|8BPWR|9DMG|aDUR
44	12121 54342	   	285.69	ACR|2TLV|2VULN|2ASPD|1DMG	1RPLT|28TLV|3RCR|4RCVC|5BELT|68ASPD|78VULN|8BPWR|9DMG|aDUR
