0	Index      	 *	Score 	Summary	Detail	
1	25136 33333	 * 	194.58	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5ZMB|6DUR|7TLV|8RCR|9AART|aDMG
37	25136 22314	   	178.04	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7RMIN|8RCR|9DMG|aCGEN
38	25136 22316	   	178.04	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7RMIN|8RCR|9DMG|aLWND
39	25136 24311	   	178.04	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7CGEN|8RCR|9DMG|aFEWX
40	25136 24312	   	178.04	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7CGEN|8RCR|9DMG|aBEXP
41	25136 24313	   	178.04	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7CGEN|8RCR|9DMG|aLIT
42	25136 21311	   	177.94	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7ERES|8RCR|9DMG|aFEWX
43	25136 21312	   	177.94	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7ERES|8RCR|9DMG|aBEXP
44	25136 21313	   	177.94	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7ERES|8RCR|9DMG|aLIT
45	25136 21314	   	177.94	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7ERES|8RCR|9DMG|aCGEN
46	25136 21316	   	177.94	DCR|4VULN|1DMG|2CDMG|1ZMB	1346VULN|23CDMG|3BPWR|5ZMB|7ERES|8RCR|9DMG|aLWND
47	25125 43221	   	177.88	DCR|2VULN|2DMG|1AART|2CDMG	13VULN|23CDMG|3BPWR|45DUST|6AART|7aDMG|8DMSP|9RCR
48	25323 41121	   	177.88	DCR|2VULN|2DMG|1AART|2CDMG	14VULN|27CDMG|3ERES|5aDMG|6AART|8RMIN|9RCR
49	25323 41423	   	177.88	DCR|2VULN|2DMG|1AART|2CDMG	14VULN|27CDMG|3ERES|5aDMG|6AART|8FEWX|9RCR
50	25323 41521	   	177.88	DCR|2VULN|2DMG|1AART|2CDMG	14VULN|27CDMG|3ERES|5aDMG|6AART|8CGEN|9RCR
51	26423 41121	   	177.88	DCR|2VULN|2DMG|1AART|2CDMG	14VULN|2ERES|37CDMG|5aDMG|6AART|8RMIN|9RCR
52	25132 35242	   	177.80	DCR|3VULN|3CDMG|1AART|1DUR|1ASPD	134VULN|239CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|aASPD
53	25134 32312	 * 	177.75	DCR|5VULN|2CDMG|1ZMB|1DUR	1347aVULN|23CDMG|3BPWR|5BEXP|6DUR|8RCR|9ZMB
54	25111 55222	   	177.70	DCR|3VULN|1AART|1DMG|2CDMG|1SELL	136VULN|23CDMG|3BPWR|4LWND|5LIT|7AART|8RCR|9SELL|aDMG
55	25132 25222	   	177.70	DCR|3VULN|1AART|1DMG|2CDMG|1SELL	134VULN|23CDMG|3BPWR|5LIT|6LHND|7AART|8RCR|9SELL|aDMG
56	25133 35222	   	177.60	DCR|3VULN|1AART|2CDMG|1DMG|1SELL	134VULN|23CDMG|3BPWR|5DUST|6LIT|7AART|8RCR|9SELL|aDMG
57	23321 21521	 * 	177.54	DCR|3VULN|3ZMB|1AART|1DUR	19aVULN|2TLV|39aCGEN|4DUR|5ERES|6RCR|79aZMB|8AART|9aBPWR
58	25132 36362	   	177.12	DCR|4VULN|1AART|2CDMG|1DUR	1347VULN|23CDMG|3BPWR|5LIT|6DUR|8RCR|9BEXP|aAART
59	25134 32362	   	177.12	DCR|4VULN|1AART|2CDMG|1DUR	1347VULN|23CDMG|3BPWR|5BEXP|6DUR|8RCR|9LIT|aAART
60	25111 56322	   	177.12	DCR|4VULN|1AART|2CDMG|1ASPD	1367VULN|23CDMG|3BPWR|4LWND|5LIT|8RCR|9ASPD|aAART
61	25132 26322	   	177.12	DCR|4VULN|1AART|2CDMG|1ASPD	1347VULN|23CDMG|3BPWR|5LIT|6LHND|8RCR|9ASPD|aAART
62	25132 36312	   	177.02	DCR|4VULN|1AART|2CDMG|1DUR	1347VULN|23CDMG|3BPWR|5LIT|6DUR|8RCR|9TLV|aAART
63	25132 36334	   	177.02	DCR|4VULN|1AART|2CDMG|1DUR	1347VULN|23CDMG|3BPWR|5LIT|6DUR|8RCR|9LEGI|aAART
64	25323 32362	   	176.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	147VULN|2CDMG|3ERES|5DMG|6DUR|8RCR|9LIT|aAART
65	26423 32362	   	176.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	147VULN|2ERES|3CDMG|5DMG|6DUR|8RCR|9LIT|aAART
66	25323 42522	   	176.14	DCR|3VULN|1AART|1DMG|2CDMG	14aVULN|2aCDMG|3ERES|5DMG|6AART|7DMSP|8aCGEN|9RCR|aBPWR
67	25133 43224	   	176.04	DCR|3VULN|1AART|1DMG|2CDMG	134VULN|23CDMG|3BPWR|5DUST|6AART|7DMG|8DMSP|9RCR|aRPLT
68	25133 43225	   	176.04	DCR|3VULN|1AART|1DMG|2CDMG	134VULN|23CDMG|3BPWR|5DUST|6AART|7DMG|8DMSP|9RCR|aBEXP
69	25133 43226	   	176.04	DCR|3VULN|1AART|1DMG|2CDMG	134VULN|23CDMG|3BPWR|5DUST|6AART|7DMG|8DMSP|9RCR|aCGEN
70	25133 33513	   	176.04	DCR|3VULN|1AART|1DMG|2CDMG	134VULN|23CDMG|3BPWR|5DUST|6LIT|7DMG|8RCR|9LWND|aAART
71	25134 43222	   	176.04	DCR|3VULN|1AART|1DMG|2CDMG	134VULN|23CDMG|3BPWR|5BEXP|6AART|7DMG|8DMSP|9RCR|aAIRHEA
72	25133 43222	   	175.94	DCR|3VULN|1AART|1DMG|2CDMG	134VULN|23CDMG|3BPWR|5DUST|6AART|7DMG|8DMSP|9RCR|aAIRHEA
73	25133 33542	   	175.94	DCR|3VULN|1AART|1DMG|2CDMG	134VULN|23CDMG|3BPWR|5DUST|6LIT|7DMG|8RCR|9ERES|aAART
74	25132 35212	   	175.82	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|9ZMB|aCGEN
75	25132 25214	   	175.82	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5LIT|6LHND|7AART|8RCR|9ZMB|aDUR
76	25132 35211	   	175.72	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|9ZMB|aNUKE
77	25132 35213	   	175.72	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|9ZMB|aDUST
78	25133 35214	   	175.72	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5DUST|6LIT|7AART|8RCR|9ZMB|aDUR
79	25131 51341	   	175.52	DCR|3VULN|3CDMG|1AART|1ZMB	134VULN|235CDMG|3BPWR|6LHND|7RCR|8FEWX|9ZMB|aAART
80	25131 31441	   	175.42	DCR|3VULN|3CDMG|1AART|1ZMB	134VULN|235CDMG|3BPWR|6DUST|7RCR|8LWND|9ZMB|aAART
81	25131 51115	   	175.42	DCR|3VULN|3CDMG|1AART|1ZMB	134VULN|235CDMG|3BPWR|6LHND|7RCR|8DLOT|9ZMB|aAART
82	25112 63313	   	174.97	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	13VULN|23CDMG|3BPWR|4LWND|5LHND|6ASPD|7DUR|8RCR|9AART|aDMG
83	25136 33331	   	174.52	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5ZMB|6DUR|7TLV|8RCR|9AART|aDMSP
84	25136 33332	   	174.52	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5ZMB|6DUR|7TLV|8RCR|9AART|aLIT
85	25136 33336	   	174.52	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5ZMB|6DUR|7TLV|8RCR|9AART|aLWND
86	25136 33335	   	174.42	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5ZMB|6DUR|7TLV|8RCR|9AART|aERES
87	25136 33362	   	173.92	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5ZMB|6DUR|7TLV|8RCR|9LIT|aAART
88	25133 33522	   	173.88	DCR|4VULN|1DMG|2CDMG|1DUR	134aVULN|23CDMG|3BPWR|5DUST|6LIT|7DMG|8RCR|9DUR
89	25136 13334	   	173.62	DCR|3VULN|3CDMG|1AART|1ZMB	134VULN|23aCDMG|3BPWR|5ZMB|6LWND|7TLV|8RCR|9AART
90	25132 13122	 * 	173.42	DCR|4VULN|3CDMG|1AART	1349VULN|238CDMG|39BPWR|59LIT|69MLV|7AART|aRCR
91	25132 63122	   	173.22	DCR|4VULN|3CDMG|1AART	1349VULN|238CDMG|39BPWR|59LIT|69ERES|7AART|aRCR
92	22552 24313	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	17VULN|2LWND|3CDMG|4LHND|5ZMB|6DUR|8RCR|9AART|aDMG
93	25536 33333	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	14VULN|2CDMG|3DMSP|5ZMB|6DUR|7TLV|8RCR|9AART|aDMG
94	41124 21124	 * 	172.34	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2DUST|3LWND|4VULN|5RCR|6ZMB|78DMG|9CDMG|aAART
95	25131 31242	   	171.96	DCR|3VULN|3CDMG|1AART|1ASPD	134VULN|235CDMG|3BPWR|6DUST|7RCR|8LIT|9AART|aASPD
96	25131 31244	   	171.96	DCR|3VULN|3CDMG|1AART|1DUR	134VULN|235CDMG|3BPWR|6DUST|7RCR|8LIT|9AART|aDUR
97	25134 32233	   	171.58	DCR|4VULN|1DMG|2CDMG|1DUR	1347VULN|23CDMG|3BPWR|5BEXP|6DUR|8RPLT|9RCR|aDMG
98	25323 42121	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2CDMG|3ERES|5aDMG|6AART|7DMSP|8RMIN|9RCR
99	25323 42423	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2CDMG|3ERES|5aDMG|6AART|7DMSP|8FEWX|9RCR
100	25323 42521	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2CDMG|3ERES|5aDMG|6AART|7DMSP|8CGEN|9RCR
101	25323 43124	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2CDMG|3ERES|57DMG|6AART|8RMIN|9RCR|aRPLT
102	25323 43125	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2CDMG|3ERES|57DMG|6AART|8RMIN|9RCR|aBEXP
103	25323 43126	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2CDMG|3ERES|57DMG|6AART|8RMIN|9RCR|aCGEN
104	25323 43421	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2CDMG|3ERES|57DMG|6AART|8FEWX|9RCR|aDMSP
105	25323 43422	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2CDMG|3ERES|57DMG|6AART|8FEWX|9RCR|aLIT
106	25323 43523	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2CDMG|3ERES|57DMG|6AART|8CGEN|9RCR|aFEWX
107	25323 44223	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2CDMG|3ERES|5aDMG|6AART|78BEXP|9RCR
108	25323 46123	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2CDMG|3ERES|5aDMG|6AART|78LHND|9RCR
109	25533 43221	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2CDMG|38DMSP|5DUST|6AART|7aDMG|9RCR
110	26423 42121	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2ERES|3CDMG|5aDMG|6AART|7DMSP|8RMIN|9RCR
111	25323 43122	   	171.46	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2CDMG|3ERES|57DMG|6AART|8RMIN|9RCR|aLSRHEA
112	26423 43122	   	171.46	DCR|2VULN|2DMG|1AART|1CDMG	14VULN|2ERES|3CDMG|57DMG|6AART|8RMIN|9RCR|aLSRHEA
113	25131 31641	   	171.36	DCR|3VULN|3CDMG|1AART|1DUR	134VULN|235CDMG|3BPWR|6DUST|7RCR|8CGEN|9DUR|aAART
114	25131 31541	   	171.26	DCR|3VULN|3CDMG|1AART|1DUR	134VULN|235CDMG|3BPWR|6DUST|7RCR|8ERES|9DUR|aAART
115	25134 32311	   	170.96	DCR|4VULN|3CDMG|1ZMB|1DUR	1347VULN|23aCDMG|3BPWR|5BEXP|6DUR|8RCR|9ZMB
116	25132 35241	   	170.86	DCR|3VULN|3CDMG|1AART|1DUR	134VULN|239CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|aCGEN
117	25132 35243	   	170.86	DCR|3VULN|3CDMG|1AART|1DUR	134VULN|239CDMG|3BPWR|5LIT|6DUR|7AART|8RCR|aRMIN
118	25132 25242	   	170.86	DCR|3VULN|3CDMG|1AART|1ASPD	134VULN|239CDMG|3BPWR|5LIT|6LHND|7AART|8RCR|aASPD
119	25114 32312	   	170.81	DCR|5VULN|2CDMG|1ZMB	1367aVULN|23CDMG|3BPWR|4LWND|5BEXP|8RCR|9ZMB
120	25154 32312	   	170.81	DCR|5VULN|2CDMG|1ZMB	1367aVULN|23CDMG|3BPWR|4FEWX|5BEXP|8RCR|9ZMB
121	25133 35242	   	170.76	DCR|3VULN|3CDMG|1AART|1ASPD	134VULN|239CDMG|3BPWR|5DUST|6LIT|7AART|8RCR|aASPD
122	25124 32312	   	170.71	DCR|5VULN|2CDMG|1ZMB	1367aVULN|23CDMG|3BPWR|4DUST|5BEXP|8RCR|9ZMB
123	25133 12312	   	170.71	DCR|5VULN|2CDMG|1ZMB	1347aVULN|23CDMG|3BPWR|5DUST|6BEXP|8RCR|9ZMB
124	25144 32312	   	170.71	DCR|5VULN|2CDMG|1ZMB	1367aVULN|23CDMG|3BPWR|4LEGI|5BEXP|8RCR|9ZMB
125	23345 21521	   	170.70	DCR|3VULN|3ZMB|1AART	19aVULN|2TLV|39aCGEN|4MLV|5BEXP|6RCR|79aZMB|8AART|9aBPWR
126	25131 66211	 * 	170.68	DCR|4VULN|3CDMG|1DMG	1347VULN|235CDMG|3BPWR|6LIT|8LSRICY|9RCR|aDMG
127	23351 21521	   	170.60	DCR|3VULN|3ZMB|1AART	19aVULN|2TLV|39aCGEN|4BEXP|5ERES|6RCR|79aZMB|8AART|9aBPWR
128	21534 41111	 * 	170.58	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2DUST|3CDMG|4LIT|5ZMB|68AART|7RCR|9DUR|aDMG
129	25234 41111	   	170.58	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2CDMG|3DUST|4LIT|5ZMB|68AART|7RCR|9DUR|aDMG
130	25134 32314	   	170.21	DCR|4VULN|2CDMG|2DUR|1ZMB	1347VULN|23CDMG|3BPWR|5BEXP|6aDUR|8RCR|9ZMB
131	25113 52312	   	170.21	DCR|4VULN|2CDMG|2DUR|1ZMB	137aVULN|23CDMG|3BPWR|4LWND|56DUR|8RCR|9ZMB
132	45134 32312	   	170.21	DCR|4VULN|2CDMG|2DUR|1ZMB	13DUR|23CDMG|3BPWR|467aVULN|5BEXP|8RCR|9ZMB
133	25143 52312	   	170.11	DCR|4VULN|2CDMG|2DUR|1ZMB	137aVULN|23CDMG|3BPWR|4LEGI|56DUR|8RCR|9ZMB
134	25111 56312	   	170.08	DCR|4VULN|1AART|2CDMG	1367VULN|23CDMG|3BPWR|4LWND|5LIT|8RCR|9TLV|aAART
135	25132 26312	   	170.08	DCR|4VULN|1AART|2CDMG	1347VULN|23CDMG|3BPWR|5LIT|6LHND|8RCR|9TLV|aAART
136	21561 23325	 * 	170.04	ACR|2VULN|2AART|1DMG|1CDMG	19VULN|2DUST|3CDMG|4RCR|5LHND|6CGEN|78AART|aDMG
137	25261 23325	   	170.04	ACR|2VULN|2AART|1DMG|1CDMG	19VULN|2CDMG|3DUST|4RCR|5LHND|6CGEN|78AART|aDMG
138	25132 35234	   	170.01	DCR|3VULN|1AART|2CDMG|2DUR	134VULN|23CDMG|3BPWR|5LIT|6aDUR|7AART|8RCR|9TLV
139	25133 36334	   	169.98	DCR|4VULN|1AART|2CDMG	1347VULN|23CDMG|3BPWR|5DUST|6LIT|8RCR|9LEGI|aAART
140	25136 31136	   	169.72	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	134VULN|23CDMG|3BPWR|5ZMB|6DUR|7LHND|8ERES|9AART|aRCR
141	25323 12362	   	169.63	DCR|3VULN|1AART|1DMG|1CDMG	147VULN|2CDMG|3ERES|5DMG|6BEXP|8RCR|9LIT|aAART
142	26423 12362	   	169.63	DCR|3VULN|1AART|1DMG|1CDMG	147VULN|2ERES|3CDMG|5DMG|6BEXP|8RCR|9LIT|aAART
143	25642 12333	 * 	169.53	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	17VULN|2CDMG|35ZMB|4FEWX|6CGEN|8RCR|9AART|aDMG
144	41223 52523	   	169.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2DUST|3RCVC|4AART|5FEWX|6RCR|7aDMG|8CDMG|9VULN
145	23233 51621	 * 	169.27	DCR|3VULN|1AART|3DUR|1ZMB	19aVULN|2TLV|39aDUR|4AART|5ERES|6ZMB|7RCR|89aCGEN|9aBPWR
146	25131 21521	   	169.06	DCR|3VULN|3CDMG|1AART|1DUR	134VULN|235CDMG|3BPWR|6RMIN|7FEWX|8RCR|9DUR|aAART
147	25131 25521	   	169.06	DCR|3VULN|3CDMG|1AART|1DUR	134VULN|235CDMG|3BPWR|6RMIN|7LWND|8RCR|9DUR|aAART
148	25111 55212	   	168.88	DCR|3VULN|1AART|2CDMG|1ZMB	136VULN|23CDMG|3BPWR|4LWND|5LIT|7AART|8RCR|9ZMB|aCGEN
149	25132 25212	   	168.88	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5LIT|6LHND|7AART|8RCR|9ZMB|aCGEN
150	25132 25215	   	168.88	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5LIT|6LHND|7AART|8RCR|9ZMB|aRMIN
151	25132 25216	   	168.88	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5aLIT|6LHND|7AART|8RCR|9ZMB
152	25133 35212	   	168.78	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5DUST|6LIT|7AART|8RCR|9ZMB|aCGEN
153	25133 35215	   	168.78	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5DUST|6LIT|7AART|8RCR|9ZMB|aRMIN
154	25133 35216	   	168.78	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5DUST|6aLIT|7AART|8RCR|9ZMB
155	25111 55211	   	168.78	DCR|3VULN|1AART|2CDMG|1ZMB	136VULN|23CDMG|3BPWR|4LWND|5LIT|7AART|8RCR|9ZMB|aNUKE
156	25111 55213	   	168.78	DCR|3VULN|1AART|2CDMG|1ZMB	136VULN|23CDMG|3BPWR|4LWND|5LIT|7AART|8RCR|9ZMB|aDUST
157	25132 25211	   	168.78	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5LIT|6LHND|7AART|8RCR|9ZMB|aNUKE
158	25132 25213	   	168.78	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5LIT|6LHND|7AART|8RCR|9ZMB|aDUST
159	25132 25235	   	168.78	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5LIT|6LHND|7AART|8RCR|9TLV|aZMB
160	25133 35211	   	168.68	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5DUST|6LIT|7AART|8RCR|9ZMB|aNUKE
161	25133 35213	   	168.68	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5aDUST|6LIT|7AART|8RCR|9ZMB
162	25133 35235	   	168.68	DCR|3VULN|1AART|2CDMG|1ZMB	134VULN|23CDMG|3BPWR|5DUST|6LIT|7AART|8RCR|9TLV|aZMB
163	51433 12323	 * 	168.58	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	1ZMB|2BEXP|3CDMG|4ASPD|5AART|6ERES|7FLTHEA|8VULN|9RCR|aDMG
164	25112 66223	   	168.42	DCR|2VULN|1AART|2CDMG|1FLTHEA|1ZMB|1ASPD	13VULN|23CDMG|3BPWR|4LWND|5LHND|6ASPD|7FLTHEA|8AART|9ZMB|aRCR
