0	Index      	 *	Score 	Summary	Detail	
1	31326 32146	 * 	182.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2FEWX|36aVULN|4CDMG|5ZMB|7AART|8RCR|9DMG
51	13443 31263	 * 	162.50	ACR|3VULN|1DMG|2CDMG|1DUR	1LHND|2TLV|39CDMG|4RCR|5DUR|678VULN|aDMG
52	11432 23333	   	162.40	ACR|3VULN|1AART|1DMG	1LHND|2FEWX|3RCR|479VULN|5DUST|6RCVC|8AART|aDMG
53	11433 44333	   	162.40	ACR|3VULN|1AART|1DMG	1LHND|2FEWX|3RCR|469VULN|5RCVC|7DUST|8AART|aDMG
54	11463 43333	   	162.40	ACR|3VULN|1AART|1DMG	1LHND|2FEWX|3RCR|4DUST|5RCVC|679VULN|8AART|aDMG
55	31423 43336	   	162.40	ACR|3VULN|1AART|1DMG	1DUST|2FEWX|3RCR|4LWND|5RCVC|679VULN|8AART|aDMG
56	31433 33336	   	162.40	ACR|3VULN|1AART|1DMG	1DUST|2FEWX|3RCR|479VULN|5RCVC|6BEXP|8AART|aDMG
57	31433 43336	   	162.40	ACR|3VULN|1AART|1DMG	1DUST|2FEWX|3RCR|469VULN|5RCVC|7BEXP|8AART|aDMG
58	31434 23333	   	162.40	ACR|3VULN|1AART|1DMG	1DUST|2FEWX|3RCR|479VULN|5LHND|6RCVC|8AART|aDMG
59	31436 21353	   	162.40	ACR|3DMG|1AART|1VULN	19DUST|29FEWX|3RCR|4VULN|5TLV|679DMG|8AART|9BPWR|aCGEN
60	31326 32156	   	162.37	DCR|3VULN|1AART|1CDMG|1ZMB	1DUST|2FEWX|36aVULN|4CDMG|5ZMB|7AART|8RCR|9CGEN
61	31326 32166	   	162.37	DCR|3VULN|1AART|1CDMG|1ZMB	1DUST|2FEWX|36aVULN|4CDMG|5ZMB|7AART|8RCR|9LWND
62	31436 21352	   	162.30	ACR|3DMG|1AART|1VULN	19DUST|29FEWX|3RCR|4VULN|5aTLV|679DMG|8AART|9BPWR
63	42611 15231	   	162.08	ACR|4VULN|1AART|1DUR	1LIT|26ERES|3RCR|4DUR|5789VULN|aAART
64	11436 12333	 * 	161.70	ACR|2VULN|1AART|1DMG|2ZMB	1LHND|2FEWX|3RCR|49VULN|56ZMB|7CGEN|8AART|aDMG
65	31435 12336	   	161.60	ACR|2VULN|1AART|1DMG|2ZMB	1DUST|2FEWX|3RCR|49VULN|56ZMB|7CGEN|8AART|aDMG
66	11411 32326	   	161.55	ACR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	14LHND|24FEWX|3RCR|4BPWR|5ZMB|6CDMG|7AART|8DUR|9DMG|aVULN
67	11436 52332	   	161.48	ACR|3VULN|1AART|1ZMB|1ASPD	1LHND|2FEWX|3RCR|479VULN|5ZMB|6AART|8ERES|aASPD
68	31431 52243	 * 	161.20	ACR|3VULN|1AART|2CDMG	18DUST|2FEWX|3RCR|489VULN|5BEXP|6LHND|78CDMG|8BPWR|aAART
69	31335 51422	   	160.99	ACR|3VULN|1AART|1CDMG|1ZMB	1DUST|2FEWX|368VULN|4BELT|5RCR|7CDMG|9ZMB|aAART
70	31335 33512	 * 	160.71	ACR|2VULN|1AART|1DMG|2CDMG	1DUST|2FEWX|38VULN|4BELT|5RCR|69CDMG|7DMG|aAART
71	36221 23461	   	160.57	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	16DUST|2CGEN|38VULN|4ASPD|5ZMB|7RCR|9DMG|aAART
72	33221 23461	   	160.47	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	16DUST|2TLV|38VULN|4ASPD|5ZMB|7RCR|9DMG|aAART
73	35221 23461	   	160.47	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	16DUST|2ERES|38VULN|4ASPD|5ZMB|7RCR|9DMG|aAART
74	11335 12433	 * 	160.46	DCR|2VULN|1AART|1DMG|2DUR	1LHND|24FEWX|39VULN|5AART|6RCR|78DUR|aDMG
75	33443 21126	   	160.42	ACR|3VULN|1AART|1CDMG|1DUR	1DUST|2TLV|3CDMG|4RCR|5DUR|6BEXP|79aVULN|8AART
76	42633 15333	   	160.40	ACR|2VULN|1AART|1DMG|2ZMB	1LIT|2ERES|3RCR|4LHND|5DMG|69ZMB|78VULN|aAART
77	11452 21316	   	160.39	ACR|2DMG|1AART|1VULN|1CDMG	1LHND|2FEWX|3RCR|4CGEN|5DUST|67DMG|8AART|9CDMG|aVULN
78	31426 21316	   	160.29	ACR|2DMG|1AART|1VULN|1CDMG	1DUST|2FEWX|3RCR|4LWND|5TLV|67DMG|8AART|9CDMG|aVULN
79	31436 21312	   	160.29	ACR|2DMG|1AART|1VULN|1CDMG	1DUST|2FEWX|3RCR|4VULN|5TLV|67DMG|8AART|9CDMG|aLHND
80	31436 21313	   	160.29	ACR|2DMG|1AART|1VULN|1CDMG	1DUST|2FEWX|3RCR|4VULN|5TLV|67DMG|8AART|9CDMG|aBEXP
81	31436 21314	   	160.29	ACR|2DMG|1AART|1VULN|1CDMG	1DUST|2FEWX|3RCR|4VULN|5TLV|67DMG|8AART|9CDMG|aRCVC
82	11436 43332	   	160.28	ACR|3VULN|1AART|1ZMB|1ASPD	1LHND|2FEWX|3RCR|479VULN|5ZMB|6TLV|8AART|aASPD
83	31436 21311	   	160.19	ACR|2DMG|1AART|1VULN|1CDMG	1DUST|2FEWX|3RCR|4VULN|5TLV|67DMG|8AART|9CDMG|aERES
84	31436 22316	   	160.19	ACR|2VULN|1AART|1DMG|1CDMG	1DUST|2FEWX|3RCR|4aVULN|57TLV|6DMG|8AART|9CDMG
85	31326 32132	   	159.97	DCR|2VULN|1AART|2CDMG|1ZMB|1ASPD	1DUST|2FEWX|36VULN|49CDMG|5ZMB|7AART|8RCR|aASPD
86	33221 33466	   	159.96	DCR|3VULN|1DMG|1ZMB|1DUR|1ASPD	1DUST|2TLV|368VULN|4ASPD|5ZMB|7RCR|9DMG|aDUR
87	33221 33463	   	159.63	DCR|3VULN|1DMG|2ASPD|1ZMB	1DUST|2TLV|368VULN|4aASPD|5ZMB|7RCR|9DMG
88	11436 51111	   	159.57	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2FEWX|3RCR|4aVULN|5ZMB|6AART|7CDMG|8DUR|9LIT
89	11436 51122	   	159.57	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2FEWX|3RCR|49VULN|5ZMB|6AART|7CDMG|8DUR|aLWND
90	11436 51123	   	159.57	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2FEWX|3RCR|49VULN|5ZMB|6AART|7CDMG|8DUR|aBELT
91	14232 15362	 * 	159.57	DCR|2AART|2VULN|1DMG	13LHND|2BASHEA|4RMIN|5aAART|6RCR|7DMG|89VULN
92	11436 52312	   	159.47	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1LHND|2FEWX|3RCR|47VULN|5ZMB|6AART|8ERES|9CDMG|aASPD
93	11436 51121	   	159.47	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2FEWX|3RCR|49VULN|5ZMB|6AART|7CDMG|8DUR|aTLV
94	43314 52223	   	159.08	DCR|3DMG|1AART|1VULN	1LIT|2RCVC|348DMG|5BELT|6RMIN|7RCR|9AART|aVULN
95	31326 32133	 * 	159.07	DCR|2VULN|3CDMG|1AART|1ZMB	1DUST|2FEWX|36VULN|49aCDMG|5ZMB|7AART|8RCR
96	11436 53333	   	159.05	ACR|2VULN|1AART|1DMG|1ZMB	1LHND|2FEWX|3RCR|49VULN|5ZMB|6AART|78CGEN|aDMG
97	42613 22622	 * 	158.98	ACR|2VULN|1AART|1DMG|2DUR	1LIT|2ERES|3RCR|47DUR|5DMG|6CGEN|8AART|9aVULN
98	11436 52233	   	158.95	ACR|2VULN|1AART|1DMG|1ZMB	1LHND|28FEWX|3RCR|47VULN|5ZMB|6AART|9ERES|aDMG
99	11436 61112	 * 	158.94	ACR|3VULN|3DUR|1CDMG|1ZMB	19LHND|2FEWX|3RCR|479VULN|5ZMB|6CDMG|89aDUR|9BPWR
100	11436 52313	   	158.85	ACR|2VULN|1AART|2CDMG|1ZMB	1LHND|2FEWX|3RCR|47VULN|5ZMB|6AART|8ERES|9aCDMG
101	33221 61625	   	158.56	DCR|3VULN|1AART|1ZMB|1ASPD	1DUST|2TLV|38aVULN|4ASPD|5ZMB|6AART|7RCR|9BELT
102	11436 43313	   	158.27	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2FEWX|3RCR|47VULN|5ZMB|6TLV|8AART|9CDMG|aDUR
103	31436 13315	   	158.17	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1DUST|2FEWX|3RCR|47VULN|5TLV|6ZMB|8AART|9CDMG|aASPD
104	11436 22333	   	157.85	ACR|2VULN|1AART|1DMG|1ZMB	1LHND|26FEWX|3RCR|49VULN|5ZMB|7CGEN|8AART|aDMG
105	42613 15331	 * 	157.79	ACR|2VULN|1DMG|2ZMB|1CDMG|1DUR	1LIT|2ERES|3RCR|4DUR|5DMG|69ZMB|78VULN|aCDMG
106	11426 31413	   	157.75	ACR|2DMG|1AART|1VULN|1ZMB	1LHND|2FEWX|3RCR|4LWND|5ZMB|6ERES|7aDMG|8AART|9VULN
107	11436 31411	   	157.75	ACR|2VULN|1AART|1DMG|1ZMB	1LHND|2FEWX|3RCR|49VULN|5ZMB|6ERES|7DMG|8AART|aLIT
108	11436 31413	   	157.75	ACR|2VULN|1AART|1DMG|1ZMB	1LHND|2aFEWX|3RCR|49VULN|5ZMB|6ERES|7DMG|8AART
109	11436 31423	   	157.75	ACR|2DMG|1AART|1VULN|1ZMB	1LHND|2FEWX|3RCR|4VULN|5ZMB|6ERES|7aDMG|8AART|9LWND
110	31435 22336	   	157.75	ACR|2VULN|1AART|1DMG|1ZMB	1DUST|26FEWX|3RCR|49VULN|5ZMB|7CGEN|8AART|aDMG
111	31455 11213	   	157.75	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4CGEN|5LWND|6ZMB|7aDMG|8AART|9VULN
112	31425 31213	   	157.65	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4LWND|5ZMB|6ERES|7aDMG|8AART|9VULN
113	31425 41213	   	157.65	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4LWND|5ZMB|6TLV|7aDMG|8AART|9VULN
114	31426 11213	   	157.65	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4LWND|5TLV|6ZMB|7aDMG|8AART|9VULN
115	31426 25213	   	157.65	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4LWND|5TLV|6aDMG|7ZMB|8AART|9VULN
116	31435 31211	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1DUST|2FEWX|3RCR|49VULN|5ZMB|6ERES|7DMG|8AART|aLIT
117	31435 31213	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1DUST|2aFEWX|3RCR|49VULN|5ZMB|6ERES|7DMG|8AART
118	31435 31214	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1DUST|2FEWX|3RCR|49VULN|5ZMB|6ERES|7DMG|8AART|aCGEN
119	31435 31215	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1DUST|2FEWX|3RCR|49VULN|5ZMB|6ERES|7DMG|8AART|aBEXP
120	31435 31223	   	157.65	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4VULN|5ZMB|6ERES|7aDMG|8AART|9LWND
121	31435 41211	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1DUST|2FEWX|3RCR|49VULN|5ZMB|6TLV|7DMG|8AART|aLIT
122	31435 41213	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1DUST|2aFEWX|3RCR|49VULN|5ZMB|6TLV|7DMG|8AART
123	31435 41223	   	157.65	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4VULN|5ZMB|6TLV|7aDMG|8AART|9LWND
124	31436 11211	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1DUST|2FEWX|3RCR|49VULN|5TLV|6ZMB|7DMG|8AART|aLIT
125	31436 11213	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1DUST|2aFEWX|3RCR|49VULN|5TLV|6ZMB|7DMG|8AART
126	31436 11214	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1DUST|2FEWX|3RCR|49VULN|5TLV|6ZMB|7DMG|8AART|aCGEN
127	31436 11215	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1DUST|2FEWX|3RCR|49VULN|5TLV|6ZMB|7DMG|8AART|aBEXP
128	31436 11223	   	157.65	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4VULN|5TLV|6ZMB|7aDMG|8AART|9LWND
129	31436 25211	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1DUST|2FEWX|3RCR|49VULN|5TLV|6DMG|7ZMB|8AART|aLIT
130	31436 25213	   	157.65	ACR|2VULN|1AART|1DMG|1ZMB	1DUST|2aFEWX|3RCR|49VULN|5TLV|6DMG|7ZMB|8AART
131	31436 25223	   	157.65	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4VULN|5TLV|6aDMG|7ZMB|8AART|9LWND
132	31335 52513	   	157.60	ACR|3VULN|1AART|1DMG	1DUST|27FEWX|36aVULN|4BELT|5RCR|8AART|9DMG
133	11436 31412	   	157.50	ACR|2VULN|1AART|1DMG|1ZMB|1SELL	1LHND|2FEWX|3RCR|49VULN|5ZMB|6ERES|7DMG|8AART|aSELL
134	31435 31212	   	157.40	ACR|2VULN|1AART|1DMG|1ZMB|1SELL	1DUST|2FEWX|3RCR|49VULN|5ZMB|6ERES|7DMG|8AART|aSELL
135	31435 41212	   	157.40	ACR|2VULN|1AART|1DMG|1ZMB|1SELL	1DUST|2FEWX|3RCR|49VULN|5ZMB|6TLV|7DMG|8AART|aSELL
136	31436 11212	   	157.40	ACR|2VULN|1AART|1DMG|1ZMB|1SELL	1DUST|2FEWX|3RCR|49VULN|5TLV|6ZMB|7DMG|8AART|aSELL
137	31436 25212	   	157.40	ACR|2VULN|1AART|1DMG|1ZMB|1SELL	1DUST|2FEWX|3RCR|49VULN|5TLV|6DMG|7ZMB|8AART|aSELL
138	14232 12416	   	157.37	DCR|3VULN|1AART|1CDMG	13LHND|2BASHEA|4RMIN|5AART|6RCR|789VULN|aCDMG
139	11236 11463	   	157.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2FEWX|3MLV|4VULN|5DUR|6ZMB|7aDMG|8AART|9RCR
140	42611 25232	 * 	157.09	ACR|5VULN|2DUR	1LIT|2ERES|3RCR|46DUR|5789aVULN
141	43315 11121	   	157.08	DCR|2DMG|1AART|1VULN|1CDMG	1LIT|2RCVC|34DMG|5VULN|6CGEN|7RCR|8FEWX|9AART|aCDMG
142	11136 11463	   	157.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2FEWX|3TLV|4VULN|5DUR|6ZMB|7aDMG|8AART|9RCR
143	13216 11463	   	157.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2TLV|3VULN|4FEWX|5DUR|6ZMB|7aDMG|8AART|9RCR
144	31246 11263	   	157.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2FEWX|3MLV|4VULN|5DUR|6ZMB|7aDMG|8AART|9RCR
145	31343 11263	   	157.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2FEWX|3VULN|4DUR|5MLV|6ZMB|7aDMG|8AART|9RCR
146	31343 25263	   	157.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2FEWX|3VULN|4DUR|5MLV|6aDMG|7ZMB|8AART|9RCR
147	31356 11263	   	157.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2FEWX|3VULN|4CGEN|5DUR|6ZMB|7aDMG|8AART|9RCR
148	36216 11263	   	157.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2CGEN|3VULN|4FEWX|5DUR|6ZMB|7aDMG|8AART|9RCR
149	31436 24333	   	157.05	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4VULN|5TLV|6aDMG|7BEXP|8ZMB|9AART
150	31435 31333	   	157.05	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4VULN|5ZMB|6ERES|7aDMG|8BEXP|9AART
151	31435 41333	   	157.05	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4VULN|5ZMB|6TLV|7aDMG|8BEXP|9AART
152	31436 11333	   	157.05	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4VULN|5TLV|6ZMB|7aDMG|8BEXP|9AART
153	31436 25333	   	157.05	ACR|2DMG|1AART|1VULN|1ZMB	1DUST|2FEWX|3RCR|4VULN|5TLV|6aDMG|7ZMB|8BEXP|9AART
154	43315 11321	   	156.98	DCR|2DMG|1AART|1VULN|1CDMG	1LIT|2RCVC|34DMG|5VULN|6CGEN|7RCR|8DUST|9AART|aCDMG
155	13252 11463	   	156.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2TLV|3VULN|4DUR|5DUST|6ZMB|7aDMG|8AART|9RCR
156	31146 11263	   	156.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2FEWX|3TLV|4VULN|5DUR|6ZMB|7aDMG|8AART|9RCR
157	31345 31263	   	156.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2FEWX|3VULN|4DUR|5ZMB|6ERES|7aDMG|8AART|9RCR
158	31346 11263	   	156.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2FEWX|3VULN|4DUR|5TLV|6ZMB|7aDMG|8AART|9RCR
159	33216 11263	   	156.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2TLV|3VULN|4FEWX|5DUR|6ZMB|7aDMG|8AART|9RCR
160	33216 25263	   	156.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2TLV|3VULN|4FEWX|5DUR|6aDMG|7ZMB|8AART|9RCR
161	33255 11263	   	156.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2TLV|3VULN|4DUR|5LWND|6ZMB|7aDMG|8AART|9RCR
162	35216 11263	   	156.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2ERES|3VULN|4FEWX|5DUR|6ZMB|7aDMG|8AART|9RCR
163	43413 42222	   	156.96	DCR|3DMG|1AART|1ZMB|1ASPD	1LIT|2RCVC|3ASPD|468DMG|5BELT|7RCR|9AART|aZMB
164	31335 51432	   	156.92	ACR|3VULN|1AART|1CDMG|1ASPD	1DUST|2FEWX|368VULN|4BELT|5RCR|7CDMG|9ASPD|aAART
165	33221 61661	   	156.55	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1DUST|2TLV|38VULN|4ASPD|5ZMB|6AART|7RCR|9CDMG|aLHND
