0	Index      	 *	Score 	Summary	Detail	
1	52631 14322	 * 	224.73	DCR|4VULN|3DMG|1AART|1ZMB	1AART|247DMG|3479VULN|47BPWR|5LEGI|6RCR|8BELT|aZMB
13	52631 14122	   	210.52	DCR|3DMG|3VULN|1AART|1ZMB	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8ERES|9RCVC|aZMB
14	52631 14132	   	210.52	DCR|3DMG|3VULN|1AART|1ZMB	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8ERES|9BEXP|aZMB
15	52631 14212	   	210.52	DCR|3DMG|3VULN|1AART|1ZMB	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8ZMB|9ERES|aRPLT
16	52631 14213	   	210.52	DCR|3DMG|3VULN|1AART|1ZMB	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8ZMB|9ERES|aMLV
17	52631 14222	   	210.52	DCR|3VULN|3DMG|1AART|1ZMB	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8ZMB|9TLV|aRPLT
18	52631 14223	   	210.52	DCR|3VULN|3DMG|1AART|1ZMB	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8ZMB|9TLV|aMLV
19	16141 33124	   	210.52	DCR|4VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5TLV|6RCR|789aVULN|9BPWR
20	52631 14112	   	210.42	DCR|3DMG|3VULN|1AART|1ZMB	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|89ERES|aZMB
21	52631 14211	   	210.42	DCR|3DMG|3VULN|1AART|1ZMB	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8ZMB|9ERES|aDUST
22	52631 14221	   	210.42	DCR|3VULN|3DMG|1AART|1ZMB	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8ZMB|9TLV|aDUST
23	52641 31121	   	209.85	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	1AART|29DMG|389VULN|4CDMG|5TLV|6RCR|79DUR|9BPWR|aMLV
24	52641 31123	   	209.85	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	1AART|29DMG|389VULN|4CDMG|5TLV|6RCR|79DUR|9BPWR|aDMSP
25	52631 12622	   	206.56	DCR|3VULN|3DMG|1AART	1AART|248DMG|348VULN|48BPWR|5LEGI|6RCR|7RCVC|9DUR|aRPLT
26	52631 12623	   	206.56	DCR|3VULN|3DMG|1AART	1AART|248DMG|348VULN|48BPWR|5LEGI|6RCR|7RCVC|9DUR|aMLV
27	52631 12621	   	206.46	DCR|3VULN|3DMG|1AART	1AART|248DMG|348VULN|48BPWR|5LEGI|6RCR|7RCVC|9DUR|aDUST
28	52631 14123	   	206.46	DCR|3DMG|3VULN|1AART	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8ERES|9RCVC|aDUR
29	52631 14133	   	206.46	DCR|3DMG|3VULN|1AART	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8ERES|9BEXP|aDUR
30	52631 14113	   	206.36	DCR|3DMG|3VULN|1AART	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|89ERES|aDUR
31	54324 22222	 * 	206.20	DCR|5VULN|2DMG|1AART	1AART|23469VULN|59CGEN|79DMG|8RCR|9BPWR|aLIT
32	54324 22223	   	206.20	DCR|5VULN|2DMG|1AART	1AART|23469VULN|59CGEN|79DMG|8RCR|9BPWR|aFEWX
33	54326 12222	   	206.00	DCR|5VULN|2DMG|1AART	1AART|23459VULN|69ERES|79DMG|8RCR|9BPWR|aLIT
34	54326 12223	   	206.00	DCR|5VULN|2DMG|1AART	1AART|23459VULN|69ERES|79DMG|8RCR|9BPWR|aFEWX
35	54324 22221	   	205.95	DCR|5VULN|2DMG|1AART|1SELL	1AART|23469VULN|59CGEN|79DMG|8RCR|9BPWR|aSELL
36	54326 12221	   	205.75	DCR|5VULN|2DMG|1AART|1SELL	1AART|23459VULN|69ERES|79DMG|8RCR|9BPWR|aSELL
37	52233 11124	 * 	205.68	ACR|4VULN|2DMG|1AART|2DUR|1SELL	1AART|29DMG|3SELL|4ERES|5RCR|689aVULN|79DUR|9BPWR
38	52412 31131	   	204.66	DCR|3VULN|2DMG|1AART|1CDMG	1AART|29DMG|39BEXP|4RMIN|5CDMG|6RCR|7DUR|89aVULN|9BPWR
39	52412 31132	   	204.66	DCR|3DMG|2VULN|1AART|1CDMG	1AART|29aDMG|39BEXP|4RMIN|5CDMG|6RCR|7DUR|89VULN|9BPWR
40	52641 33122	   	204.56	DCR|3VULN|2DMG|1AART|1CDMG	1AART|29DMG|379VULN|4CDMG|5TLV|6RCR|89LWND|9BPWR|aDUR
41	52631 13262	   	204.46	DCR|3VULN|2DMG|1AART|1CDMG	1AART|24DMG|349VULN|4BPWR|5LEGI|6RCR|7MLV|8DUR|aCDMG
42	52631 11262	   	204.36	DCR|3VULN|2DMG|1AART|1CDMG	1AART|24DMG|349VULN|4BPWR|5LEGI|6RCR|7TLV|8DUR|aCDMG
43	52312 33121	   	203.93	DCR|3VULN|2DMG|1AART|2CDMG	1AART|29DMG|3CGEN|4LEGI|59CDMG|6RCR|789VULN|9BPWR|aMLV
44	52312 33123	   	203.93	DCR|3VULN|2DMG|1AART|2CDMG	1AART|29DMG|3CGEN|4LEGI|59CDMG|6RCR|789VULN|9BPWR|aFEWX
45	52312 33126	   	203.93	DCR|3VULN|2DMG|1AART|2CDMG	1AART|29DMG|3CGEN|4LEGI|59CDMG|6RCR|789VULN|9BPWR|aLWND
46	52312 33621	   	203.93	DCR|3DMG|2VULN|1AART|2CDMG	1AART|289DMG|3CGEN|4LEGI|59CDMG|6RCR|79VULN|9BPWR|aFEWX
47	52312 33622	   	203.93	DCR|3DMG|2VULN|1AART|2CDMG	1AART|289DMG|3CGEN|4LEGI|59CDMG|6RCR|79VULN|9BPWR|aLHND
48	52312 33623	   	203.93	DCR|3DMG|2VULN|1AART|2CDMG	1AART|289DMG|3CGEN|4LEGI|59CDMG|6RCR|79VULN|9BPWR|aLIT
49	52312 33625	   	203.93	DCR|3DMG|2VULN|1AART|2CDMG	1AART|289DMG|3aCGEN|4LEGI|59CDMG|6RCR|79VULN|9BPWR
50	52112 33121	   	203.83	DCR|3VULN|2DMG|1AART|2CDMG	1AART|29DMG|3ERES|4LEGI|59CDMG|6RCR|789VULN|9BPWR|aMLV
51	52112 33123	   	203.83	DCR|3VULN|2DMG|1AART|2CDMG	1AART|29DMG|3ERES|4LEGI|59CDMG|6RCR|789VULN|9BPWR|aFEWX
52	52112 33126	   	203.83	DCR|3VULN|2DMG|1AART|2CDMG	1AART|29DMG|3ERES|4LEGI|59CDMG|6RCR|789VULN|9BPWR|aLWND
53	52112 33621	   	203.83	DCR|3DMG|2VULN|1AART|2CDMG	1AART|289DMG|3ERES|4LEGI|59CDMG|6RCR|79VULN|9BPWR|aFEWX
54	52112 33622	   	203.83	DCR|3DMG|2VULN|1AART|2CDMG	1AART|289DMG|3ERES|4LEGI|59CDMG|6RCR|79VULN|9BPWR|aLHND
55	52112 33623	   	203.83	DCR|3DMG|2VULN|1AART|2CDMG	1AART|289DMG|3ERES|4LEGI|59CDMG|6RCR|79VULN|9BPWR|aLIT
56	52112 33625	   	203.83	DCR|3DMG|2VULN|1AART|2CDMG	1AART|289DMG|3ERES|4LEGI|59CDMG|6RCR|79VULN|9BPWR|aCGEN
57	52312 33125	   	203.83	DCR|3VULN|2DMG|1AART|2CDMG	1AART|29DMG|3CGEN|4LEGI|59CDMG|6RCR|789VULN|9BPWR|aLSRHEA
58	52312 33624	   	203.83	DCR|3DMG|2VULN|1AART|2CDMG	1AART|289DMG|3CGEN|4LEGI|59CDMG|6RCR|79VULN|9BPWR|aDUST
59	52112 33125	   	203.73	DCR|3VULN|2DMG|1AART|2CDMG	1AART|29DMG|3ERES|4LEGI|59CDMG|6RCR|789VULN|9BPWR|aLSRHEA
60	52112 33624	   	203.73	DCR|3DMG|2VULN|1AART|2CDMG	1AART|289DMG|3ERES|4LEGI|59CDMG|6RCR|79VULN|9BPWR|aDUST
61	16142 33122	   	203.46	DCR|3VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5CGEN|6RCR|789VULN|9BPWR|aDUR
62	16144 31131	   	203.46	DCR|3VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5RMIN|6RCR|7DUR|89aVULN|9BPWR
63	16144 31132	   	203.46	DCR|3DMG|2VULN|1AART|1CDMG	19LHND|29aDMG|3AART|4CDMG|5RMIN|6RCR|7DUR|89VULN|9BPWR
64	16141 33122	   	203.36	DCR|3VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5TLV|6RCR|789VULN|9BPWR|aDUR
65	52233 11122	 * 	203.02	ACR|3VULN|2AART|2DMG|2DUR|1SELL	1aAART|29DMG|3SELL|4ERES|5RCR|689VULN|79DUR|9BPWR
66	54233 14321	 * 	202.87	DCR|4VULN|2AART|3DUR|2ZMB	19AART|257aVULN|378DUR|47ZMB|6RCR|7BPWR
67	52631 16213	   	201.81	DCR|3VULN|2DMG|1AART|1ZMB	1AART|24DMG|34aVULN|4BPWR|5LEGI|6RCR|7ZMB|8DUR|9BEXP
68	54233 14121	   	201.26	DCR|4VULN|1AART|2ZMB|1CDMG|2DUR	1AART|2579VULN|37DUR|47ZMB|6RCR|7BPWR|8RPLT|aCDMG
69	52263 25131	 * 	201.24	ACR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|29DMG|3SELL|49ZMB|5RCR|6DUR|7FEWX|89aVULN|9BPWR
70	52263 25132	 * 	201.24	ACR|3DMG|2VULN|1AART|2ZMB|1SELL	1AART|29aDMG|3SELL|49ZMB|5RCR|6DUR|7FEWX|89VULN|9BPWR
71	52263 51131	 * 	201.24	ACR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|29DMG|3SELL|49ZMB|5RCR|6BEXP|7DUR|89aVULN|9BPWR
72	52263 51132	 * 	201.24	ACR|3DMG|2VULN|1AART|2ZMB|1SELL	1AART|29aDMG|3SELL|49ZMB|5RCR|6BEXP|7DUR|89VULN|9BPWR
73	52631 14233	   	201.18	DCR|4VULN|3DMG|1AART|1ZMB|1MSE	1AART|247DMG|347aVULN|47BPWR|5LEGI|6RCR|8ZMB|9MSE
74	52263 24131	 * 	201.14	ACR|3VULN|2DMG|1AART|2ZMB|1SELL	1AART|29DMG|3SELL|49ZMB|5RCR|6DUR|7DUST|89aVULN|9BPWR
75	52263 24132	 * 	201.14	ACR|3DMG|2VULN|1AART|2ZMB|1SELL	1AART|29aDMG|3SELL|49ZMB|5RCR|6DUR|7DUST|89VULN|9BPWR
76	52362 23522	   	200.94	DCR|2AART|2DMG|2VULN|1CDMG|2DUR	1aAART|29DMG|39CGEN|46DUR|5CDMG|79VULN|8RCR|9BPWR
77	52631 14231	   	200.73	DCR|3VULN|3DMG|1AART|1CDMG|1ZMB|1MSE	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8ZMB|9MSE|aCDMG
78	56122 32431	 * 	200.54	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2RCR|39LHND|49aVULN|5FEWX|6CDMG|7RMIN|89DMG|9BPWR
79	56122 32432	 * 	200.54	ACR|3DMG|2VULN|1AART|1CDMG	1AART|2RCR|39LHND|49VULN|5FEWX|6CDMG|7RMIN|89aDMG|9BPWR
80	52631 16231	   	199.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|24DMG|34VULN|4BPWR|5LEGI|6RCR|7ZMB|8DUR|9BELT|aCDMG
81	52631 12632	   	199.62	DCR|3VULN|3DMG|1AART	1AART|248DMG|348VULN|48BPWR|5LEGI|6RCR|7RCVC|9FEWX|aRPLT
82	52631 12633	   	199.62	DCR|3VULN|3DMG|1AART	1AART|248DMG|348VULN|48BPWR|5LEGI|6RCR|7RCVC|9FEWX|aMLV
83	52631 14311	   	199.62	DCR|3VULN|3DMG|1AART	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8BELT|9LHND|aCGEN
84	52631 14312	   	199.62	DCR|3VULN|3DMG|1AART	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8BELT|9LHND|aLWND
85	52631 12631	   	199.52	DCR|3VULN|3DMG|1AART	1AART|248DMG|348VULN|48BPWR|5LEGI|6RCR|7RCVC|9FEWX|aDUST
86	52631 14121	   	199.52	DCR|3VULN|3DMG|1AART	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8ERES|9RCVC|aLIT
87	52631 14313	   	199.52	DCR|3VULN|3DMG|1AART	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8BELT|9LHND|aDUST
88	52631 14333	   	199.52	DCR|3DMG|3VULN|1AART	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8BELT|9ERES|aLHND
89	52631 14111	   	199.42	DCR|3VULN|3DMG|1AART	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|89ERES|aLIT
90	52631 14332	   	199.42	DCR|3DMG|3VULN|1AART	1AART|247DMG|347VULN|47BPWR|5LEGI|6RCR|8BELT|9ERES|aDUST
91	32521 66323	 * 	199.22	DCR|3VULN|2DMG|3ZMB|2CDMG	129ZMB|39aVULN|45CDMG|6aDMG|79aCGEN|8RCR|9aBPWR
92	52631 13351	   	199.18	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1AART|24DMG|34VULN|4BPWR|5LEGI|6RCR|7MLV|8ZMB|9aCDMG
93	52312 11524	   	199.13	DCR|3VULN|2DMG|1AART|2CDMG	1AART|29DMG|3CGEN|4LEGI|59CDMG|69aVULN|7RCVC|8RCR|9BPWR
94	52631 11351	   	199.08	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1AART|24DMG|34VULN|4BPWR|5LEGI|6RCR|7TLV|8ZMB|9aCDMG
95	32311 45334	 * 	198.56	DCR|3DMG|2VULN|3ZMB|1AART	127ZMB|3ERES|47VULN|567DMG|7BPWR|8AART|9DMSP|aRCR
96	52233 11626	   	198.51	ACR|3DMG|2VULN|1AART|2DUR|1SELL	1AART|289DMG|3SELL|4ERES|5RCR|69VULN|79DUR|9BPWR|aASPD
97	56333 43131	 * 	198.33	ACR|3VULN|2AART|2DMG	17AART|2RCR|3RMIN|4RPLT|59BEXP|69DMG|89aVULN|9BPWR
98	56333 43132	 * 	198.33	ACR|3DMG|2AART|2VULN	17AART|2RCR|3RMIN|4RPLT|59BEXP|69aDMG|89VULN|9BPWR
99	52412 35131	   	197.72	DCR|3VULN|2DMG|1AART|1CDMG	1AART|29DMG|39BEXP|4RMIN|5CDMG|6RCR|7FEWX|89aVULN|9BPWR
100	52412 35132	   	197.72	DCR|3DMG|2VULN|1AART|1CDMG	1AART|29aDMG|39BEXP|4RMIN|5CDMG|6RCR|7FEWX|89VULN|9BPWR
101	52635 12121	   	197.62	DCR|3VULN|2DMG|1AART|1CDMG	1AART|24DMG|349VULN|4BPWR|5LWND|6RCR|7RCVC|8RPLT|aCDMG
102	52641 33121	   	197.62	DCR|3VULN|2DMG|1AART|1CDMG	1AART|29DMG|379VULN|4CDMG|5TLV|6RCR|89LWND|9BPWR|aMLV
103	52641 33123	   	197.62	DCR|3VULN|2DMG|1AART|1CDMG	1AART|29DMG|379VULN|4CDMG|5TLV|6RCR|89LWND|9BPWR|aFEWX
104	52412 34131	   	197.62	DCR|3VULN|2DMG|1AART|1CDMG	1AART|29DMG|39BEXP|4RMIN|5CDMG|6RCR|7DUST|89aVULN|9BPWR
105	52412 34132	   	197.62	DCR|3DMG|2VULN|1AART|1CDMG	1AART|29aDMG|39BEXP|4RMIN|5CDMG|6RCR|7DUST|89VULN|9BPWR
106	52621 14121	   	197.52	DCR|3VULN|2DMG|1AART|1CDMG	1AART|27DMG|379VULN|4DMSP|5LEGI|6RCR|7BPWR|8RPLT|aCDMG
107	52631 12121	   	197.52	DCR|3VULN|2DMG|1AART|1CDMG	1AART|24DMG|349VULN|4BPWR|5LEGI|6RCR|7RCVC|8RPLT|aCDMG
108	52312 33164	   	197.42	DCR|3VULN|2DMG|1AART|1CDMG	1AART|29DMG|3CGEN|4LEGI|5CDMG|6RCR|78aVULN
109	52631 15332	   	197.42	DCR|3VULN|2DMG|1AART|1CDMG	1AART|24DMG|34aVULN|4BPWR|5LEGI|6RCR|7DUST|8BELT|9CDMG
110	52112 33164	   	197.32	DCR|3VULN|2DMG|1AART|1CDMG	1AART|29DMG|3ERES|4LEGI|5CDMG|6RCR|78aVULN
111	16142 33121	   	196.52	DCR|3VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5CGEN|6RCR|789VULN|9BPWR|aMLV
112	16142 33123	   	196.52	DCR|3VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5CGEN|6RCR|789VULN|9BPWR|aFEWX
113	16142 33126	   	196.52	DCR|3VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5CGEN|6RCR|789VULN|9BPWR|aLWND
114	16142 33621	   	196.52	DCR|3DMG|2VULN|1AART|1CDMG	19LHND|289DMG|3AART|4CDMG|5CGEN|6RCR|79VULN|9BPWR|aFEWX
115	16142 33622	   	196.52	DCR|3DMG|2VULN|1AART|1CDMG	19aLHND|289DMG|3AART|4CDMG|5CGEN|6RCR|79VULN|9BPWR
116	16144 33131	   	196.52	DCR|3VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5RMIN|6RCR|7BEXP|89aVULN|9BPWR
117	16144 33132	   	196.52	DCR|3DMG|2VULN|1AART|1CDMG	19LHND|29aDMG|3AART|4CDMG|5RMIN|6RCR|7BEXP|89VULN|9BPWR
118	16141 33121	   	196.42	DCR|3VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5TLV|6RCR|789VULN|9BPWR|aMLV
119	16141 33123	   	196.42	DCR|3VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5TLV|6RCR|789VULN|9BPWR|aFEWX
120	16141 33126	   	196.42	DCR|3VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5TLV|6RCR|789VULN|9BPWR|aLWND
121	16141 33621	   	196.42	DCR|3DMG|2VULN|1AART|1CDMG	19LHND|289DMG|3AART|4CDMG|5TLV|6RCR|79VULN|9BPWR|aFEWX
122	16141 33622	   	196.42	DCR|3DMG|2VULN|1AART|1CDMG	19aLHND|289DMG|3AART|4CDMG|5TLV|6RCR|79VULN|9BPWR
123	16142 33125	   	196.42	DCR|3VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5CGEN|6RCR|789VULN|9BPWR|aLSRHEA
124	16141 33125	   	196.32	DCR|3VULN|2DMG|1AART|1CDMG	19LHND|29DMG|3AART|4CDMG|5TLV|6RCR|789VULN|9BPWR|aLSRHEA
125	52224 31131	   	195.96	DCR|3VULN|2DMG|1AART|2DUR|1SELL	1AART|29DMG|3SELL|4DUST|5RMIN|6RCR|79DUR|89aVULN|9BPWR
126	52224 31132	   	195.96	DCR|3DMG|2VULN|1AART|2DUR|1SELL	1AART|29aDMG|3SELL|4DUST|5RMIN|6RCR|79DUR|89VULN|9BPWR
127	52211 31124	   	195.86	DCR|3VULN|2DMG|1AART|2DUR|1SELL	1AART|29DMG|3SELL|48aVULN|59TLV|6RCR|79DUR|9BPWR
128	52362 11522	   	195.65	DCR|2AART|2DMG|2VULN|1CDMG	1aAART|29DMG|39CGEN|4DUR|5CDMG|69VULN|7RCVC|8RCR|9BPWR
129	64323 12431	   	195.64	ACR|3VULN|2DMG|1AART|2ZMB	1LEGI|2DMSP|3RCR|49aVULN|59ZMB|6RPLT|7AART|89DMG|9BPWR
130	64323 12432	   	195.64	ACR|3DMG|2VULN|1AART|2ZMB	1LEGI|2DMSP|3RCR|49VULN|59ZMB|6RPLT|7AART|89aDMG|9BPWR
131	56121 33632	 * 	195.63	ACR|4VULN|1AART|1DMG|2DUR	1AART|2RCR|39LHND|4789VULN|5RPLT|69DUR|9BPWR|aDMG
132	54324 22211	   	195.35	DCR|5VULN|1AART|1DMG	1AART|2346aVULN|5CGEN|7DMG|8RCR|9ASPD
133	52411 62131	   	195.32	DCR|3VULN|2DMG|1AART|1CDMG	1AART|29DMG|39BEXP|4RMIN|5LHND|6CDMG|7RCR|89aVULN|9BPWR
134	52411 62132	   	195.32	DCR|3DMG|2VULN|1AART|1CDMG	1AART|29aDMG|39BEXP|4RMIN|5LHND|6CDMG|7RCR|89VULN|9BPWR
135	54326 12211	   	195.25	DCR|5VULN|1AART|1DMG	1AART|2345aVULN|6ERES|7DMG|8RCR|9ASPD
136	52631 12351	   	195.12	DCR|2VULN|2DMG|1AART|2CDMG	1AART|24DMG|34VULN|4BPWR|5LEGI|6RCR|7RCVC|8DUR|9aCDMG
137	52312 31322	   	195.12	DCR|2VULN|2DMG|1AART|2CDMG	1AART|2aDMG|3CGEN|4LEGI|5aCDMG|6RCR|7DUR|8ERES|9aVULN|aBPWR
138	52631 12412	   	195.07	DCR|3VULN|2AART|2DMG|1SELL	1aAART|24DMG|348VULN|4BPWR|5LEGI|6RCR|7RCVC|9SELL
139	52631 12124	   	194.87	DCR|3VULN|2DMG|1AART|1ZMB	1AART|24DMG|349VULN|4BPWR|5LEGI|6RCR|7RCVC|8RPLT|aZMB
