0	Index      	 *	Score 	Summary	Detail	
1	24312 24121	 * 	195.59	ACR|4VULN|2DMG|1AART	149aVULN|2RPLT|3RCR|5BELT|6AART|7aDMG|8aLHND|aBPWR
23	24162 22523	 * 	177.87	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	17VULN|2RPLT|35CDMG|4AART|6ASPD|8RCR|9DMG|aDUR
24	24361 31216	   	177.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	18VULN|2RPLT|3RCR|4CDMG|5ZMB|6ASPD|7CGEN|9AART|aDMG
25	23111 43244	 * 	177.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	12VULN|36DMG|4TLV|5ERES|7AART|8DUR|9RCR|aCDMG
26	24311 52361	   	177.80	ACR|4VULN|1AART|1DMG	1457VULN|2RPLT|3RCR|6AART|8MLV|9DMG|aLSRICY
27	24311 52362	   	177.80	ACR|4VULN|1AART|1DMG	1457VULN|2RPLT|3RCR|6AART|8MLV|9DMG|aLWND
28	24311 52621	   	177.80	ACR|4VULN|1AART|1DMG	1457VULN|2RPLT|3RCR|6AART|8CGEN|9DMG|aLSRICY
29	24311 52622	   	177.80	ACR|4VULN|1AART|1DMG	1457VULN|2RPLT|3RCR|6AART|8CGEN|9DMG|aLWND
30	24311 51313	   	177.70	ACR|4VULN|1AART|1DMG	145aVULN|2RPLT|3RCR|6AART|7ERES|8DMG|9CGEN
31	24311 52261	   	177.70	ACR|4VULN|1AART|1DMG	1457VULN|2RPLT|3RCR|6AART|8ERES|9DMG|aLSRICY
32	24311 52262	   	177.70	ACR|4VULN|1AART|1DMG	1457VULN|2RPLT|3RCR|6AART|8ERES|9DMG|aLWND
33	23113 23144	   	177.51	DCR|3VULN|2DMG|1AART|1ASPD	125VULN|38DMG|4TLV|6MLV|7AART|9ASPD|aRCR
34	23113 53144	   	177.51	DCR|3VULN|2DMG|1AART|1ASPD	125VULN|38DMG|4TLV|6CGEN|7AART|9ASPD|aRCR
35	23513 33154	   	177.38	DCR|4VULN|1AART|1DMG|1ZMB	1256VULN|3ZMB|4TLV|7ERES|8AART|9DMG|aRCR
36	23535 12433	 * 	177.29	DCR|5VULN|1AART|1ZMB|1DUR	12679VULN|3ZMB|4LWND|5DUR|8AART|aRCR
37	33562 12433	   	177.29	DCR|5VULN|1AART|1ZMB|1DUR	1LWND|25679VULN|3ZMB|4DUR|8AART|aRCR
38	24312 26261	   	177.25	ACR|3VULN|1AART|1DMG|2ASPD	14aVULN|2RPLT|3RCR|5BELT|6AART|78ASPD|9DMG
39	23135 12443	   	177.22	DCR|4VULN|1AART|1DMG|1DUR	1267VULN|3DMG|4LWND|5DUR|8AART|9RCR|aRCVC
40	24311 14421	 * 	176.75	ACR|4VULN|1DMG|1CDMG|1ZMB	1459VULN|2RPLT|3RCR|6ERES|7ZMB|8CDMG|aDMG
41	65143 22323	 * 	176.56	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|2BELT|3RPLT|4aDMG|5LHND|6AART|7RCR|8CGEN|9aVULN|aBPWR
42	24325 21152	   	176.24	ACR|2VULN|2DMG|1AART|1ZMB	19VULN|2RPLT|3RCR|48FEWX|59DMG|69BEXP|7AART|9BPWR|aZMB
43	24311 52632	   	176.12	ACR|4VULN|2AART|1DUR	1457VULN|2RPLT|3RCR|69AART|8CGEN|aDUR
44	23135 13344	   	176.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	126VULN|3DMG|4LWND|5DUR|7AART|8DMSP|9RCR|aCDMG
45	23113 23244	   	175.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	125VULN|3DMG|4TLV|6MLV|7AART|8DUR|9RCR|aCDMG
46	23113 53244	   	175.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	125VULN|3DMG|4TLV|6CGEN|7AART|8DUR|9RCR|aCDMG
47	23131 12446	   	175.92	DCR|4VULN|1AART|1DMG|1ASPD	1267VULN|3DMG|4LWND|5FEWX|8AART|9RCR|aASPD
48	23135 12442	   	175.92	DCR|4VULN|1AART|1DMG|1DUR	1267VULN|3DMG|4LWND|5DUR|8AART|9RCR|aLIT
49	33155 24331	   	175.77	DCR|3VULN|2DMG|1AART	1aLWND|24aVULN|3BELT|5RPLT|6AART|7aDMG|8RCVC|9RCR|aBPWR
50	33541 12621	 * 	175.57	DCR|4VULN|2DMG|1ZMB	1LWND|2679VULN|3ZMB|4CGEN|5aDMG|8RCR
51	33231 12621	   	175.47	DCR|4VULN|2DMG|1ZMB	1LWND|2679VULN|3ERES|4ZMB|5aDMG|8RCR
52	23121 13444	   	175.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	126VULN|3DMG|4DUR|57FEWX|8AART|9RCR|aCDMG
53	24311 51316	 * 	175.05	ACR|3VULN|2AART|1DMG	145VULN|2RPLT|3RCR|6aAART|7ERES|8DMG|9CGEN
54	24311 51341	   	175.05	ACR|3VULN|2AART|1DMG	145VULN|2RPLT|3RCR|69AART|7ERES|8DMG|aLSRICY
55	24311 51342	   	175.05	ACR|3VULN|2AART|1DMG	145VULN|2RPLT|3RCR|69AART|7ERES|8DMG|aLWND
56	21561 25233	   	174.72	DCR|2VULN|2DMG|1AART|1ZMB	16VULN|258DUST|3ZMB|4AART|7RCR|9aDMG
57	33231 12636	   	174.52	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1LWND|267VULN|3ERES|4ZMB|5DMG|8RCR|9AART|aASPD
58	23242 13352	   	174.47	DCR|3VULN|2DMG|1AART	12aVULN|3RPLT|4MLV|5AART|6aCGEN|7RMIN|8aDMG|9RCR|aBPWR
59	24316 11522	   	174.06	ACR|3VULN|1AART|1CDMG|2DUR|1ASPD	149VULN|2RPLT|3RCR|59BASICY|6CDMG|7ASPD|89DUR|9BPWR|aAART
60	21333 53164	 * 	174.03	DCR|2VULN|2DMG|1AART|2CDMG|1SELL	16VULN|2DUST|3SELL|45CDMG|79DMG|8AART|aRCR
61	33231 12662	   	173.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1LWND|267VULN|3ERES|4ZMB|5DMG|8RCR|9DUR|aAART
62	23235 12621	 * 	173.88	DCR|4VULN|1DMG|2CDMG|1DUR	1269VULN|3RPLT|47CDMG|5DUR|8RCR|aDMG
63	23241 53352	   	173.87	DCR|3VULN|2DMG|1AART	12aVULN|3RPLT|4MLV|5aCGEN|6AART|7RMIN|8aDMG|9RCR|aBPWR
64	23142 46221	   	173.80	DCR|4VULN|2DMG|1ASPD	128aVULN|3aDMG|4FEWX|5ASPD|69aDUST|7RCR|aBPWR
65	23253 53352	   	173.67	DCR|3VULN|2DMG|1AART	12aVULN|3RPLT|4CGEN|5aDMG|6AART|7RMIN|8aTLV|9RCR|aBPWR
66	24312 33253	   	173.55	ACR|5VULN|3ZMB	1469aVULN|2RPLT|3RCR|5BELT|7RMIN|89aZMB|9aBPWR
67	23113 33144	   	173.32	DCR|4VULN|1AART|1DMG|1ASPD	1256VULN|3DMG|4TLV|7ERES|8AART|9ASPD|aRCR
68	33415 12433	   	173.22	DCR|5VULN|1AART|1DUR|1ASPD	1LWND|23679VULN|4ASPD|5DUR|8AART|aRCR
69	24352 11433	   	173.17	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	18VULN|2RPLT|3RCR|4ASPD|5LIT|6DMG|7CDMG|9DUR|aAART
70	24352 11533	   	173.17	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1VULN|2RPLT|3RCR|4ASPD|5LIT|68DMG|7CDMG|9DUR|aAART
71	24363 32433	   	173.17	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	18VULN|2RPLT|3RCR|4CDMG|5DMG|6ASPD|7LIT|9DUR|aAART
72	24363 32533	   	173.17	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1VULN|2RPLT|3RCR|4CDMG|58DMG|6ASPD|7LIT|9DUR|aAART
73	24325 11422	   	172.90	ACR|3VULN|1AART|1DMG|1ZMB	168VULN|2RPLT|3RCR|4FEWX|5DMG|7LHND|9AART|aZMB
74	21563 25222	   	172.88	DCR|3VULN|1AART|1DMG|1ZMB	16aVULN|28DUST|3ZMB|4AART|5DMSP|7RCR|9DMG
75	24312 22121	 * 	172.79	ACR|4VULN|1AART|2ZMB	149aVULN|2RPLT|3RCR|5BELT|6AART|7aZMB|8aLHND|aBPWR
76	24312 21251	   	172.79	ACR|4VULN|1AART|2ZMB	148aVULN|2RPLT|3RCR|5BELT|6AART|7aLWND|9aZMB|aBPWR
77	24312 23251	   	172.79	ACR|4VULN|1AART|2ZMB	148aVULN|2RPLT|3RCR|5BELT|6AART|7aLHND|9aZMB|aBPWR
78	24312 25251	   	172.79	ACR|4VULN|1AART|2ZMB	148aVULN|2RPLT|3RCR|5BELT|6AART|7aFEWX|9aZMB|aBPWR
79	33231 12446	   	172.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1LWND|267VULN|3ERES|4ZMB|5DMG|8AART|9RCR|aASPD
80	24311 13121	   	172.69	ACR|4VULN|1DMG|1CDMG|1ASPD	1459VULN|2RPLT|3RCR|6ERES|7ASPD|8CDMG|aDMG
81	23123 12222	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3DMG|4DUR|5CDMG|6LWND|7LHND|8RCR|9AART|aZMB
82	23133 22222	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3DMG|4LWND|5CDMG|6DUR|7LHND|8RCR|9AART|aZMB
83	24313 52422	   	172.54	ACR|3VULN|1AART|1DMG|1DUR	147VULN|2RPLT|3RCR|5DMSP|6AART|8RCVC|9DMG|aDUR
84	23123 15222	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3DMG|4DUR|5CDMG|6LWND|7DUST|8RCR|9AART|aZMB
85	23123 55222	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3DMG|4DUR|5CDMG|6LHND|7DUST|8RCR|9AART|aZMB
86	23133 25222	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3DMG|4LWND|5CDMG|6DUR|7DUST|8RCR|9AART|aZMB
87	24312 36353	   	172.39	ACR|4VULN|1AART|1CDMG	146aVULN|2RPLT|3RCR|5BELT|7AART|8CDMG|9RCVC
88	24312 53113	   	172.39	ACR|4VULN|2DMG	148aVULN|2RPLT|3RCR|5BELT|6RCVC|7RMIN|9aDMG|aBPWR
89	24312 22251	 * 	172.24	ACR|3VULN|1AART|2ZMB|2ASPD	14aVULN|2RPLT|3RCR|5BELT|6AART|7aZMB|8aASPD|9RMIN|aBPWR
90	24312 36251	   	172.19	ACR|4VULN|1AART|2ZMB	146aVULN|2RPLT|3RCR|5BELT|7AART|8aLWND|9aZMB|aBPWR
91	24312 36341	   	172.09	ACR|4VULN|1AART|1CDMG	1469VULN|2RPLT|3RCR|5BELT|7AART|8CDMG|aRCVC
92	23153 66312	   	172.03	DCR|3VULN|1AART|1DMG|1CDMG	129VULN|3DMG|4LHND|5CDMG|6DUST|7RCR|8LIT|aAART
93	24312 36151	   	171.99	ACR|4VULN|1AART|2ZMB	146aVULN|2RPLT|3RCR|5BELT|7AART|8aDUST|9aZMB|aBPWR
94	24325 21513	   	171.97	ACR|2VULN|2DMG|1AART|1ASPD	1aVULN|2RPLT|3RCR|4FEWX|59DMG|6BEXP|7AART|8ASPD
95	23111 42735	   	171.96	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|36DMG|4TLV|5ERES|7MBVNT|8RCR|9AART|aCDMG
96	24321 13636	 * 	171.93	ACR|3VULN|2DMG|3DUR	16aVULN|2RPLT|3RCR|4FEWX|5RMIN|79aDUR|8aDMG|aBPWR
97	65151 32323	   	171.81	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	1aASPD|2BELT|3RPLT|4aDUR|5AART|6DMG|7RCR|8CGEN|9aVULN|aBPWR
98	23166 32252	   	171.79	DCR|4VULN|1AART|1DMG	1267VULN|3DMG|4DMSP|5RMIN|8RCR|9RCVC|aAART
99	24163 32523	   	171.55	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	17VULN|2RPLT|3CDMG|4AART|5DMG|6DMSP|8RCR|9ASPD|aDUR
100	23142 26621	   	171.50	DCR|4VULN|2DMG|1ASPD	1269VULN|3aDMG|4FEWX|5ASPD|7MLV|8RCR
101	24312 26121	 * 	171.49	ACR|4VULN|1AART|2ASPD	149aVULN|2RPLT|3RCR|5BELT|6AART|7aASPD|8aLHND|aBPWR
102	23142 22621	   	171.40	DCR|4VULN|2DMG|1ASPD	1269VULN|3aDMG|4FEWX|5ASPD|7TLV|8RCR
103	23142 23621	   	171.40	DCR|4VULN|2DMG|1ASPD	1269VULN|3aDMG|4FEWX|5ASPD|7ERES|8RCR
104	24314 13311	 * 	171.39	ACR|4VULN|1AART|3DUR	1489VULN|2RPLT|3RCR|5DUST|689ERES|789DUR|89BPWR|aAART
105	24315 12311	   	171.39	ACR|4VULN|1AART|3DUR	1489VULN|2RPLT|3RCR|589DUR|689ERES|7MBVNT|89BPWR|aAART
106	21563 25112	   	171.31	DCR|3VULN|2AART|1ZMB|1ASPD	16aVULN|2DUST|3ZMB|49AART|5DMSP|7RCR|8ASPD
107	24311 51242	   	171.29	ACR|4VULN|1AART|1CDMG	145aVULN|29RPLT|3RCR|6AART|7ERES|8CDMG
108	21563 25123	   	171.21	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	16VULN|2DUST|3ZMB|4AART|5DMSP|7RCR|8ASPD|9DMG|aDUR
109	21561 25112	   	171.21	DCR|3VULN|2AART|1ZMB|1ASPD	16aVULN|25DUST|3ZMB|49AART|7RCR|8ASPD
110	24311 51232	   	171.19	ACR|4VULN|1AART|1CDMG	145aVULN|2RPLT|3RCR|6AART|79ERES|8CDMG
111	24363 13521	   	171.14	ACR|3VULN|2DMG|1CDMG	179VULN|2RPLT|3RCR|4CDMG|5aDMG|6ERES|8RCVC
112	21561 25123	   	171.11	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	16VULN|25DUST|3ZMB|4AART|7RCR|8ASPD|9DMG|aDUR
113	23111 43246	   	171.09	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	12VULN|36DMG|4TLV|5ERES|7AART|8DUR|9RCR|aASPD
114	24311 51223	   	171.06	ACR|3VULN|1AART|1CDMG|1DUR|1ASPD	145VULN|2RPLT|3RCR|6AART|7ERES|8CDMG|9ASPD|aDUR
115	24162 22521	   	170.93	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	17VULN|2RPLT|35CDMG|4AART|6ASPD|8RCR|9DMG|aBEXP
116	24162 22522	   	170.93	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	17VULN|2RPLT|35CDMG|4AART|6ASPD|8RCR|9DMG|aLIT
117	23563 53212	 * 	170.81	DCR|5VULN|1DMG|1ZMB	1256aVULN|3ZMB|4DMSP|7DMG|8RCR|9RPLT
118	24312 36323	   	170.79	ACR|4VULN|1AART|1CDMG	146aVULN|29RPLT|3RCR|5BELT|7AART|8CDMG
119	24311 52311	   	170.77	ACR|5VULN|1AART	1457aVULN|2RPLT|3RCR|6AART|8aMLV|9aCGEN|aBPWR
120	23111 43344	   	170.76	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|36DMG|4TLV|5ERES|7AART|8DUST|9RCR|aCDMG
121	65151 32122	   	170.71	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2BELT|3RPLT|4DUR|5AART|6DMG|7RCR|8ZMB|9aVULN
122	24312 36342	   	170.69	ACR|4VULN|1AART|1CDMG	1469VULN|2RPLT|3RCR|5BELT|7AART|8CDMG|aTLV
123	24312 24126	   	170.64	ACR|3VULN|1AART|1DMG|1DUR	149VULN|2RPLT|3RCR|5BELT|6AART|7DMG|8LHND|aDUR
124	24311 52115	   	170.57	ACR|5VULN|1AART	1457aVULN|2RPLT|3RCR|6AART|8FEWX|9CGEN
125	24311 52211	   	170.57	ACR|5VULN|1AART	1457aVULN|2RPLT|3RCR|6AART|8aERES|9aCGEN|aBPWR
126	24311 52511	   	170.57	ACR|5VULN|1AART	1457aVULN|2RPLT|3RCR|6AART|8aTLV|9aCGEN|aBPWR
127	24311 51312	   	170.54	ACR|3VULN|1AART|1DMG|1DUR	145VULN|2RPLT|3RCR|6AART|7ERES|8DMG|9CGEN|aDUR
128	24311 52235	   	170.47	ACR|5VULN|1AART	1457aVULN|2RPLT|3RCR|6AART|8ERES|9LHND
129	24311 51224	 * 	170.44	ACR|3VULN|1AART|2CDMG|1ASPD	145VULN|2RPLT|3RCR|6AART|7ERES|8aCDMG|9ASPD
130	23131 12443	   	170.29	DCR|4VULN|1AART|1DMG	1267VULN|3DMG|4LWND|5FEWX|8AART|9RCR|aRCVC
131	23151 12443	   	170.29	DCR|4VULN|1AART|1DMG	1267VULN|3DMG|4LHND|5FEWX|8AART|9RCR|aRCVC
132	21251 12443	   	170.19	DCR|4VULN|1AART|1DMG	1467VULN|2DUST|3LHND|5DMG|8AART|9RCR|aRCVC
133	22612 41151	   	170.14	ACR|4VULN|1DMG|1ZMB|1ASPD	1579VULN|2LIT|3RCR|4ASPD|6ZMB|8RPLT|aDMG
134	23113 22735	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	125VULN|3DMG|4TLV|6MLV|7MBVNT|8RCR|9AART|aCDMG
135	23113 52735	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	125VULN|3DMG|4TLV|6CGEN|7MBVNT|8RCR|9AART|aCDMG
136	24312 33313	   	169.88	ACR|4VULN|2DMG	146aVULN|2RPLT|3RCR|5BELT|78RMIN|9aDMG|aBPWR
137	24342 33113	   	169.88	ACR|4VULN|2DMG	168aVULN|2RPLT|3RCR|4DMSP|5BELT|7RMIN|9aDMG|aBPWR
138	23235 13621	   	169.77	DCR|4VULN|1DMG|1CDMG|1DUR	1269VULN|3RPLT|4CDMG|5DUR|7RCVC|8RCR|aDMG
139	22222 42152	   	169.52	DCR|2VULN|2DMG|1AART|1ZMB	17VULN|2LIT|3AIRHEA|4ZMB|5AART|6aDMG|8FEWX|9RCR
140	22222 66152	   	169.52	DCR|2VULN|2DMG|1AART|1ZMB	16VULN|2LIT|3AIRHEA|4ZMB|5AART|7aDMG|8FEWX|9RCR
141	23135 13346	   	169.36	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	126VULN|3DMG|4LWND|5DUR|7AART|8DMSP|9RCR|aASPD
142	34323 36632	   	169.34	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2RPLT|3RCR|4CDMG|59DMG|6ASPD|7AART|8VULN|aRCVC
143	22612 15812	   	169.34	ACR|3VULN|1AART|1DMG|1ASPD	15aVULN|26LIT|3RCR|4ASPD|7MBVNT|8AART|9DMG
144	23113 23246	   	169.26	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	125VULN|3DMG|4TLV|6MLV|7AART|8DUR|9RCR|aASPD
145	23113 53246	   	169.26	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	125VULN|3DMG|4TLV|6CGEN|7AART|8DUR|9RCR|aASPD
146	24311 52116	   	169.18	ACR|4VULN|2AART	1457VULN|2RPLT|3RCR|6aAART|8FEWX|9CGEN
147	24311 52142	   	169.18	ACR|4VULN|2AART	1457VULN|2RPLT|3RCR|69AART|8FEWX|aLWND
148	23131 13344	   	169.13	DCR|3VULN|1AART|1DMG|1CDMG	126VULN|3DMG|4LWND|5FEWX|7AART|8DMSP|9RCR|aCDMG
149	23151 13344	   	169.13	DCR|3VULN|1AART|1DMG|1CDMG	126VULN|3DMG|4LHND|5FEWX|7AART|8DMSP|9RCR|aCDMG
150	24163 32511	   	169.12	DCR|2AART|2VULN|1DMG|1CDMG	17VULN|2RPLT|3CDMG|49AART|5DMG|6DMSP|8RCR|aLHND
151	24163 32513	   	169.12	DCR|2AART|2VULN|1DMG|1CDMG	17VULN|2RPLT|3CDMG|49AART|5DMG|6DMSP|8RCR|aFEWX
152	24311 52141	   	169.08	ACR|4VULN|2AART	1457VULN|2RPLT|3RCR|69AART|8FEWX|aAIRHEL
153	24311 52236	   	169.08	ACR|4VULN|2AART	1457VULN|2RPLT|3RCR|6aAART|8ERES|9LHND
154	24311 52631	   	169.08	ACR|4VULN|2AART	1457VULN|2RPLT|3RCR|69AART|8CGEN|aDUST
155	24311 52633	   	169.08	ACR|4VULN|2AART	1457VULN|2RPLT|3RCR|69AART|8CGEN|aERES
156	33411 13146	 * 	169.03	DCR|3VULN|1AART|1DMG|2ASPD	1LWND|236VULN|48ASPD|5FEWX|7AART|9RCR|aDMG
157	33541 12633	   	168.99	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|267VULN|3ZMB|4CGEN|5DMG|8RCR|9AART|aRCVC
158	23131 12442	   	168.98	DCR|4VULN|1AART|1DMG	1267VULN|3DMG|4LWND|5FEWX|8AART|9RCR|aLIT
159	23151 12442	   	168.98	DCR|4VULN|1AART|1DMG	1267VULN|3DMG|4LHND|5FEWX|8AART|9RCR|aLIT
160	23123 15263	 * 	168.95	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR	12VULN|3aDMG|4DUR|5CDMG|6LWND|7DUST|8RCR|9FLTHEA
161	23123 55263	   	168.95	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR	12VULN|3aDMG|4DUR|5CDMG|6LHND|7DUST|8RCR|9FLTHEA
162	23133 25263	   	168.95	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR	12VULN|3aDMG|4LWND|5CDMG|6DUR|7DUST|8RCR|9FLTHEA
163	24326 23216	   	168.94	ACR|3VULN|1AART|2CDMG|1ASPD	178VULN|2RPLT|3RCR|4FEWX|57CDMG|67CGEN|7BPWR|9AART|aASPD
164	21251 13244	   	168.93	DCR|3VULN|1AART|1DMG|1CDMG	146VULN|28DUST|3LHND|5DMG|7AART|9RCR|aCDMG
165	23113 23344	   	168.93	DCR|3VULN|1AART|1DMG|1CDMG	125VULN|3DMG|4TLV|6MLV|7AART|8DUST|9RCR|aCDMG
166	23113 23444	   	168.93	DCR|3VULN|1AART|1DMG|1CDMG	125VULN|3DMG|4TLV|6MLV|7AART|8LEGI|9RCR|aCDMG
167	23113 53344	   	168.93	DCR|3VULN|1AART|1DMG|1CDMG	125VULN|3DMG|4TLV|6CGEN|7AART|8DUST|9RCR|aCDMG
168	33225 25162	   	168.92	DCR|3VULN|1AART|1DMG|1ASPD	15LWND|269VULN|3ERES|4AART|7RCR|8ASPD|aDMG
169	33231 12633	   	168.89	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|267VULN|3ERES|4ZMB|5DMG|8RCR|9AART|aRCVC
170	21251 12442	   	168.88	DCR|4VULN|1AART|1DMG	1467VULN|2DUST|3LHND|5DMG|8AART|9RCR|aLIT
171	26223 15325	   	168.82	DCR|3VULN|1AART|2CDMG|1DUR	18aVULN|2LHND|3ERES|4AART|5DUR|69CDMG|7RCR
172	23121 13446	   	168.76	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	126VULN|3DMG|4DUR|57FEWX|8AART|9RCR|aASPD
173	24311 52151	   	168.74	ACR|4VULN|1AART|1ZMB	1457VULN|2RPLT|3RCR|6AART|8FEWX|9ZMB|aMLV
174	24311 52152	   	168.74	ACR|4VULN|1AART|1ZMB	1457VULN|2RPLT|3RCR|6AART|8FEWX|9ZMB|aBEXP
175	24311 52153	   	168.74	ACR|4VULN|1AART|1ZMB	1457VULN|2aRPLT|3RCR|6AART|8FEWX|9ZMB
176	22612 15532	   	168.74	ACR|3VULN|1AART|1DMG|1ASPD	158VULN|26LIT|3RCR|4ASPD|7MBVNT|9AART|aDMG
177	22612 16532	   	168.74	ACR|3VULN|1AART|1DMG|1ASPD	157VULN|26LIT|3RCR|4ASPD|8DUST|9AART|aDMG
178	23142 22443	   	168.66	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	126VULN|3DMG|4FEWX|5ASPD|7TLV|8AART|9RCR|aDUR
