0	Index      	 *	Score 	Summary	Detail	
1	24333 11626	 * 	194.32	DCR|3DMG|2VULN|1AART|3DUR	17aDUR|257DMG|3AART|47aLHND|6BELT|7aBPWR|8RCR|9aVULN
13	24426 31321	   	177.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3LEGI|4AART|568VULN|7CDMG|9RCR|aERES
14	24333 11621	   	176.53	DCR|3DMG|1AART|1VULN|3DUR	17aDUR|257DMG|3AART|47LHND|6BELT|7BPWR|8RCR|9VULN
15	14632 13433	 * 	175.72	DCR|2DMG|2AART|1VULN|1ZMB|1DUR	1BEXP|29DMG|3TLV|4VULN|5DUR|6RCR|7ZMB|8aAART
16	24346 31222	 * 	174.26	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2DMG|38AART|4LWND|56VULN|7CDMG|9RCR|aLHND
17	24346 31223	   	174.26	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2DMG|38AART|4LWND|56VULN|7CDMG|9RCR|aFEWX
18	24346 31221	   	174.16	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2DMG|38AART|4LWND|56VULN|7CDMG|9RCR|aERES
19	24526 31222	   	173.66	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2DMG|3LWND|48AART|56VULN|7CDMG|9RCR|aLHND
20	24526 31223	   	173.66	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2DMG|3LWND|48AART|56VULN|7CDMG|9RCR|aFEWX
21	24426 31222	   	173.56	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2DMG|3LEGI|48AART|56VULN|7CDMG|9RCR|aLHND
22	24426 31223	   	173.56	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2DMG|3LEGI|48AART|56VULN|7CDMG|9RCR|aFEWX
23	24526 31221	   	173.56	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2DMG|3LWND|48AART|56VULN|7CDMG|9RCR|aERES
24	24426 31221	   	173.46	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2DMG|3LEGI|48AART|56VULN|7CDMG|9RCR|aERES
25	26122 41211	 * 	173.41	DCR|3VULN|3DMG|2DUR|1SELL	18DUR|2LEGI|3SELL|468DMG|578VULN|8BPWR|9LWND|aRCR
26	26122 41221	 * 	173.41	DCR|3VULN|3DMG|2DUR|1SELL	18DUR|2LEGI|3SELL|468DMG|578VULN|8BPWR|9BEXP|aRCR
27	26122 41231	 * 	173.41	DCR|3VULN|3DMG|2DUR|1SELL	18DUR|2LEGI|3SELL|468DMG|578VULN|8BPWR|9FEWX|aRCR
28	24333 11623	   	172.71	DCR|3DMG|1AART|1VULN|2DUR	17DUR|257DMG|3AART|47LHND|6aBELT|7BPWR|8RCR|9VULN
29	24333 11624	   	172.71	DCR|3DMG|1AART|1VULN|2DUR	17DUR|257DMG|3AART|47LHND|6BELT|7BPWR|8RCR|9VULN|aFEWX
30	24333 11625	   	172.71	DCR|3DMG|1AART|1VULN|2DUR	17DUR|257DMG|3AART|47aLHND|6BELT|7BPWR|8RCR|9VULN
31	24333 11633	   	172.71	DCR|3DMG|1AART|1VULN|2DUR	17DUR|257DMG|3AART|47LHND|6BELT|7BPWR|8RCR|9LIT|aVULN
32	24333 11622	   	172.61	DCR|3DMG|1AART|1VULN|2DUR	17DUR|257DMG|3AART|47LHND|6BELT|7BPWR|8RCR|9VULN|aERES
33	24325 11234	   	171.95	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|2aDMG|3AART|4BASICY|5ASPD|6VULN|7ERES|8RCR|9CDMG
34	14343 23363	   	171.62	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1BEXP|2DMG|3aAART|4LWND|5ASPD|6ZMB|78VULN|9RCR
35	14523 23363	   	171.02	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1BEXP|2DMG|3LWND|4aAART|5ASPD|6ZMB|78VULN|9RCR
36	14423 23363	   	170.92	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1BEXP|2DMG|3LEGI|4aAART|5ASPD|6ZMB|78VULN|9RCR
37	24253 12161	 * 	170.65	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUR|28DMG|3MLV|4RCR|5ERES|67CDMG|9AART|aVULN
38	14343 61312	   	169.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1BEXP|2aDMG|3AART|4LWND|5ASPD|6RCR|7ERES|8VULN|9CDMG
39	14523 61312	   	169.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1BEXP|2aDMG|3LWND|4AART|5ASPD|6RCR|7ERES|8VULN|9CDMG
40	14423 61312	   	169.21	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1BEXP|2aDMG|3LEGI|4AART|5ASPD|6RCR|7ERES|8VULN|9CDMG
41	14323 11263	   	168.95	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|29DMG|3AART|4BASICY|5ASPD|6aVULN|7ERES|8RCR
42	14333 41621	   	167.42	DCR|3DMG|1AART|1VULN|1DUR	17BEXP|257DMG|3AART|47LHND|6BELT|7BPWR|8RCR|9VULN|aDUR
43	14323 11223	   	167.02	DCR|3VULN|1AART|1DMG|1ASPD	1BEXP|2DMG|3AART|4BASICY|5ASPD|69aVULN|7ERES|8RCR
44	24411 11234	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	15DUR|2DMG|3LEGI|4BEXP|6CDMG|7aVULN|8RCR|9AART
45	24411 11236	   	166.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	15DUR|2aDMG|3LEGI|4BEXP|6CDMG|7VULN|8RCR|9AART
46	24343 23163	   	166.26	DCR|2AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	18DUR|2DMG|3aAART|4LWND|5ASPD|6ZMB|7VULN|9RCR
47	52123 33356	   	166.21	ACR|2DMG|1AART|1VULN|2CDMG	1RMIN|27TLV|37LSRICY|4RCR|5AART|67CDMG|7BPWR|8aDMG|9VULN
48	24523 23163	   	165.66	DCR|2AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	18DUR|2DMG|3LWND|4aAART|5ASPD|6ZMB|7VULN|9RCR
49	24423 23163	   	165.56	DCR|2AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	18DUR|2DMG|3LEGI|4aAART|5ASPD|6ZMB|7VULN|9RCR
50	24326 36322	   	165.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2aDMG|3AART|4BASICY|5CGEN|6CDMG|7RPLT|8RCR|9VULN
51	14323 11234	   	165.01	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1BEXP|2aDMG|3AART|4BASICY|5ASPD|6VULN|7ERES|8RCR|9CDMG
52	14632 11433	   	164.71	DCR|2DMG|2AART|1VULN|1DUR	1BEXP|29DMG|3TLV|4VULN|5DUR|6RCR|7MLV|8aAART
53	12321 32346	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2TLV|3DUR|4AART|5LHND|69VULN|7CDMG|8RCR|aDMG
54	12326 32346	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2TLV|3DUR|4AART|5LWND|69VULN|7CDMG|8RCR|aDMG
