0	Index      	 *	Score 	Summary	Detail	
1	21326 31551	 * 	203.97	ACR|3VULN|3DMG|1AART|2DUR	19BEXP|26aVULN|39DUR|489DMG|5RCR|7AART|9BPWR
53	21326 21412	   	178.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	168BEXP|2aVULN|3DUR|46DMG|5RCR|6BPWR|7AART|9ZMB
54	61326 21112	   	178.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	168FEWX|2aVULN|3DUR|46DMG|5RCR|6BPWR|7AART|9ZMB
55	21326 31213	   	178.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1aBEXP|26VULN|3DUR|49DMG|5RCR|7AART|8ZMB
56	21326 31214	   	178.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1BEXP|26VULN|3DUR|49DMG|5RCR|7AART|8ZMB|aBELT
57	61326 36133	 * 	178.14	ACR|3VULN|2DMG|3DUR|1ZMB	19FEWX|268VULN|379DUR|49DMG|5RCR|9BPWR|aZMB
58	32312 63652	 * 	178.13	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|2MLV|3LIT|4AART|5DMG|6RCR|79aVULN|8CDMG
59	21326 31516	   	178.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1BEXP|26VULN|3DUR|48DMG|5RCR|7AART|9LSRHEA|aZMB
60	21326 21336	 * 	176.88	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	16BEXP|2VULN|3DUR|46DMG|5RCR|6BPWR|7AART|89ASPD|aCDMG
61	21326 26133	 * 	176.87	ACR|3VULN|2DMG|1CDMG|2DUR	16BEXP|28aVULN|37DUR|46DMG|5RCR|6BPWR|9CDMG
62	21326 31336	 * 	176.78	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1BEXP|26VULN|3DUR|4DMG|5RCR|7AART|89ASPD|aCDMG
63	21326 31452	 * 	176.48	ACR|2VULN|2DMG|1AART|3DUR	189BEXP|26VULN|39aDUR|49DMG|5RCR|7AART|9BPWR
64	61326 31152	   	176.48	ACR|2VULN|2DMG|1AART|3DUR	189FEWX|26VULN|39aDUR|49DMG|5RCR|7AART|9BPWR
65	21326 21213	   	176.34	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	16BEXP|2VULN|3DUR|469DMG|5RCR|6BPWR|7AART|8ZMB|aLIT
66	21326 21215	   	176.34	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	16BEXP|2VULN|3DUR|469DMG|5RCR|6BPWR|7AART|8ZMB|aDMSP
67	21326 21211	   	176.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	16BEXP|2VULN|3DUR|469DMG|5RCR|6BPWR|7AART|8ZMB|aMBVNT
68	21326 21214	   	176.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	16BEXP|2VULN|3DUR|469DMG|5RCR|6BPWR|7AART|8ZMB|aERES
69	21326 31241	   	176.24	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|26aVULN|3DUR|4DMG|5RCR|7AART|8ZMB|9MLV
70	21326 31251	   	176.24	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	19BEXP|26aVULN|3DUR|4DMG|5RCR|7AART|8ZMB
71	32245 23224	 * 	176.09	ACR|3VULN|2AART|1DMG|1ASPD	1RPLT|2MLV|36aVULN|4DMG|5RCR|7ASPD|89AART
72	21326 15316	   	176.07	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1BEXP|2VULN|37DUR|49DMG|5RCR|6AART|8ASPD|aCDMG
73	21326 22452	 * 	175.18	ACR|3DMG|2VULN|2ZMB|1DUR	169BEXP|2aVULN|3DUR|46aDMG|5RCR|6aBPWR|7RCVC|8aZMB
74	21326 21221	   	174.34	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	16BEXP|2VULN|3DUR|46DMG|5RCR|6BPWR|7AART|8ZMB|9LHND|aCDMG
75	21326 21261	   	174.24	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	16BEXP|2VULN|3DUR|46DMG|5RCR|6BPWR|7AART|8ZMB|9DUST|aCDMG
76	21326 31221	   	174.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|26VULN|3DUR|4DMG|5RCR|7AART|8ZMB|9LHND|aCDMG
77	21326 21341	   	174.21	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	16BEXP|2aVULN|3DUR|46DMG|5RCR|6BPWR|7AART|8ASPD|9MLV
78	21326 21352	   	174.21	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	169BEXP|2aVULN|3DUR|46DMG|5RCR|6BPWR|7AART|8ASPD
79	21326 21452	   	174.21	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	168BEXP|2aVULN|3DUR|46DMG|5RCR|6BPWR|7AART|9ASPD
80	61326 21152	   	174.21	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	168FEWX|2aVULN|3DUR|46DMG|5RCR|6BPWR|7AART|9ASPD
81	61326 21631	   	174.21	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	16FEWX|2aVULN|3DUR|46DMG|5RCR|6BPWR|7AART|8RMIN|9ASPD
82	21326 31261	   	174.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|26VULN|3DUR|4DMG|5RCR|7AART|8ZMB|9DUST|aCDMG
83	21326 31313	   	174.11	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1aBEXP|26VULN|3DUR|49DMG|5RCR|7AART|8ASPD
84	21326 31314	   	174.11	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1BEXP|26VULN|3DUR|49DMG|5RCR|7AART|8ASPD|aBELT
85	32245 23225	 * 	174.08	ACR|2VULN|2AART|1DMG|1CDMG|1ASPD	1RPLT|2MLV|36VULN|4DMG|5RCR|7ASPD|89AART|aCDMG
